MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
497,1,Division II,mottcommunitycollege,Mike Phillips,,,,Wing,,,9,3.2575000000000003,3.9000000000000004,2.45,3,18.0,2.111111111111111,4.555555555555555,3.2222222222222223,1.4444444444444444,0.1111111111111111,1.5555555555555556,11.666666666666666,3.888888888888889,3.888888888888889,0.4444444444444444,1.6666666666666667,0.6727574750830565,0.6333333333333333,108.43373493975903,0.18114360541248362,1.4137931034482758,0.19410977242302543,0.4857142857142857,0.3333333333333333,0.3333333333333333,3.9726027397260273,1.917808219178082,2.6027397260273974,1.917808219178082,Elite,5,Average,3,Very Good,4,Average,3,Below Average,2,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
1598,2,Division II,mottcommunitycollege,Tyler Wooten,,,,Wing,,,13,2.7325,2.8500000000000005,2.45,3,18.846153846153847,2.8461538461538463,1.7692307692307692,2.6923076923076925,0.9230769230769231,0.23076923076923078,1.3076923076923077,15.076923076923077,5.461538461538462,5.230769230769231,0.6153846153846154,2.230769230769231,0.5422273371104815,0.5,93.89851295416219,0.22665045170257123,0.6571428571428571,0.13414073279166028,0.30985915492957744,0.3622448979591837,0.3469387755102041,3.4499753573188765,1.4785608674223756,3.647116806308526,1.6757023164120257,Average,3,Very Good,4,Poor,1,Poor,1,Very Good,4,Below Average,2,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
1834,3,Division II,mottcommunitycollege,Davan Aniton,,,,Wing,,,15,2.6399999999999997,2.0,3.4,3,6.533333333333333,5.933333333333334,0.8,1.6666666666666667,0.7333333333333333,1.6666666666666667,2.6666666666666665,5.133333333333334,0.06666666666666667,1.8,2.066666666666667,3.8666666666666667,0.5513051305130513,0.5064935064935064,86.05549701440113,0.08553659415935587,0.48,0.21952932911837023,0.0,0.012987012987012988,0.35064935064935066,2.110595187842972,3.0392570704938793,7.5137188687209795,3.376952300548755,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Very Good,4,Below Average,2,Very Good,4,Elite,5,Unknown
2319,4,Division II,mottcommunitycollege,Donnie Huddleston,,,,Wing,,,14,2.49,2.0500000000000003,2.9000000000000004,3,8.357142857142858,3.2142857142857144,2.0714285714285716,1.5714285714285714,1.2142857142857142,0.6428571428571429,1.5,9.642857142857142,6.071428571428571,0.9285714285714286,1.0,2.2142857142857144,0.4157191586128482,0.3925925925925926,71.90265486725664,0.1309554468194695,1.3181818181818181,0.1352015732546706,0.25882352941176473,0.6296296296296297,0.0962962962962963,1.9954648526077097,2.3582766439909295,4.081632653061225,1.9047619047619047,Poor,1,Below Average,2,Poor,1,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2326,5,Division II,mottcommunitycollege,Jayden Higgins,,,,Wing,,,16,2.4875,2.85,1.75,3,5.5625,4.8125,0.25,0.8125,0.375,0.4375,2.625,4.125,0.8125,0.5625,1.375,3.4375,0.6360777587192682,0.6136363636363636,107.28061716489876,0.05868537958744801,0.3076923076923077,0.15670202507232403,0.38461538461538464,0.19696969696969696,0.13636363636363635,1.0346199761241544,1.0346199761241544,6.128133704735376,3.3426183844011144,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Below Average,2,Elite,5,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2542,6,Division II,mottcommunitycollege,Queese Fields,,,,Wing,,,8,2.425,2.5500000000000003,2.0,3,1.0,0.75,0.125,0.125,0.0,0.0,0.25,0.875,0.125,0.0,0.25,0.5,0.5714285714285714,0.5714285714285714,100.0,0.010613457864572276,1.0,0.125,0.0,0.14285714285714285,0.0,0.15278838808250572,0.0,0.9167303284950343,0.30557677616501144,Very Good,4,Poor,1,Below Average,2,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2714,7,Division II,mottcommunitycollege,Reggie Bagley,,,,Wing,,,12,2.375,2.45,2.0,3,7.583333333333333,4.5,0.9166666666666666,0.9166666666666666,0.4166666666666667,0.5833333333333334,1.9166666666666667,7.5,3.3333333333333335,1.25,0.75,3.75,0.4710144927536232,0.46111111111111114,84.57249070631971,0.0981178873650423,1.0,0.10223048327137547,0.375,0.4444444444444444,0.16666666666666666,1.1375387797311272,1.2409513960703207,5.584281282316443,2.378490175801448,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3217,8,Division II,mottcommunitycollege,Caden Neves,,,,Wing,,,14,2.24,1.5500000000000003,2.9000000000000004,3,6.785714285714286,5.357142857142857,0.8571428571428571,2.0714285714285716,1.0,0.8571428571428571,2.0714285714285716,6.785714285714286,1.5714285714285714,1.6428571428571428,1.3571428571428572,4.0,0.4518645357686453,0.4,70.83209066507605,0.10691964285714285,0.41379310344827586,0.21622427676707426,0.18181818181818182,0.23157894736842105,0.24210526315789474,2.616147947677041,2.345511953089761,6.7658998646820026,2.616147947677041,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
3487,9,Division II,mottcommunitycollege,RJ Murphy,,,,Wing,,,12,2.175,2.05,2.0,3,5.333333333333333,2.3333333333333335,1.1666666666666667,1.5833333333333333,1.0,0.08333333333333333,1.25,4.083333333333333,1.1666666666666667,2.0833333333333335,0.9166666666666666,1.4166666666666667,0.5333333333333333,0.5102040816326531,81.0126582278481,0.07203822585351619,0.7368421052631579,0.24050632911392406,0.42857142857142855,0.2857142857142857,0.5102040816326531,1.9648397104446742,1.344364012409514,2.8955532574974145,1.5511892450879008,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3767,10,Division II,mottcommunitycollege,Tray Buford,,,,Wing,,,16,2.0999999999999996,1.9,2.0,3,8.125,3.1875,2.125,2.25,0.875,0.0,1.3125,6.8125,2.25,2.125,0.75,2.4375,0.5243626976444014,0.4724770642201835,81.27031757939484,0.11315469284966471,0.9444444444444444,0.2250562640660165,0.3055555555555556,0.3302752293577982,0.3119266055045872,2.865101472343812,1.1142061281337048,4.058893752487068,1.6713091922005572,Below Average,2,Poor,1,Poor,1,Below Average,2,Poor,1,Below Average,2,Average,3,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
