MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
438,1,Division II,neoshocountycommunitycollege,Cooper Weeks,,,,Wing,,,15,3.3049999999999997,4.1,2.3,3,13.066666666666666,6.066666666666666,1.2666666666666666,1.1333333333333333,0.6,0.3333333333333333,2.1333333333333333,8.8,1.8666666666666667,3.8666666666666667,2.2,3.8666666666666667,0.622143219908583,0.5984848484848485,112.30804492321796,0.12905229531471843,1.1176470588235294,0.09741003896401558,0.35714285714285715,0.21212121212121213,0.4393939393939394,1.4425116673737803,1.1879507848960542,7.721680101824353,2.7153160797624096,Elite,5,Below Average,2,Very Good,4,Average,3,Elite,5,Very Good,4,Average,3,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
1263,2,Division II,neoshocountycommunitycollege,Zachery Lewis,,,,Wing,,,11,2.8575,3.0999999999999996,2.45,3,10.181818181818182,3.272727272727273,3.4545454545454546,1.7272727272727273,0.9090909090909091,0.2727272727272727,1.7272727272727273,8.090909090909092,2.090909090909091,1.8181818181818181,0.7272727272727273,2.5454545454545454,0.5725971370143149,0.5337078651685393,95.89041095890411,0.11797979797979796,2.0,0.16267123287671234,0.391304347826087,0.25842696629213485,0.2247191011235955,2.2028985507246377,1.5072463768115942,4.173913043478261,2.2028985507246377,Very Good,4,Poor,1,Below Average,2,Elite,5,Average,3,Insufficient Volume,3,Average,3,Very Good,4,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1392,3,Division II,neoshocountycommunitycollege,Jayce Cooper,,,,Wing,,,16,2.8099999999999996,1.85,4.1,3,8.4375,6.5625,3.1875,2.4375,2.5625,0.0625,1.75,8.6875,2.4375,2.5625,1.8125,4.75,0.4298267957208355,0.381294964028777,68.86349724546011,0.1376994830298944,1.3076923076923077,0.19893899204244034,0.15384615384615385,0.2805755395683453,0.2949640287769784,3.1325301204819276,3.3734939759036147,8.433734939759036,2.248995983935743,Poor,1,Below Average,2,Poor,1,Average,3,Below Average,2,Poor,1,Average,3,Very Good,4,Very Good,4,Poor,1,Elite,5,Below Average,2,Elite,5,Very Good,4,Unknown
1739,4,Division II,neoshocountycommunitycollege,Eriq Caraballo,,,,Wing,,,17,2.675,3.0500000000000003,2.0,3,10.117647058823529,2.9411764705882355,1.0,1.2941176470588236,0.7058823529411765,0.058823529411764705,1.0,7.882352941176471,6.470588235294118,1.7647058823529411,0.35294117647058826,2.588235294117647,0.5842391304347827,0.5634328358208955,101.6548463356974,0.1109682835331462,0.7727272727272727,0.13002364066193856,0.35454545454545455,0.8208955223880597,0.22388059701492538,1.6541353383458646,0.9774436090225563,3.7593984962406015,1.2781954887218046,Very Good,4,Poor,1,Below Average,2,Poor,1,Very Good,4,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2140,5,Division II,neoshocountycommunitycollege,Adyn Prophete,,,,Wing,,,15,2.535,2.3500000000000005,2.5999999999999996,3,12.066666666666666,8.066666666666666,0.9333333333333333,1.9333333333333333,0.9333333333333333,0.06666666666666667,2.066666666666667,9.533333333333333,0.8666666666666667,5.133333333333334,2.7333333333333334,5.333333333333333,0.5116463138851198,0.44405594405594406,87.9152904604624,0.15224207288215807,0.4827586206896552,0.14085875267145911,0.23076923076923078,0.09090909090909091,0.5384615384615384,2.460755197284684,1.2728044123886295,10.267288926601612,2.6304624522698346,Below Average,2,Average,3,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Poor,1,Poor,1,Average,3,Elite,5,Elite,5,Unknown
2465,6,Division II,neoshocountycommunitycollege,Deondrey Akono,,,,Wing,,,8,2.4499999999999997,2.5999999999999996,2.0,3,3.625,2.5,0.375,0.875,0.25,0.0,0.5,2.375,0.25,0.875,1.0,1.5,0.6567028985507247,0.6578947368421053,99.72489683631362,0.03818879025056469,0.42857142857142855,0.24071526822558462,0.5,0.10526315789473684,0.3684210526315789,1.0408921933085502,0.29739776951672864,2.973977695167286,0.5947955390334573,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2544,7,Division II,neoshocountycommunitycollege,Raziel Taylor,,,,Wing,,,17,2.425,2.55,2.0,3,8.058823529411764,2.8823529411764706,4.352941176470588,1.6470588235294117,1.0,0.0,1.7058823529411764,6.352941176470588,2.176470588235294,1.9411764705882353,0.7058823529411765,2.176470588235294,0.5590923930786811,0.5231481481481481,91.01780494286474,0.0987171751619927,2.642857142857143,0.18602179112410314,0.2972972972972973,0.3425925925925926,0.3055555555555556,2.1052631578947367,1.2781954887218046,3.6842105263157894,2.180451127819549,Average,3,Poor,1,Poor,1,Elite,5,Below Average,2,Below Average,2,Average,3,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3118,8,Division II,neoshocountycommunitycollege,Champ Powaukee,,,,Wing,,,17,2.2625,2.4000000000000004,1.75,3,13.058823529411764,4.235294117647059,1.5294117647058822,2.3529411764705883,0.7058823529411765,0.35294117647058826,2.4705882352941178,11.294117647058824,6.647058823529412,2.411764705882353,1.1176470588235294,3.1176470588235294,0.5284707674728624,0.5026041666666666,88.78579427291633,0.16398646344342716,0.65,0.15997440409534475,0.34513274336283184,0.5885416666666666,0.21354166666666666,3.007518796992481,1.3533834586466165,5.413533834586466,3.1578947368421053,Below Average,2,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Unknown
3853,9,Division II,neoshocountycommunitycollege,Reid Duff,,,,Wing,,,11,2.075,1.85,2.0,3,2.0,1.9090909090909092,0.45454545454545453,0.6363636363636364,0.36363636363636365,0.09090909090909091,1.0909090909090908,2.8181818181818183,1.4545454545454546,0.8181818181818182,0.6363636363636364,1.2727272727272727,0.3146453089244851,0.2903225806451613,52.430886558627265,0.04220139196202277,0.7142857142857143,0.16682554814108674,0.125,0.5161290322580645,0.2903225806451613,0.8064516129032258,0.576036866359447,2.4193548387096775,1.3824884792626728,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3903,10,Division II,neoshocountycommunitycollege,Ilan Da Silva-Alp,,,,Wing,,,9,2.05,1.8000000000000003,2.0,3,1.5555555555555556,0.5555555555555556,0.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,1.4444444444444444,1.4444444444444444,0.2222222222222222,0.0,0.5555555555555556,0.5043227665706052,0.46153846153846156,82.93838862559241,0.020656909295609184,0.0,0.1777251184834123,0.3076923076923077,1.0,0.15384615384615385,0.4172461752433936,0.27816411682892905,0.6954102920723226,0.4172461752433936,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
