MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
2597,1,Division II,northcentralmichigan,Ryan Ehlert,,,,Wing,,,12,2.4074999999999998,2.2,2.45,3,11.666666666666666,2.5833333333333335,1.5833333333333333,2.1666666666666665,1.0,0.25,1.8333333333333333,9.916666666666666,6.5,2.75,0.6666666666666666,1.9166666666666667,0.5242660275614139,0.47058823529411764,87.76328986960883,0.14390877598152427,0.7307692307692307,0.1629889669007021,0.28205128205128205,0.6554621848739496,0.2773109243697479,2.6013006503251628,1.5007503751875937,3.1015507753876936,2.2011005502751377,Below Average,2,Below Average,2,Poor,1,Poor,1,Average,3,Below Average,2,Elite,5,Elite,5,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
3061,2,Division II,northcentralmichigan,Gavin Goetz,,,,Wing,,,11,2.28,2.05,2.3,3,8.727272727272727,5.909090909090909,1.6363636363636365,3.3636363636363638,0.45454545454545453,0.5454545454545454,2.1818181818181817,7.818181818181818,3.5454545454545454,1.6363636363636365,1.2727272727272727,4.636363636363637,0.5110732538330494,0.5232558139534884,73.32722273143904,0.12866071779551086,0.4864864864864865,0.28261533761075464,0.41025641025641024,0.45348837209302323,0.20930232558139536,4.050355774493705,1.20415982484948,7.115489874110564,2.6272577996715927,Below Average,2,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Below Average,2,Elite,5,Average,3,Unknown
3132,3,Division II,northcentralmichigan,Rylan Matelski,,,,Wing,,,14,2.2575000000000003,1.9,2.45,3,10.357142857142858,3.4285714285714284,0.5714285714285714,1.7857142857142858,1.1428571428571428,0.21428571428571427,1.1428571428571428,9.428571428571429,2.5714285714285716,3.2857142857142856,2.0,1.4285714285714286,0.4762217551234892,0.4318181818181818,81.80997517490408,0.13758305905731852,0.32,0.1410516813360415,0.2222222222222222,0.2727272727272727,0.3484848484848485,2.1514629948364887,1.6351118760757315,4.130808950086059,1.3769363166953528,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3236,4,Division II,northcentralmichigan,Thomas Conzelmann,,,,Wing,,,6,2.23,1.9500000000000002,2.3,3,9.5,6.5,1.3333333333333333,2.6666666666666665,0.6666666666666666,0.0,1.1666666666666667,9.166666666666666,0.5,4.0,0.8333333333333334,5.666666666666667,0.4347162904209884,0.43636363636363634,69.88719960765081,0.1554945473957142,0.5,0.196174595389897,0.0,0.05454545454545454,0.43636363636363634,3.37909186906019,0.8447729672650475,8.236536430834214,1.478352692713833,Poor,1,Average,3,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Below Average,2,Elite,5,Very Good,4,Unknown
3716,5,Division II,northcentralmichigan,Jack Clancy,,,,Wing,,,11,2.1,1.9000000000000004,2.0,3,3.0,1.1818181818181819,0.45454545454545453,0.8181818181818182,0.5454545454545454,0.09090909090909091,1.2727272727272727,2.5454545454545454,2.0,0.18181818181818182,0.45454545454545453,0.7272727272727273,0.5713296398891967,0.5892857142857143,87.11721224920804,0.03662309536700441,0.5555555555555556,0.23759239704329466,0.4090909090909091,0.7857142857142857,0.07142857142857142,0.9651474530831099,0.7506702412868632,1.3941018766756033,1.5013404825737264,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3784,6,Division II,northcentralmichigan,Camari Keller,,,,Wing,,,11,2.0999999999999996,1.9,2.0,3,5.090909090909091,5.181818181818182,0.36363636363636365,1.1818181818181819,0.36363636363636365,0.18181818181818182,1.8181818181818181,5.454545454545454,0.45454545454545453,2.3636363636363638,1.7272727272727273,3.4545454545454546,0.3919372900335946,0.36666666666666664,66.31927996210327,0.08163817773996443,0.3076923076923077,0.15395547134059687,0.0,0.08333333333333333,0.43333333333333335,1.3941018766756033,0.6434316353887399,6.112600536193029,2.1447721179624666,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3992,7,Division II,northcentralmichigan,Ben Barringer,,,,Wing,,,14,2.0324999999999998,1.4500000000000002,2.45,3,0.7142857142857143,1.5714285714285714,2.5,3.642857142857143,1.2142857142857142,0.0,0.7857142857142857,1.9285714285714286,1.0714285714285714,0.35714285714285715,0.07142857142857142,1.5,0.17123287671232876,0.16666666666666666,12.468827930174562,0.06225548034527728,0.6862745098039216,0.6359102244389028,0.06666666666666667,0.5555555555555556,0.18518518518518517,4.388984509466437,1.4629948364888123,1.8932874354561102,0.9466437177280551,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
4296,8,Division II,northcentralmichigan,Cameron Ivey,,,,Wing,,,11,1.925,1.5500000000000003,2.0,3,3.3636363636363638,1.0909090909090908,1.2727272727272727,2.909090909090909,0.7272727272727273,0.0,1.7272727272727273,3.272727272727273,1.2727272727272727,0.8181818181818182,0.2727272727272727,0.8181818181818182,0.46296296296296297,0.4166666666666667,51.417454141189545,0.0691231845077999,0.4375,0.44469149527515284,0.14285714285714285,0.3888888888888889,0.25,3.4390112842557765,0.8597528210639441,1.2896292315959161,2.0419129500268673,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Unknown
4456,9,Division II,northcentralmichigan,Kaiden Batholomew,,,,Wing,,,9,1.8499999999999999,1.4,2.0,3,5.777777777777778,2.3333333333333335,1.6666666666666667,3.111111111111111,0.4444444444444444,0.0,1.4444444444444444,6.444444444444445,2.7777777777777777,1.5555555555555556,0.3333333333333333,2.0,0.40523690773067333,0.3879310344827586,56.423611111111114,0.11000238720458344,0.5357142857142857,0.3038194444444445,0.2,0.43103448275862066,0.2413793103448276,3.728362183754993,0.5326231691078562,2.796271637816245,1.7310252996005326,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Unknown
4502,10,Division II,northcentralmichigan,Jordan Guenette,,,,Wing,,,11,1.8,1.3,2.0,3,4.181818181818182,2.272727272727273,2.090909090909091,1.9090909090909092,0.7272727272727273,0.0,1.4545454545454546,6.0,4.2727272727272725,0.18181818181818182,0.45454545454545453,1.8181818181818181,0.3438995215311005,0.3333333333333333,52.34410559854347,0.08457156055123567,1.0952380952380953,0.23896222121074193,0.2127659574468085,0.7121212121212122,0.030303030303030304,2.2483940042826553,0.8565310492505354,2.6766595289079227,1.7130620985010707,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
