MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
50,1,Division II,northcentralmissouricollege,Cole Johnson,,Class: Freshman,Position: Guard,Guard,,,8,3.380000000000001,4.2,2.2,3,1.125,0.125,0.25,0.0,0.125,0.0,0.125,0.875,0.5,0.0,0.125,0.0,0.6428571428571429,0.6428571428571429,128.57142857142858,0.010096348006692436,99.0,0.0,0.25,0.5714285714285714,0.0,0.0,0.16474464579901152,0.16474464579901152,0.16474464579901152,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
60,2,Division II,northcentralmissouricollege,Deng Gak,,Class: Sophomore,Position: Forward,Wing,,,15,3.2725,2.95,3.85,3,12.8,9.533333333333333,1.6,1.6666666666666667,1.3333333333333333,0.6,2.3333333333333335,9.333333333333334,1.8666666666666667,3.8666666666666667,2.066666666666667,7.466666666666667,0.5799903334944417,0.5392857142857143,100.77682133109384,0.14843092648571163,0.96,0.13121981944152844,0.25,0.2,0.4142857142857143,2.206531332744925,2.5595763459841128,12.62135922330097,3.089143865842895,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Poor,1,Average,3,Average,3,Elite,5,Very Good,4,Average,3,Elite,5,Very Good,4,Elite,5,Unknown
87,3,Division II,northcentralmissouricollege,James Porter III,,Class: Sophomore,Position: Forward,Wing,,,15,3.12,3.4499999999999997,2.7,3,13.6,9.6,0.9333333333333333,1.9333333333333333,0.7333333333333333,0.06666666666666667,2.8666666666666667,8.933333333333334,0.9333333333333333,3.7333333333333334,3.4,6.2,0.6429652042360061,0.6007462686567164,108.71882327861864,0.14618716694194273,0.4827586206896552,0.1545512683862716,0.35714285714285715,0.1044776119402985,0.417910447761194,2.5595763459841128,1.059135039717564,12.709620476610768,3.795233892321271,Elite,5,Below Average,2,Very Good,4,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Poor,1,Elite,5,Average,3,Elite,5,Unknown
93,4,Division II,northcentralmissouricollege,Camden Bennett,,Class: RS-Sophomore,Position: Guard,Guard,,,15,3.1000000000000005,3.5,2.5,3,24.133333333333333,5.466666666666667,2.0,2.466666666666667,0.6666666666666666,0.06666666666666667,1.0,16.6,5.133333333333334,8.6,2.4,3.066666666666667,0.5919675562532706,0.5020080321285141,105.61325708950869,0.267038549035495,0.8108108108108109,0.10794725172132104,0.36363636363636365,0.3092369477911647,0.5180722891566265,3.265666372462489,0.970873786407767,7.237422771403354,1.323918799646955,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Average,3,Poor,1,Average,3,Elite,5,Very Good,4,Unknown
148,5,Division II,northcentralmissouricollege,Dillon Willis,,Class: Freshman,Position: Forward,Wing,,,7,2.75,3.2,2.0,3,2.7142857142857144,1.0,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.2857142857142857,1.4285714285714286,0.0,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.8078231292517007,0.9,128.72628726287263,0.023953261927945474,0.6666666666666666,0.2032520325203252,,0.0,0.4,0.5571030640668524,0.18570102135561745,1.2999071494893222,0.3714020427112349,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
149,6,Division II,northcentralmissouricollege,Talan Holt,,Class: Sophomore,Position: Wing,Guard,,,14,2.7475000000000005,3.0500000000000003,2.2,3,5.0,2.2857142857142856,0.5714285714285714,0.5714285714285714,0.35714285714285715,0.14285714285714285,1.4285714285714286,3.7142857142857144,1.7142857142857142,1.1428571428571428,0.42857142857142855,1.8571428571428572,0.5928184281842819,0.5961538461538461,104.41527446300717,0.0565356721200877,1.0,0.11933174224343678,0.4166666666666667,0.46153846153846156,0.3076923076923077,0.7615421227986673,0.6663493574488338,3.046168491194669,1.9038553069966682,Very Good,4,Poor,1,Average,3,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
155,7,Division II,northcentralmissouricollege,Kalen Streit,,Class: Sophomore,Position: Guard,Guard,,,15,2.7200000000000006,3.0000000000000004,2.2,3,3.2,1.8666666666666667,2.066666666666667,0.6666666666666666,0.8666666666666667,0.0,1.3333333333333333,2.6,1.3333333333333333,0.4,0.26666666666666666,1.6,0.5763688760806917,0.5897435897435898,92.95120061967467,0.04023185515285612,3.1,0.19364833462432224,0.4,0.5128205128205128,0.15384615384615385,0.8826125330979699,1.147396293027361,2.471315092674316,1.7652250661959399,Very Good,4,Poor,1,Below Average,2,Elite,5,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
182,8,Division II,northcentralmissouricollege,Camden Brown,,Class: RS-Freshman,Position: Guard,Guard,,,15,2.5874999999999995,2.25,3.0,3,12.2,3.0,1.2666666666666666,1.8,1.5333333333333334,0.13333333333333333,2.2,10.2,2.2666666666666666,4.4,0.9333333333333333,2.066666666666667,0.502636783124588,0.4477124183006536,87.54305396096441,0.16285954688522547,0.7037037037037037,0.1291618828932262,0.38235294117647056,0.2222222222222222,0.43137254901960786,2.383053839364519,2.206531332744925,3.971756398940865,2.912621359223301,Below Average,2,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Average,3,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
183,9,Division II,northcentralmissouricollege,Jon Jon Neff,,Class: Sophomore,Position: Guard,Guard,,,12,2.5825000000000005,2.7500000000000004,2.2,3,2.0833333333333335,0.5,0.25,0.3333333333333333,0.16666666666666666,0.0,0.5,1.3333333333333333,1.0,0.75,0.0,0.5,0.62625250501002,0.5,104.3405676126878,0.023382909786469928,0.75,0.1669449081803005,0.3333333333333333,0.75,0.5625,0.439802089059923,0.2199010445299615,0.6597031335898845,0.6597031335898845,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
212,10,Division II,northcentralmissouricollege,Za'Corrie Kerr,,Class: Sophomore,Position: Wing,Guard,,,14,2.4175000000000004,2.45,2.2,3,3.642857142857143,2.5714285714285716,1.0,0.5714285714285714,0.2857142857142857,0.0,0.7142857142857143,2.9285714285714284,0.5714285714285714,1.1428571428571428,0.7142857142857143,1.8571428571428572,0.5308076602830974,0.4878048780487805,91.00642398286938,0.047259234272221284,1.75,0.14275517487508924,0.0,0.1951219512195122,0.3902439024390244,0.7615421227986673,0.38077106139933364,3.426939552594003,0.9519276534983341,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
