MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
309,1,Division II,northeastcommunitycollege,Johanes Piscikas,,,,Wing,,,16,3.415,3.9000000000000004,2.9000000000000004,3,17.0625,4.4375,1.5625,1.25,1.25,0.375,1.6875,13.375,5.625,2.25,1.25,3.1875,0.5938914027149321,0.572429906542056,109.26993275696445,0.16970981415063585,1.25,0.08005123278898495,0.36666666666666664,0.4205607476635514,0.16822429906542055,1.545595054095827,2.009273570324575,5.486862442040185,2.0865533230293662,Very Good,4,Average,3,Very Good,4,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
726,2,Division II,northeastcommunitycollege,Ryan Huston,,,,Wing,,,16,3.115,3.2999999999999994,2.9000000000000004,3,10.375,5.3125,2.75,1.75,1.8125,0.125,1.375,7.6875,2.5625,2.0625,2.125,3.1875,0.6035485747527632,0.5975609756097561,100.28999516674722,0.1124334311487882,1.5714285714285714,0.16916384726921216,0.36585365853658536,0.3333333333333333,0.2682926829268293,2.1638330757341575,2.3956723338485317,6.568778979907265,1.7001545595054095,Elite,5,Poor,1,Below Average,2,Very Good,4,Average,3,Very Good,4,Average,3,Very Good,4,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1123,3,Division II,northeastcommunitycollege,Sunny Singh,,,,Wing,,,16,2.9225000000000003,2.6,3.35,3,12.5625,2.25,3.0625,2.375,2.4375,0.0,1.6875,11.125,5.1875,3.125,0.4375,1.8125,0.5025,0.4550561797752809,84.45378151260505,0.16166721008586027,1.2894736842105263,0.15966386554621848,0.3373493975903614,0.46629213483146065,0.2808988764044944,2.936630602782071,3.0139103554868623,2.7820710973724885,2.0865533230293662,Below Average,2,Average,3,Poor,1,Average,3,Average,3,Average,3,Elite,5,Elite,5,Very Good,4,Below Average,2,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
1372,4,Division II,northeastcommunitycollege,Scottie Johnson,,,,Wing,,,14,2.8200000000000003,2.5,3.2,3,13.5,6.785714285714286,1.2142857142857142,1.9285714285714286,0.7857142857142857,0.8571428571428571,1.7142857142857142,10.285714285714286,1.2142857142857142,6.142857142857143,2.357142857142857,4.428571428571429,0.519687637483502,0.4861111111111111,90.49990423290558,0.16281535534973648,0.6296296296296297,0.1292855774755794,0.23529411764705882,0.11805555555555555,0.5972222222222222,2.3978685612788633,2.0426287744227354,8.436944937833037,2.1314387211367674,Below Average,2,Average,3,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Below Average,2,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
1732,5,Division II,northeastcommunitycollege,Lochie Harvey,,,,Wing,,,15,2.6799999999999997,2.1500000000000004,3.3,3,9.266666666666667,3.8666666666666667,2.7333333333333334,2.2666666666666666,2.6666666666666665,0.06666666666666667,3.0,7.466666666666667,1.4666666666666666,3.1333333333333333,1.5333333333333334,2.3333333333333335,0.5238167018390111,0.45089285714285715,83.3933285337173,0.12090877437325909,1.2058823529411764,0.20398368130549555,0.22727272727272727,0.19642857142857142,0.41964285714285715,2.797202797202797,3.3730974907445495,4.771698889345948,3.7021801727684083,Below Average,2,Below Average,2,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Elite,5,Poor,1,Average,3,Very Good,4,Unknown
1812,6,Division II,northeastcommunitycollege,Rhett Kloth,,,,Wing,,,8,2.6500000000000004,3.0,2.0,3,3.375,1.875,0.375,0.75,0.0,0.5,2.0,1.75,0.0,1.125,0.625,1.25,0.7516703786191536,0.7142857142857143,112.68781302170284,0.030817512990687863,0.5,0.25041736227045075,,0.0,0.6428571428571429,0.881704628949302,0.5878030859662013,2.204261572373255,2.3512123438648054,Elite,5,Poor,1,Very Good,4,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2367,7,Division II,northeastcommunitycollege,Lincoln Schwarz,,,,Wing,,,9,2.4750000000000005,2.6500000000000004,2.0,3,3.5555555555555554,2.888888888888889,1.8888888888888888,0.5555555555555556,0.8888888888888888,0.1111111111111111,1.2222222222222223,2.888888888888889,0.3333333333333333,1.4444444444444444,1.3333333333333333,1.5555555555555556,0.5044136191677175,0.46153846153846156,87.14596949891067,0.042895191813466654,3.4,0.13616557734204793,0.0,0.11538461538461539,0.5,0.6622516556291391,1.1920529801324504,3.443708609271523,1.4569536423841059,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2460,8,Division II,northeastcommunitycollege,EJ Monteagudo,,,,Wing,,,11,2.4499999999999997,2.5999999999999996,2.0,3,2.6363636363636362,1.8181818181818181,0.5454545454545454,0.18181818181818182,0.8181818181818182,0.0,1.1818181818181819,2.1818181818181817,0.7272727272727273,1.2727272727272727,1.0,0.8181818181818182,0.4807692307692308,0.4166666666666667,90.17412935323384,0.031104921077065917,3.0,0.06218905472636817,0.25,0.3333333333333333,0.5833333333333334,0.22099447513812154,0.994475138121547,2.2099447513812156,1.4364640883977902,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2609,9,Division II,northeastcommunitycollege,Marcus Coombs,,,,Wing,,,12,2.4025,2.05,2.6500000000000004,3,9.75,4.25,1.0,2.0,0.9166666666666666,0.9166666666666666,2.5833333333333335,8.666666666666666,1.4166666666666667,2.9166666666666665,1.75,2.5,0.48994974874371855,0.46634615384615385,81.58995815899581,0.12718177948063003,0.5,0.16736401673640167,0.4117647058823529,0.16346153846153846,0.33653846153846156,2.440264361972547,2.236908998474835,5.185561769191662,3.15200813421454,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
3526,10,Division II,northeastcommunitycollege,Jack Kloth,,,,Wing,,,10,2.1574999999999998,1.7,2.45,3,1.8,3.2,0.5,0.6,0.1,1.2,1.0,1.5,0.2,1.0,0.4,2.8,0.4639175257731959,0.4,70.86614173228347,0.02715996578272027,0.8333333333333334,0.2362204724409449,0.0,0.13333333333333333,0.6666666666666666,0.7407407407407407,1.6049382716049383,3.950617283950617,1.2345679012345678,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3564,11,Division II,northeastcommunitycollege,Camden Green,,,,Wing,,,12,2.15,2.0,2.0,3,3.0,2.0833333333333335,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.0,1.1666666666666667,2.8333333333333335,0.75,1.0,0.5833333333333334,1.5,0.45824847250509165,0.4411764705882353,76.14213197969544,0.04193273733503618,1.0,0.1692047377326565,0.0,0.2647058823529412,0.35294117647058826,0.813421453990849,0.7117437722419929,2.541942043721403,1.4234875444839858,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4520,12,Division II,northeastcommunitycollege,Jonasz Piskorski,,,,Wing,,,11,1.7750000000000001,1.2500000000000002,2.0,3,1.1818181818181819,1.3636363636363635,0.36363636363636365,0.7272727272727273,0.36363636363636365,0.0,0.8181818181818182,1.8181818181818181,1.4545454545454546,0.0,0.7272727272727273,0.6363636363636364,0.325,0.325,46.42857142857143,0.027307482250136534,0.5,0.2857142857142857,0.1875,0.8,0.0,0.8888888888888888,0.4444444444444444,1.6666666666666667,1.0,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
