MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
117,1,Division II,oaktoncommunitycollege,Aidin Custovic,,,,Wing,,,12,3.67,3.15,4.7,3,15.416666666666666,8.416666666666666,2.5833333333333335,2.6666666666666665,2.0,0.6666666666666666,1.9166666666666667,11.0,2.3333333333333335,2.5,2.0833333333333335,6.333333333333333,0.6370523415977962,0.6287878787878788,104.4018058690745,0.16972529788130727,0.96875,0.18058690744920994,0.2857142857142857,0.21212121212121213,0.22727272727272727,3.37909186906019,3.37909186906019,10.665258711721226,2.4287222808870115,Elite,5,Average,3,Average,3,Below Average,2,Below Average,2,Below Average,2,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Unknown
1118,2,Division II,oaktoncommunitycollege,Derryl Gaddi,,,,Wing,,,13,2.8525,2.95,2.6500000000000004,3,16.846153846153847,1.5384615384615385,4.769230769230769,3.230769230769231,1.3846153846153846,0.23076923076923078,2.6153846153846154,13.153846153846153,6.153846153846154,5.230769230769231,0.15384615384615385,1.3846153846153846,0.5449930320525582,0.4678362573099415,90.15313683517206,0.2205156136528686,1.4761904761904763,0.17289642680717932,0.35,0.4678362573099415,0.39766081871345027,4.129793510324483,2.0648967551622417,1.966568338249754,3.343166175024582,Average,3,Very Good,4,Poor,1,Average,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Very Good,4,Average,3,Unknown
1342,3,Division II,oaktoncommunitycollege,Justin O'Neal,,,,Wing,,,15,2.7625,1.6500000000000001,4.25,3,6.266666666666667,8.733333333333333,1.5333333333333334,2.2,1.3333333333333333,0.7333333333333333,1.6666666666666667,5.733333333333333,1.3333333333333333,2.6,2.7333333333333334,6.0,0.4556029468786351,0.436046511627907,69.03642773207991,0.10598088358915284,0.696969696969697,0.24236192714453583,0.25,0.23255813953488372,0.45348837209302323,2.8193079880392995,2.648440837249039,11.191798376762067,2.135839384878257,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Very Good,4,Very Good,4,Elite,5,Very Good,4,Unknown
1384,4,Division II,oaktoncommunitycollege,Derrick David,,,,Wing,,,6,2.75,3.2,2.0,3,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.8503401360544218,0.8,126.90355329949239,0.015123598955934287,0.0,0.25380710659898476,0.5,0.8,0.4,0.4162330905306972,0.0,0.4162330905306972,0.4162330905306972,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1397,5,Division II,oaktoncommunitycollege,Jason Lee,,,,Wing,,,14,2.7474999999999996,2.95,2.3499999999999996,3,9.857142857142858,7.928571428571429,1.1428571428571428,1.6428571428571428,0.14285714285714285,0.7142857142857143,2.5,5.928571428571429,0.0,3.9285714285714284,1.7142857142857142,6.214285714285714,0.6436567164179104,0.5903614457831325,105.99078341013826,0.10875375877046442,0.6956521739130435,0.17665130568356377,,0.0,0.6626506024096386,2.1052631578947367,1.0983981693363845,10.160183066361556,3.203661327231121,Elite,5,Poor,1,Average,3,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Average,3,Very Good,4,Elite,5,Unknown
2471,6,Division II,oaktoncommunitycollege,Mike Massey,,,,Wing,,,13,2.35,2.4000000000000004,2.0,3,12.307692307692308,1.3076923076923077,1.9230769230769231,2.6923076923076925,0.9230769230769231,0.07692307692307693,1.6923076923076923,12.384615384615385,5.6923076923076925,4.538461538461538,0.23076923076923078,1.0769230769230769,0.4278990158322636,0.391304347826087,72.08506037123806,0.1978182595985883,0.7142857142857143,0.15768606956208325,0.32432432432432434,0.45962732919254656,0.36645962732919257,3.4296913277804997,1.2738853503184713,1.6658500734933857,2.1558059774620286,Poor,1,Very Good,4,Poor,1,Poor,1,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Unknown
3493,7,Division II,oaktoncommunitycollege,Glenn Howell,,,,Wing,,,7,2.075,1.85,2.0,3,7.285714285714286,1.7142857142857142,1.0,2.5714285714285716,0.14285714285714285,0.0,1.8571428571428572,5.857142857142857,1.0,2.7142857142857144,0.14285714285714285,1.5714285714285714,0.516612641815235,0.45121951219512196,75.7125890736342,0.11119181247936613,0.3888888888888889,0.2672209026128266,0.42857142857142855,0.17073170731707318,0.4634146341463415,3.1746031746031744,0.1763668430335097,2.1164021164021163,2.292768959435626,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3558,8,Division II,oaktoncommunitycollege,Mike Giglia,,,,Wing,,,12,2.05,1.8,2.0,3,2.0833333333333335,0.75,0.16666666666666666,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.5,2.1666666666666665,0.9166666666666666,0.6666666666666666,0.16666666666666666,0.5833333333333334,0.4234417344173442,0.4423076923076923,68.45564074479738,0.03537936913895993,0.2857142857142857,0.19167579408543267,0.45454545454545453,0.4230769230769231,0.3076923076923077,0.74034902168165,0.21152829190904285,0.9518773135906927,0.6345848757271285,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3690,9,Division II,oaktoncommunitycollege,Bryce Tillis,,,,Wing,,,11,2.0,1.7000000000000002,2.0,3,3.4545454545454546,2.1818181818181817,0.18181818181818182,1.2727272727272727,0.5454545454545454,0.18181818181818182,1.5454545454545454,3.0,0.09090909090909091,0.7272727272727273,0.36363636363636365,1.8181818181818181,0.52026286966046,0.5151515151515151,75.21773555027711,0.053824845514596216,0.14285714285714285,0.2771179730799683,0.0,0.030303030303030304,0.24242424242424243,1.63075131042516,0.9318578916715201,2.7955736750145603,1.9801980198019802,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3808,10,Division II,oaktoncommunitycollege,Nikoli Hozian,,,,Wing,,,13,1.95,1.6,2.0,3,2.6923076923076925,2.1538461538461537,0.38461538461538464,1.0769230769230769,0.15384615384615385,0.7692307692307693,2.0,2.3076923076923075,0.0,1.2307692307692308,0.6923076923076923,1.4615384615384615,0.47246220302375813,0.5333333333333333,68.57366771159874,0.04600685054984676,0.35714285714285715,0.274294670846395,,0.0,0.5333333333333333,1.3745704467353952,1.1782032400589102,2.7491408934707904,2.552773686794305,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4102,11,Division II,oaktoncommunitycollege,Evan Ortiz,,,,Wing,,,15,1.8,1.3,2.0,3,3.0,2.3333333333333335,1.6,1.6666666666666667,0.4,0.0,1.2,4.333333333333333,2.066666666666667,0.6,0.4666666666666667,1.8666666666666667,0.3262761020881671,0.3076923076923077,47.89272030651341,0.07313428188922444,0.96,0.266070668369519,0.1935483870967742,0.47692307692307695,0.13846153846153847,2.135839384878257,0.5126014523707817,2.99017513882956,1.5378043571123452,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
