MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
215,1,Division II,phillipscommunitycollegeua,Trenton Ford,,,,Wing,,,16,3.54,4.15,2.9000000000000004,3,12.8125,4.3125,3.1875,1.4375,1.5,0.25,1.75,8.9375,5.3125,3.9375,0.6875,3.625,0.600398313027179,0.5699300699300699,105.82283708445179,0.1374680669883622,2.217391304347826,0.11872806111914103,0.4117647058823529,0.5944055944055944,0.4405594405594406,1.8459069020866774,2.247191011235955,5.537720706260032,2.247191011235955,Elite,5,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
698,2,Division II,phillipscommunitycollegeua,Jaiden Brunson,,,,Wing,,,16,3.13,3.7500000000000004,2.3,3,12.9375,5.875,1.625,1.5,0.4375,0.125,2.1875,9.75,5.1875,1.3125,2.375,3.5,0.6263616557734204,0.6282051282051282,109.38490805326569,0.13428895827419812,1.0833333333333333,0.12682308180088775,0.4819277108433735,0.532051282051282,0.1346153846153846,1.926163723916533,0.7223113964686998,7.544141252006421,2.808988764044944,Elite,5,Below Average,2,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
1478,3,Division II,phillipscommunitycollegeua,Jeremiah Aaron,,,,Wing,,,12,2.7750000000000004,3.25,2.0,3,10.5,3.3333333333333335,0.6666666666666666,1.1666666666666667,0.5833333333333334,0.4166666666666667,1.6666666666666667,8.166666666666666,2.5,2.1666666666666665,1.1666666666666667,2.1666666666666665,0.5756578947368421,0.5561224489795918,102.07388204795852,0.11613728737016407,0.5714285714285714,0.11341542449773169,0.43333333333333335,0.30612244897959184,0.2653061224489796,1.4846235418875928,1.2725344644750796,4.241781548250265,2.1208907741251326,Very Good,4,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Average,3,Very Good,4,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2007,4,Division II,phillipscommunitycollegeua,Deshaun Russell,,,,Wing,,,16,2.58,1.6,3.8,3,8.3125,3.0625,3.5625,1.8125,2.875,0.0,1.6875,8.1875,1.5625,1.125,0.875,2.1875,0.4786927728188886,0.4732824427480916,79.20438303954265,0.1191598069826852,1.9655172413793103,0.1727012863268223,0.24,0.19083969465648856,0.13740458015267176,2.3274478330658104,3.691813804173355,3.932584269662921,2.1669341894060996,Poor,1,Poor,1,Poor,1,Very Good,4,Below Average,2,Poor,1,Below Average,2,Average,3,Below Average,2,Below Average,2,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
2611,5,Division II,phillipscommunitycollegeua,Damarea Jones-Evans,,,,Wing,,,16,2.4000000000000004,2.5000000000000004,2.0,3,9.0,3.625,1.5,1.25,0.6875,0.125,1.5625,7.3125,0.625,0.625,0.6875,2.9375,0.5930807248764415,0.594017094017094,101.83875530410184,0.10034061879080329,1.2,0.14144271570014144,0.5,0.08547008547008547,0.08547008547008547,1.6051364365971108,1.043338683788122,4.654895666131621,2.0064205457463884,Very Good,4,Poor,1,Below Average,2,Average,3,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3015,6,Division II,phillipscommunitycollegeua,Quntavier Jones,,,,Wing,,,9,2.3,2.3,2.0,3,3.7777777777777777,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.0,0.6666666666666666,3.4444444444444446,2.2222222222222223,1.0,0.5555555555555556,0.7777777777777778,0.4862700228832952,0.41935483870967744,89.56796628029504,0.04723978296580218,1.0,0.07903055848261327,0.3,0.6451612903225806,0.2903225806451613,0.422237860661506,0.28149190710767064,1.688951442646024,0.844475721323012,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3039,7,Division II,phillipscommunitycollegeua,Kaden Mckay,,,,Wing,,,9,2.2874999999999996,2.45,1.75,3,6.444444444444445,2.7777777777777777,0.3333333333333333,0.8888888888888888,0.6666666666666666,0.3333333333333333,2.4444444444444446,4.333333333333333,0.5555555555555556,3.6666666666666665,1.2222222222222223,1.5555555555555556,0.5418535127055307,0.46153846153846156,94.27828348504552,0.07658599741061647,0.375,0.13003901170351106,0.0,0.1282051282051282,0.8461538461538461,1.1157601115760112,1.2552301255230125,3.486750348675035,3.0683403068340307,Average,3,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
4049,8,Division II,phillipscommunitycollegeua,Jamarkus Robinson,,,,Wing,,,16,2.0125,1.9,1.75,3,4.375,4.75,0.625,1.0625,0.3125,0.5,2.5,4.5,0.4375,1.75,1.4375,3.3125,0.4150853889943074,0.3958333333333333,69.08803789972366,0.07189894975872835,0.5882352941176471,0.16778523489932887,0.14285714285714285,0.09722222222222222,0.3888888888888889,1.3643659711075442,1.043338683788122,6.099518459069021,3.2102728731942216,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
4056,9,Division II,phillipscommunitycollegeua,De'kylon Arnold,,,,Wing,,,10,2.0075000000000003,1.4000000000000001,2.45,3,4.1,1.2,1.4,1.6,1.2,0.0,0.8,5.5,2.8,1.0,0.4,0.8,0.3451178451178451,0.3181818181818182,54.37665782493368,0.08409922369947355,0.875,0.21220159151193632,0.25,0.509090909090909,0.18181818181818182,2.0278833967046896,1.520912547528517,1.520912547528517,1.0139416983523448,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
4078,10,Division II,phillipscommunitycollegeua,Mitchell Hicks,,,,Wing,,,10,2.0,1.7000000000000002,2.0,3,5.8,4.4,1.3,1.3,0.8,0.1,1.2,5.6,1.7,1.2,1.3,3.1,0.47323759791122716,0.44642857142857145,78.08292945611201,0.08189636163175304,1.0,0.17501346257404415,0.11764705882352941,0.30357142857142855,0.21428571428571427,1.6179215930304915,1.120099564405725,5.4760423148724335,1.4934660858742999,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
