MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
252,1,Division II,phoenixcollege,AJ Ajawin,,,,Wing,,,19,3.4825,2.95,4.45,3,15.736842105263158,8.421052631578947,4.368421052631579,3.5789473684210527,1.4210526315789473,1.4210526315789473,2.8947368421052633,11.421052631578947,3.9473684210526314,3.6842105263157894,1.5789473684210527,6.842105263157895,0.6033091202582728,0.6013824884792627,94.68017732742241,0.18991147888001542,1.2205882352941178,0.21532615579480682,0.3333333333333333,0.3456221198156682,0.3225806451612903,4.56989247311828,3.629032258064516,10.75268817204301,3.696236559139785,Elite,5,Average,3,Poor,1,Average,3,Poor,1,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Below Average,2,Unknown
1943,2,Division II,phoenixcollege,Damion Byrd II,,,,Wing,,,19,2.5999999999999996,2.9,2.0,3,15.578947368421053,2.8421052631578947,3.5789473684210527,2.9473684210526314,0.5789473684210527,0.0,1.0526315789473684,13.473684210526315,5.7894736842105265,3.0526315789473686,0.7894736842105263,2.0526315789473686,0.5257175333901677,0.484375,87.69850675515525,0.20355092391566557,1.2142857142857142,0.16591609386110454,0.38181818181818183,0.4296875,0.2265625,3.76217668794088,0.7389989922741015,3.627813234800134,1.3436345314074571,Below Average,2,Very Good,4,Poor,1,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Average,3,Unknown
2478,3,Division II,phoenixcollege,Trystan Williams,,,,Wing,,,17,2.4475,1.6500000000000001,3.35,3,7.117647058823529,4.823529411764706,1.0,1.7647058823529411,1.3529411764705883,0.8823529411764706,1.4705882352941178,6.470588235294118,2.823529411764706,1.411764705882353,1.1764705882352942,3.6470588235294117,0.5018248175182481,0.4863636363636364,80.36663124335813,0.10086015166537153,0.5666666666666667,0.19925611052072265,0.1875,0.43636363636363634,0.21818181818181817,2.2304832713754648,2.825278810408922,6.096654275092937,1.858736059479554,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Average,3,Elite,5,Average,3,Below Average,2,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
2589,4,Division II,phoenixcollege,Alijah Greer,,,,Wing,,,17,2.4074999999999998,2.2,2.45,3,8.764705882352942,2.1176470588235294,2.235294117647059,3.0,1.0588235294117647,0.11764705882352941,1.9411764705882353,7.470588235294118,4.0,2.4705882352941178,0.7058823529411765,1.411764705882353,0.5120978828704977,0.48031496062992124,75.83469055374593,0.1315091965409226,0.7450980392156863,0.2595684039087948,0.35294117647058826,0.5354330708661418,0.33070866141732286,3.8031319910514543,1.4914243102162565,2.684563758389262,2.460850111856823,Below Average,2,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
2694,5,Division II,phoenixcollege,Jamison Turner,,,,Wing,,,20,2.375,2.45,2.0,3,9.35,2.05,1.8,1.75,0.55,0.0,1.35,7.95,6.55,0.55,0.7,1.35,0.5706787109375,0.5691823899371069,94.04546368939852,0.1135891049516715,1.0285714285714285,0.176020921343794,0.3893129770992366,0.8238993710691824,0.06918238993710692,2.2307202039515617,0.7010834926704907,2.613129381771829,1.7208413001912046,Very Good,4,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3157,6,Division II,phoenixcollege,Marcel Ksiazek,,,,Wing,,,14,2.25,2.2,2.0,3,5.142857142857143,2.4285714285714284,0.6428571428571429,1.5714285714285714,0.35714285714285715,0.2857142857142857,2.357142857142857,3.857142857142857,0.5714285714285714,1.2142857142857142,1.2857142857142858,1.1428571428571428,0.5855562784645413,0.5925925925925926,86.24820316243411,0.0668438921273461,0.4090909090909091,0.2635361763296598,0.5,0.14814814814814814,0.3148148148148148,1.963409192324855,0.8032128514056225,3.034359660865685,2.9451137884872827,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3546,7,Division II,phoenixcollege,Varney Kamara,,,,Wing,,,14,2.15,2.0,2.0,3,3.7142857142857144,3.7857142857142856,1.3571428571428572,0.9285714285714286,0.42857142857142855,0.14285714285714285,1.3571428571428572,3.0,0.14285714285714285,1.2857142857142858,1.2857142857142858,2.5,0.5208333333333334,0.5,82.64462809917354,0.05100684198579721,1.4615384615384615,0.2066115702479339,0.0,0.047619047619047616,0.42857142857142855,1.1743450767841013,0.7226738934056007,4.787714543812105,1.7163504968383017,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3593,8,Division II,phoenixcollege,David Rodriguez,,,,Wing,,,8,2.15,2.0,2.0,3,4.0,2.875,1.125,1.5,0.125,0.25,1.875,3.25,0.0,1.0,0.875,2.0,0.5420054200542006,0.5384615384615384,77.07129094412332,0.05690789473684211,0.75,0.28901734104046245,,0.0,0.3076923076923077,1.8547140649149922,0.46367851622874806,3.554868624420402,2.3183925811437405,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4069,9,Division II,phoenixcollege,Masai Dean,,,,Wing,,,12,2.0,1.7000000000000002,2.0,3,1.0833333333333333,1.25,1.1666666666666667,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,2.25,0.3333333333333333,0.6666666666666666,0.16666666666666666,1.0833333333333333,0.2129750982961992,0.18518518518518517,32.08292201382034,0.037356639746284614,1.4,0.246791707798618,0.0,0.14814814814814814,0.2962962962962963,1.029336078229542,0.2058672156459084,1.5440041173443129,1.029336078229542,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4118,10,Division II,phoenixcollege,Eudy Lara-Castillo,,,,Wing,,,16,1.9749999999999999,1.6500000000000001,2.0,3,2.6875,3.0,0.375,0.8125,0.4375,0.4375,1.75,2.625,0.8125,1.0,0.875,2.125,0.43841761827079934,0.42857142857142855,69.31012250161186,0.04436498855835241,0.46153846153846156,0.20954223081882656,0.3076923076923077,0.30952380952380953,0.38095238095238093,1.045436268596703,1.1258544431041415,3.860072376357057,2.251708886208283,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4497,11,Division II,phoenixcollege,Shakur Davis,,,,Wing,,,14,1.8,1.3,2.0,3,4.428571428571429,3.2142857142857144,0.42857142857142855,1.7142857142857142,0.42857142857142855,0.2857142857142857,2.0,5.071428571428571,2.7857142857142856,0.8571428571428571,1.0714285714285714,2.142857142857143,0.4063974829575249,0.3732394366197183,61.82688472277623,0.08129316774214469,0.25,0.23932987634623054,0.1794871794871795,0.5492957746478874,0.16901408450704225,2.168021680216802,0.9033423667570009,4.065040650406504,2.5293586269196027,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
