MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
4,1,Division II,pimacommunitycollege,Mason Hunt,22,Sophomore,Forward,Wing,6'7,,9,4.279999999999999,4.7,3.8,4,21.444444444444443,4.222222222222222,2.7777777777777777,1.3333333333333333,2.7777777777777777,0.8888888888888888,1.0,14.222222222222221,5.555555555555555,3.7777777777777777,1.1111111111111112,3.111111111111111,0.6750139899272524,0.66015625,124.54827052142488,0.17482738390721606,2.0833333333333335,0.07743933918430562,0.46,0.390625,0.265625,1.518987341772152,4.177215189873418,4.810126582278481,1.139240506329114,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Very Good
16,2,Division II,pimacommunitycollege,Isaiah Hill,2,Freshman,Guard,Guard,6'0,,11,4.15,4.2,4.4,3,15.272727272727273,4.0,8.454545454545455,2.0,5.636363636363637,0.0,1.4545454545454546,9.090909090909092,3.272727272727273,1.7272727272727273,0.5454545454545454,3.4545454545454546,0.7751937984496124,0.78,128.87388769561213,0.11783635246049826,4.2272727272727275,0.1687634243633016,0.6111111111111112,0.36,0.19,2.2715539494062984,6.401652039235932,4.543107898812597,1.6520392359318534,Elite,5,Poor,1,Elite,5,Elite,5,Average,3,Elite,5,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Average
20,3,Division II,pimacommunitycollege,Gerron Graham,1,Freshman,Guard,Guard,6'2,,11,4.1125,3.9499999999999997,4.4,4,9.181818181818182,3.272727272727273,5.7272727272727275,1.0909090909090908,3.0,0.36363636363636365,1.4545454545454546,4.909090909090909,2.090909090909091,1.8181818181818181,0.8181818181818182,2.4545454545454546,0.804140127388535,0.8055555555555556,135.02673796791444,0.0676139856094298,5.25,0.16042780748663102,0.4782608695652174,0.42592592592592593,0.37037037037037035,1.23902942694889,3.820340733092411,3.7170882808466703,1.6520392359318534,Elite,5,Poor,1,Elite,5,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Very Good
24,4,Division II,pimacommunitycollege,Isaac Johnson,11,Sophomore,Guard/Forward,Wing,6'7,,11,4.084999999999999,4.1,4.1,4,20.181818181818183,6.454545454545454,1.9090909090909092,1.4545454545454546,2.4545454545454546,1.5454545454545454,0.8181818181818182,11.636363636363637,0.7272727272727273,3.909090909090909,1.6363636363636365,4.818181818181818,0.7555132044650149,0.78125,136.26319666093787,0.14726832266695594,1.3125,0.09820770930518044,0.5,0.0625,0.3359375,1.6520392359318534,4.543107898812597,7.330924109447599,0.9292720702116676,Elite,5,Below Average,2,Elite,5,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Very Good
46,5,Division II,pimacommunitycollege,Taevean Famutimi-Brown,0,Sophomore,Guard,Guard,6'3,,10,3.9199999999999995,3.9499999999999997,3.85,4,10.5,3.5,3.9,1.4,2.5,0.3,0.7,5.6,1.5,2.5,0.8,2.7,0.7835820895522388,0.7678571428571429,129.62962962962962,0.0785248953001396,2.7857142857142856,0.1728395061728395,0.4,0.26785714285714285,0.44642857142857145,1.5538290788013318,3.1076581576026636,3.8845726970033296,0.7769145394006659,Elite,5,Poor,1,Elite,5,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Very Good
50,6,Division II,pimacommunitycollege,Brock Mendoza,21,Sophomore,Center,Big,6'11,,11,3.8725000000000005,4.050000000000001,3.25,5,15.0,9.090909090909092,1.0,2.0,1.0909090909090908,2.272727272727273,1.1818181818181819,9.363636363636363,0.36363636363636365,3.6363636363636362,2.909090909090909,6.181818181818182,0.6840796019900498,0.6699029126213593,115.70827489481066,0.12890045919658677,0.5,0.15427769985974754,0.5,0.038834951456310676,0.3883495145631068,2.2715539494062984,3.820340733092411,10.325245224574084,1.342281879194631,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Elite,5,Very Good,4,Below Average,2,Elite,5,Very Good,4,Elite
104,7,Division II,pimacommunitycollege,Will Feagles,4,Freshman,Guard,Guard,6'4,,10,3.6900000000000004,4.050000000000001,2.75,5,11.2,2.4,2.2,1.4,0.8,0.6,1.2,7.4,5.1,1.3,0.8,1.6,0.7024586051179127,0.6756756756756757,119.5049082373026,0.09547288211564321,1.5714285714285714,0.14938113529662825,0.47058823529411764,0.6891891891891891,0.17567567567567569,1.634559252772913,1.634559252772913,2.8021015761821366,1.4010507880910683,Elite,5,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Elite
512,8,Division II,pimacommunitycollege,Ky Green,33,Sophomore,Forward,Wing,6'6,,11,3.1750000000000003,3.75,2.0,4,13.727272727272727,4.818181818181818,1.8181818181818181,1.0909090909090908,0.8181818181818182,0.2727272727272727,0.45454545454545453,8.181818181818182,0.5454545454545454,1.3636363636363635,2.5454545454545454,2.272727272727273,0.7815734989648033,0.7666666666666667,139.04235727440147,0.09816682937411866,1.6666666666666667,0.11049723756906078,0.6666666666666666,0.06666666666666667,0.16666666666666666,1.23902942694889,1.23902942694889,5.4723799690242645,0.5162622612287042,Elite,5,Poor,1,Elite,5,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
2947,9,Division II,pimacommunitycollege,Kaelum Brown,15,Sophomore,Forward,Big,6'8,,6,2.2175000000000002,2.15,2.0,3,4.833333333333333,5.5,1.3333333333333333,0.6666666666666666,1.0,1.0,1.0,3.8333333333333335,0.0,2.3333333333333335,2.1666666666666665,3.3333333333333335,0.49725651577503427,0.4782608695652174,87.45476477683957,0.05520410201771326,2.0,0.12062726176115804,,0.0,0.6086956521739131,0.7518796992481203,2.255639097744361,6.203007518796992,1.1278195488721805,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Average
2949,10,Division II,pimacommunitycollege,Paul Olivares Yepiz,32,Freshman,Guard,Guard,6'3,,7,2.2150000000000003,1.9000000000000001,2.2,4,2.2857142857142856,2.142857142857143,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.2857142857142857,2.857142857142857,1.5714285714285714,0.0,0.5714285714285714,1.5714285714285714,0.4,0.4,69.56521739130434,0.030155233899727296,1.3333333333333333,0.13043478260869565,0.36363636363636365,0.55,0.0,0.4497751124437781,0.5997001499250375,2.2488755622188905,0.29985007496251875,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
