MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
21,1,Division II,raritanvalleycommunitycollege,Tarik Bicic,0,SO,Guard,Guard,6'5,,7,4.0975,3.5500000000000003,4.7,5,15.714285714285714,9.714285714285714,5.428571428571429,2.5714285714285716,1.5714285714285714,1.2857142857142858,2.142857142857143,10.142857142857142,1.8571428571428572,5.571428571428571,2.142857142857143,7.571428571428571,0.6238656987295826,0.5845070422535211,103.61718161266013,0.1715467649150023,2.111111111111111,0.16955538809344387,0.38461538461538464,0.18309859154929578,0.5492957746478874,3.205699020480855,3.5618878005342833,12.110418521816563,2.671415850400712,Elite,5,Average,3,Average,3,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite
154,2,Division II,raritanvalleycommunitycollege,Miles Whye,24,So,Forward,Wing,6'7,,17,3.6275,3.15,4.15,4,13.176470588235293,7.0588235294117645,2.9411764705882355,2.2941176470588234,1.5294117647058822,1.2941176470588236,2.588235294117647,10.058823529411764,3.5294117647058822,3.411764705882353,1.411764705882353,5.647058823529412,0.5699165479340524,0.5233918128654971,95.1086956521739,0.15909643600205356,1.2820512820512822,0.16559103260869565,0.35,0.3508771929824561,0.3391812865497076,2.9257314328582145,3.600900225056264,9.00225056264066,3.3008252063015755,Average,3,Average,3,Below Average,2,Average,3,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Elite,5,Average,3,Very Good,4,Very Good,4,Very Good
387,3,Division II,raritanvalleycommunitycollege,Carlyle Adams,2,FR,Forward,Wing,6'3,,16,3.3475,3.7500000000000004,3.35,2,7.125,4.6875,1.3125,1.0,1.125,1.0,2.0,4.25,1.5625,2.4375,2.125,2.5625,0.6693283231564114,0.6617647058823529,112.69276393831554,0.0728377638892889,1.3125,0.15816528272044286,0.4,0.36764705882352944,0.5735294117647058,1.2810248198558847,2.722177742193755,6.00480384307446,2.5620496397117694,Elite,5,Poor,1,Very Good,4,Average,3,Average,3,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Below Average
589,4,Division II,raritanvalleycommunitycollege,Isaac Gonzalez,10,SO,Guard,Guard,6'1,,16,3.192500000000001,4.050000000000001,1.9,3,19.4375,3.0625,4.3125,2.25,0.4375,0.125,2.0625,13.3125,7.0625,4.5625,0.4375,2.625,0.6343831592689295,0.5938967136150235,110.62891291974957,0.20241352495607848,1.9166666666666667,0.12805919180421171,0.4336283185840708,0.5305164319248826,0.3427230046948357,2.8823058446757406,0.7205764611689351,3.9231385108086467,2.6421136909527623,Elite,5,Average,3,Very Good,4,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Very Good,4,Elite,5,Average
639,5,Division II,raritanvalleycommunitycollege,Jordan Summers,34,SO,Forward,Wing,6'7,,17,3.1599999999999997,3.3,2.5999999999999996,4,17.176470588235293,8.0,2.0,2.4705882352941178,0.29411764705882354,0.47058823529411764,2.1176470588235294,13.352941176470589,6.176470588235294,3.588235294117647,2.0,6.0,0.5751654585565711,0.5506607929515418,98.70200108166576,0.19984328136399257,0.8095238095238095,0.1419686316928069,0.3619047619047619,0.46255506607929514,0.2687224669603524,3.150787696924231,0.9752438109527382,10.202550637659416,2.700675168792198,Very Good,4,Very Good,4,Below Average,2,Below Average,2,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Poor,1,Average,3,Elite,5,Very Good,4,Very Good
1171,6,Division II,raritanvalleycommunitycollege,James Curet,30,FR,Forward,Wing,6'4,,6,2.9000000000000004,3.5,2.0,3,2.6666666666666665,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.6802721088435374,0.8,116.27906976744187,0.025085685116312987,0.5,0.14534883720930233,1.0,0.2,0.4,0.4012036108324975,0.4012036108324975,1.0030090270812437,0.4012036108324975,Elite,5,Poor,1,Elite,5,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Average
1359,7,Division II,raritanvalleycommunitycollege,Andrew Petry,22,FR,Forward,Wing,6'5,,6,2.825,3.3499999999999996,2.0,3,3.3333333333333335,0.6666666666666666,0.16666666666666666,0.5,0.0,0.0,0.8333333333333334,1.8333333333333333,0.5,1.1666666666666667,0.16666666666666666,0.5,0.7102272727272727,0.7272727272727273,117.096018735363,0.03266273999847012,0.3333333333333333,0.17564402810304452,0.6666666666666666,0.2727272727272727,0.6363636363636364,0.6282722513089005,0.0,0.837696335078534,1.0471204188481675,Elite,5,Poor,1,Elite,5,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Average
2388,8,Division II,raritanvalleycommunitycollege,Armagh Caldwell,3,FR,Guard,Guard,6'2,,17,2.4724999999999997,2.4,2.15,4,8.941176470588236,4.0,1.9411764705882353,1.7647058823529411,1.2941176470588236,0.0,3.0,6.470588235294118,1.588235294117647,2.8823529411764706,1.2352941176470589,2.764705882352941,0.5776831863788385,0.5409090909090909,94.08269373607328,0.10913561566105542,1.1,0.18568952711067097,0.3333333333333333,0.24545454545454545,0.44545454545454544,2.250562640660165,1.6504126031507877,5.101275318829708,3.8259564891222806,Very Good,4,Poor,1,Below Average,2,Below Average,2,Below Average,2,Average,3,Below Average,2,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Average,3,Elite,5,Very Good
3343,9,Division II,raritanvalleycommunitycollege,LJ Falconi,12,FR,Forward,Wing,6'4,,10,2.2,2.1000000000000005,2.0,3,1.5,0.7,0.1,0.2,0.3,0.2,0.1,2.2,1.8,0.4,0.1,0.6,0.31565656565656564,0.3181818181818182,58.22981366459627,0.02987012987012987,0.5,0.07763975155279502,0.2222222222222222,0.8181818181818182,0.18181818181818182,0.2546148949713558,0.6365372374283895,0.8911521323997453,0.1273074474856779,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Average
4378,10,Division II,raritanvalleycommunitycollege,Savod Godwin,13,SO,Forward,Wing,6'5,,10,1.8875,1.6500000000000001,1.75,3,4.0,3.4,0.1,1.7,0.1,0.5,2.4,3.6,0.8,2.0,1.0,2.4,0.44642857142857145,0.4444444444444444,64.72491909385114,0.07355391573434895,0.058823529411764705,0.2750809061488673,0.25,0.2222222222222222,0.5555555555555556,2.225130890052356,0.7853403141361257,4.450261780104712,3.141361256544503,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Average
4418,11,Division II,raritanvalleycommunitycollege,James DelSantro,1,So,Guard,Guard,6'0,,11,1.8675000000000004,1.4500000000000002,2.2,3,2.272727272727273,2.090909090909091,2.0,1.4545454545454546,0.36363636363636365,0.09090909090909091,1.0,2.909090909090909,1.8181818181818181,0.5454545454545454,0.18181818181818182,1.9090909090909092,0.3608545034642032,0.3125,49.368088467614534,0.05233567589913188,1.375,0.315955766192733,0.2,0.625,0.1875,1.8244013683010263,0.5701254275940707,2.622576966932725,1.2542759407069555,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Average
