MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
82,1,Division II,rendlakecollege,Elijah Edosa,,,,Wing,,,17,3.8075,3.6,4.45,3,17.529411764705884,8.941176470588236,2.235294117647059,2.176470588235294,1.0588235294117647,1.588235294117647,2.588235294117647,11.117647058823529,1.2941176470588236,6.823529411764706,3.5294117647058822,5.411764705882353,0.6207298783536077,0.58994708994709,107.56569448455099,0.1808355091383812,1.027027027027027,0.13355472133987872,0.22727272727272727,0.1164021164021164,0.6137566137566137,2.7611940298507465,3.3582089552238807,11.343283582089553,3.283582089552239,Elite,5,Average,3,Average,3,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Very Good,4,Unknown
1492,2,Division II,rendlakecollege,Owen Raneberg,,,,Wing,,,11,2.7725,2.3,3.35,3,6.181818181818182,2.0,1.0,1.1818181818181819,1.4545454545454546,0.7272727272727273,1.7272727272727273,5.2727272727272725,4.181818181818182,1.7272727272727273,0.5454545454545454,1.4545454545454546,0.5123568414707655,0.4482758620689655,85.68548387096774,0.07803650094398994,0.8461538461538461,0.16381048387096775,0.30434782608695654,0.7931034482758621,0.3275862068965517,1.4606741573033708,2.696629213483146,2.4719101123595504,2.134831460674157,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1505,3,Division II,rendlakecollege,Owen Treat,,,,Wing,,,13,2.7649999999999997,2.5999999999999996,2.9000000000000004,3,5.3076923076923075,2.6153846153846154,1.6923076923076923,0.6153846153846154,1.6923076923076923,0.07692307692307693,1.0769230769230769,5.076923076923077,4.076923076923077,0.9230769230769231,0.5384615384615384,2.076923076923077,0.484006734006734,0.4621212121212121,87.03329969727548,0.06743102099139252,2.75,0.10090817356205853,0.32075471698113206,0.803030303030303,0.18181818181818182,0.7785888077858881,2.238442822384428,3.3090024330900243,1.362530413625304,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1621,4,Division II,rendlakecollege,Isaac Billington,,,,Wing,,,17,2.7250000000000005,3.1500000000000004,2.0,3,8.411764705882353,2.0588235294117645,1.7647058823529411,1.1176470588235294,1.0,0.058823529411764705,1.1764705882352942,6.882352941176471,4.117647058823529,1.1176470588235294,0.29411764705882354,1.7647058823529411,0.5703573707721762,0.5470085470085471,99.05791077860903,0.09422976501305486,1.5789473684210527,0.13161540592962037,0.3142857142857143,0.5982905982905983,0.1623931623931624,1.4179104477611941,1.3432835820895523,2.611940298507463,1.492537313432836,Very Good,4,Poor,1,Below Average,2,Very Good,4,Very Good,4,Average,3,Elite,5,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1808,5,Division II,rendlakecollege,Gavin Bigham,,,,Wing,,,13,2.6500000000000004,3.0,2.0,3,3.3076923076923075,1.6153846153846154,0.7692307692307693,0.15384615384615385,0.07692307692307693,0.38461538461538464,0.7692307692307693,2.5384615384615383,0.6153846153846154,1.6923076923076923,0.7692307692307693,0.8461538461538461,0.5037488284910966,0.3787878787878788,96.23992837958818,0.038002245432586,5.0,0.044762757385854966,0.125,0.24242424242424243,0.6666666666666666,0.19464720194647203,0.583941605839416,2.0437956204379564,0.9732360097323601,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1923,6,Division II,rendlakecollege,Donovan Coates,,,,Wing,,,17,2.6075,2.6,2.45,3,12.352941176470589,3.6470588235294117,1.3529411764705883,1.3529411764705883,0.8823529411764706,0.5294117647058824,1.7058823529411764,11.058823529411764,6.352941176470588,3.5294117647058822,0.8235294117647058,2.823529411764706,0.48973880597014924,0.4441489361702128,88.45829823083403,0.15496083550913842,1.0,0.09688289806234204,0.3055555555555556,0.574468085106383,0.3191489361702128,1.7164179104477613,1.791044776119403,4.626865671641791,2.1641791044776117,Poor,1,Average,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2170,7,Division II,rendlakecollege,Will Paulson,,,,Wing,,,17,2.5250000000000004,2.7500000000000004,2.0,3,9.529411764705882,4.647058823529412,0.9411764705882353,1.2941176470588236,0.5882352941176471,0.47058823529411764,1.588235294117647,7.294117647058823,2.9411764705882355,2.0588235294117645,1.8235294117647058,2.823529411764706,0.5810616929698709,0.5645161290322581,100.37174721189591,0.1053524804177546,0.7272727272727273,0.1363073110285006,0.28,0.4032258064516129,0.28225806451612906,1.6417910447761195,1.3432835820895523,5.895522388059701,2.014925373134328,Very Good,4,Poor,1,Below Average,2,Poor,1,Very Good,4,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2279,8,Division II,rendlakecollege,AJ Keith,,,,Wing,,,11,2.5,2.7,2.0,3,4.7272727272727275,0.9090909090909091,0.5454545454545454,0.6363636363636364,0.45454545454545453,0.0,0.6363636363636364,3.8181818181818183,0.9090909090909091,1.0909090909090908,0.2727272727272727,0.6363636363636364,0.5499153976311336,0.5119047619047619,95.79955784819454,0.05408529294539658,0.8571428571428571,0.12896094325718496,0.1,0.23809523809523808,0.2857142857142857,0.7932011331444759,0.56657223796034,1.13314447592068,0.7932011331444759,Average,3,Poor,1,Below Average,2,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2318,9,Division II,rendlakecollege,Navontae Nesbit,,,,Wing,,,17,2.49,2.0500000000000003,2.9000000000000004,3,10.176470588235293,3.764705882352941,3.9411764705882355,2.588235294117647,1.0588235294117647,0.5294117647058824,1.7647058823529411,8.529411764705882,1.5294117647058822,2.9411764705882355,1.0,2.764705882352941,0.5179640718562875,0.46551724137931033,81.99052132701422,0.13772845953002613,1.5227272727272727,0.20853080568720378,0.2692307692307692,0.1793103448275862,0.3448275862068966,3.283582089552239,2.014925373134328,4.776119402985074,2.2388059701492535,Below Average,2,Below Average,2,Poor,1,Very Good,4,Poor,1,Poor,1,Below Average,2,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
3022,10,Division II,rendlakecollege,Aiden Hinton,,,,Wing,,,7,2.3,2.3,2.0,3,2.0,2.7142857142857144,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,1.0,2.0,0.42857142857142855,0.8571428571428571,0.7142857142857143,2.0,0.4206730769230769,0.42857142857142855,75.10729613733905,0.030336566629776705,1.0,0.1072961373390558,0.0,0.21428571428571427,0.42857142857142855,0.37418147801683815,0.9354536950420954,3.5547240411599628,1.3096351730589335,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
