MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
296,1,Division II,rocklandcommunitycollege,Jerell Taylor,,,,Wing,,,17,3.4299999999999997,3.3,3.8,3,19.294117647058822,5.352941176470588,4.705882352941177,2.8823529411764706,3.7058823529411766,0.058823529411764705,1.1176470588235294,15.529411764705882,5.294117647058823,2.7058823529411766,1.7647058823529411,3.588235294117647,0.5769772023641992,0.5606060606060606,98.42755971672068,0.19053173241852486,1.6326530612244898,0.14704117152802784,0.3333333333333333,0.3409090909090909,0.17424242424242425,3.1061806656101427,4.057052297939778,5.768621236133122,1.2044374009508716,Very Good,4,Very Good,4,Below Average,2,Very Good,4,Average,3,Average,3,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Poor,1,Elite,5,Very Good,4,Unknown
352,2,Division II,rocklandcommunitycollege,Jaden Chavis,,,,Wing,,,16,3.375,3.4,3.5,3,18.75,9.0625,4.0625,1.5625,1.75,0.4375,0.875,14.625,4.125,5.1875,1.8125,7.25,0.5544876534082508,0.5170940170940171,101.51597184623715,0.1804724332510931,2.6,0.08459664320519762,0.21212121212121213,0.28205128205128205,0.3547008547008547,1.6903313049357673,2.366463826910074,9.803921568627452,0.9465855307640297,Average,3,Average,3,Below Average,2,Elite,5,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Average,3,Average,3,Average,3,Elite,5,Elite,5,Unknown
1302,3,Division II,rocklandcommunitycollege,Sam Acevedo,,,,Wing,,,15,2.8475,2.45,3.35,3,10.933333333333334,4.266666666666667,3.6,3.0,2.2666666666666666,0.4666666666666667,1.4666666666666666,7.133333333333334,0.8,4.933333333333334,1.4,2.8666666666666667,0.5875609057036401,0.5467289719626168,88.85999133073256,0.11841700030797658,1.2,0.24382314694408322,0.25,0.11214953271028037,0.6915887850467289,3.197158081705151,2.9129662522202486,4.547069271758437,1.5630550621669628,Very Good,4,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
1441,4,Division II,rocklandcommunitycollege,Channer Duke,,,,Wing,,,17,2.79,2.65,2.9000000000000004,3,9.176470588235293,2.6470588235294117,1.1176470588235294,1.3529411764705883,1.8823529411764706,0.47058823529411764,1.8235294117647058,8.117647058823529,2.6470588235294117,2.6470588235294117,0.9411764705882353,1.7058823529411764,0.494296577946768,0.4528985507246377,86.28318584070796,0.10337335620354487,0.8260869565217391,0.12721238938053098,0.4222222222222222,0.32608695652173914,0.32608695652173914,1.4580031695721078,2.535657686212361,2.8526148969889067,1.9651347068145801,Below Average,2,Poor,1,Poor,1,Below Average,2,Very Good,4,Elite,5,Average,3,Very Good,4,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1479,5,Division II,rocklandcommunitycollege,Donte Williams,,,,Wing,,,12,2.7750000000000004,3.25,2.0,3,2.5,0.9166666666666666,1.1666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.9166666666666666,1.75,0.75,0.9166666666666666,0.3333333333333333,0.5833333333333334,0.5804953560371517,0.5476190476190477,100.53619302949062,0.023696833010387216,3.5,0.13404825737265416,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.35445281346920693,0.35445281346920693,0.974745237040319,0.974745237040319,Very Good,4,Poor,1,Below Average,2,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1548,6,Division II,rocklandcommunitycollege,Jayden Harrington,,,,Wing,,,7,2.75,3.2,2.0,3,2.857142857142857,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,1.4285714285714286,0.5714285714285714,0.5714285714285714,0.0,0.7142857142857143,0.8503401360544218,0.8,135.50135501355012,0.019923330273743316,0.3333333333333333,0.2032520325203252,1.0,0.4,0.4,0.45214770158251694,0.15071590052750566,0.7535795026375283,0.15071590052750566,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2421,7,Division II,rocklandcommunitycollege,Jalen Munson,,,,Wing,,,13,2.4575000000000005,2.3000000000000003,2.45,3,9.76923076923077,2.8461538461538463,3.230769230769231,2.076923076923077,1.3846153846153846,0.0,1.7692307692307692,7.3076923076923075,1.4615384615384615,5.153846153846154,0.7692307692307693,2.076923076923077,0.5101221079691517,0.41578947368421054,83.83945075257459,0.11018971135940409,1.5555555555555556,0.1782413519936625,0.3684210526315789,0.2,0.7052631578947368,2.1818181818181817,1.4545454545454546,2.98989898989899,1.8585858585858586,Below Average,2,Poor,1,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2737,8,Division II,rocklandcommunitycollege,Aly Kante,,,,Wing,,,17,2.365,1.8,2.9000000000000004,3,3.176470588235294,5.470588235294118,0.35294117647058826,1.1176470588235294,0.5882352941176471,1.5294117647058822,2.1176470588235294,2.7058823529411766,0.23529411764705882,1.0,1.8823529411764706,3.588235294117647,0.5048616305160808,0.5217391304347826,74.50331125827815,0.041440823327615776,0.3157894736842105,0.2621412803532009,0.5,0.08695652173913043,0.3695652173913043,1.2044374009508716,2.282091917591125,5.89540412044374,2.282091917591125,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2884,9,Division II,rocklandcommunitycollege,Isaiah Crawford,,,,Wing,,,12,2.325,2.3500000000000005,2.0,3,4.916666666666667,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.75,0.0,0.6666666666666666,3.9166666666666665,2.1666666666666665,0.8333333333333334,0.16666666666666666,0.75,0.5739299610894942,0.5425531914893617,94.55128205128206,0.04906431828903915,0.7272727272727273,0.1762820512820513,0.34615384615384615,0.5531914893617021,0.2127659574468085,0.9594417793283908,0.7849978194505015,0.9594417793283908,0.6977758395115569,Very Good,4,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3530,10,Division II,rocklandcommunitycollege,Tristan Bowen,,,,Wing,,,12,2.1500000000000004,2.0000000000000004,2.0,3,1.8333333333333333,0.5833333333333334,0.16666666666666666,0.25,0.5833333333333334,0.0,0.25,2.75,1.9166666666666667,0.25,0.25,0.3333333333333333,0.3205128205128205,0.30303030303030304,58.949624866023576,0.029158983654717627,0.6666666666666666,0.08038585209003216,0.17391304347826086,0.696969696969697,0.09090909090909091,0.26121027427078797,0.6094906399651719,0.6094906399651719,0.26121027427078797,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
