MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
35,1,Division II,rockvalleycollege,Jajuan Cozark,,,,Wing,,,16,4.03,4.15,4.3,3,18.3125,9.3125,1.0,1.75,1.0625,1.0625,2.625,11.375,2.375,5.0,3.375,5.9375,0.6744935543278086,0.6538461538461539,119.49429037520392,0.18498400627678194,0.5714285714285714,0.11419249592169659,0.42105263157894735,0.2087912087912088,0.43956043956043955,2.4148339801638636,2.932298404484692,12.85036653730056,3.6222509702457955,Elite,5,Average,3,Elite,5,Poor,1,Very Good,4,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Unknown
197,2,Division II,rockvalleycollege,Adam Brown,,,,Wing,,,19,3.5649999999999995,4.199999999999999,2.9000000000000004,3,8.473684210526315,3.9473684210526314,1.631578947368421,0.3684210526315789,1.0,0.7368421052631579,1.5789473684210527,6.631578947368421,4.894736842105263,0.47368421052631576,0.7894736842105263,3.1578947368421053,0.6194213604185903,0.6111111111111112,117.55257009345793,0.08812023883055384,4.428571428571429,0.051109813084112145,0.40860215053763443,0.7380952380952381,0.07142857142857142,0.5083514887436456,2.396514161220044,5.446623093681917,2.178649237472767,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
365,3,Division II,rockvalleycollege,JT Samuels,,,,Wing,,,19,3.365,3.8000000000000003,2.9000000000000004,3,14.157894736842104,3.473684210526316,1.7894736842105263,1.1578947368421053,1.631578947368421,0.0,1.0,11.631578947368421,8.473684210526315,1.3157894736842106,0.42105263157894735,3.0526315789473686,0.5797413793103449,0.5746606334841629,105.90551181102362,0.16342392423306565,1.5454545454545454,0.08661417322834646,0.39751552795031053,0.7285067873303167,0.11312217194570136,1.597676107480029,2.251270878721859,4.793028322440088,1.3798111837327525,Very Good,4,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
673,4,Division II,rockvalleycollege,Jamarion Readus,,,,Wing,,,19,3.1449999999999996,3.1499999999999995,3.2,3,14.789473684210526,5.894736842105263,4.842105263157895,2.789473684210526,1.4210526315789473,0.2631578947368421,1.7894736842105263,10.052631578947368,5.157894736842105,6.578947368421052,0.7368421052631579,5.157894736842105,0.5711382113821138,0.4738219895287958,93.9799331103679,0.19237698167593162,1.7358490566037736,0.17725752508361203,0.3163265306122449,0.5130890052356021,0.6544502617801047,3.8489469862018884,2.3238925199709515,8.133623819898329,2.4691358024691357,Very Good,4,Very Good,4,Poor,1,Very Good,4,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Average,3,Below Average,2,Elite,5,Average,3,Unknown
2171,5,Division II,rockvalleycollege,Michael Jones,,,,Wing,,,15,2.5250000000000004,2.7500000000000004,2.0,3,3.8,1.5333333333333334,0.6,0.4,0.4,0.3333333333333333,1.1333333333333333,3.066666666666667,1.0666666666666667,1.5333333333333334,0.6,0.9333333333333333,0.50784034212402,0.5108695652173914,91.75788795878944,0.050798115923066864,1.5,0.09658725048293626,0.3125,0.34782608695652173,0.5,0.5532503457814661,1.0142923005993545,2.120792992162287,1.5675426463808206,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2688,6,Division II,rockvalleycollege,Cameron Reed,,,,Wing,,,19,2.3775000000000004,2.0,2.6500000000000004,3,7.2631578947368425,3.4210526315789473,5.052631578947368,1.736842105263158,1.5263157894736843,0.15789473684210525,2.526315789473684,6.842105263157895,1.4210526315789473,2.0526315789473686,0.6842105263157895,2.736842105263158,0.4688774123403099,0.4307692307692308,76.59857904085257,0.11591517397570515,2.909090909090909,0.18317051509769094,0.2222222222222222,0.2076923076923077,0.3,2.396514161220044,2.3238925199709515,4.720406681190995,3.485838779956427,Poor,1,Poor,1,Poor,1,Elite,5,Below Average,2,Poor,1,Below Average,2,Average,3,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
2766,7,Division II,rockvalleycollege,Keshaun Mahan,,,,Wing,,,16,2.35,2.4000000000000004,2.0,3,5.4375,2.5625,0.4375,1.0,0.5,0.25,1.625,3.9375,1.4375,1.8125,0.8125,1.75,0.574181626187962,0.5396825396825397,94.81255448997383,0.07072388703909238,0.4375,0.17436791630340018,0.43478260869565216,0.36507936507936506,0.4603174603174603,1.3906996957844415,1.0430247718383312,3.5636679704476313,2.2598870056497176,Very Good,4,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2988,8,Division II,rockvalleycollege,Keyan Murphy,,,,Wing,,,16,2.3,2.3,2.0,3,3.625,2.1875,0.4375,0.625,0.3125,0.375,1.5625,3.25,2.0,0.9375,0.8125,1.375,0.4948805460750853,0.5,84.54810495626823,0.052435258507353165,0.7,0.1457725947521866,0.375,0.6153846153846154,0.28846153846153844,0.858000858000858,0.9438009438009438,3.003003003003003,2.145002145002145,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Average,3,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3034,9,Division II,rockvalleycollege,Amani Bonds,,,,Wing,,,6,2.29,1.6500000000000001,2.9000000000000004,3,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.8333333333333334,1.0,0.5,0.8333333333333334,1.5,1.1666666666666667,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.23234200743494424,0.1111111111111111,31.725888324873097,0.03154018571886007,0.4,0.31725888324873097,0.0,0.7777777777777778,0.4444444444444444,1.1286681715575622,2.0316027088036117,1.1286681715575622,1.1286681715575622,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
3245,10,Division II,rockvalleycollege,Brayden Olson,,,,Wing,,,15,2.225,2.1500000000000004,2.0,3,2.1333333333333333,1.4666666666666666,0.2,0.2,0.4,0.0,0.8,2.066666666666667,1.5333333333333334,0.4,0.4666666666666667,1.0,0.4756242568370987,0.45161290322580644,87.33624454148472,0.030135544150546128,1.0,0.08187772925764192,0.2608695652173913,0.7419354838709677,0.1935483870967742,0.27803521779425394,0.5560704355885079,2.0389249304911954,1.1121408711770158,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
