MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
30,1,Division II,schoolcraftcollege,Tyler Robinson,,Freshman,,Wing,6'7,,13,4.07,3.6500000000000004,4.7,4,13.307692307692308,8.615384615384615,0.6923076923076923,1.1538461538461537,1.1538461538461537,1.6923076923076923,2.0,7.846153846153846,0.7692307692307693,3.3076923076923075,3.6153846153846154,5.0,0.715348991068475,0.7009803921568627,127.28075338434371,0.11837658944434769,0.6,0.11035903472630958,0.5,0.09803921568627451,0.4215686274509804,1.557632398753894,3.842159916926272,11.630321910695743,2.699896157840083,Elite,5,Poor,1,Elite,5,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good
86,2,Division II,schoolcraftcollege,J'Vohn Walker,,Sophomore,,Wing,6'6,,12,3.7375000000000003,3.3000000000000003,4.25,4,16.083333333333332,8.0,1.5,2.3333333333333335,1.5833333333333333,0.6666666666666666,2.0833333333333335,12.25,4.166666666666667,3.75,3.4166666666666665,4.583333333333333,0.5785371702637889,0.5612244897959183,99.0759753593429,0.18482674864321227,0.6428571428571429,0.1437371663244353,0.38,0.3401360544217687,0.30612244897959184,3.183627060830017,3.069926094371802,10.91529277998863,2.8425241614553722,Very Good,4,Average,3,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Very Good,4,Very Good
660,3,Division II,schoolcraftcollege,Kaden Huston,,Sophomore,,Guard,6'2,,8,3.095,3.5000000000000004,2.2,4,3.125,0.625,0.0,0.25,0.25,0.125,0.625,2.375,2.25,0.25,0.375,0.25,0.6287726358148894,0.631578947368421,114.25959780621572,0.031205431000057043,0.0,0.09140767824497258,0.4444444444444444,0.9473684210526315,0.10526315789473684,0.34071550255536626,0.5110732538330494,0.8517887563884157,0.8517887563884157,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
758,4,Division II,schoolcraftcollege,Rael Cochran,,Sophomore,,Wing,6'3,,12,3.0474999999999994,3.15,3.35,2,12.083333333333334,4.416666666666667,1.5833333333333333,1.4166666666666667,1.6666666666666667,0.4166666666666667,2.1666666666666665,10.083333333333334,2.8333333333333335,2.5,0.75,3.6666666666666665,0.5402384500745157,0.5330578512396694,95.89947089947091,0.14088706671636225,1.1176470588235294,0.11243386243386244,0.4411764705882353,0.2809917355371901,0.24793388429752067,1.8983807928531546,2.7917364600781687,5.9184812953657175,2.9034059184812953,Average,3,Below Average,2,Below Average,2,Average,3,Very Good,4,Elite,5,Average,3,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Poor,1,Elite,5,Elite,5,Below Average
1229,5,Division II,schoolcraftcollege,Brandon Ingram Jr,,,,Wing,,,12,2.8000000000000007,3.3000000000000007,2.0,3,6.833333333333333,1.5833333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.16666666666666666,0.5,5.5,4.083333333333333,1.0,0.25,1.3333333333333333,0.5751964085297419,0.553030303030303,104.75217169136432,0.07304419229620782,0.7142857142857143,0.08942258559018906,0.3469387755102041,0.7424242424242424,0.18181818181818182,0.7769145394006659,0.6659267480577137,2.108768035516093,0.6659267480577137,Very Good,4,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1796,6,Division II,schoolcraftcollege,Amir Perryman,,Freshman,,Guard,5'10,,13,2.5750000000000006,2.6000000000000005,2.7,2,11.23076923076923,3.5384615384615383,4.6923076923076925,2.3846153846153846,1.4615384615384615,0.46153846153846156,2.3846153846153846,8.76923076923077,4.0,4.384615384615385,0.7692307692307693,2.769230769230769,0.5248777681909692,0.47368421052631576,85.84195672624647,0.14812750391917784,1.967741935483871,0.18226716839134524,0.38461538461538464,0.45614035087719296,0.5,3.2191069574247146,2.596053997923157,4.7767393561786085,3.2191069574247146,Average,3,Below Average,2,Poor,1,Average,3,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Average,3,Very Good,4,Below Average
1890,7,Division II,schoolcraftcollege,Triston Pierce,,Freshman,,Wing,6'5,,9,2.55,2.8,2.0,3,0.7777777777777778,1.1111111111111112,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.5555555555555556,0.5555555555555556,0.0,0.2222222222222222,0.3333333333333333,0.7777777777777778,0.5952380952380952,0.6,101.74418604651163,0.008544885488598539,1.0,0.14534883720930233,,0.0,0.4,0.14869888475836432,0.29739776951672864,1.486988847583643,0.7434944237918215,Very Good,4,Poor,1,Below Average,2,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Average
2348,8,Division II,schoolcraftcollege,Booker Washington,,Sophomore,,Wing,6'4,,13,2.3949999999999996,2.0,2.7,3,6.846153846153846,5.923076923076923,0.9230769230769231,0.9230769230769231,1.2307692307692308,0.3076923076923077,2.923076923076923,7.384615384615385,2.3846153846153846,1.1538461538461537,2.3846153846153846,3.5384615384615383,0.4337231968810916,0.40625,77.66143106457243,0.09980839574986936,1.0,0.10471204188481675,0.1935483870967742,0.3229166666666667,0.15625,1.2461059190031152,2.0768431983385254,7.995846313603323,3.9460020768431985,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Poor,1,Average,3,Very Good,4,Average,3,Poor,1,Average,3,Below Average,2,Average,3,Elite,5,Average
3584,9,Division II,schoolcraftcollege,Emmanuel Romanus,,Freshman,,Wing,6'5,,8,2.05,1.8,2.0,3,0.0,0.5,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.375,,,0.0,0.0014178765880217786,0.0,1.0,,,,0.1694915254237288,0.0,0.6779661016949152,0.1694915254237288,N/A,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,N/A,3,N/A,3,N/A,3,Poor,1,Poor,1,Elite,5,Elite,5,Average
3619,10,Division II,schoolcraftcollege,Jeremiah Caffey,,Freshman,,Wing,6'3,,13,2.025,2.0500000000000003,2.0,2,6.6923076923076925,4.230769230769231,0.6153846153846154,1.4615384615384615,0.46153846153846156,0.46153846153846156,1.7692307692307692,5.461538461538462,2.0,1.7692307692307692,1.6153846153846154,2.6153846153846154,0.5362426035502958,0.5352112676056338,86.89572512984418,0.08719735237763455,0.42105263157894735,0.1897722732720735,0.23076923076923078,0.36619718309859156,0.323943661971831,1.9730010384215992,1.2461059190031152,5.711318795430945,2.3883696780893042,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Below Average
