MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
672,1,Division II,scottsdalecommunitycollege,Tim Gorham,,,,Wing,,,12,3.1450000000000005,3.1500000000000004,3.2,3,10.083333333333334,6.25,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666,1.25,7.75,1.0,1.5833333333333333,2.9166666666666665,3.3333333333333335,0.5968823993685872,0.5806451612903226,107.68956924172304,0.1065993700428826,1.0,0.09789960840156639,0.5,0.12903225806451613,0.20430107526881722,1.198257080610022,2.0697167755991286,8.169934640522875,1.6339869281045751,Very Good,4,Poor,1,Average,3,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Average,3,Elite,5,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
792,2,Division II,scottsdalecommunitycollege,Maceo Perrone,,,,Wing,,,6,3.075,3.8500000000000005,2.0,3,3.3333333333333335,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,1.8333333333333333,1.5,0.0,0.0,0.6666666666666666,0.9090909090909091,0.9090909090909091,181.8181818181818,0.02136918175460409,99.0,0.0,0.6666666666666666,0.8181818181818182,0.0,0.0,0.0,0.89086859688196,0.44543429844098,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
809,3,Division II,scottsdalecommunitycollege,Quincy Kirk,,,,Wing,,,11,3.0650000000000004,3.1999999999999997,2.9000000000000004,3,12.181818181818182,3.5454545454545454,3.5454545454545454,1.9090909090909092,1.6363636363636365,0.2727272727272727,1.5454545454545454,8.0,2.090909090909091,5.7272727272727275,0.8181818181818182,2.727272727272727,0.5789837538886968,0.48863636363636365,98.01053247513165,0.14322829366409653,1.8571428571428572,0.15359859566998244,0.2608695652173913,0.26136363636363635,0.7159090909090909,2.5225225225225225,2.5225225225225225,4.684684684684685,2.042042042042042,Very Good,4,Below Average,2,Below Average,2,Very Good,4,Average,3,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
927,4,Division II,scottsdalecommunitycollege,Bryce Anderson,,,,Wing,,,12,3.0075000000000003,3.0500000000000003,2.95,3,11.25,6.166666666666667,1.9166666666666667,1.4166666666666667,0.5833333333333334,1.1666666666666667,2.3333333333333335,8.333333333333334,2.0,3.5833333333333335,2.0,4.166666666666667,0.5676084762865792,0.515,99.32313125367862,0.1297095087223728,1.3529411764705883,0.12507357268981753,0.2916666666666667,0.24,0.43,1.8630136986301369,2.3013698630136985,8.10958904109589,3.0684931506849313,Average,3,Below Average,2,Below Average,2,Average,3,Very Good,4,Insufficient Volume,3,Average,3,Average,3,Elite,5,Average,3,Average,3,Below Average,2,Very Good,4,Elite,5,Unknown
1509,5,Division II,scottsdalecommunitycollege,McCade Peterson,,,,Wing,,,18,2.7625,2.6999999999999997,2.75,3,11.555555555555555,5.611111111111111,1.6111111111111112,1.6111111111111112,1.0,0.2222222222222222,1.7222222222222223,9.444444444444445,3.5555555555555554,3.0555555555555554,2.2222222222222223,3.388888888888889,0.5355303810504635,0.4764705882352941,93.1899641577061,0.14160280160381664,1.0,0.12992831541218638,0.28125,0.3764705882352941,0.3235294117647059,2.127659574468085,1.6140865737344094,7.410124724871607,2.27439471753485,Average,3,Below Average,2,Poor,1,Below Average,2,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Below Average,2,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
2015,6,Division II,scottsdalecommunitycollege,Nickoli Cody,,,,Wing,,,7,2.575,2.8500000000000005,2.0,3,3.7142857142857144,1.2857142857142858,0.42857142857142855,0.8571428571428571,0.0,0.0,0.2857142857142857,2.0,1.0,0.0,0.2857142857142857,1.0,0.9285714285714286,0.9285714285714286,130.0,0.032669062397909183,0.5,0.3,0.5714285714285714,0.5,0.0,1.1342155009451795,0.0,1.7013232514177694,0.3780718336483932,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2053,7,Division II,scottsdalecommunitycollege,Tylan Holleman,,,,Wing,,,18,2.5625,2.3,2.75,3,9.222222222222221,5.833333333333333,2.0,2.3333333333333335,0.4444444444444444,1.0,2.2222222222222223,6.222222222222222,0.2777777777777778,3.8333333333333335,2.4444444444444446,3.388888888888889,0.5830289407136836,0.5625,90.041223692775,0.11696188397705932,0.8571428571428571,0.2278151442829247,0.4,0.044642857142857144,0.6160714285714286,3.081438004402054,1.9075568598679384,7.703595011005135,2.93470286133529,Very Good,4,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Below Average,2,Elite,5,Very Good,4,Unknown
2233,8,Division II,scottsdalecommunitycollege,Davion Harris,,,,Wing,,,17,2.5075000000000003,2.4000000000000004,2.45,3,8.588235294117647,3.8823529411764706,2.8823529411764706,1.411764705882353,0.9411764705882353,0.17647058823529413,1.411764705882353,8.0,6.176470588235294,0.5882352941176471,0.5882352941176471,3.2941176470588234,0.51994301994302,0.5073529411764706,88.80778588807786,0.11053438399268482,2.0416666666666665,0.145985401459854,0.34285714285714286,0.7720588235294118,0.07352941176470588,1.8720748829953198,1.4820592823712948,5.14820592823713,1.8720748829953198,Below Average,2,Poor,1,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Poor,1,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2588,9,Division II,scottsdalecommunitycollege,Conway Cummard,,,,Wing,,,18,2.4074999999999998,2.2,2.45,3,8.5,3.5,2.388888888888889,2.2222222222222223,0.9444444444444444,0.16666666666666666,2.2222222222222223,7.111111111111111,2.4444444444444446,2.2222222222222223,0.6666666666666666,2.8333333333333335,0.5254120879120879,0.48046875,82.4353448275862,0.11774856620819163,1.075,0.21551724137931036,0.38636363636363635,0.34375,0.3125,2.93470286133529,1.467351430667645,4.622157006603081,2.93470286133529,Below Average,2,Poor,1,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
3066,10,Division II,scottsdalecommunitycollege,Coleman Fields,,,,Wing,,,15,2.2750000000000004,2.2500000000000004,2.0,3,10.866666666666667,4.733333333333333,1.8666666666666667,1.6666666666666667,0.7333333333333333,0.06666666666666667,1.9333333333333333,10.333333333333334,4.8,1.4,1.5333333333333334,3.2,0.49622503653190453,0.45806451612903226,86.13400972310293,0.14455512099731116,1.12,0.13210737687592475,0.2777777777777778,0.4645161290322581,0.13548387096774195,2.189141856392294,1.0507880910683012,6.217162872154115,2.539404553415061,Below Average,2,Below Average,2,Poor,1,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
