MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
37,1,Division II,sneadstatecommunitycollege,Ansar Osman,,,,Wing,,,15,4.0200000000000005,4.9,3.2,3,21.133333333333333,5.2,4.666666666666667,1.2666666666666666,1.2666666666666666,0.2,1.8,11.933333333333334,6.8,5.066666666666666,1.2666666666666666,3.933333333333333,0.7460930144982113,0.7206703910614525,136.96854476322156,0.2007981953843484,3.6842105263157894,0.08209471137227792,0.5294117647058824,0.5698324022346368,0.4245810055865922,1.8821198613174839,2.1792966815255075,7.726597325408618,2.674591381872214,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
69,2,Division II,sneadstatecommunitycollege,Tristan Gilmore,,,,Wing,,,15,3.795,3.75,4.2,3,14.066666666666666,7.6,0.2,1.1333333333333333,0.8666666666666667,2.7333333333333334,2.533333333333333,6.933333333333334,0.3333333333333333,4.133333333333334,2.8666666666666667,4.733333333333333,0.8036258379037172,0.7451923076923077,142.29835446452657,0.1286482734686795,0.17647058823529413,0.11464796331265174,0.2,0.04807692307692308,0.5961538461538461,1.6840019811788014,5.349182763744428,11.292719167904904,3.7642397226349678,Elite,5,Below Average,2,Elite,5,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Elite,5,Unknown
72,3,Division II,sneadstatecommunitycollege,London Townsend,,,,Wing,,,15,3.785,4.5,3.1,3,12.0,4.0,3.3333333333333335,1.2666666666666666,1.9333333333333333,0.2,2.2,7.666666666666667,3.4,2.533333333333333,0.3333333333333333,3.6666666666666665,0.6832675372001215,0.6608695652173913,119.4267515923567,0.1307652264445601,2.6315789473684212,0.1260615711252654,0.47058823529411764,0.4434782608695652,0.33043478260869563,1.8821198613174839,3.16988608221892,5.943536404160476,3.2689450222882614,Elite,5,Below Average,2,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Very Good,4,Elite,5,Unknown
197,4,Division II,sneadstatecommunitycollege,Marquette Dean Adkins,,,,Wing,,,15,3.5075000000000003,4.4,2.45,3,11.066666666666666,3.6,2.466666666666667,0.9333333333333333,1.0,0.2,1.8666666666666667,7.866666666666666,5.133333333333334,1.0666666666666667,0.4666666666666667,3.1333333333333333,0.663787587971849,0.6694915254237288,119.39010356731875,0.12063161547804963,2.642857142857143,0.1006904487917146,0.4935064935064935,0.652542372881356,0.13559322033898305,1.3868251609707776,1.7830609212481427,5.349182763744428,2.773650321941555,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
420,5,Division II,sneadstatecommunitycollege,Jaylen Spain,,,,Wing,,,15,3.26,3.8000000000000003,2.5999999999999996,3,4.266666666666667,5.733333333333333,0.3333333333333333,0.3333333333333333,0.2,0.4,1.2666666666666666,2.7333333333333334,0.0,0.8,3.066666666666667,2.6666666666666665,0.6914433880726015,0.6829268292682927,124.80499219968799,0.04449071664063855,1.0,0.09750390015600624,,0.0,0.2926829268292683,0.4952947003467063,0.8915304606240714,8.519068845963348,1.8821198613174839,Elite,5,Poor,1,Elite,5,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Poor,1,Average,3,Elite,5,Elite,5,Unknown
458,6,Division II,sneadstatecommunitycollege,Patrick Stewart,,,,Wing,,,12,3.2250000000000005,4.15,2.0,3,6.5,3.6666666666666665,1.25,0.25,0.5833333333333334,0.25,0.8333333333333334,4.416666666666667,1.0,1.0,1.4166666666666667,2.25,0.6691832532601235,0.660377358490566,127.28459530026109,0.06748601383198978,5.0,0.0489556135770235,0.16666666666666666,0.22641509433962265,0.22641509433962265,0.38095238095238093,1.2698412698412698,5.587301587301587,1.2698412698412698,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
638,7,Division II,sneadstatecommunitycollege,Andrew Signorelli,,,,Wing,,,15,3.1000000000000005,3.9000000000000004,2.0,3,6.333333333333333,1.4,0.2,0.26666666666666666,0.13333333333333333,0.2,1.0666666666666667,5.0,4.133333333333334,0.4666666666666667,0.4,1.0,0.6083504098360656,0.62,115.74074074074075,0.07121290994273814,0.75,0.04873294346978558,0.4032258064516129,0.8266666666666667,0.09333333333333334,0.396235760277365,0.4952947003467063,2.0802377414561666,1.58494304110946,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1128,8,Division II,sneadstatecommunitycollege,Ra'Shaun Elzy,,,,Wing,,,11,2.8500000000000005,3.4000000000000004,2.0,3,2.272727272727273,0.36363636363636365,0.7272727272727273,0.18181818181818182,0.18181818181818182,0.0,0.45454545454545453,1.7272727272727273,0.7272727272727273,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.5661231884057971,0.5263157894736842,103.82059800664453,0.028832798505675553,4.0,0.08305647840531562,0.25,0.42105263157894735,0.3684210526315789,0.27229407760381213,0.27229407760381213,0.5445881552076243,0.6807351940095303,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1555,9,Division II,sneadstatecommunitycollege,Carson Purkey,,,,Wing,,,13,2.675,3.05,2.0,3,2.6153846153846154,1.0,0.9230769230769231,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.7692307692307693,1.6923076923076923,1.3846153846153846,0.38461538461538464,0.07692307692307693,0.9230769230769231,0.7024793388429752,0.7045454545454546,105.59006211180123,0.03158720816166372,1.5,0.24844720496894407,0.5,0.8181818181818182,0.22727272727272727,0.896358543417367,0.5602240896358543,1.4565826330532212,1.1204481792717087,Elite,5,Poor,1,Average,3,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1595,10,Division II,sneadstatecommunitycollege,Ray Rolley,,,,Wing,,,15,2.6574999999999998,2.7,2.45,3,11.533333333333333,3.6666666666666665,6.666666666666667,2.4,0.6666666666666666,0.6,1.6,8.4,3.2666666666666666,4.666666666666667,0.6666666666666666,3.0,0.551658163265306,0.49603174603174605,89.73029045643153,0.16727398924171438,2.7777777777777777,0.18672199170124482,0.22448979591836735,0.3888888888888889,0.5555555555555556,3.5661218424962855,1.8821198613174839,5.448241703813769,2.37741456166419,Average,3,Average,3,Poor,1,Elite,5,Below Average,2,Poor,1,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
