MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
166,1,Division II,southarkansascollege,Xavier Meyers,,,,Wing,,,10,3.63,3.7000000000000006,3.8,3,19.8,5.1,1.9,2.6,2.7,0.7,1.1,14.0,3.5,5.9,1.5,3.6,0.596529284164859,0.5678571428571428,103.14648885184413,0.20581549942102334,0.7307692307692307,0.13544488435090643,0.37142857142857144,0.25,0.42142857142857143,3.180428134556575,4.159021406727828,6.238532110091743,1.345565749235474,Very Good,4,Very Good,4,Average,3,Poor,1,Very Good,4,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Very Good,4,Unknown
431,2,Division II,southarkansascollege,Travis Ligene,,,,Wing,,,10,3.3075,4.0,2.45,3,5.1,1.5,1.6,0.4,1.2,0.2,0.6,3.5,0.2,0.7,0.9,0.6,0.6696428571428572,0.6857142857142857,121.19771863117872,0.045117296393189524,4.0,0.09505703422053233,1.0,0.05714285714285714,0.2,0.4892966360856269,1.7125382262996942,1.834862385321101,0.7339449541284404,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1195,3,Division II,southarkansascollege,Braylon Hall,,,,Wing,,,10,2.88,2.2,3.8,3,8.4,3.9,2.6,2.3,3.0,0.0,1.5,6.4,2.5,3.2,1.0,2.9,0.5379098360655737,0.4765625,83.10249307479225,0.10837586310417294,1.1304347826086956,0.22754254056193116,0.28,0.390625,0.5,2.8134556574923546,3.669724770642202,4.770642201834862,1.834862385321101,Average,3,Poor,1,Poor,1,Average,3,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Elite,5,Very Good,4,Unknown
1289,4,Division II,southarkansascollege,Carlos Escalera,,,,Wing,,,10,2.8400000000000007,2.7500000000000004,2.9000000000000004,3,11.6,3.9,3.4,1.3,1.5,0.6,1.8,10.4,1.6,3.7,1.0,2.9,0.48220818091120715,0.4230769230769231,87.03481392557023,0.14290003002101473,2.6153846153846154,0.0975390156062425,0.25,0.15384615384615385,0.3557692307692308,1.5902140672782874,2.5688073394495414,4.770642201834862,2.2018348623853212,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1718,5,Division II,southarkansascollege,Treylan Neal,,,,Wing,,,7,2.675,3.05,2.0,3,3.857142857142857,1.1428571428571428,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,3.142857142857143,1.8571428571428572,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.6016042780748663,0.5909090909090909,106.1320754716981,0.03873561118216701,1.0,0.11792452830188678,0.15384615384615385,0.5909090909090909,0.045454545454545456,0.5240174672489083,0.5240174672489083,1.3973799126637554,0.34934497816593885,Elite,5,Poor,1,Average,3,Below Average,2,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2358,6,Division II,southarkansascollege,Josiah Wilson,,,,Wing,,,10,2.4574999999999996,2.3,2.45,3,3.7,4.9,0.5,0.5,0.5,1.0,2.3,3.4,0.0,2.0,1.8,3.1,0.4322429906542056,0.4117647058823529,77.40585774058577,0.051250160826864524,1.0,0.10460251046025106,,0.0,0.5882352941176471,0.6116207951070336,1.834862385321101,5.99388379204893,2.8134556574923546,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2688,7,Division II,southarkansascollege,Zion Stewart,,,,Wing,,,8,2.3575,2.1,2.45,3,7.625,3.5,0.625,1.125,1.125,0.25,1.25,7.25,1.625,2.625,1.5,2.0,0.4535990481856038,0.3879310344827586,80.01049317943337,0.10222031534913655,0.5555555555555556,0.1180482686253935,0.23076923076923078,0.22413793103448276,0.3620689655172414,1.38996138996139,1.6988416988416988,4.324324324324325,1.5444015444015444,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2788,8,Division II,southarkansascollege,Kenyon Holmes,,,,Wing,,,10,2.3325000000000005,2.0500000000000003,2.45,3,7.3,4.8,0.7,1.7,1.1,0.5,1.7,6.2,2.0,1.9,1.5,3.3,0.5187606594656055,0.4838709677419355,83.56227106227107,0.0936655658961273,0.4117647058823529,0.1945970695970696,0.2,0.3225806451612903,0.3064516129032258,2.079510703363914,1.9571865443425076,5.871559633027523,2.079510703363914,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3288,9,Division II,southarkansascollege,Martez Singleton,,,,Wing,,,6,2.2,2.1,2.0,3,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,1.8333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.21043771043771042,0.18181818181818182,38.81987577639752,0.023306311522872034,1.0,0.07763975155279502,0.0,0.09090909090909091,0.18181818181818182,0.20768431983385255,0.20768431983385255,0.4153686396677051,0.20768431983385255,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3335,10,Division II,southarkansascollege,John St Jacques,,,,Wing,,,10,2.175,2.0500000000000003,2.0,3,2.6,1.0,0.7,0.5,0.5,0.0,0.4,2.5,1.2,0.6,0.5,0.5,0.4703328509406657,0.5,79.65686274509804,0.03499592571943218,1.4,0.15318627450980393,0.25,0.48,0.24,0.6116207951070336,0.6116207951070336,1.2232415902140672,0.4892966360856269,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3515,11,Division II,southarkansascollege,Jaylin Robinson,,,,Wing,,,6,2.1375,2.15,1.75,3,8.0,5.0,0.3333333333333333,1.0,0.5,0.0,3.0,7.0,0.3333333333333333,1.8333333333333333,1.8333333333333333,3.1666666666666665,0.5123825789923142,0.5119047619047619,90.84027252081755,0.09251348133622804,0.3333333333333333,0.11355034065102194,0.5,0.047619047619047616,0.2619047619047619,1.1846001974333662,0.5923000987166831,5.923000987166831,3.5538005923000986,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Average,3,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
