MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
25,1,Division II,southeastarkansascollege,Lavion Owens,,,,Wing,,,11,4.0775,4.7,3.65,3,23.636363636363637,11.272727272727273,2.272727272727273,0.9090909090909091,1.1818181818181819,0.18181818181818182,1.7272727272727273,15.181818181818182,7.7272727272727275,4.545454545454546,4.090909090909091,7.181818181818182,0.6878306878306878,0.6736526946107785,130.6532663316583,0.21696467509812475,2.5,0.05025125628140704,0.3411764705882353,0.5089820359281437,0.2994011976047904,1.2430080795525171,1.8645121193287757,15.413300186451211,2.3617153511497824,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Unknown
322,2,Division II,southeastarkansascollege,Amir Rosa,,,,Wing,,,12,3.3575,4.1,2.45,3,16.166666666666668,5.166666666666667,1.8333333333333333,1.1666666666666667,1.0833333333333333,0.4166666666666667,1.9166666666666667,12.0,4.333333333333333,2.5,1.4166666666666667,3.75,0.6170483460559797,0.59375,113.3177570093458,0.1644319797149333,1.5714285714285714,0.08177570093457945,0.3269230769230769,0.3611111111111111,0.20833333333333334,1.5217391304347827,1.9565217391304348,6.739130434782608,2.5,Elite,5,Average,3,Very Good,4,Very Good,4,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
431,3,Division II,southeastarkansascollege,Dominick Baptiste,,,,Wing,,,10,3.25,4.2,2.0,3,8.2,1.2,1.2,0.7,0.6,0.1,1.3,5.8,2.9,0.9,0.2,1.0,0.6617172369270496,0.646551724137931,118.90951276102086,0.07974466904112126,1.7142857142857142,0.10150812064965196,0.4482758620689655,0.5,0.15517241379310345,0.9096816114359974,0.9096816114359974,1.5594541910331383,1.6894087069525665,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1032,4,Division II,southeastarkansascollege,Jordan Allen,,,,Wing,,,11,2.8950000000000005,3.35,2.2,3,17.181818181818183,3.0,4.454545454545454,3.090909090909091,1.0909090909090908,0.09090909090909091,2.3636363636363638,13.454545454545455,5.636363636363637,3.272727272727273,0.6363636363636364,2.3636363636363638,0.5767822265625,0.5574324324324325,95.53174282248281,0.20507504768222906,1.4411764705882353,0.17185604528912252,0.43548387096774194,0.4189189189189189,0.24324324324324326,4.0189125295508275,1.5366430260047281,3.900709219858156,3.0732860520094563,Very Good,4,Very Good,4,Below Average,2,Average,3,Below Average,2,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Below Average,2,Poor,1,Very Good,4,Average,3,Unknown
1216,5,Division II,southeastarkansascollege,Cadell Wallace,,,,Wing,,,12,2.8099999999999996,2.55,3.1,3,8.666666666666666,2.25,5.916666666666667,2.0,1.9166666666666667,0.25,2.3333333333333335,7.416666666666667,2.5833333333333335,1.6666666666666667,0.08333333333333333,2.1666666666666665,0.5316973415132924,0.5168539325842697,85.38587848932677,0.11698490145606821,2.9583333333333335,0.19704433497536947,0.3225806451612903,0.34831460674157305,0.2247191011235955,2.608695652173913,2.8260869565217392,2.9347826086956523,3.0434782608695654,Average,3,Poor,1,Poor,1,Elite,5,Below Average,2,Average,3,Average,3,Very Good,4,Very Good,4,Average,3,Very Good,4,Poor,1,Very Good,4,Very Good,4,Unknown
1862,6,Division II,southeastarkansascollege,Kyler Dandridge,,,,Wing,,,9,2.5575,2.5,2.45,3,4.222222222222222,2.4444444444444446,0.5555555555555556,0.3333333333333333,0.8888888888888888,0.3333333333333333,1.6666666666666667,4.0,0.4444444444444444,1.8888888888888888,0.7777777777777778,1.6666666666666667,0.436982520699172,0.3472222222222222,81.75559380378657,0.058737299701764153,1.6666666666666667,0.06454388984509465,0.25,0.1111111111111111,0.4722222222222222,0.42583392476933996,1.5613910574875798,3.1227821149751596,2.1291696238466997,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1945,7,Division II,southeastarkansascollege,Cayden Gibson,,,,Wing,,,11,2.5250000000000004,2.75,2.0,3,4.2727272727272725,2.909090909090909,0.09090909090909091,0.7272727272727273,0.8181818181818182,0.0,1.2727272727272727,2.909090909090909,0.2727272727272727,1.3636363636363635,1.0,1.9090909090909092,0.6088082901554404,0.5625,100.85836909871244,0.04877946656617678,0.125,0.17167381974248927,0.0,0.09375,0.46875,0.9428403064230996,1.060695344725987,3.7713612256923983,1.6499705362404242,Elite,5,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2705,8,Division II,southeastarkansascollege,Deandre Thompson,,,,Wing,,,8,2.3,2.3,2.0,3,2.125,4.5,0.125,0.125,0.125,0.625,1.25,2.0,0.0,0.625,2.0,2.5,0.46703296703296704,0.4375,88.54166666666667,0.026312904286810653,1.0,0.052083333333333336,,0.0,0.3125,0.15673981191222572,0.9404388714733543,5.6426332288401255,1.567398119122257,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2774,9,Division II,southeastarkansascollege,Andre Barnes,,,,Wing,,,9,2.275,2.25,2.0,3,2.7777777777777777,1.3333333333333333,1.2222222222222223,0.6666666666666666,0.7777777777777778,0.1111111111111111,0.4444444444444444,3.4444444444444446,1.7777777777777777,1.1111111111111112,0.1111111111111111,1.2222222222222223,0.3531073446327684,0.25806451612903225,60.38647342995169,0.05032578041427599,1.8333333333333333,0.14492753623188406,0.125,0.5161290322580645,0.3225806451612903,0.8356545961002786,1.1142061281337048,1.6713091922005572,0.5571030640668524,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2780,10,Division II,southeastarkansascollege,Brandon Glass,,,,Wing,,,7,2.275,2.25,2.0,3,2.0,3.142857142857143,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,1.0,1.7142857142857142,0.0,0.7142857142857143,1.5714285714285714,1.5714285714285714,0.49295774647887325,0.5,86.41975308641976,0.024909281013592476,0.5,0.1234567901234568,,0.0,0.4166666666666667,0.3568242640499554,0.5352363960749331,3.9250669045495092,1.2488849241748439,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3214,11,Division II,southeastarkansascollege,Torrey Caswell,,,,Wing,,,9,2.15,2.0,2.0,3,4.444444444444445,3.5555555555555554,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.4444444444444444,2.3333333333333335,4.555555555555555,1.6666666666666667,0.5555555555555556,0.5555555555555556,3.0,0.4629629629629629,0.43902439024390244,81.30081300813008,0.061090692361180095,1.1666666666666667,0.12195121951219512,0.26666666666666666,0.36585365853658536,0.12195121951219512,0.8492569002123143,1.2738853503184713,4.529370134465676,2.9723991507430996,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
