MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
177,1,Division II,southernarkansasuniversitytech,J'Bari Adams,,,,Wing,,,12,3.59,3.2,4.4,3,12.916666666666666,7.833333333333333,0.8333333333333334,1.6666666666666667,2.25,2.75,1.9166666666666667,10.0,3.0833333333333335,2.8333333333333335,1.25,6.583333333333333,0.5742442205097806,0.5416666666666666,100.02581311306143,0.1314289591532094,0.5,0.12906556530717603,0.43243243243243246,0.30833333333333335,0.2833333333333333,1.8948365703458077,5.684509711037423,8.905731880625297,2.179062055897679,Very Good,4,Below Average,2,Below Average,2,Poor,1,Very Good,4,Elite,5,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Elite,5,Average,3,Elite,5,Elite,5,Unknown
1097,2,Division II,southernarkansasuniversitytech,Preston Sanders III,,,,Wing,,,13,2.9275,3.1,2.6500000000000004,3,14.538461538461538,3.3076923076923075,1.6153846153846154,2.0,2.076923076923077,0.07692307692307693,2.769230769230769,11.538461538461538,3.923076923076923,4.538461538461538,0.8461538461538461,2.4615384615384617,0.537053875880882,0.49333333333333335,93.58288770053476,0.15661155743044142,0.8076923076923077,0.12873836403248168,0.43137254901960786,0.34,0.3933333333333333,2.271734381826125,2.4464831804281344,3.757099169943207,3.145478374836173,Average,3,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Very Good,4,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
1177,3,Division II,southernarkansasuniversitytech,Ja'varius Thompson,,,,Wing,,,12,2.8975,2.55,3.35,3,16.583333333333332,2.3333333333333335,4.75,3.5,2.0,0.3333333333333333,2.0833333333333335,15.666666666666666,7.166666666666667,2.8333333333333335,0.9166666666666666,1.4166666666666667,0.4902443831296807,0.46808510638297873,81.23775310254736,0.21050460607727214,1.3571428571428572,0.1714565643370346,0.3488372093023256,0.4574468085106383,0.18085106382978725,4.038461538461538,2.6923076923076925,2.6923076923076925,2.4038461538461537,Below Average,2,Very Good,4,Poor,1,Average,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Very Good,4,Poor,1,Elite,5,Average,3,Unknown
2710,4,Division II,southernarkansasuniversitytech,Carter Malveaux,,,,Wing,,,13,2.375,2.45,2.0,3,3.0,0.8461538461538461,0.6153846153846154,0.9230769230769231,0.23076923076923078,0.0,0.38461538461538464,1.9230769230769231,1.3076923076923077,0.0,0.07692307692307693,0.7692307692307693,0.78,0.78,105.4054054054054,0.028861154446177848,0.6666666666666666,0.32432432432432434,0.6470588235294118,0.68,0.0,1.06430155210643,0.2660753880266075,0.975609756097561,0.4434589800443459,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3188,5,Division II,southernarkansasuniversitytech,Christopher Dreike Okenve,,,,Wing,,,9,2.25,2.2,2.0,3,1.3333333333333333,2.888888888888889,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.5555555555555556,1.8888888888888888,1.6666666666666667,0.0,0.6666666666666666,1.0,1.8888888888888888,0.3401360544217687,0.26666666666666666,61.09979633401222,0.021965731669127186,0.5,0.10183299389002036,,0.0,0.4,0.25839793281653745,1.0335917312661498,3.359173126614987,2.1963824289405687,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3266,6,Division II,southernarkansasuniversitytech,Makale Guy,,,,Wing,,,12,2.225,2.1500000000000004,2.0,3,5.0,4.25,0.75,1.0,0.6666666666666666,0.25,1.75,4.166666666666667,0.8333333333333334,2.0833333333333335,1.9166666666666667,2.3333333333333335,0.4918032786885246,0.46,82.1917808219178,0.061595058895001525,0.75,0.1643835616438356,0.6,0.2,0.5,1.1483253588516746,1.0526315789473684,4.880382775119617,2.0095693779904304,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3308,7,Division II,southernarkansasuniversitytech,Cam Bryant,,,,Wing,,,12,2.2199999999999998,2.0,2.2,3,9.166666666666666,5.916666666666667,1.5833333333333333,1.8333333333333333,1.5833333333333333,0.0,2.9166666666666665,7.833333333333333,0.08333333333333333,4.166666666666667,1.8333333333333333,4.083333333333333,0.47413793103448276,0.40425531914893614,79.71014492753623,0.11643997434945494,0.8636363636363636,0.15942028985507245,0.0,0.010638297872340425,0.5319148936170213,2.1052631578947367,1.8181818181818181,6.794258373205742,3.349282296650718,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
3655,8,Division II,southernarkansasuniversitytech,Khalil Walker,,,,Wing,,,13,2.125,1.9500000000000002,2.0,3,7.6923076923076925,3.8461538461538463,1.7692307692307692,1.7692307692307692,0.9230769230769231,0.0,1.6153846153846154,6.615384615384615,2.6153846153846154,1.8461538461538463,1.4615384615384615,2.3846153846153846,0.5178127589063795,0.4883720930232558,83.64001338240215,0.09286934907565636,1.0,0.19237203077952492,0.29411764705882354,0.3953488372093023,0.27906976744186046,2.0087336244541483,1.0480349344978166,4.366812227074236,1.834061135371179,Below Average,2,Poor,1,Poor,1,Below Average,2,Below Average,2,Below Average,2,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3710,9,Division II,southernarkansasuniversitytech,Keaton McHaney,,,,Wing,,,9,2.1075,1.6,2.45,3,2.7777777777777777,5.444444444444445,0.4444444444444444,1.5555555555555556,1.0,0.4444444444444444,2.4444444444444446,3.3333333333333335,0.0,2.5555555555555554,1.4444444444444444,4.0,0.3115653040877368,0.23333333333333334,46.193643754619366,0.061039429757285935,0.2857142857142857,0.2586844050258685,,0.0,0.7666666666666667,1.7857142857142858,1.6581632653061225,6.25,2.806122448979592,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3849,10,Division II,southernarkansasuniversitytech,Shawn McKinley,,,,Wing,,,12,2.075,1.85,2.0,3,2.5833333333333335,3.0833333333333335,0.3333333333333333,0.5,0.25,0.16666666666666666,1.25,3.0833333333333335,0.25,0.5833333333333334,0.9166666666666666,2.1666666666666665,0.38672654690618763,0.3783783783783784,67.27430555555556,0.039048200122025624,0.6666666666666666,0.13020833333333334,0.0,0.08108108108108109,0.1891891891891892,0.5671077504725898,0.4725897920604915,3.497164461247637,1.4177693761814745,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
