MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
112,1,Division II,southmountaincommunitycollege,Jadden Jones,,,,Wing,,,18,3.7250000000000005,3.7500000000000004,4.0,3,5.0,7.944444444444445,2.0555555555555554,0.7777777777777778,1.8333333333333333,0.1111111111111111,2.4444444444444446,3.2777777777777777,1.1111111111111112,1.2777777777777777,3.0555555555555554,4.888888888888889,0.6510416666666666,0.6101694915254238,108.2771896053898,0.05426720986106759,2.642857142857143,0.16843118383060635,0.2,0.3389830508474576,0.3898305084745763,1.0903426791277258,2.7258566978193146,11.137071651090343,3.426791277258567,Elite,5,Poor,1,Very Good,4,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Very Good,4,Elite,5,Unknown
327,2,Division II,southmountaincommunitycollege,Semajay James,,,,Wing,,,9,3.4000000000000004,3.45,3.5,3,8.222222222222221,6.666666666666667,2.3333333333333335,1.0,1.3333333333333333,0.1111111111111111,1.3333333333333333,5.777777777777778,0.4444444444444444,2.7777777777777777,2.4444444444444446,4.222222222222222,0.5873015873015873,0.5576923076923077,102.77777777777777,0.0949367088607595,2.3333333333333335,0.125,0.5,0.07692307692307693,0.4807692307692308,1.3996889580093312,2.021772939346812,9.331259720062208,1.8662519440124417,Very Good,4,Poor,1,Average,3,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Average,3,Average,3,Elite,5,Elite,5,Unknown
333,3,Division II,southmountaincommunitycollege,Travis Vasquez,,,,Wing,,,14,3.3900000000000006,3.85,2.9000000000000004,3,13.214285714285714,4.0,4.285714285714286,1.6428571428571428,1.3571428571428572,0.2857142857142857,1.2142857142857142,10.0,4.214285714285714,1.4285714285714286,0.7142857142857143,3.2857142857142856,0.6216397849462365,0.6107142857142858,107.68335273573922,0.1441613801899775,2.608695652173913,0.13387660069848661,0.4576271186440678,0.42142857142857143,0.14285714285714285,2.29426433915212,2.29426433915212,5.586034912718205,1.6957605985037407,Elite,5,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
382,4,Division II,southmountaincommunitycollege,Blake Carabio,,,,Wing,,,19,3.3525,3.95,2.6500000000000004,3,15.052631578947368,3.3684210526315788,1.4210526315789473,1.5263157894736843,1.631578947368421,0.0,2.3157894736842106,11.368421052631579,6.947368421052632,2.0,0.8421052631578947,2.526315789473684,0.6144723272602269,0.5995370370370371,109.27709001986855,0.16168730076358515,0.9310344827586207,0.11080544092923734,0.4166666666666667,0.6111111111111112,0.17592592592592593,2.136279926335175,2.283609576427256,4.714548802946593,3.241252302025783,Elite,5,Average,3,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
1610,5,Division II,southmountaincommunitycollege,Parker Escalante,,,,Wing,,,17,2.7299999999999995,2.25,3.3,3,10.823529411764707,3.235294117647059,1.7647058823529411,2.235294117647059,2.176470588235294,0.11764705882352941,2.823529411764706,8.058823529411764,2.2941176470588234,4.294117647058823,0.7647058823529411,2.4705882352941178,0.5439924314096499,0.49635036496350365,88.83738895326381,0.1438493165907323,0.7894736842105263,0.18346852066434916,0.3076923076923077,0.2846715328467153,0.5328467153284672,3.1600831600831603,3.2432432432432434,4.573804573804574,3.991683991683992,Average,3,Below Average,2,Poor,1,Poor,1,Below Average,2,Below Average,2,Average,3,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Average,3,Very Good,4,Unknown
1964,6,Division II,southmountaincommunitycollege,Eric Butler,,,,Wing,,,9,2.5999999999999996,2.8999999999999995,2.0,3,2.6666666666666665,3.5555555555555554,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,1.1111111111111112,2.2222222222222223,0.2222222222222222,0.7777777777777778,1.4444444444444444,2.111111111111111,0.5199306759098787,0.5,95.69377990430623,0.03249378109452736,1.5,0.07974481658692185,0.0,0.1,0.35,0.30792917628945343,0.15396458814472672,4.926866820631255,1.539645881447267,Below Average,2,Poor,1,Below Average,2,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2221,7,Division II,southmountaincommunitycollege,I'yar Shadowvine,,,,Wing,,,19,2.5125,2.9000000000000004,1.75,3,13.263157894736842,2.6315789473684212,2.6315789473684212,1.4736842105263157,1.0,0.0,2.1578947368421053,11.894736842105264,6.0,3.9473684210526314,0.42105263157894735,2.210526315789474,0.4864864864864865,0.43805309734513276,87.8048780487805,0.1773049645390071,1.7857142857142858,0.0975609756097561,0.3333333333333333,0.504424778761062,0.33185840707964603,2.0626151012891345,1.3996316758747698,3.6832412523020257,3.020257826887661,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2822,8,Division II,southmountaincommunitycollege,Devone Pless,,,,Wing,,,9,2.3499999999999996,2.4,2.0,3,8.0,4.555555555555555,1.5555555555555556,1.0,0.4444444444444444,0.4444444444444444,1.7777777777777777,7.444444444444445,0.3333333333333333,1.7777777777777777,2.0,2.5555555555555554,0.486223662884927,0.4626865671641791,86.70520231213872,0.11065508235168701,1.5555555555555556,0.1083815028901734,0.0,0.04477611940298507,0.23880597014925373,1.4331210191082802,1.2738853503184713,6.528662420382165,2.5477707006369426,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2985,9,Division II,southmountaincommunitycollege,Gak Kueth,,,,Wing,,,18,2.3,2.3,2.0,3,4.555555555555555,3.2222222222222223,0.2777777777777778,0.8333333333333334,0.5555555555555556,0.0,1.2777777777777777,3.4444444444444446,0.0,1.4444444444444444,1.3888888888888888,1.8333333333333333,0.5582788671023965,0.5645161290322581,92.71822704658526,0.05774052021309934,0.3333333333333333,0.16960651289009498,,0.0,0.41935483870967744,1.1682242990654206,0.778816199376947,4.517133956386293,1.7912772585669783,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3158,10,Division II,southmountaincommunitycollege,Dylan Eaddy,,,,Wing,,,14,2.25,2.2,2.0,3,3.0,2.2142857142857144,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,1.0,3.2142857142857144,2.0,0.0,1.3571428571428572,0.8571428571428571,0.4666666666666667,0.4666666666666667,89.36170212765957,0.039438794347665555,3.0,0.0425531914893617,0.2857142857142857,0.6222222222222222,0.0,0.19950124688279303,0.5985037406483791,3.092269326683292,1.3965087281795512,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
