MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
2,1,Division II,southsuburbancollege,Samar Bures,,,Guard,Guard,,,15,4.425,4.7,4.4,3,16.866666666666667,3.6666666666666665,5.866666666666666,1.4,3.0,0.4,1.2666666666666666,11.6,2.6666666666666665,3.1333333333333333,0.4666666666666667,3.2,0.6497842613519622,0.617816091954023,117.30341246290801,0.18227300385369483,4.190476190476191,0.09736646884272997,0.425,0.22988505747126436,0.27011494252873564,2.097902097902098,5.094905094905095,5.4945054945054945,1.898101898101898,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
3,2,Division II,southsuburbancollege,AJ Abrams,,,Guard,Guard,,,18,4.42,4.5,4.7,3,21.88888888888889,7.388888888888889,5.111111111111111,1.7222222222222223,3.2222222222222223,0.2777777777777778,2.0555555555555554,14.5,0.5,5.277777777777778,2.8333333333333335,4.555555555555555,0.6505944517833553,0.6283524904214559,118.03475134811264,0.23088841546080846,2.967741935483871,0.09286998202516476,0.2222222222222222,0.034482758620689655,0.36398467432950193,2.519301097114994,5.119869971556278,10.808614384396586,3.0069077610727346,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Unknown
90,3,Division II,southsuburbancollege,Isaiah Green,,,Guard,Guard,,,14,3.79,3.45,4.55,3,12.714285714285714,4.071428571428571,4.357142857142857,1.0714285714285714,2.142857142857143,0.2857142857142857,1.0,10.857142857142858,3.642857142857143,1.9285714285714286,1.0714285714285714,3.0,0.5430803026604833,0.5230263157894737,99.50805008944545,0.16181206353801067,4.066666666666666,0.08385509838998212,0.3333333333333333,0.3355263157894737,0.17763157894736842,1.5889830508474576,3.6016949152542375,6.038135593220339,1.4830508474576272,Average,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Average,3,Very Good,4,Very Good,4,Average,3,Very Good,4,Elite,5,Below Average,2,Elite,5,Elite,5,Unknown
888,4,Division II,southsuburbancollege,Eion Ikner,,,Forward/Center,Big,,,9,3.0250000000000004,4.3,1.6,3,2.2222222222222223,1.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.5555555555555556,0.5555555555555556,1.2222222222222223,0.0,0.3333333333333333,0.8888888888888888,1.0,0.8116883116883117,0.8181818181818182,162.33766233766232,0.01593707958191038,99.0,0.0,,0.0,0.2727272727272727,0.0,1.0695187165775402,2.5974025974025974,0.7639419404125286,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1560,5,Division II,southsuburbancollege,Gakobie McNeal,,,Forward,Wing,,,18,2.75,2.5,3.0,3,5.555555555555555,6.666666666666667,1.2777777777777777,0.9444444444444444,0.7777777777777778,0.7777777777777778,2.7222222222222223,4.444444444444445,0.16666666666666666,1.3888888888888888,2.3333333333333335,4.333333333333333,0.5494505494505495,0.5125,92.5925925925926,0.07470326204244251,1.3529411764705883,0.1574074074074074,0.0,0.0375,0.3125,1.3815522145469321,2.2754977651361235,9.752133279154815,3.982121088988216,Average,3,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Average,3,Average,3,Elite,5,Unknown
1721,6,Division II,southsuburbancollege,Angel Edmonson,,,Forward/Center,Big,,,17,2.6875,2.35,2.95,3,7.764705882352941,8.0,2.0588235294117645,1.4705882352941178,1.588235294117647,1.1176470588235294,3.235294117647059,5.882352941176471,0.0,1.411764705882353,3.176470588235294,4.823529411764706,0.5969609261939218,0.6,97.37385659486574,0.09960323291697282,1.4,0.1844201829448215,,0.0,0.24,2.16076058772688,3.975799481417459,11.754537597234226,4.753673292999136,Average,3,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Elite,5,Very Good,4,Below Average,2,Average,3,Very Good,4,Unknown
1905,7,Division II,southsuburbancollege,Tanner Fields,,,Guard,Guard,,,17,2.615,3.0,1.9,3,10.647058823529411,2.176470588235294,1.7058823529411764,0.9411764705882353,0.8235294117647058,0.0,2.0,9.529411764705882,5.0,0.5882352941176471,1.0,1.1764705882352942,0.5438701923076923,0.5339506172839507,99.23245614035088,0.12616550922723627,1.8125,0.08771929824561403,0.3176470588235294,0.5246913580246914,0.06172839506172839,1.300284437220642,1.1377488825680617,3.0069077610727346,2.7631044290938642,Average,3,Poor,1,Below Average,2,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Poor,1,Very Good,4,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2163,8,Division II,southsuburbancollege,Zach Greene,,,Guard,Guard,,,13,2.5275,2.65,2.2,3,2.769230769230769,0.6923076923076923,0.7692307692307693,0.3076923076923077,0.23076923076923078,0.15384615384615385,1.0,2.6153846153846154,1.1538461538461537,0.5384615384615384,0.0,0.6923076923076923,0.4854368932038835,0.4852941176470588,87.63388510223953,0.03773238298185024,2.5,0.09737098344693282,0.3333333333333333,0.4411764705882353,0.20588235294117646,0.4333694474539545,0.5417118093174431,0.9750812567713976,1.408450704225352,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2165,9,Division II,southsuburbancollege,Shane Handlon,,,Guard,Guard,,,9,2.5275,2.3000000000000003,2.75,3,7.666666666666667,3.4444444444444446,2.3333333333333335,1.4444444444444444,1.1111111111111112,0.4444444444444444,1.5555555555555556,7.444444444444445,3.2222222222222223,0.6666666666666666,0.3333333333333333,3.111111111111111,0.4954049396898334,0.4701492537313433,83.4946757018393,0.10908706901103543,1.6153846153846154,0.15730880929332042,0.3793103448275862,0.43283582089552236,0.08955223880597014,2.0233463035019454,2.178988326848249,4.824902723735408,2.178988326848249,Below Average,2,Poor,1,Poor,1,Average,3,Average,3,Very Good,4,Average,3,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2303,10,Division II,southsuburbancollege,Mason Minor,,,Guard,Guard,,,11,2.5,2.5999999999999996,2.2,3,0.7272727272727273,0.36363636363636365,0.7272727272727273,0.09090909090909091,0.2727272727272727,0.0,0.45454545454545453,1.0909090909090908,0.0,0.0,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.3333333333333333,61.53846153846154,0.014117544850354024,8.0,0.07692307692307693,,0.0,0.0,0.12861736334405144,0.3858520900321543,0.5144694533762058,0.6430868167202572,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
