MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
770,1,Division II,southwesterncommunitycollege,Alec Belter,,,,Wing,,,19,3.0874999999999995,3.6999999999999997,2.25,3,14.210526315789474,5.7894736842105265,2.1052631578947367,2.263157894736842,1.0,0.3157894736842105,3.210526315789474,10.263157894736842,5.052631578947368,2.8947368421052633,0.6842105263157895,5.105263157894737,0.6158759124087592,0.5769230769230769,102.97482837528605,0.16701913522052642,0.9302325581395349,0.16399694889397406,0.4270833333333333,0.49230769230769234,0.28205128205128205,2.961432506887052,1.721763085399449,7.575757575757576,4.201101928374656,Elite,5,Average,3,Average,3,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Below Average,2,Average,3,Very Good,4,Unknown
948,2,Division II,southwesterncommunitycollege,Niko Wilson,,,,Wing,,,10,3.0,3.7,2.0,3,11.7,3.4,3.2,1.7,0.7,0.1,1.9,8.7,2.7,2.1,0.9,2.5,0.6078553615960101,0.5632183908045977,103.32038149063935,0.1392044057628952,1.8823529411764706,0.15012363122571531,0.4444444444444444,0.3103448275862069,0.2413793103448276,2.274247491638796,1.0702341137123745,4.548494983277592,2.5418060200668897,Elite,5,Below Average,2,Average,3,Very Good,4,Average,3,Elite,5,Average,3,Very Good,4,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1203,3,Division II,southwesterncommunitycollege,Justine De La Cruz,,,,Wing,,,15,2.8825000000000003,3.5,1.95,3,16.4,4.933333333333334,2.4,2.3333333333333335,0.6,0.8666666666666667,3.2666666666666666,12.2,5.266666666666667,4.4,0.4666666666666667,4.466666666666667,0.5800792303338993,0.5300546448087432,99.57901554404145,0.19847671690715687,1.0285714285714285,0.14167746113989638,0.43037974683544306,0.43169398907103823,0.36065573770491804,3.042155584528466,1.9122120817036072,6.431986093003042,4.259017818339852,Very Good,4,Very Good,4,Below Average,2,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Average,3,Very Good,4,Unknown
1271,4,Division II,southwesterncommunitycollege,Micah Hines,,,,Wing,,,12,2.8525,2.9499999999999997,2.6500000000000004,3,12.166666666666666,3.75,1.9166666666666667,2.0,1.6666666666666667,0.3333333333333333,2.5,8.75,1.6666666666666667,3.6666666666666665,0.75,3.0,0.5870054679961403,0.5523809523809524,98.4092747371259,0.14867519140578025,0.9583333333333334,0.1617686708007549,0.4,0.19047619047619047,0.41904761904761906,2.5848142164781907,2.5848142164781907,4.846526655896607,3.231017770597738,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
1825,5,Division II,southwesterncommunitycollege,Michael Smith,,,,Wing,,,15,2.6450000000000005,2.1500000000000004,3.2,3,7.866666666666666,5.533333333333333,0.9333333333333333,1.2666666666666666,1.3333333333333333,0.4,2.2666666666666666,8.266666666666667,0.3333333333333333,2.6,2.4,3.1333333333333333,0.417965429300085,0.39919354838709675,73.67632367632368,0.12830865859129653,0.7368421052631579,0.11863136863136864,0.2,0.04032258064516129,0.31451612903225806,1.645021645021645,2.2510822510822512,7.186147186147186,2.9437229437229435,Poor,1,Below Average,2,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
2715,6,Division II,southwesterncommunitycollege,Luka Pecelj,,,,Wing,,,12,2.375,2.45,2.0,3,3.1666666666666665,1.9166666666666667,0.3333333333333333,0.25,0.16666666666666666,0.16666666666666666,1.75,3.0,1.1666666666666667,0.5,0.9166666666666666,1.0,0.4917184265010352,0.4722222222222222,91.25840537944285,0.04209291981723343,1.3333333333333333,0.07204610951008646,0.42857142857142855,0.3888888888888889,0.16666666666666666,0.3262642740619902,0.43501903208265363,2.5013594344752583,2.2838499184339316,Below Average,2,Poor,1,Poor,1,Average,3,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3275,7,Division II,southwesterncommunitycollege,Ethan Crawford,,,,Wing,,,9,2.225,2.1500000000000004,2.0,3,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.0,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.4098360655737705,0.25,68.02721088435375,0.007851725243029592,3.0,0.17006802721088435,0.0,0.5,0.5,0.14450867052023122,0.0,0.14450867052023122,0.14450867052023122,Poor,1,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3284,8,Division II,southwesterncommunitycollege,Theo Alexandersson Ohnell,,,,Wing,,,16,2.2249999999999996,2.15,2.0,3,8.6875,2.4375,2.25,2.1875,0.75,0.0,2.125,8.0,3.9375,1.25,0.5,1.9375,0.5080409356725146,0.4921875,80.9080325960419,0.13183743630671008,1.0285714285714285,0.2037252619324796,0.4444444444444444,0.4921875,0.15625,2.9106029106029108,0.997920997920998,3.2432432432432434,2.8274428274428276,Below Average,2,Below Average,2,Poor,1,Below Average,2,Poor,1,Elite,5,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3800,9,Division II,southwesterncommunitycollege,Myles Opare,,,,Wing,,,8,2.0875000000000004,2.0500000000000003,1.75,3,5.875,1.5,0.5,1.0,0.375,0.125,2.375,5.375,1.625,1.375,0.375,1.125,0.49122073578595316,0.45348837209302323,84.16905444126074,0.08414200470134411,0.5,0.14326647564469913,0.38461538461538464,0.3023255813953488,0.2558139534883721,1.28,0.64,1.92,3.04,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
3977,10,Division II,southwesterncommunitycollege,Bayley Lattenstein,,,,Wing,,,6,2.05,1.8,2.0,3,3.0,1.3333333333333333,0.5,0.8333333333333334,0.3333333333333333,0.0,0.8333333333333334,3.0,1.6666666666666667,2.0,0.16666666666666666,1.1666666666666667,0.38659793814432986,0.4166666666666667,63.64922206506365,0.05585841826657186,0.6,0.1768033946251768,0.3,0.5555555555555556,0.6666666666666666,1.0526315789473684,0.42105263157894735,1.6842105263157894,1.0526315789473684,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
