MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
441,1,Division II,southwesternmichigan,Jovohn Ratliff,,,,Wing,,,17,3.3000000000000007,4.300000000000001,2.0,3,17.941176470588236,2.4705882352941178,1.588235294117647,1.7058823529411764,0.7058823529411765,0.058823529411764705,1.8235294117647058,12.0,3.2941176470588234,4.0,0.7647058823529411,1.7058823529411764,0.6519322845417236,0.6127450980392157,116.00486840103453,0.1868178717598909,0.9310344827586207,0.11029971093868857,0.5357142857142857,0.27450980392156865,0.3333333333333333,2.287968441814596,1.0256410256410255,3.3136094674556213,2.445759368836292,Elite,5,Average,3,Elite,5,Below Average,2,Very Good,4,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
469,2,Division II,southwesternmichigan,Davion Goins,,,,Wing,,,17,3.2799999999999994,3.3499999999999996,3.3,3,17.88235294117647,7.9411764705882355,2.5294117647058822,3.4705882352941178,1.1176470588235294,0.7058823529411765,2.8823529411764706,11.647058823529411,2.0588235294117645,6.0,1.411764705882353,6.529411764705882,0.6258234519104084,0.5782828282828283,100.70226580098053,0.21450090950432016,0.7288135593220338,0.19544189744269247,0.37142857142857144,0.17676767676767677,0.5151515151515151,4.654832347140039,2.445759368836292,10.650887573964496,3.8658777120315584,Elite,5,Very Good,4,Below Average,2,Poor,1,Below Average,2,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Average,3,Very Good,4,Average,3,Below Average,2,Unknown
1279,3,Division II,southwesternmichigan,Anthony Brady,,,,Wing,,,13,2.8500000000000005,3.4000000000000004,2.0,3,7.461538461538462,1.2307692307692308,0.15384615384615385,0.7692307692307693,0.15384615384615385,0.0,1.6923076923076923,5.6923076923076925,3.6923076923076925,1.1538461538461537,0.3076923076923077,0.9230769230769231,0.6017369727047147,0.581081081081081,107.06401766004416,0.08464758203154196,0.2,0.11037527593818985,0.375,0.6486486486486487,0.20270270270270271,1.0422094841063054,0.20844189682126107,1.6675351745700886,2.2928608650338718,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1781,4,Division II,southwesternmichigan,Damontae May,,,,Wing,,,17,2.6574999999999998,2.7,2.45,3,10.411764705882353,4.529411764705882,5.0588235294117645,1.8823529411764706,1.1764705882352942,0.11764705882352941,0.8823529411764706,9.529411764705882,4.647058823529412,1.6470588235294117,0.5882352941176471,3.9411764705882355,0.5076870123910051,0.49074074074074076,85.78906552927492,0.14660072760345613,2.6875,0.15509887553315238,0.3670886075949367,0.4876543209876543,0.1728395061728395,2.52465483234714,1.7357001972386588,6.074950690335306,1.183431952662722,Below Average,2,Below Average,2,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2178,5,Division II,southwesternmichigan,Deuce Weston,,,,Wing,,,17,2.5250000000000004,2.75,2.0,3,10.058823529411764,2.1176470588235294,4.235294117647059,2.235294117647059,0.7058823529411765,0.058823529411764705,1.3529411764705883,6.647058823529412,1.5294117647058822,3.9411764705882355,0.5294117647058824,1.588235294117647,0.6000842223469961,0.504424778761062,94.74734042553192,0.12824010914051842,1.894736842105263,0.21054964539007093,0.3076923076923077,0.23008849557522124,0.5929203539823009,2.998027613412229,1.0256410256410255,2.8402366863905324,1.8145956607495068,Elite,5,Below Average,2,Poor,1,Very Good,4,Poor,1,Below Average,2,Below Average,2,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
2649,6,Division II,southwesternmichigan,Shirron Taylor,,,,Wing,,,11,2.3999999999999995,2.4999999999999996,2.0,3,1.6363636363636365,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.0,0.36363636363636365,1.5454545454545454,0.7272727272727273,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.4797441364605543,0.47058823529411764,91.09311740890688,0.02217334709816419,4.0,0.05060728744939271,0.25,0.47058823529411764,0.23529411764705882,0.12484394506866417,0.24968789013732834,0.7490636704119851,0.4993757802746567,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2797,7,Division II,southwesternmichigan,Gio Williams,,,,Wing,,,8,2.35,2.4000000000000004,2.0,3,2.625,0.375,0.625,0.375,0.375,0.125,0.5,2.875,2.0,0.5,0.125,0.25,0.42407108239095315,0.41304347826086957,75.64841498559078,0.042314493018718376,1.6666666666666667,0.10806916426512968,0.1875,0.6956521739130435,0.17391304347826086,0.5046257359125316,0.6728343145500421,0.5046257359125316,0.6728343145500421,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2963,8,Division II,southwesternmichigan,Jaylen Ingram,,,,Wing,,,17,2.3049999999999997,1.75,2.8,3,7.0,6.823529411764706,0.9411764705882353,1.4705882352941178,0.4117647058823529,0.8823529411764706,2.2941176470588234,5.705882352941177,0.17647058823529413,3.2941176470588234,2.5294117647058822,4.294117647058823,0.4891483064781322,0.4742268041237113,81.15111838516094,0.10419508867667121,0.64,0.17048554282596837,0.0,0.030927835051546393,0.5773195876288659,1.9723865877712032,1.7357001972386588,9.151873767258383,3.076923076923077,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Below Average,2,Average,3,Very Good,4,Elite,5,Unknown
3260,9,Division II,southwesternmichigan,Josh Dennis,,,,Wing,,,13,2.225,2.1500000000000004,2.0,3,2.3846153846153846,3.8461538461538463,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.3076923076923077,1.8461538461538463,2.0,0.46153846153846156,0.5384615384615384,1.3846153846153846,2.4615384615384617,0.5330123796423659,0.5,88.36944127708097,0.03277524478660587,1.0,0.17103762827822122,0.3333333333333333,0.23076923076923078,0.2692307692307692,0.6253256904637832,1.0422094841063054,5.211047420531527,2.5013027618551327,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4303,10,Division II,southwesternmichigan,Ja'Torian Smith,,,,Wing,,,7,1.925,1.5500000000000003,2.0,3,2.142857142857143,1.4285714285714286,0.0,0.5714285714285714,0.14285714285714285,0.0,0.5714285714285714,2.0,1.2857142857142858,0.5714285714285714,0.2857142857142857,1.1428571428571428,0.47588832487309646,0.42857142857142855,75.91093117408907,0.034059569773855485,0.0,0.20242914979757087,0.2222222222222222,0.6428571428571429,0.2857142857142857,0.7590132827324478,0.18975332068311196,1.8975332068311195,0.7590132827324478,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
