MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
566,1,Division II,southwestvirginia,Deonta Mozell,,,,Wing,,,12,3.2074999999999996,3.8,2.45,3,18.666666666666668,2.75,2.0833333333333335,2.8333333333333335,1.3333333333333333,0.0,2.1666666666666665,12.416666666666666,7.583333333333333,5.0,0.8333333333333334,1.9166666666666667,0.6385404789053591,0.6040268456375839,106.97230181470869,0.2010831988937543,0.7352941176470589,0.1623686723973257,0.43956043956043955,0.610738255033557,0.40268456375838924,3.675675675675676,1.7297297297297298,3.5675675675675675,2.810810810810811,Elite,5,Very Good,4,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
1307,2,Division II,southwestvirginia,David Frazier,,,,Wing,,,11,2.8449999999999998,2.5500000000000003,3.2,3,13.909090909090908,6.090909090909091,1.7272727272727273,2.727272727272727,1.6363636363636365,0.2727272727272727,2.3636363636363638,9.636363636363637,2.8181818181818183,6.363636363636363,1.9090909090909092,4.181818181818182,0.5592105263157894,0.4669811320754717,91.72661870503596,0.16286517731604436,0.6333333333333333,0.17985611510791366,0.3548387096774194,0.29245283018867924,0.660377358490566,3.285870755750274,2.3001095290251916,7.338444687842278,2.8477546549835706,Average,3,Average,3,Poor,1,Poor,1,Below Average,2,Very Good,4,Average,3,Very Good,4,Elite,5,Below Average,2,Average,3,Below Average,2,Elite,5,Very Good,4,Unknown
2129,3,Division II,southwestvirginia,Auri Jacobs,,,,Wing,,,13,2.54,2.1500000000000004,2.9000000000000004,3,8.615384615384615,4.384615384615385,3.8461538461538463,1.9230769230769231,1.3846153846153846,0.23076923076923078,1.3076923076923077,7.538461538461538,2.5384615384615383,3.3846153846153846,1.0769230769230769,3.3076923076923075,0.47716428084526247,0.3979591836734694,78.67378477100308,0.12656022189822555,2.0,0.17561112672098902,0.24242424242424243,0.336734693877551,0.4489795918367347,2.4912805181863478,2.092675635276532,5.680119581464873,1.6940707523667164,Poor,1,Below Average,2,Poor,1,Elite,5,Below Average,2,Poor,1,Average,3,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2517,4,Division II,southwestvirginia,Brice Wallace,,,,Wing,,,13,2.4299999999999997,2.35,2.3,3,9.923076923076923,5.538461538461538,1.9230769230769231,1.4615384615384615,0.7692307692307693,0.3076923076923077,1.6153846153846154,10.461538461538462,5.230769230769231,2.6923076923076925,1.0,4.538461538461538,0.4260237780713342,0.4007352941176471,75.70422535211267,0.15148821165676898,1.3157894736842106,0.11150234741784038,0.27941176470588236,0.5,0.25735294117647056,1.8933731938216243,1.3951170901843548,7.174887892376682,2.092675635276532,Poor,1,Average,3,Poor,1,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
2908,5,Division II,southwestvirginia,Luke Michael,,,,Wing,,,11,2.325,2.35,2.0,3,3.3636363636363638,4.090909090909091,0.45454545454545453,0.45454545454545453,0.2727272727272727,0.09090909090909091,1.2727272727272727,2.3636363636363638,0.36363636363636365,2.090909090909091,1.8181818181818181,2.272727272727273,0.5121816168327796,0.4423076923076923,89.98054474708172,0.039948703998756455,1.0,0.12159533073929962,0.25,0.15384615384615385,0.8846153846153846,0.5449591280653951,0.4359673024523161,4.9046321525885554,1.5258855585831064,Below Average,2,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3208,6,Division II,southwestvirginia,Emonte Lee,,,,Wing,,,12,2.25,1.85,2.5,3,6.833333333333333,5.416666666666667,0.3333333333333333,1.5833333333333333,0.75,0.5,2.75,5.75,0.16666666666666666,1.6666666666666667,2.5,2.9166666666666665,0.5269922879177378,0.5434782608695652,84.7107438016529,0.09451648179971878,0.21052631578947367,0.1962809917355372,0.5,0.028985507246376812,0.2898550724637681,2.08105147864184,1.642935377875137,7.119386637458927,3.6144578313253013,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
3492,7,Division II,southwestvirginia,Mike Corley Jr,,,,Wing,,,11,2.175,2.05,2.0,3,6.545454545454546,1.6363636363636365,0.5454545454545454,1.0909090909090908,0.36363636363636365,0.0,0.45454545454545453,5.545454545454546,3.272727272727273,2.3636363636363638,0.6363636363636364,1.0,0.4969630038652678,0.4098360655737705,85.26764566556135,0.08244805499140759,0.5,0.14211274277593558,0.2777777777777778,0.5901639344262295,0.4262295081967213,1.3143483023001095,0.43811610076670315,1.9715224534501643,0.547645125958379,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4113,8,Division II,southwestvirginia,Peyton Ivery,,,,Wing,,,6,1.975,1.6500000000000004,2.0,3,2.8333333333333335,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666666,0.0,0.5,2.8333333333333335,1.8333333333333333,0.0,0.3333333333333333,0.0,0.5,0.5,80.95238095238095,0.037462537462537464,0.0,0.19047619047619047,0.45454545454545453,0.6470588235294118,0.0,0.7936507936507936,0.1984126984126984,0.3968253968253968,0.5952380952380952,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4255,9,Division II,southwestvirginia,Keyshown Manuel,,,,Wing,,,8,1.95,1.6,2.0,3,0.875,1.25,0.0,0.375,0.125,0.25,1.25,0.875,0.125,0.375,0.375,0.875,0.4206730769230769,0.42857142857142855,61.83745583038869,0.01539717083786725,0.0,0.26501766784452296,0.0,0.14285714285714285,0.42857142857142855,0.45871559633027525,0.45871559633027525,1.529051987767584,1.529051987767584,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4319,10,Division II,southwestvirginia,Andy Lambert,,,,Wing,,,10,1.925,1.55,2.0,3,1.1,0.4,0.6,0.7,0.2,0.0,0.6,1.9,1.5,0.3,0.1,0.3,0.2706692913385827,0.23684210526315788,40.26354319180088,0.029472684905497544,0.8571428571428571,0.2562225475841874,0.06666666666666667,0.7894736842105263,0.15789473684210525,0.850546780072904,0.24301336573511542,0.48602673147023084,0.7290400972053463,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
