MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
617,1,Division II,spoonrivercollege,Landyn Richason,,,,Wing,,,13,3.075,3.85,2.0,3,7.384615384615385,1.2307692307692308,0.6153846153846154,0.6153846153846154,0.46153846153846156,0.23076923076923078,1.2307692307692308,5.230769230769231,3.5384615384615383,1.4615384615384615,0.38461538461538464,0.8461538461538461,0.6286013619696176,0.5808823529411765,113.79800853485064,0.08051462166908452,1.0,0.0948316737790422,0.3695652173913043,0.6764705882352942,0.27941176470588236,0.8385744234800838,0.9433962264150944,1.6771488469601676,1.6771488469601676,Elite,5,Poor,1,Very Good,4,Below Average,2,Elite,5,Very Good,4,Very Good,4,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1070,2,Division II,spoonrivercollege,Connor Smith,,,,Wing,,,7,2.825,3.35,2.0,3,3.4285714285714284,0.2857142857142857,0.0,0.42857142857142855,0.2857142857142857,0.0,0.8571428571428571,2.2857142857142856,2.0,1.1428571428571428,0.14285714285714285,0.14285714285714285,0.6147540983606558,0.53125,106.57193605683837,0.03965626540818483,0.0,0.13321492007104796,0.35714285714285715,0.875,0.5,0.570884871550904,0.38058991436726924,0.38058991436726924,1.141769743101808,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1745,3,Division II,spoonrivercollege,Jason Williams,,,,Wing,,,13,2.545,2.3,2.7,3,5.846153846153846,5.076923076923077,1.2307692307692308,1.0,0.38461538461538464,1.2307692307692308,2.923076923076923,4.923076923076923,0.07692307692307693,1.8461538461538463,1.6153846153846154,3.4615384615384617,0.509656652360515,0.5,86.7976244860667,0.08356875620371078,1.2307692307692308,0.14846962083142987,0.0,0.015625,0.375,1.3626834381551363,2.20125786163522,6.918238993710692,3.9832285115303985,Below Average,2,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Below Average,2,Average,3,Elite,5,Unknown
1855,4,Division II,spoonrivercollege,Ethan Nsiona,,,,Wing,,,13,2.5,2.6999999999999997,2.0,3,10.23076923076923,3.5384615384615383,2.0,2.230769230769231,0.9230769230769231,0.07692307692307693,2.1538461538461537,7.153846153846154,2.230769230769231,3.5384615384615383,0.3076923076923077,3.230769230769231,0.587248322147651,0.5591397849462365,93.50393700787401,0.13575628006413684,0.896551724137931,0.20388076490438695,0.41379310344827586,0.3118279569892473,0.4946236559139785,3.039832285115304,1.3626834381551363,4.821802935010482,2.9350104821802936,Very Good,4,Below Average,2,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
2020,5,Division II,spoonrivercollege,Eli Pace,,,,Wing,,,13,2.445,2.4499999999999997,2.2,3,12.692307692307692,3.3076923076923075,2.1538461538461537,2.6923076923076925,1.1538461538461537,0.3076923076923077,2.5384615384615383,11.538461538461538,4.923076923076923,2.769230769230769,0.5384615384615384,2.769230769230769,0.49746743849493485,0.4633333333333333,82.15494921330412,0.19168511872948005,0.8,0.1742680740888269,0.328125,0.4266666666666667,0.24,3.668763102725367,1.9916142557651992,4.5073375262054505,3.459119496855346,Below Average,2,Very Good,4,Poor,1,Below Average,2,Below Average,2,Average,3,Elite,5,Elite,5,Very Good,4,Below Average,2,Below Average,2,Poor,1,Very Good,4,Average,3,Unknown
2438,6,Division II,spoonrivercollege,Daveon Smith,,,,Wing,,,13,2.3075,2.0000000000000004,2.45,3,6.076923076923077,4.230769230769231,1.3846153846153846,1.3076923076923077,1.1538461538461537,0.3076923076923077,1.0,5.3076923076923075,1.6153846153846154,0.7692307692307693,1.3846153846153846,2.8461538461538463,0.5381471389645777,0.5072463768115942,87.38938053097344,0.08627930060319158,1.0588235294117647,0.18805309734513273,0.38095238095238093,0.30434782608695654,0.14492753623188406,1.7819706498951782,1.9916142557651992,5.765199161425577,1.3626834381551363,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Below Average,2,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2508,7,Division II,spoonrivercollege,Logan Mukeba,,,,Wing,,,13,2.295,2.1500000000000004,2.2,3,10.76923076923077,4.461538461538462,1.4615384615384615,2.4615384615384617,1.0,0.46153846153846156,2.4615384615384617,9.846153846153847,5.230769230769231,1.6153846153846154,0.8461538461538461,3.6153846153846154,0.5100553774409793,0.5,82.72276057669582,0.1615255402000458,0.59375,0.18908059560387613,0.3235294117647059,0.53125,0.1640625,3.3542976939203353,1.9916142557651992,6.079664570230608,3.3542976939203353,Below Average,2,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Average,3,Average,3,Below Average,2,Poor,1,Very Good,4,Very Good,4,Unknown
2547,8,Division II,spoonrivercollege,Josiah Love,,,,Wing,,,13,2.275,2.25,2.0,3,4.6923076923076925,2.3846153846153846,0.15384615384615385,0.9230769230769231,0.0,0.07692307692307693,1.0,3.769230769230769,2.230769230769231,0.9230769230769231,0.46153846153846156,1.9230769230769231,0.5619012527634488,0.5306122448979592,92.03379601689801,0.06325876154844622,0.16666666666666666,0.18105009052504525,0.3448275862068966,0.5918367346938775,0.24489795918367346,1.2578616352201257,0.10482180293501048,3.249475890985325,1.3626834381551363,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Average,3,Elite,5,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2799,9,Division II,spoonrivercollege,David Riley,,,,Wing,,,7,2.2,2.1,2.0,3,1.5714285714285714,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714,1.4285714285714286,0.7142857142857143,0.14285714285714285,0.0,0.7142857142857143,0.5268199233716475,0.55,88.42443729903538,0.021427587157227507,1.5,0.1607717041800643,0.2,0.5,0.1,0.3755868544600939,0.18779342723004694,0.9389671361502347,0.7511737089201878,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3457,10,Division II,spoonrivercollege,Alex Magne,,,,Wing,,,12,1.9999999999999998,1.6999999999999997,2.0,3,3.4166666666666665,3.5833333333333335,0.25,0.8333333333333334,0.5,0.25,1.75,4.416666666666667,2.75,1.0,0.8333333333333334,2.75,0.3517501715854495,0.32075471698113206,60.04686584651435,0.07080343440209051,0.3,0.14645577035735208,0.18181818181818182,0.6226415094339622,0.22641509433962265,1.1350737797956867,1.0215664018161181,4.880817253121453,2.383654937570942,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
