MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
791,1,Division II,stclaircountycommunitycollege,De'Andre Terrell,,,,Wing,,,13,3.0199999999999996,3.25,2.7,3,14.461538461538462,6.384615384615385,0.9230769230769231,1.7692307692307692,0.23076923076923078,1.7692307692307692,3.4615384615384617,9.0,0.23076923076923078,7.0,1.9230769230769231,4.461538461538462,0.598573611818645,0.5641025641025641,104.42123972450567,0.15047472586253008,0.5217391304347826,0.12774938902466118,0.0,0.02564102564102564,0.7777777777777778,2.2965551672491262,2.596105841238143,8.287568647029456,4.493260109835247,Very Good,4,Average,3,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Below Average,2,Average,3,Elite,5,Unknown
871,2,Division II,stclaircountycommunitycollege,Karl Stevens,,,,Wing,,,10,2.9749999999999996,3.65,2.0,3,4.0,3.5,1.4,0.1,0.2,0.2,1.1,3.0,1.1,1.3,1.6,1.9,0.5599104143337066,0.5166666666666667,108.93246187363835,0.04020496649586126,14.0,0.027233115468409588,0.2727272727272727,0.36666666666666664,0.43333333333333335,0.132013201320132,0.528052805280528,4.62046204620462,1.4521452145214522,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1228,3,Division II,stclaircountycommunitycollege,Chris McLavish,,,,Wing,,,12,2.8025,2.85,2.6500000000000004,3,14.666666666666666,2.25,3.6666666666666665,3.0,1.75,0.08333333333333333,2.3333333333333335,11.833333333333334,8.75,3.3333333333333335,0.5,1.75,0.5513784461152882,0.5140845070422535,89.97955010224949,0.1775341272146384,1.2222222222222223,0.18404907975460122,0.38095238095238093,0.7394366197183099,0.28169014084507044,3.91943385955362,2.395209580838323,2.9395753946652152,3.0484485574305933,Average,3,Average,3,Poor,1,Average,3,Below Average,2,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Average,3,Poor,1,Very Good,4,Average,3,Unknown
1952,4,Division II,stclaircountycommunitycollege,Tyler Dorsey,,,,Wing,,,12,2.5250000000000004,2.4000000000000004,2.5,3,7.333333333333333,6.416666666666667,1.0833333333333333,1.0833333333333333,0.3333333333333333,1.0833333333333333,2.6666666666666665,6.083333333333333,1.5,2.3333333333333335,2.3333333333333335,4.083333333333333,0.5157055789967183,0.4726027397260274,89.50366151342556,0.08766361139840934,1.0,0.1322213181448332,0.16666666666666666,0.2465753424657534,0.3835616438356164,1.3911182450508293,1.8191546281433921,8.239700374531836,3.424291064740503,Below Average,2,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
2327,5,Division II,stclaircountycommunitycollege,DeKovan Thomas,,,,Wing,,,9,2.4,2.5,2.0,3,1.7777777777777777,1.8888888888888888,0.8888888888888888,0.4444444444444444,0.5555555555555556,0.2222222222222222,1.0,2.5555555555555554,1.7777777777777777,0.7777777777777778,0.3333333333333333,1.5555555555555556,0.3067484662576687,0.2391304347826087,53.19148936170213,0.036503082374642004,2.0,0.13297872340425532,0.0625,0.6956521739130435,0.30434782608695654,0.5797101449275363,1.0144927536231885,2.463768115942029,1.3043478260869565,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2568,6,Division II,stclaircountycommunitycollege,Kevin Tiggs,,,,Wing,,,13,2.33,2.15,2.3,3,11.076923076923077,5.6923076923076925,1.0,2.0,0.23076923076923078,0.15384615384615385,1.6923076923076923,10.384615384615385,3.8461538461538463,2.1538461538461537,2.4615384615384617,3.230769230769231,0.48873201194678256,0.46296296296296297,83.0833141010847,0.14485825086921636,0.5,0.1500115393491807,0.38,0.37037037037037035,0.2074074074074074,2.596105841238143,0.49925112331502747,7.388916625062406,2.1967049425861207,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Elite,5,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
2721,7,Division II,stclaircountycommunitycollege,Jacob Asomani,,,,Wing,,,13,2.295,2.1500000000000004,2.2,3,7.153846153846154,3.1538461538461537,4.076923076923077,2.230769230769231,0.9230769230769231,0.23076923076923078,2.4615384615384617,5.615384615384615,1.4615384615384615,3.3846153846153846,1.0769230769230769,2.076923076923077,0.503464703334777,0.4520547945205479,76.63150955833882,0.1014308638673442,1.8275862068965518,0.23895847066578774,0.21052631578947367,0.2602739726027397,0.6027397260273972,2.8956565152271594,1.4977533699450825,4.093859211183225,3.1952071892161755,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Below Average,2,Below Average,2,Poor,1,Very Good,4,Very Good,4,Unknown
2947,8,Division II,stclaircountycommunitycollege,Isaiah Momoh,,,,Wing,,,8,2.2249999999999996,2.15,2.0,3,0.5,1.625,0.125,0.125,0.0,0.125,0.25,0.75,0.25,0.25,1.125,0.5,0.29069767441860467,0.16666666666666666,50.76142131979695,0.010899634834568996,1.0,0.12690355329949238,0.0,0.3333333333333333,0.3333333333333333,0.1694915254237288,0.1694915254237288,2.2033898305084745,0.3389830508474576,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3028,9,Division II,stclaircountycommunitycollege,Malakhi Manuel-Sanchez,,,,Wing,,,7,2.2,2.1,2.0,3,2.2857142857142856,2.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,2.5714285714285716,1.4285714285714286,0.8571428571428571,0.5714285714285714,1.4285714285714286,0.38759689922480617,0.3333333333333333,67.68189509306261,0.035669020459894986,0.6666666666666666,0.12690355329949238,0.2,0.5555555555555556,0.3333333333333333,0.5514705882352942,0.5514705882352942,2.573529411764706,0.36764705882352944,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3056,10,Division II,stclaircountycommunitycollege,Antoine Silvers Jr,,,,Wing,,,13,2.1799999999999997,1.85,2.3,3,4.153846153846154,6.461538461538462,0.7692307692307693,0.9230769230769231,0.23076923076923078,0.07692307692307693,2.076923076923077,3.6923076923076925,0.0,1.6153846153846154,3.1538461538461537,3.3076923076923075,0.4716981132075472,0.5,77.9896013864818,0.05786975127039316,0.8333333333333334,0.17331022530329288,,0.0,0.4375,1.1982026959560659,0.39940089865202194,8.38741887169246,2.6959560659011483,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
3497,11,Division II,stclaircountycommunitycollege,Donovan Thames,,,,Wing,,,13,2.075,1.8499999999999999,2.0,3,5.076923076923077,1.8461538461538463,0.6153846153846154,0.9230769230769231,0.3076923076923077,0.38461538461538464,1.0769230769230769,4.846153846153846,3.1538461538461537,0.46153846153846156,0.23076923076923078,1.6153846153846154,0.5027422303473492,0.49206349206349204,85.00772797527048,0.0648903450120353,0.6666666666666666,0.1545595054095827,0.2926829268292683,0.6507936507936508,0.09523809523809523,1.1982026959560659,0.8986520219670494,2.3964053919121318,1.397903145282077,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Below Average,2,Very Good,4,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3700,12,Division II,stclaircountycommunitycollege,Riley Hunt,,,,Wing,,,8,2.0,1.7000000000000002,2.0,3,7.625,5.0,2.125,1.875,1.0,0.0,1.625,7.25,3.375,1.25,1.5,3.5,0.48878205128205127,0.45689655172413796,78.81136950904393,0.10481555712041603,1.1333333333333333,0.19379844961240308,0.25925925925925924,0.46551724137931033,0.1724137931034483,2.401921537229784,1.2810248198558847,6.405124099279424,2.0816653322658127,Poor,1,Poor,1,Poor,1,Average,3,Below Average,2,Poor,1,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3779,13,Division II,stclaircountycommunitycollege,Jacoby Menyweathers,,,,Wing,,,13,1.9749999999999999,1.65,2.0,3,5.461538461538462,2.076923076923077,1.6153846153846154,1.6153846153846154,1.0769230769230769,0.0,1.5384615384615385,5.538461538461538,3.0,1.6153846153846154,0.3076923076923077,1.7692307692307692,0.4369768586903004,0.375,69.44444444444444,0.08545065525541588,1.0,0.20539906103286387,0.3076923076923077,0.5416666666666666,0.2916666666666667,2.096854717923115,1.397903145282077,2.6959560659011483,1.9970044932601099,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Below Average,2,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
