MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
615,1,Division II,stlouiscommunitycollege,Allen Kujundzic,,,,Wing,,,13,3.175,4.05,2.0,3,2.1538461538461537,1.0,0.46153846153846156,0.23076923076923078,0.0,0.07692307692307693,0.46153846153846156,1.2307692307692308,0.0,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.7172131147540983,0.6875,124.33392539964477,0.021160640457039765,2.0,0.13321492007104796,,0.0,0.5,0.32051282051282054,0.10683760683760683,1.3888888888888888,0.6410256410256411,Elite,5,Poor,1,Elite,5,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
807,2,Division II,stlouiscommunitycollege,Stefan Higgins,,,,Wing,,,15,3.0650000000000004,3.2,2.9,3,10.066666666666666,7.8,0.5333333333333333,1.0666666666666667,0.3333333333333333,0.4,1.6,7.066666666666666,0.06666666666666667,3.6666666666666665,2.8666666666666667,4.933333333333334,0.5798771121351767,0.5283018867924528,103.28317373461013,0.11898173768677366,0.5,0.10943912448700412,0.0,0.009433962264150943,0.5188679245283019,1.483541956420955,1.0199350950394066,10.848400556328233,2.2253129346314324,Very Good,4,Poor,1,Average,3,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Unknown
998,3,Division II,stlouiscommunitycollege,Kyle Gast,,,,Wing,,,14,2.9750000000000005,3.6500000000000004,2.0,3,3.5,2.5714285714285716,0.5,0.42857142857142855,0.42857142857142855,0.0,1.0714285714285714,2.2142857142857144,0.5,1.0,0.9285714285714286,1.6428571428571428,0.6593110871905276,0.5967741935483871,113.53104726598703,0.037721996923507195,1.1666666666666667,0.13901760889712697,0.7142857142857143,0.22580645161290322,0.45161290322580644,0.5970149253731343,0.5970149253731343,3.582089552238806,1.492537313432836,Elite,5,Poor,1,Very Good,4,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2100,4,Division II,stlouiscommunitycollege,Justin Hayes,,,,Wing,,,14,2.55,2.8,2.0,3,4.785714285714286,3.2142857142857144,0.21428571428571427,0.9285714285714286,0.42857142857142855,0.14285714285714285,1.6428571428571428,3.0714285714285716,0.5714285714285714,1.3571428571428572,0.9285714285714286,2.2857142857142856,0.6522585669781932,0.627906976744186,104.10192666252331,0.05747249607086726,0.23076923076923078,0.20198881292728402,0.5,0.18604651162790697,0.4418604651162791,1.3197969543147208,0.8121827411167513,4.568527918781726,2.33502538071066,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2307,5,Division II,stlouiscommunitycollege,Zac Goss,,,,Wing,,,17,2.495,2.5500000000000003,2.2,3,14.0,3.0,1.3529411764705883,2.0588235294117645,1.0588235294117647,0.058823529411764705,2.2941176470588234,12.294117647058824,5.9411764705882355,2.764705882352941,0.5882352941176471,2.411764705882353,0.5181121560431905,0.48325358851674644,89.91990327943176,0.190988858742712,0.6571428571428571,0.1322351518815173,0.297029702970297,0.48325358851674644,0.22488038277511962,2.877106452938759,1.5618577887381833,4.192355117139334,3.2059186189889024,Below Average,2,Very Good,4,Poor,1,Poor,1,Very Good,4,Below Average,2,Elite,5,Elite,5,Very Good,4,Below Average,2,Below Average,2,Poor,1,Very Good,4,Very Good,4,Unknown
2745,6,Division II,stlouiscommunitycollege,Darric Smith,,,,Wing,,,16,2.36,2.35,2.0999999999999996,3,10.375,7.25,0.9375,1.5625,0.5,0.5,3.125,8.6875,0.0625,2.625,2.75,4.5,0.5270510541021083,0.5179856115107914,90.96887330118369,0.13868369053047575,0.6,0.13700131521262604,0.0,0.007194244604316547,0.302158273381295,2.1654395842356,1.3858813339107838,10.047639670853183,4.3308791684712,Below Average,2,Below Average,2,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Average,3,Average,3,Elite,5,Unknown
2780,7,Division II,stlouiscommunitycollege,Aman Kesete,,,,Wing,,,13,2.35,2.4000000000000004,2.0,3,5.769230769230769,0.46153846153846156,0.38461538461538464,0.46153846153846156,0.3076923076923077,0.0,0.7692307692307693,5.538461538461538,4.230769230769231,0.15384615384615385,0.0,0.46153846153846156,0.5145444566410539,0.5069444444444444,95.08113590263692,0.07440947852992227,0.8333333333333334,0.07606490872210954,0.3090909090909091,0.7638888888888888,0.027777777777777776,0.644122383252818,0.4294149221685454,0.644122383252818,1.0735373054213635,Below Average,2,Poor,1,Below Average,2,Below Average,2,Elite,5,Below Average,2,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2867,8,Division II,stlouiscommunitycollege,CJ Lang,,,,Wing,,,13,2.3324999999999996,2.05,2.45,3,7.3076923076923075,2.8461538461538463,2.076923076923077,1.6923076923076923,1.1538461538461537,0.0,2.1538461538461537,6.3076923076923075,1.9230769230769231,1.6923076923076923,0.6923076923076923,2.1538461538461537,0.5181064572425829,0.4817073170731707,83.56790992258972,0.10620328849028403,1.2272727272727273,0.19352568613652357,0.28,0.3048780487804878,0.2682926829268293,2.3567220139260847,1.6068559185859668,3.9635779325120515,2.9994643813604713,Below Average,2,Poor,1,Poor,1,Average,3,Below Average,2,Below Average,2,Average,3,Very Good,4,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2909,9,Division II,stlouiscommunitycollege,Tyler Stepney,,,,Wing,,,11,2.325,2.35,2.0,3,3.5454545454545454,3.5454545454545454,0.8181818181818182,0.5454545454545454,0.18181818181818182,0.0,1.6363636363636365,3.272727272727273,0.2727272727272727,1.0,1.3636363636363635,2.1818181818181817,0.47747306562193925,0.4861111111111111,83.26216908625106,0.05137091467427068,1.5,0.12809564474807855,0.3333333333333333,0.08333333333333333,0.3055555555555556,0.7590132827324478,0.2530044275774826,4.933586337760911,2.2770398481973433,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2951,10,Division II,stlouiscommunitycollege,Miyel Taylor,,,,Wing,,,16,2.3075,2.0,2.45,3,8.8125,2.75,2.6875,2.125,0.9375,0.25,2.0,6.5,1.9375,4.125,0.4375,2.3125,0.5299158147925437,0.46153846153846156,84.41091954022988,0.12802746949537064,1.2647058823529411,0.203544061302682,0.25806451612903225,0.2980769230769231,0.6346153846153846,2.985074626865672,1.6681299385425812,3.8630377524143986,2.809482001755926,Below Average,2,Below Average,2,Poor,1,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2975,11,Division II,stlouiscommunitycollege,Zach Winkeler,,,,Wing,,,14,2.3,2.3000000000000003,2.0,3,3.2142857142857144,1.3571428571428572,0.7857142857142857,0.6428571428571429,0.35714285714285715,0.0,1.1428571428571428,2.5714285714285716,1.0,0.7142857142857143,0.14285714285714285,1.2142857142857142,0.556930693069307,0.5138888888888888,91.09311740890689,0.04317577961124318,1.2222222222222223,0.18218623481781376,0.5,0.3888888888888889,0.2777777777777778,0.8955223880597015,0.4975124378109453,1.890547263681592,1.592039800995025,Average,3,Poor,1,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3169,12,Division II,stlouiscommunitycollege,Robert Liggins,,,,Wing,,,12,2.25,2.2,2.0,3,4.333333333333333,2.1666666666666665,0.6666666666666666,0.75,0.6666666666666666,0.08333333333333333,1.8333333333333333,3.6666666666666665,0.25,1.1666666666666667,0.6666666666666666,1.5,0.5183413078149921,0.5,87.89722785665991,0.05918130526989716,0.8888888888888888,0.15212981744421908,0.6666666666666666,0.06818181818181818,0.3181818181818182,1.0221465076660987,1.0221465076660987,2.9528676888131744,2.498580352072686,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
