MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
425,1,Division II,sunyniagara,Chioke Marshall,,,,Wing,,,16,3.3150000000000004,3.6999999999999997,2.9000000000000004,3,23.0625,4.1875,2.75,3.1875,1.5,0.3125,2.0,16.75,6.3125,6.0,0.875,3.3125,0.5947008767405879,0.5242537313432836,102.1481563503488,0.2360305263708118,0.8627450980392157,0.14118037869560401,0.36633663366336633,0.376865671641791,0.3582089552238806,3.8931297709923665,2.213740458015267,5.114503816793893,2.4427480916030535,Very Good,4,Elite,5,Average,3,Below Average,2,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Average,3,Unknown
537,2,Division II,sunyniagara,Jacob Humphrey,,,,Wing,,,11,3.2325,3.85,2.45,3,15.090909090909092,3.909090909090909,2.727272727272727,1.8181818181818181,1.0,0.2727272727272727,1.8181818181818181,11.090909090909092,4.090909090909091,3.1818181818181817,0.8181818181818182,3.090909090909091,0.604075691411936,0.5942622950819673,105.46378653113088,0.1516494527516572,1.5,0.12706480304955528,0.3333333333333333,0.36885245901639346,0.28688524590163933,2.2484541877459248,1.5739179314221472,4.834176503653738,2.2484541877459248,Elite,5,Average,3,Average,3,Very Good,4,Very Good,4,Average,3,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
597,3,Division II,sunyniagara,Bryce Wejuli,,,,Wing,,,18,3.1875,3.55,2.75,3,11.333333333333334,5.777777777777778,0.3888888888888889,0.9444444444444444,0.3333333333333333,0.8333333333333334,1.3888888888888888,8.38888888888889,1.1111111111111112,2.388888888888889,2.5,3.2777777777777777,0.6002824858757062,0.5927152317880795,109.13759897282259,0.10881359878914892,0.4117647058823529,0.09094799914401883,0.25,0.13245033112582782,0.2847682119205298,1.1505922165820643,1.4213197969543148,7.038917089678511,1.6920473773265652,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Elite,5,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
1508,4,Division II,sunyniagara,Jaedon Hutchinson,,,,Wing,,,18,2.7625,2.7,2.75,3,9.222222222222221,6.888888888888889,1.2777777777777777,1.3333333333333333,0.6111111111111112,0.7222222222222222,1.7777777777777777,7.888888888888889,3.0555555555555554,2.5555555555555554,1.5555555555555556,5.333333333333333,0.5115877712031558,0.4753521126760563,89.13230240549828,0.1084177436255676,0.9583333333333334,0.12886597938144329,0.41818181818181815,0.3873239436619718,0.323943661971831,1.6243654822335025,1.6243654822335025,8.392554991539763,2.1658206429780034,Below Average,2,Poor,1,Poor,1,Below Average,2,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Below Average,2,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
2222,5,Division II,sunyniagara,Steyvon Jones,,,,Wing,,,7,2.5125,2.9,1.75,3,8.428571428571429,5.285714285714286,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.2857142857142857,2.7142857142857144,6.571428571428571,2.7142857142857144,3.0,1.5714285714285714,3.7142857142857144,0.5340333091962346,0.5,96.34225996080993,0.09007471906807084,0.3333333333333333,0.09797517962116263,0.3157894736842105,0.41304347826086957,0.45652173913043476,1.0204081632653061,1.3605442176870748,6.292517006802721,3.2312925170068025,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2532,6,Division II,sunyniagara,Abu Dukaray,,,,Wing,,,13,2.425,2.5500000000000003,2.0,3,6.615384615384615,5.076923076923077,0.6153846153846154,0.8461538461538461,0.23076923076923078,0.07692307692307693,0.5384615384615384,5.153846153846154,2.0,2.076923076923077,1.8461538461538463,3.230769230769231,0.545131845841785,0.5149253731343284,95.68313306631065,0.07202615636118856,0.7272727272727273,0.12238540275923454,0.2692307692307692,0.3880597014925373,0.40298507462686567,1.0285179990649835,0.3740065451145395,6.171107994389902,0.6545114539504441,Average,3,Poor,1,Below Average,2,Poor,1,Very Good,4,Poor,1,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2771,7,Division II,sunyniagara,Jack Kempf,,,,Wing,,,15,2.35,2.4000000000000004,2.0,3,4.333333333333333,4.533333333333333,0.4,1.2,0.3333333333333333,0.3333333333333333,2.4,2.8666666666666667,0.06666666666666667,1.5333333333333334,2.2666666666666666,2.2666666666666666,0.6118222891566265,0.6162790697674418,91.39482564679415,0.04932859837975807,0.3333333333333333,0.25309336332958376,1.0,0.023255813953488372,0.5348837209302325,1.4569000404694457,0.8093889113719142,5.503844597329016,2.9138000809388913,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3079,8,Division II,sunyniagara,Jimmie Green,,,,Wing,,,15,2.275,2.25,2.0,3,5.266666666666667,3.933333333333333,1.6666666666666667,1.2666666666666666,0.4666666666666667,0.4666666666666667,2.2666666666666666,4.133333333333334,0.8666666666666667,1.3333333333333333,1.2666666666666666,2.6666666666666665,0.557909604519774,0.5241935483870968,87.97327394209354,0.0626255300156215,1.3157894736842106,0.2115812917594655,0.5384615384615384,0.20967741935483872,0.3225806451612903,1.5434606011372867,1.1372867587327375,4.79285134037368,2.761982128350934,Average,3,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3241,9,Division II,sunyniagara,Mustafa Eskici,,,,Wing,,,16,2.225,2.1500000000000004,2.0,3,5.3125,3.875,1.0625,1.25,0.75,0.25,1.375,4.0,1.125,2.125,1.25,2.625,0.5382472137791287,0.5234375,85.89329021827,0.06460542121481172,0.85,0.2021018593371059,0.2777777777777778,0.28125,0.53125,1.5197568389057752,1.21580547112462,4.711246200607903,1.6717325227963526,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3732,10,Division II,sunyniagara,Ateny Kuol,,,,Wing,,,13,2.0999999999999996,1.9000000000000001,2.0,3,3.6153846153846154,1.8461538461538463,1.2307692307692308,1.3076923076923077,0.46153846153846156,0.07692307692307693,0.7692307692307693,2.769230769230769,0.7692307692307693,1.4615384615384615,0.3076923076923077,1.5384615384615385,0.5297565374211001,0.4861111111111111,76.59713168187744,0.04904719273564394,0.9411764705882353,0.2770534550195567,0.3,0.2777777777777778,0.5277777777777778,1.5806601580660158,0.6508600650860065,2.2315202231520224,0.9298000929800093,Below Average,2,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
