MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
48,1,Division II,terrastate,Andre McCullough,,,,Wing,,,19,3.9299999999999997,4.3,3.8,3,13.842105263157896,5.0,4.315789473684211,0.7894736842105263,2.9473684210526314,0.05263157894736842,1.5789473684210527,10.157894736842104,2.6315789473684212,2.736842105263158,1.8421052631578947,3.1578947368421053,0.6091347044654438,0.5777202072538861,113.91198891198891,0.1322882288228823,5.466666666666667,0.06496881496881497,0.38,0.25906735751295334,0.2694300518134715,1.01763907734057,3.8670284938941655,6.445047489823609,2.03527815468114,Elite,5,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
176,2,Division II,terrastate,Joel Webb,,,,Wing,,,14,3.59,4.25,2.9000000000000004,3,13.142857142857142,4.928571428571429,2.2857142857142856,1.0,1.2142857142857142,0.42857142857142855,1.6428571428571428,9.571428571428571,3.857142857142857,3.4285714285714284,0.7857142857142857,4.142857142857143,0.593089221248066,0.5485074626865671,108.79848628192998,0.13593106995884777,2.2857142857142856,0.08278145695364238,0.42592592592592593,0.40298507462686567,0.3582089552238806,1.316408086506817,2.1626704278326283,6.488011283497884,2.1626704278326283,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
784,3,Division II,terrastate,Willie Evans,,,,Wing,,,17,3.08,2.5999999999999996,3.8,3,7.0588235294117645,5.117647058823529,1.0,1.1176470588235294,0.7058823529411765,2.0,1.1764705882352942,5.588235294117647,0.0,1.1176470588235294,1.588235294117647,3.5294117647058822,0.5804953560371517,0.5473684210526316,98.07126511932005,0.07921792049721613,0.8947368421052632,0.15527950310559005,,0.0,0.2,1.4621008080030782,3.5398230088495577,6.6948826471719896,1.5390534821085033,Very Good,4,Poor,1,Below Average,2,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
1198,4,Division II,terrastate,Antonio Brown,,,,Wing,,,18,2.885,3.05,2.5999999999999996,3,14.0,6.777777777777778,1.3888888888888888,1.8888888888888888,0.8333333333333334,0.2222222222222222,2.111111111111111,10.5,0.05555555555555555,3.7222222222222223,3.2222222222222223,3.5555555555555554,0.576711827169535,0.5608465608465608,99.80988593155894,0.15294032129097915,0.7352941176470589,0.1346641318124208,0.0,0.005291005291005291,0.3544973544973545,2.442528735632184,1.3649425287356323,8.764367816091953,2.7298850574712645,Very Good,4,Average,3,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Average,3,Elite,5,Elite,5,Unknown
1269,5,Division II,terrastate,Kalon Butler,,,,Wing,,,19,2.8549999999999995,2.5,3.3,3,14.578947368421053,8.631578947368421,2.8947368421052633,2.3684210526315788,1.6842105263157894,0.3157894736842105,2.9473684210526314,11.947368421052632,4.578947368421052,4.473684210526316,2.736842105263158,5.894736842105263,0.5238275340393344,0.4801762114537445,89.52811893988365,0.17727814448111479,1.2222222222222223,0.14544279250161604,0.27586206896551724,0.3832599118942731,0.3744493392070485,3.0529172320217097,2.5780189959294435,11.12618724559023,3.7991858887381276,Below Average,2,Average,3,Poor,1,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Elite,5,Below Average,2,Average,3,Very Good,4,Average,3,Very Good,4,Unknown
1347,6,Division II,terrastate,Kameron Swanson,,,,Wing,,,6,2.825,3.3500000000000005,2.0,3,2.3333333333333335,1.5,1.0,0.16666666666666666,0.0,0.0,0.0,1.8333333333333333,0.8333333333333334,0.5,0.8333333333333334,0.6666666666666666,0.5681818181818181,0.5909090909090909,105.1051051051051,0.022189644832411544,6.0,0.07507507507507508,0.6,0.45454545454545453,0.2727272727272727,0.20202020202020202,0.0,1.8181818181818181,0.0,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1481,7,Division II,terrastate,Reece Green,,,,Wing,,,7,2.7750000000000004,3.25,2.0,3,1.7142857142857142,1.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.6944444444444444,0.5833333333333334,112.78195488721803,0.015324346122825213,1.0,0.18796992481203006,1.0,0.16666666666666666,1.0,0.34904013961605584,0.17452006980802792,1.2216404886561956,0.17452006980802792,Elite,5,Poor,1,Very Good,4,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1549,8,Division II,terrastate,Luke Oriem,,,,Wing,,,7,2.75,3.2,2.0,3,1.4285714285714286,0.8571428571428571,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,1.1428571428571428,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.5122950819672131,0.5,102.45901639344262,0.014299947254292915,99.0,0.0,0.5,0.5,0.5,0.0,0.706090026478376,1.059135039717564,0.176522506619594,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1580,9,Division II,terrastate,Arnell Edmunds,,,,Wing,,,8,2.74,2.5500000000000003,2.9000000000000004,3,13.25,3.0,2.125,1.875,1.0,0.5,1.25,11.375,5.5,2.875,0.875,2.125,0.524129746835443,0.4945054945054945,91.28487771271098,0.17194811348693956,1.1333333333333333,0.12917671374440234,0.2727272727272727,0.4835164835164835,0.25274725274725274,2.6155187445510024,2.092414995640802,4.184829991281604,1.7436791630340018,Below Average,2,Average,3,Poor,1,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Very Good,4,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1922,10,Division II,terrastate,Ka'Elon Hurt,,,,Wing,,,19,2.6075,2.6,2.45,3,11.736842105263158,2.3684210526315788,4.7368421052631575,2.1578947368421053,1.3157894736842106,0.0,2.210526315789474,10.68421052631579,4.157894736842105,3.0,0.2631578947368421,2.1052631578947367,0.4888635566467906,0.4433497536945813,82.87498141816559,0.1541758342500917,2.1951219512195124,0.15237104206927304,0.3291139240506329,0.3891625615763547,0.28078817733990147,2.7815468113975577,1.6960651289009498,3.0529172320217097,2.8493894165535956,Poor,1,Average,3,Poor,1,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
