MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
370,1,Division II,ulstercountycommunitycollege,Alex Joseph,,,,Wing,,,11,3.3625,3.5500000000000003,3.25,3,13.090909090909092,7.454545454545454,0.8181818181818182,1.8181818181818181,1.0,0.7272727272727273,2.727272727272727,9.272727272727273,3.0,2.8181818181818183,1.9090909090909092,5.545454545454546,0.6226219301279834,0.6127450980392157,106.16337363609556,0.13093169620448664,0.45,0.14744913005013272,0.45454545454545453,0.3235294117647059,0.30392156862745096,2.1424745581146225,2.035350830208891,8.784145688269952,3.2137118371719335,Elite,5,Below Average,2,Average,3,Poor,1,Average,3,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Very Good,4,Elite,5,Unknown
2232,2,Division II,ulstercountycommunitycollege,Giovanni Smith,,,,Wing,,,6,2.5,2.6999999999999997,2.0,3,5.0,1.0,0.5,1.1666666666666667,1.0,0.16666666666666666,2.1666666666666665,2.8333333333333335,1.8333333333333333,2.3333333333333335,0.0,1.0,0.6476683937823834,0.5294117647058824,99.46949602122015,0.05257286292009483,0.42857142857142855,0.23209549071618038,0.5454545454545454,0.6470588235294118,0.8235294117647058,1.308411214953271,1.308411214953271,1.1214953271028036,2.4299065420560746,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2579,3,Division II,ulstercountycommunitycollege,Joshua Barthlemey,,,,Wing,,,10,2.39,1.85,2.9000000000000004,3,7.7,4.3,0.7,3.3,1.1,0.6,1.8,6.3,0.8,3.2,1.3,3.0,0.4994810586403737,0.5158730158730159,69.94912790697674,0.11671402519190806,0.21212121212121213,0.29978197674418605,0.125,0.12698412698412698,0.5079365079365079,3.8846380223660977,2.0011771630370805,5.061801059446734,2.1188934667451442,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Average,3,Unknown
2752,4,Division II,ulstercountycommunitycollege,Zen Martinez,,,,Wing,,,11,2.3499999999999996,2.4,2.0,3,10.636363636363637,3.090909090909091,4.454545454545454,4.636363636363637,0.9090909090909091,0.09090909090909091,1.0,7.545454545454546,2.727272727272727,3.6363636363636362,0.45454545454545453,2.6363636363636362,0.5815109343936382,0.5,77.17678100263852,0.1470017841905205,0.9607843137254902,0.33641160949868076,0.3,0.3614457831325301,0.4819277108433735,5.51948051948052,1.1904761904761905,3.6796536796536796,1.1904761904761905,Very Good,4,Below Average,2,Poor,1,Below Average,2,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Below Average,2,Unknown
3129,5,Division II,ulstercountycommunitycollege,Jeremiah McKinney,,,,Wing,,,12,2.2325,1.85,2.45,3,5.666666666666667,2.5833333333333335,2.1666666666666665,3.1666666666666665,1.1666666666666667,0.08333333333333333,0.6666666666666666,4.75,0.9166666666666666,1.5833333333333333,0.9166666666666666,1.6666666666666667,0.5201958384332925,0.49122807017543857,65.78947368421052,0.09195075083623942,0.6842105263157895,0.36764705882352944,0.36363636363636365,0.19298245614035087,0.3333333333333333,3.7698412698412698,1.4880952380952381,3.0753968253968256,0.7936507936507936,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
3313,6,Division II,ulstercountycommunitycollege,Eric Johnson,,,,Wing,,,9,2.1825,1.75,2.45,3,4.888888888888889,2.6666666666666665,1.3333333333333333,2.7777777777777777,0.8888888888888888,0.4444444444444444,0.6666666666666666,4.444444444444445,1.1111111111111112,1.0,1.3333333333333333,1.3333333333333333,0.5004549590536852,0.4625,63.80510440835266,0.08194305813013927,0.48,0.3625290023201856,0.1,0.25,0.225,3.3333333333333335,1.6,3.2,0.8,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
3330,7,Division II,ulstercountycommunitycollege,Alesi Mingo jr,,,,Wing,,,12,2.175,2.0500000000000003,2.0,3,7.0,1.75,0.75,1.5833333333333333,0.5833333333333334,0.3333333333333333,1.0,5.5,2.1666666666666665,1.9166666666666667,0.8333333333333334,0.9166666666666666,0.5517603783499737,0.5227272727272727,88.30950378469302,0.08462031172158566,0.47368421052631576,0.19974768713204372,0.2692307692307692,0.3939393939393939,0.3484848484848485,1.8849206349206349,1.0912698412698412,2.0833333333333335,1.1904761904761905,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3911,8,Division II,ulstercountycommunitycollege,Dylan Perez,,,,Wing,,,12,2.025,1.75,2.0,3,8.916666666666666,2.75,0.8333333333333334,1.4166666666666667,0.5833333333333334,0.5,2.0833333333333335,9.333333333333334,6.25,1.0833333333333333,1.0,1.75,0.4544682296975875,0.42857142857142855,79.42399049881236,0.11984912105899936,0.5882352941176471,0.126187648456057,0.26666666666666666,0.6696428571428571,0.11607142857142858,1.6865079365079365,1.2896825396825398,3.2738095238095237,2.4801587301587302,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3974,9,Division II,ulstercountycommunitycollege,Jonah McDuffie,,,,Wing,,,9,2.0,1.7000000000000002,2.0,3,2.2222222222222223,3.3333333333333335,1.1111111111111112,1.7777777777777777,0.3333333333333333,0.0,1.5555555555555556,4.111111111111111,2.0,1.6666666666666667,1.1111111111111112,2.2222222222222223,0.2293577981651376,0.16216216216216217,33.557046979865774,0.06960990422798412,0.625,0.2684563758389262,0.1111111111111111,0.4864864864864865,0.40540540540540543,2.119205298013245,0.3973509933774834,3.9735099337748343,1.8543046357615893,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3986,10,Division II,ulstercountycommunitycollege,Radames Moreno,,,,Wing,,,10,1.9999999999999998,1.7,2.0,3,2.2,5.0,1.9,1.9,0.6,0.3,1.5,2.2,0.3,0.9,1.0,4.0,0.423728813559322,0.4090909090909091,48.93238434163701,0.047084450402144776,1.0,0.4225978647686833,0.0,0.13636363636363635,0.4090909090909091,2.2093023255813953,1.0465116279069768,5.813953488372093,1.744186046511628,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
