MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
300,1,Division II,unitedtribestechnicalcollege,Robert Reagan,,,,Wing,,,20,3.425,4.55,2.0,3,9.75,2.55,2.0,0.8,0.35,0.1,1.75,6.5,3.75,2.3,0.95,1.6,0.648961661341853,0.5884615384615385,117.30028873917227,0.09321102563527485,2.5,0.09624639076034648,0.41333333333333333,0.5769230769230769,0.35384615384615387,0.987045033929673,0.5552128315854411,3.1462060456508327,2.1591610117211597,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
567,2,Division II,unitedtribestechnicalcollege,Zi White Woman,,,,Wing,,,20,3.205,3.9000000000000004,2.3,3,16.75,6.5,2.1,1.55,0.4,0.15,2.05,11.55,0.8,1.75,2.05,4.45,0.679788961038961,0.6645021645021645,120.76423936553714,0.15553860990871776,1.3548387096774193,0.1117519826964672,0.4375,0.06926406926406926,0.15151515151515152,1.9123997532387416,0.6785934608266502,8.019740900678594,2.529302899444787,Elite,5,Average,3,Elite,5,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Poor,1,Average,3,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
704,3,Division II,unitedtribestechnicalcollege,Tayron Burdeau,,,,Wing,,,14,3.125,3.9500000000000006,2.0,3,4.285714285714286,2.642857142857143,1.0,0.21428571428571427,0.42857142857142855,0.07142857142857142,1.2142857142857142,2.9285714285714284,1.0714285714285714,0.42857142857142855,0.7857142857142857,1.8571428571428572,0.687442713107241,0.6707317073170732,128.64493996569468,0.03757169555970871,4.666666666666667,0.06432246998284734,0.3333333333333333,0.36585365853658536,0.14634146341463414,0.270392068499324,0.6309148264984227,3.334835511491663,1.5322217214961695,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1063,4,Division II,unitedtribestechnicalcollege,Oscar Felix,,,,Wing,,,16,2.95,3.5999999999999996,2.0,3,4.125,2.4375,0.8125,0.375,0.3125,0.0625,0.9375,3.0625,0.5625,1.25,0.6875,1.75,0.5709342560553633,0.5714285714285714,103.44827586206897,0.04176157934700076,2.1666666666666665,0.09404388714733543,0.2222222222222222,0.1836734693877551,0.40816326530612246,0.43541364296081275,0.43541364296081275,2.830188679245283,1.0885341074020318,Very Good,4,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1104,5,Division II,unitedtribestechnicalcollege,Gerald Kingbird,,,,Wing,,,20,2.925,3.5500000000000003,2.0,3,13.4,4.45,2.75,1.7,0.7,0.15,1.5,10.65,5.3,1.25,0.65,3.8,0.5982142857142857,0.5774647887323944,103.87596899224806,0.14466099984300354,1.6176470588235294,0.13178294573643412,0.37735849056603776,0.49765258215962443,0.11737089201877934,2.097470697100555,1.0487353485502775,5.490438001233806,1.8507094386181369,Very Good,4,Below Average,2,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1107,6,Division II,unitedtribestechnicalcollege,Luke Means,,,,Wing,,,12,2.925,3.5500000000000003,2.0,3,8.916666666666666,0.9166666666666666,0.9166666666666666,1.0,0.3333333333333333,0.0,0.25,7.0,6.0,0.0,0.08333333333333333,0.8333333333333334,0.6369047619047619,0.6369047619047619,111.45833333333333,0.0835509138381201,0.9166666666666666,0.125,0.4305555555555556,0.8571428571428571,0.0,1.1695906432748537,0.3898635477582846,1.0721247563352827,0.29239766081871343,Elite,5,Poor,1,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1539,7,Division II,unitedtribestechnicalcollege,Jaxon Kellog,,,,Wing,,,12,2.75,3.2,2.0,3,3.0,2.0,0.08333333333333333,0.25,0.4166666666666667,0.08333333333333333,0.5,2.1666666666666665,0.16666666666666666,0.8333333333333334,1.0833333333333333,0.9166666666666666,0.5921052631578948,0.5961538461538461,107.78443113772455,0.028922757187391755,0.3333333333333333,0.08982035928143713,0.5,0.07692307692307693,0.38461538461538464,0.2898550724637681,0.5797101449275363,2.318840579710145,0.5797101449275363,Very Good,4,Poor,1,Average,3,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1839,8,Division II,unitedtribestechnicalcollege,Gordon Fineday,,,,Wing,,,20,2.6325000000000003,2.6500000000000004,2.45,3,6.85,3.65,1.8,0.95,1.0,0.15,1.75,5.85,2.95,1.15,1.0,2.65,0.5388609188168659,0.5085470085470085,93.75855461264713,0.08192971045371969,1.894736842105263,0.13003011223651792,0.3220338983050847,0.5042735042735043,0.19658119658119658,1.1721159777914867,1.418877236273905,4.5033929673041335,2.1591610117211597,Average,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Average,3,Average,3,Elite,5,Average,3,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2539,9,Division II,unitedtribestechnicalcollege,Bryant Wells,,,,Wing,,,10,2.425,2.5500000000000003,2.0,3,4.9,2.1,0.3,0.5,0.1,0.0,0.5,4.1,1.4,0.5,0.9,1.2,0.5671296296296295,0.5609756097560976,101.65975103734439,0.05510586728860841,0.6,0.10373443983402489,0.42857142857142855,0.34146341463414637,0.12195121951219512,0.6476683937823834,0.12953367875647667,2.7202072538860103,0.6476683937823834,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2622,10,Division II,unitedtribestechnicalcollege,Kinglsy Whitebird,,,,Wing,,,14,2.4,2.5,2.0,3,8.428571428571429,2.5714285714285716,2.7142857142857144,1.5,0.5,0.14285714285714285,1.0,6.5,2.4285714285714284,2.2142857142857144,0.14285714285714285,2.4285714285714284,0.5638379204892966,0.5274725274725275,93.91913403374721,0.10153875994051853,1.8095238095238095,0.16714422158548234,0.23529411764705882,0.37362637362637363,0.34065934065934067,1.8927444794952681,0.8111762054979721,3.2447048219918884,1.2618296529968454,Average,3,Poor,1,Poor,1,Very Good,4,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2666,11,Division II,unitedtribestechnicalcollege,Benjamin OldPerson-Harlow,,,,Wing,,,15,2.3875,2.6500000000000004,1.75,3,12.2,5.2,2.4,1.7333333333333334,0.2,0.4,2.466666666666667,11.266666666666667,4.533333333333333,2.3333333333333335,0.3333333333333333,4.866666666666666,0.49620390455531455,0.46153846153846156,86.97718631178707,0.15801490026435955,1.3846153846153846,0.12357414448669202,0.3235294117647059,0.40236686390532544,0.20710059171597633,2.1576763485477177,0.7468879668049793,6.473029045643154,3.070539419087137,Below Average,2,Average,3,Poor,1,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2697,12,Division II,unitedtribestechnicalcollege,Talon Weasel Head,,,,Wing,,,18,2.375,2.45,2.0,3,5.666666666666667,3.5555555555555554,4.333333333333333,2.0,0.8333333333333334,0.05555555555555555,2.111111111111111,4.444444444444445,1.5555555555555556,0.8888888888888888,0.3333333333333333,3.2222222222222223,0.5859375,0.56875,82.8998699609883,0.08268594930243811,2.1666666666666665,0.29258777633289984,0.32142857142857145,0.35,0.2,2.6315789473684212,1.1695906432748537,4.678362573099415,2.7777777777777777,Very Good,4,Poor,1,Poor,1,Elite,5,Poor,1,Average,3,Below Average,2,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
2995,13,Division II,unitedtribestechnicalcollege,James Dust Jr,,,,Wing,,,14,2.3,2.3,2.0,3,3.5,2.142857142857143,1.0714285714285714,0.7142857142857143,0.5,0.14285714285714285,0.9285714285714286,2.857142857142857,1.0,0.5,0.35714285714285715,1.7857142857142858,0.5687093779015785,0.575,92.31348907309722,0.04275955403750725,1.5,0.18839487565938207,0.42857142857142855,0.35,0.175,0.9013068949977467,0.8111762054979721,2.70392068499324,1.1716989634970707,Average,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4064,14,Division II,unitedtribestechnicalcollege,Jerrell Tillman,,,,Wing,,,13,2.0,1.7000000000000002,2.0,3,2.923076923076923,1.1538461538461537,0.8461538461538461,0.6923076923076923,0.38461538461538464,0.0,0.5384615384615384,3.076923076923077,1.2307692307692308,0.3076923076923077,0.3076923076923077,0.8461538461538461,0.4549808429118774,0.425,74.86209613869188,0.04395566331832352,1.2222222222222223,0.1773049645390071,0.125,0.4,0.1,0.8695652173913043,0.4830917874396135,1.4492753623188406,0.6763285024154589,Poor,1,Poor,1,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4549,15,Division II,unitedtribestechnicalcollege,Hyden Martin,,,,Wing,,,9,1.75,1.2000000000000002,2.0,3,2.0,3.2222222222222223,0.4444444444444444,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.8888888888888888,2.2222222222222223,0.2222222222222222,0.1111111111111111,1.2222222222222223,2.0,0.44031311154598823,0.45,68.0786686838124,0.03057354301572618,0.6666666666666666,0.22692889561270801,0.0,0.1,0.05,0.7692307692307693,0.2564102564102564,3.717948717948718,1.0256410256410255,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
