MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1670,1,Division II,universityofarkansascossatot,Jeremiah Deering,,,,Wing,,,11,2.7074999999999996,2.8,2.45,3,7.454545454545454,4.909090909090909,1.0,1.5454545454545454,0.6363636363636364,0.8181818181818182,2.1818181818181817,4.636363636363637,0.09090909090909091,1.9090909090909092,1.4545454545454546,3.4545454545454546,0.6806108897742363,0.696078431372549,106.16261004660797,0.07986929726599662,0.6470588235294118,0.2200932159502848,1.0,0.0196078431372549,0.4117647058823529,2.028639618138425,1.909307875894988,6.443914081145585,2.863961813842482,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2070,2,Division II,universityofarkansascossatot,Dylan Glover,,,,Wing,,,13,2.5575,2.5,2.45,3,11.153846153846153,2.230769230769231,0.6923076923076923,1.1538461538461537,1.0,0.23076923076923078,1.4615384615384615,10.538461538461538,6.6923076923076925,1.0769230769230769,0.3076923076923077,1.9230769230769231,0.5064263760827047,0.48905109489051096,91.67931208902378,0.13853754248274414,0.6,0.09484066767830046,0.3448275862068966,0.635036496350365,0.10218978102189781,1.5236160487557135,1.6251904520060945,2.945657694261046,1.9299136617572372,Below Average,2,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2315,3,Division II,universityofarkansascossatot,Cherano Calmez,,,,Wing,,,18,2.4924999999999997,1.9500000000000002,3.05,3,7.888888888888889,6.833333333333333,0.8888888888888888,1.7222222222222223,0.7777777777777778,0.3888888888888889,1.1111111111111112,6.444444444444445,0.2222222222222222,2.9444444444444446,2.7777777777777777,4.055555555555555,0.5096181452770601,0.4827586206896552,83.37247534053546,0.10842054337585619,0.5161290322580645,0.18201033348990137,0.0,0.034482758620689655,0.45689655172413796,2.2895125553914326,1.5509601181683899,9.084194977843428,1.4771048744460857,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
2595,4,Division II,universityofarkansascossatot,RJ Patton,,,,Wing,,,14,2.4074999999999998,2.2,2.45,3,7.285714285714286,3.642857142857143,2.2142857142857144,1.7857142857142858,1.0714285714285714,0.21428571428571427,1.7142857142857142,6.357142857142857,1.1428571428571428,2.0714285714285716,1.2142857142857142,2.4285714285714284,0.5011792452830188,0.47191011235955055,80.46702429788577,0.11103325041168846,1.24,0.19722309876932786,0.25,0.1797752808988764,0.3258426966292135,2.5393600812595225,1.8283392585068563,5.180294565769426,2.4377856780091416,Below Average,2,Poor,1,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2706,5,Division II,universityofarkansascossatot,Clifton Jones Jr,,,,Wing,,,15,2.375,2.45,2.0,3,6.0,3.2666666666666666,0.8,0.6,0.8,0.13333333333333333,0.6,5.8,3.8666666666666667,0.2,0.9333333333333333,2.3333333333333335,0.5095108695652174,0.5057471264367817,92.47842170160297,0.06565561162533394,1.3333333333333333,0.09247842170160296,0.3448275862068966,0.6666666666666666,0.034482758620689655,0.7056056448451588,1.097608780870247,3.8416307330458643,0.7056056448451588,Below Average,2,Poor,1,Poor,1,Average,3,Elite,5,Very Good,4,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2898,6,Division II,universityofarkansascossatot,Landon Allen,,,,Wing,,,14,2.325,2.35,2.0,3,2.357142857142857,2.5714285714285716,0.7857142857142857,0.35714285714285715,0.5,0.21428571428571427,0.5,2.7857142857142856,1.2142857142857142,0.2857142857142857,0.6428571428571429,1.9285714285714286,0.4048086359175663,0.3974358974358974,72.11538461538461,0.032974001268230815,2.2,0.10926573426573427,0.058823529411764705,0.4358974358974359,0.10256410256410256,0.4192872117400419,0.8385744234800838,3.018867924528302,0.5870020964360587,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2927,7,Division II,universityofarkansascossatot,Amory Arie,,,,Wing,,,17,2.3249999999999997,2.3499999999999996,2.0,3,10.352941176470589,2.823529411764706,2.2941176470588234,2.411764705882353,0.23529411764705882,0.17647058823529413,1.5294117647058822,7.823529411764706,3.588235294117647,3.3529411764705883,1.0,1.8235294117647058,0.5566801619433198,0.48872180451127817,88.4066706851517,0.1372851901911566,0.9512195121951219,0.205947357846092,0.32786885245901637,0.45864661654135336,0.42857142857142855,3.2826261008807047,0.5604483586869495,3.8430744595676543,2.0816653322658127,Average,3,Below Average,2,Poor,1,Below Average,2,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3834,8,Division II,universityofarkansascossatot,Knighten Day,,,,Wing,,,14,2.075,1.85,2.0,3,4.285714285714286,4.428571428571429,0.42857142857142855,0.9285714285714286,0.35714285714285715,0.21428571428571427,1.5714285714285714,3.7142857142857144,0.0,1.0714285714285714,1.2142857142857142,3.2142857142857144,0.5119453924914675,0.5192307692307693,83.79888268156425,0.05210304176975694,0.46153846153846156,0.18156424581005587,,0.0,0.28846153846153844,1.1045029736618521,0.6796941376380629,5.267629566694987,1.8691588785046729,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3970,9,Division II,universityofarkansascossatot,Issak Helms,,,,Wing,,,7,2.05,1.8,2.0,3,1.5714285714285714,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.0,0.5714285714285714,1.2857142857142858,0.7142857142857143,0.5714285714285714,0.0,0.5714285714285714,0.5111524163568774,0.5,74.52574525745257,0.02188352508599217,0.5,0.2710027100271003,0.2,0.5555555555555556,0.4444444444444444,0.6808510638297872,0.5106382978723404,0.6808510638297872,0.6808510638297872,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4058,10,Division II,universityofarkansascossatot,Peter Serunjoji,,,,Wing,,,15,2.0075000000000003,1.4,2.45,3,7.2,3.8,0.8,1.7333333333333334,0.8666666666666667,0.4,1.4666666666666666,7.266666666666667,3.2666666666666666,0.8666666666666667,1.2,2.6,0.4707112970711297,0.4541284403669725,76.74815235929505,0.10208345423945214,0.46153846153846156,0.1847640704945992,0.1836734693877551,0.44954128440366975,0.11926605504587157,2.1950189953566905,1.6040523427606586,4.812157028281976,1.857323765301815,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Very Good,4,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
4154,11,Division II,universityofarkansascossatot,Bryce Goodwin,,,,Wing,,,17,1.9749999999999999,1.65,2.0,3,6.352941176470588,1.7058823529411764,0.5882352941176471,1.411764705882353,0.5294117647058824,0.058823529411764705,0.8235294117647058,5.411764705882353,2.823529411764706,2.7058823529411766,0.7058823529411765,1.0,0.481111903064861,0.45108695652173914,79.27187316500293,0.09191245918449956,0.4166666666666667,0.17615971814445094,0.2708333333333333,0.5217391304347826,0.5,1.8816150529204234,0.7840062720501764,2.2736181889455116,1.097608780870247,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4411,12,Division II,universityofarkansascossatot,Devean Newton,,,,Wing,,,16,1.8749999999999998,1.45,2.0,3,5.375,2.5,2.0625,1.9375,0.625,0.0,1.0,5.75,3.1875,0.9375,0.375,2.125,0.436105476673428,0.40217391304347827,66.35802469135803,0.08743287368108589,1.064516129032258,0.23919753086419754,0.27450980392156865,0.5543478260869565,0.16304347826086957,2.430419443355547,0.7840062720501764,3.1360250882007055,1.2544100352802823,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4414,13,Division II,universityofarkansascossatot,Sean Tang,,,,Wing,,,13,1.8749999999999998,1.45,2.0,3,1.6153846153846154,1.0769230769230769,1.2307692307692308,1.1538461538461537,0.6153846153846154,0.0,0.5384615384615384,3.076923076923077,1.0,0.38461538461538464,0.3076923076923077,0.7692307692307693,0.24881516587677724,0.2375,36.71328671328671,0.04775581084691424,1.0666666666666667,0.26223776223776224,0.07692307692307693,0.325,0.125,1.4612761811982464,0.7793472966390648,1.3638577691183633,0.6819288845591817,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4460,14,Division II,universityofarkansascossatot,Isaac Freeman,,,,Wing,,,16,1.825,1.35,2.0,3,2.375,1.4375,0.6875,0.6875,0.3125,0.25,0.375,3.0,2.0,0.1875,0.4375,1.0,0.38523925385239255,0.3854166666666667,62.9973474801061,0.04069406589848072,1.0,0.1823607427055703,0.21875,0.6666666666666666,0.0625,0.8624068992551941,0.7056056448451588,1.8032144257154057,0.47040376323010585,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4486,15,Division II,universityofarkansascossatot,John Ateny,,,,Wing,,,14,1.8124999999999998,1.5,1.75,3,3.7857142857142856,3.5714285714285716,0.5,1.1428571428571428,0.2857142857142857,0.21428571428571427,2.2857142857142856,4.142857142857143,0.5714285714285714,0.9285714285714286,1.1428571428571428,2.4285714285714284,0.41588198367859386,0.3879310344827586,66.4826894129453,0.06911739205826253,0.4375,0.20070245860511793,0.375,0.13793103448275862,0.22413793103448276,1.626842907981698,0.7117437722419929,5.083884087442806,3.253685815963396,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
