MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
190,1,Division II,wallacecommunitycollegeselma,Aiden Culpepper,,,,Wing,,,17,3.5700000000000003,4.0,3.2,3,14.117647058823529,5.0,4.0,2.0588235294117645,1.2352941176470589,0.4117647058823529,0.0,9.647058823529411,4.705882352941177,3.823529411764706,0.4117647058823529,4.588235294117647,0.6230529595015577,0.5670731707317073,105.4481546572935,0.18735594336516298,1.9428571428571428,0.15377855887521968,0.4,0.4878048780487805,0.39634146341463417,3.1305903398926653,2.5044722719141324,7.602862254025045,0.0,Elite,5,Average,3,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Elite,5,Very Good,4,Unknown
235,2,Division II,wallacecommunitycollegeselma,Jarmon Brittman,,,,Wing,,,18,3.5,2.6,5.0,3,9.61111111111111,8.555555555555555,1.8888888888888888,1.8333333333333333,1.1666666666666667,1.2777777777777777,0.0,7.333333333333333,1.0555555555555556,2.4444444444444446,2.7777777777777777,5.777777777777778,0.5714852008456659,0.553030303030303,93.83814276415708,0.14403125,1.0303030303030303,0.17899761336515513,0.3157894736842105,0.14393939393939395,0.3333333333333333,2.8025477707006368,3.7367303609341826,13.07855626326964,0.0,Very Good,4,Below Average,2,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Unknown
474,3,Division II,wallacecommunitycollegeselma,Tyree Curry,,,,Wing,,,7,3.2750000000000004,4.25,2.0,3,2.4285714285714284,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,0.0,1.4285714285714286,0.8571428571428571,1.0,0.0,0.5714285714285714,0.6498470948012233,0.65,129.96941896024464,0.024575379528032466,99.0,0.0,0.5,0.6,0.7,0.0,0.0,0.8188331627430911,0.0,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
859,4,Division II,wallacecommunitycollegeselma,Nathan Butterfield,,,,Wing,,,18,3.0425000000000004,3.0500000000000003,3.05,3,9.055555555555555,6.055555555555555,0.8888888888888888,1.1666666666666667,0.4444444444444444,0.5555555555555556,0.0,6.888888888888889,0.5,1.6666666666666667,2.0555555555555554,4.0,0.5940233236151604,0.6129032258064516,103.03413400758534,0.12359374999999999,0.7619047619047619,0.13274336283185842,0.6666666666666666,0.07258064516129033,0.24193548387096775,1.78343949044586,1.5286624203821657,9.256900212314225,0.0,Very Good,4,Below Average,2,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
1747,5,Division II,wallacecommunitycollegeselma,Asani Spivey,,,,Wing,,,13,2.675,3.05,2.0,3,4.923076923076923,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.07692307692307693,0.0,3.4615384615384617,1.8461538461538463,0.8461538461538461,0.0,0.9230769230769231,0.6420545746388443,0.6222222222222222,103.49288486416559,0.060911705606556094,1.0,0.19404915912031045,0.3333333333333333,0.5333333333333333,0.24444444444444444,1.282736504543025,1.389631213254944,1.282736504543025,0.0,Elite,5,Poor,1,Average,3,Below Average,2,Below Average,2,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2590,6,Division II,wallacecommunitycollegeselma,Terrence Davis,,,,Wing,,,17,2.4074999999999998,2.2,2.45,3,12.470588235294118,3.4705882352941178,2.5294117647058822,3.3529411764705883,0.9411764705882353,0.0,0.0,10.764705882352942,4.0,3.176470588235294,0.17647058823529413,3.2941176470588234,0.5126716966531244,0.45081967213114754,80.37609948437974,0.2212677426931982,0.7543859649122807,0.21610555050045496,0.3382352941176471,0.37158469945355194,0.29508196721311475,5.205479452054795,1.461187214611872,5.3881278538812785,0.0,Below Average,2,Very Good,4,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Elite,5,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Below Average,2,Unknown
3827,7,Division II,wallacecommunitycollegeselma,Dashon Hyman,,,,Wing,,,16,2.075,1.85,2.0,3,8.5625,3.6875,1.25,1.625,0.625,0.0,0.0,8.5625,3.875,2.4375,0.625,3.0625,0.4443435391800727,0.40145985401459855,76.04351687388987,0.14904530262417687,0.7692307692307693,0.14431616341030196,0.25806451612903225,0.45255474452554745,0.2846715328467153,2.3360287511230906,0.8984725965858041,5.300988319856244,0.0,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3904,8,Division II,wallacecommunitycollegeselma,Rashad Simpson,,,,Wing,,,9,2.05,1.8000000000000003,2.0,3,7.0,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,7.444444444444445,5.777777777777778,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.46405421331761937,0.4552238805970149,88.88261851015803,0.10852523272905437,0.3333333333333333,0.04232505643340858,0.25,0.7761194029850746,0.029850746268656716,0.49504950495049505,0.49504950495049505,0.9900990099009901,0.0,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4200,9,Division II,wallacecommunitycollegeselma,Key'Mauri Allen,,,,Wing,,,13,1.95,1.6,2.0,3,0.9230769230769231,2.0,0.38461538461538464,0.6153846153846154,0.15384615384615385,0.23076923076923078,0.0,0.7692307692307693,0.0,0.6923076923076923,0.3076923076923077,1.6923076923076923,0.4297994269340974,0.4,54.6448087431694,0.02234978016609673,0.625,0.36429872495446264,,0.0,0.9,0.8869179600886918,0.5543237250554324,2.882483370288248,0.0,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4247,10,Division II,wallacecommunitycollegeselma,Kevin Campbell,,,,Wing,,,9,1.95,1.6,2.0,3,1.0,0.6666666666666666,0.2222222222222222,0.4444444444444444,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.5555555555555556,0.38659793814432986,0.3333333333333333,57.54475703324808,0.02793455740515825,0.5,0.2557544757033248,0.0,0.3333333333333333,0.6666666666666666,0.7707129094412332,0.0,1.1560693641618498,0.0,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
