MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
27,1,Division II,waubonseecommunitycollege,Freddy Hassan,,,,Wing,,,18,4.0625,4.25,4.25,3,16.77777777777778,8.944444444444445,1.3888888888888888,1.0,0.8333333333333334,1.7222222222222223,1.7777777777777777,9.777777777777779,1.7222222222222223,4.5,3.2777777777777777,5.666666666666667,0.7134757134757135,0.6732954545454546,131.51018986239333,0.13581093868281602,1.3888888888888888,0.07838355687162515,0.3548387096774194,0.17613636363636365,0.4602272727272727,1.187726822830749,3.0353018805674696,10.623556581986143,2.111514351699109,Elite,5,Below Average,2,Elite,5,Average,3,Elite,5,Very Good,4,Below Average,2,Average,3,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Unknown
319,2,Division II,waubonseecommunitycollege,Kamea Chandler,,,,Wing,,,14,3.4074999999999998,4.199999999999999,2.45,3,10.928571428571429,1.7142857142857142,2.142857142857143,0.42857142857142855,1.1428571428571428,0.07142857142857142,1.1428571428571428,7.071428571428571,4.5,0.14285714285714285,0.42857142857142855,1.2857142857142858,0.7659191029235083,0.7626262626262627,144.50321118247072,0.07945608452902683,5.0,0.05666792595391009,0.5238095238095238,0.6363636363636364,0.020202020202020204,0.5046257359125316,1.4297729184188395,2.0185029436501263,1.3456686291000841,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
400,3,Division II,waubonseecommunitycollege,Dirk Nickson,,,,Wing,,,18,3.3325000000000005,4.050000000000001,2.45,3,11.38888888888889,2.5555555555555554,2.8333333333333335,1.5,1.1111111111111112,0.1111111111111111,1.3333333333333333,7.166666666666667,1.5,2.7777777777777777,0.5555555555555556,2.0,0.6788079470198676,0.6317829457364341,115.1685393258427,0.10527062831188493,1.8888888888888888,0.15168539325842698,0.4074074074074074,0.20930232558139536,0.3875968992248062,1.7815902342461234,1.4516661167931375,3.0353018805674696,1.583635763774332,Elite,5,Poor,1,Elite,5,Very Good,4,Average,3,Elite,5,Below Average,2,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
517,4,Division II,waubonseecommunitycollege,JJ Strojinc,,,,Wing,,,8,3.25,4.199999999999999,2.0,3,6.25,1.875,0.625,0.25,0.25,0.0,0.5,5.125,4.25,0.0,0.875,1.0,0.6097560975609756,0.6097560975609756,116.27906976744185,0.052945232466509055,2.5,0.046511627906976744,0.4117647058823529,0.8292682926829268,0.0,0.2775850104094379,0.2775850104094379,2.081887578070784,0.5551700208188758,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
633,5,Division II,waubonseecommunitycollege,Chikasi Ofoma,,,,Wing,,,17,3.1625000000000005,3.5000000000000004,2.75,3,14.117647058823529,7.0588235294117645,3.0588235294117645,1.9411764705882353,0.8823529411764706,0.4117647058823529,1.2352941176470589,9.647058823529411,1.9411764705882353,4.647058823529412,1.6470588235294117,5.411764705882353,0.6037432078889112,0.5487804878048781,103.55540214014498,0.14653515427415276,1.5757575757575757,0.14238867794269935,0.30303030303030304,0.20121951219512196,0.4817073170731707,2.3214913823425958,1.5476609215617305,8.441786844882166,1.4773126978543791,Elite,5,Below Average,2,Average,3,Very Good,4,Average,3,Below Average,2,Average,3,Average,3,Elite,5,Very Good,4,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
790,6,Division II,waubonseecommunitycollege,Eddy Redento,,,,Wing,,,8,3.075,3.8500000000000005,2.0,3,2.75,1.25,0.5,0.125,1.0,0.0,0.375,2.25,1.125,0.0,0.25,1.0,0.6111111111111112,0.6111111111111112,115.78947368421052,0.02391140196325195,4.0,0.05263157894736842,0.2222222222222222,0.5,0.0,0.14184397163120568,1.1347517730496455,1.4184397163120568,0.425531914893617,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
808,7,Division II,waubonseecommunitycollege,James Parker,,,,Wing,,,18,3.0650000000000004,3.1999999999999997,2.9000000000000004,3,8.444444444444445,2.9444444444444446,3.111111111111111,1.3333333333333333,1.8333333333333333,0.0,0.7777777777777778,6.388888888888889,2.2222222222222223,2.3333333333333335,0.5,2.4444444444444446,0.5693736889421637,0.5260869565217391,96.52019304038609,0.09313493565480695,2.3333333333333335,0.15240030480060962,0.375,0.34782608695652173,0.3652173913043478,1.583635763774332,2.1774991751897064,3.4971956450016495,0.9237875288683602,Average,3,Poor,1,Below Average,2,Elite,5,Average,3,Elite,5,Average,3,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1422,8,Division II,waubonseecommunitycollege,Dasean Patton,,,,Wing,,,8,2.8,3.3,2.0,3,4.25,1.0,0.125,0.625,0.375,0.0,0.125,2.75,0.75,1.125,0.625,0.375,0.6548536209553159,0.6136363636363636,109.81912144702842,0.038963000251698965,0.2,0.16149870801033592,0.16666666666666666,0.2727272727272727,0.4090909090909091,0.7092198581560284,0.425531914893617,1.1347517730496455,0.14184397163120568,Elite,5,Poor,1,Very Good,4,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1842,9,Division II,waubonseecommunitycollege,CJ Savage,,,,Wing,,,14,2.6325000000000003,2.6500000000000004,2.45,3,8.357142857142858,2.142857142857143,3.0,1.2142857142857142,1.1428571428571428,0.07142857142857142,1.2857142857142858,7.714285714285714,4.857142857142857,0.7142857142857143,0.5714285714285714,1.5714285714285714,0.5204626334519573,0.5,90.41731066460586,0.09710632166656662,2.4705882352941178,0.13137557959814528,0.35294117647058826,0.6296296296296297,0.09259259259259259,1.4297729184188395,1.4297729184188395,2.5231286795626575,1.5138772077375946,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Below Average,2,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1925,10,Division II,waubonseecommunitycollege,Ehi Ogbomo,,,,Wing,,,15,2.6075,2.6,2.45,3,10.4,4.866666666666666,2.4,1.7333333333333334,1.4666666666666666,0.13333333333333333,1.6666666666666667,8.466666666666667,2.4,2.6666666666666665,1.1333333333333333,3.7333333333333334,0.5394190871369294,0.5236220472440944,91.4419695193435,0.12187803623478308,1.3846153846153846,0.15240328253223917,0.3055555555555556,0.28346456692913385,0.31496062992125984,2.054523903595417,1.8964836033188464,5.768470960094824,1.9755037534571316,Average,3,Below Average,2,Poor,1,Average,3,Average,3,Below Average,2,Average,3,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
