MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
27,1,Division II,waynecountycommunitycollege,Rahim Alvarade,,,,Wing,,,8,4.0625,4.25,4.25,3,22.875,7.5,0.375,2.0,0.625,1.0,1.125,15.5,1.625,5.625,3.75,3.75,0.6363004172461751,0.6088709677419355,114.51814768460575,0.2669027258150722,0.1875,0.10012515644555695,0.23076923076923078,0.10483870967741936,0.3629032258064516,3.2553407934893186,2.644964394710071,12.207527975584943,1.8311291963377416,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Very Good,4,Unknown
183,2,Division II,waynecountycommunitycollege,Ryan Hatcher,,,,Wing,,,8,3.5,3.6500000000000004,3.5,3,13.375,5.375,2.25,1.0,1.0,0.25,1.5,10.25,3.5,3.375,2.5,2.875,0.5698764380059651,0.524390243902439,105.02552021986651,0.17016301443078566,2.25,0.07852375343541422,0.2857142857142857,0.34146341463414637,0.32926829268292684,1.6276703967446593,2.034587995930824,8.748728382502543,2.441505595116989,Average,3,Average,3,Average,3,Elite,5,Elite,5,Below Average,2,Very Good,4,Very Good,4,Elite,5,Average,3,Average,3,Average,3,Elite,5,Elite,5,Unknown
669,3,Division II,waynecountycommunitycollege,Ayden Harvey,,,,Wing,,,8,3.05,3.8,2.0,3,3.875,1.5,0.625,0.375,0.375,0.0,1.125,2.0,0.5,0.625,0.75,0.75,0.8516483516483517,0.84375,146.22641509433961,0.035408872260823086,1.6666666666666667,0.14150943396226415,0.75,0.25,0.3125,0.6103763987792472,0.6103763987792472,2.441505595116989,1.8311291963377416,Elite,5,Poor,1,Elite,5,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
670,4,Division II,waynecountycommunitycollege,Kyle Reeves,,,,Wing,,,8,3.05,3.8,2.0,3,5.625,2.875,0.0,0.125,0.25,0.25,1.0,3.625,0.5,2.25,1.25,1.625,0.6094257854821234,0.603448275862069,118.67088607594935,0.06333511491181186,0.0,0.026371308016877634,0.25,0.13793103448275862,0.6206896551724138,0.2034587995930824,0.8138351983723296,4.679552390640895,1.6276703967446593,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1193,5,Division II,waynecountycommunitycollege,Bruce Gee,,,,Wing,,,8,2.7750000000000004,3.2500000000000004,2.0,3,4.625,2.75,0.125,0.5,0.25,0.125,0.5,2.875,0.875,0.375,1.375,1.375,0.7606907894736842,0.7391304347826086,130.6497175141243,0.04730090860502405,0.25,0.14124293785310735,0.2857142857142857,0.30434782608695654,0.13043478260869565,0.8138351983723296,0.6103763987792472,4.476093591047813,0.8138351983723296,Elite,5,Poor,1,Elite,5,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1253,6,Division II,waynecountycommunitycollege,Julian Young,,,,Wing,,,8,2.75,3.2,2.0,3,10.875,3.25,1.25,1.375,0.625,0.0,1.5,7.75,3.0,3.5,1.0,2.25,0.5853067814854683,0.5403225806451613,101.96905766526021,0.1425040085515767,0.9090909090909091,0.12892639474917958,0.375,0.3870967741935484,0.45161290322580644,2.2380467955239065,1.017293997965412,5.289928789420142,2.441505595116989,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Insufficient Volume,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1400,7,Division II,waynecountycommunitycollege,Devin Mixon,,,,Wing,,,8,2.6825,2.7499999999999996,2.45,3,7.25,2.5,2.0,1.0,1.125,0.0,0.25,6.0,0.375,1.5,0.875,1.625,0.5442942942942943,0.5416666666666666,94.64751958224542,0.1023516835916622,2.0,0.13054830287206265,0.6666666666666666,0.0625,0.25,1.6276703967446593,1.8311291963377416,4.069175991861648,0.4069175991861648,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1486,8,Division II,waynecountycommunitycollege,Keymarryon Fishburn,,,,Wing,,,8,2.6500000000000004,3.0,2.0,3,2.875,1.75,0.5,0.125,0.375,0.0,0.75,2.25,0.5,1.25,0.5,1.25,0.5133928571428572,0.5,98.2905982905983,0.03908337787279529,4.0,0.042735042735042736,0.5,0.2222222222222222,0.5555555555555556,0.2034587995930824,0.6103763987792472,2.8484231943031535,1.2207527975584944,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2416,9,Division II,waynecountycommunitycollege,Mathieu Collins,,,,Wing,,,7,2.325,2.35,2.0,3,2.5714285714285716,0.5714285714285714,1.1428571428571428,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,2.2857142857142856,1.0,0.0,0.2857142857142857,0.2857142857142857,0.5625,0.5625,94.73684210526316,0.036378953817875474,2.6666666666666665,0.15789473684210525,0.5714285714285714,0.4375,0.0,0.7168458781362007,0.23894862604540024,0.955794504181601,0.23894862604540024,Average,3,Poor,1,Poor,1,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2500,10,Division II,waynecountycommunitycollege,Akil Frye,,,,Wing,,,8,2.3,2.3,2.0,3,2.25,3.375,0.25,0.25,0.25,0.125,1.25,2.5,0.625,0.75,1.375,2.0,0.39752650176678445,0.375,73.05194805194805,0.04115446285408872,1.0,0.08116883116883117,0.2,0.25,0.3,0.4069175991861648,0.6103763987792472,5.493387589013225,2.034587995930824,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
