MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1157,1,Division II,westchestercommunitycollege,Fari Joseph,,,,Wing,,,15,2.79,2.6500000000000004,2.9000000000000004,3,14.533333333333333,3.933333333333333,1.5333333333333334,2.2,1.7333333333333334,0.13333333333333333,1.4666666666666666,12.133333333333333,7.266666666666667,3.7333333333333334,1.4,2.533333333333333,0.5274874177313202,0.49725274725274726,90.96978801535637,0.15467031548510352,0.696969696969697,0.13770655983975966,0.3211009174311927,0.5989010989010989,0.3076923076923077,2.3766654663305724,2.0165646380986675,4.249189773136478,1.5844436442203818,Below Average,2,Average,3,Poor,1,Poor,1,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1209,2,Division II,westchestercommunitycollege,Tiziah Spears,,,,Wing,,,15,2.7725,2.3000000000000003,3.35,3,14.933333333333334,4.666666666666667,2.2666666666666666,3.1333333333333333,2.0,0.5333333333333333,1.6666666666666667,10.666666666666666,3.466666666666667,6.6,1.0666666666666667,3.6,0.5502063273727648,0.48125,89.39974457215837,0.1617183869468684,0.723404255319149,0.18757982120051087,0.2692307692307692,0.325,0.61875,3.3849477853799064,2.7367662945624773,5.041411595246669,1.8005041411595246,Average,3,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Very Good,4,Very Good,4,Elite,5,Below Average,2,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
1516,3,Division II,westchestercommunitycollege,Yunus Abdul,,,,Wing,,,14,2.6325000000000003,2.6500000000000004,2.45,3,4.214285714285714,5.285714285714286,0.7142857142857143,0.5,0.9285714285714286,0.42857142857142855,1.2142857142857142,3.357142857142857,0.0,1.3571428571428572,2.142857142857143,3.142857142857143,0.5328757225433526,0.5106382978723404,94.61193072482361,0.04278148239620208,1.4285714285714286,0.11225144323284157,,0.0,0.40425531914893614,0.5353728489483748,1.4531548757170172,5.659655831739962,1.3001912045889101,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1757,4,Division II,westchestercommunitycollege,Tarik Dacosta,,,,Wing,,,15,2.5324999999999998,2.45,2.45,3,14.8,3.6,2.4,3.0,1.2,0.2,2.2,11.2,1.9333333333333333,6.333333333333333,0.7333333333333333,2.8666666666666667,0.5290753098188751,0.49404761904761907,87.12715855572998,0.16445500077451336,0.8,0.17660910518053374,0.3448275862068966,0.17261904761904762,0.5654761904761905,3.2409074540871443,1.5124234785740007,3.8890889449045734,2.3766654663305724,Below Average,2,Average,3,Poor,1,Below Average,2,Below Average,2,Very Good,4,Average,3,Average,3,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2079,5,Division II,westchestercommunitycollege,Arber Mustafaj,,,,Wing,,,9,2.425,2.55,2.0,3,3.3333333333333335,2.4444444444444446,0.6666666666666666,0.2222222222222222,0.4444444444444444,0.5555555555555556,1.5555555555555556,3.4444444444444446,1.1111111111111112,1.0,0.8888888888888888,1.5555555555555556,0.4290617848970252,0.4032258064516129,81.16883116883116,0.03954463750748952,3.0,0.05411255411255411,0.3,0.3225806451612903,0.2903225806451613,0.2372479240806643,1.0676156583629892,2.6097271648873073,1.66073546856465,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2260,6,Division II,westchestercommunitycollege,Josiah Bishun,,,,Wing,,,11,2.3500000000000005,2.400000000000001,2.0,3,2.0,0.6363636363636364,1.0,0.2727272727272727,0.5454545454545454,0.0,1.0,1.9090909090909092,1.2727272727272727,0.18181818181818182,0.09090909090909091,0.5454545454545454,0.5027422303473492,0.5,88.42443729903538,0.021169423456538015,3.6666666666666665,0.12057877813504823,0.35714285714285715,0.6666666666666666,0.09523809523809523,0.2840909090909091,0.5681818181818182,0.6628787878787878,1.0416666666666667,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2472,7,Division II,westchestercommunitycollege,Cody Dinnall,,,,Wing,,,14,2.3,2.3,2.0,3,4.214285714285714,5.0,0.8571428571428571,0.7142857142857143,0.35714285714285715,0.7857142857142857,1.4285714285714286,4.571428571428571,0.8571428571428571,1.5,2.5714285714285716,2.4285714285714284,0.40278536318951397,0.3671875,70.87938491110043,0.057138934651290496,1.2,0.1201345506967804,0.25,0.1875,0.328125,0.7665772326561902,1.2265235722499042,5.366040628593331,1.5331544653123803,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2674,8,Division II,westchestercommunitycollege,Lucas Feliciano,,,,Wing,,,15,2.225,2.1500000000000004,2.0,3,5.666666666666667,1.9333333333333333,1.4,1.3333333333333333,0.7333333333333333,0.2,1.9333333333333333,4.866666666666666,2.933333333333333,1.6,0.6,1.3333333333333333,0.5086165629487793,0.4657534246575342,82.078022402472,0.06684050188464916,1.05,0.19312475859405176,0.3181818181818182,0.6027397260273972,0.3287671232876712,1.4404033129276197,1.0082823190493337,2.0885848037450487,2.0885848037450487,Below Average,2,Poor,1,Poor,1,Below Average,2,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2745,9,Division II,westchestercommunitycollege,Isaac Turay,,,,Wing,,,13,2.2024999999999997,1.65,2.6500000000000004,3,8.923076923076923,4.846153846153846,1.0,2.230769230769231,1.3076923076923077,1.0769230769230769,3.0,7.6923076923076925,2.0,4.6923076923076925,1.7692307692307692,3.076923076923077,0.45726900031535794,0.38,74.435318275154,0.11506541835257983,0.4482758620689655,0.186088295687885,0.15384615384615385,0.26,0.61,2.3819301848049284,2.546201232032854,5.174537987679671,3.2032854209445585,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Average,3,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
2846,10,Division II,westchestercommunitycollege,Myles Gregory,,,,Wing,,,8,2.175,2.0500000000000003,2.0,3,2.25,1.25,0.25,0.25,0.25,0.0,0.5,3.5,1.125,0.375,0.25,1.0,0.3069577080491132,0.30357142857142855,57.47126436781609,0.037376485751109835,1.0,0.06385696040868455,0.3333333333333333,0.32142857142857145,0.10714285714285714,0.26737967914438504,0.26737967914438504,1.3368983957219251,0.5347593582887701,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
