MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
584,1,Division II,westerniowatech,Caleb Kawela,,,,Wing,,,11,3.0950000000000006,3.400000000000001,2.7,3,17.272727272727273,8.363636363636363,0.6363636363636364,1.9090909090909092,0.36363636363636365,0.09090909090909091,2.909090909090909,11.545454545454545,0.8181818181818182,6.545454545454546,2.909090909090909,5.454545454545454,0.5986891857827074,0.5787401574803149,105.74354407836152,0.2202716618447507,0.3333333333333333,0.11687444345503116,0.1111111111111111,0.07086614173228346,0.5669291338582677,2.855200543847723,0.6798096532970768,12.508497620666214,4.350781781101292,Very Good,4,Very Good,4,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Poor,1,Elite,5,Elite,5,Poor,1,Elite,5,Average,3,Very Good,4,Unknown
994,2,Division II,westerniowatech,Zeb Svoboda,,,,Wing,,,13,2.865,2.8000000000000003,2.9000000000000004,3,11.923076923076923,2.6923076923076925,1.3076923076923077,1.3846153846153846,1.3076923076923077,0.23076923076923078,1.8461538461538463,10.615384615384615,7.6923076923076925,2.5384615384615383,0.38461538461538464,2.3076923076923075,0.5081300813008129,0.4673913043478261,90.89842833685198,0.1766314481044127,0.9444444444444444,0.1055594651653765,0.31,0.7246376811594203,0.2391304347826087,2.053622361665716,2.2818026240730176,3.993154592127781,2.738163148887621,Below Average,2,Average,3,Poor,1,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Very Good,4,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1083,3,Division II,westerniowatech,Isaiah Lloyd,,,,Wing,,,14,2.8225,2.4000000000000004,3.35,3,6.642857142857143,3.857142857142857,2.357142857142857,1.6428571428571428,1.5,0.2857142857142857,1.4285714285714286,5.0,0.7142857142857143,1.5,0.5714285714285714,3.2857142857142856,0.5868248359414437,0.5642857142857143,90.962441314554,0.10590428837787445,1.434782608695652,0.22496087636932707,0.3,0.14285714285714285,0.3,2.6240730176839704,2.852253280091272,6.160867084997148,2.2818026240730176,Very Good,4,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
1606,4,Division II,westerniowatech,Iven Karla,,,,Wing,,,10,2.5999999999999996,2.8999999999999995,2.0,3,2.3,0.9,0.9,0.6,0.3,0.2,0.9,1.5,0.0,0.7,0.4,0.5,0.6360619469026549,0.6666666666666666,95.51495016611297,0.03298810893747603,1.5,0.24916943521594687,,0.0,0.4666666666666667,0.9118541033434651,0.7598784194528876,1.3677811550151975,1.3677811550151975,Elite,5,Poor,1,Below Average,2,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1651,5,Division II,westerniowatech,Easton Bosanek,,,,Wing,,,10,2.575,2.8500000000000005,2.0,3,4.9,1.2,0.2,0.4,0.1,0.0,0.5,4.3,3.7,0.0,0.2,1.0,0.5697674418604651,0.5697674418604651,104.25531914893617,0.06627185561195713,0.5,0.0851063829787234,0.35135135135135137,0.8604651162790697,0.0,0.6172839506172839,0.15432098765432098,1.8518518518518519,0.7716049382716049,Average,3,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Very Good,4,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2245,6,Division II,westerniowatech,Terance Pittman,,,,Wing,,,14,2.3575,2.1000000000000005,2.45,3,4.571428571428571,2.642857142857143,1.7142857142857142,1.1428571428571428,1.2142857142857142,0.0,1.2142857142857142,4.285714285714286,0.9285714285714286,0.7142857142857143,0.9285714285714286,1.7142857142857142,0.49689440993788814,0.48333333333333334,79.60199004975124,0.08328154133001865,1.5,0.1990049751243781,0.15384615384615385,0.21666666666666667,0.16666666666666666,1.8254420992584142,1.939532230462065,4.221334854535082,1.939532230462065,Below Average,2,Poor,1,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2733,7,Division II,westerniowatech,Ronald Lee,,,,Wing,,,14,2.2075000000000005,1.8000000000000003,2.45,3,5.214285714285714,1.7857142857142858,1.2142857142857142,1.1428571428571428,1.0714285714285714,0.14285714285714285,1.5,4.928571428571429,1.6428571428571428,1.2857142857142858,0.42857142857142855,1.3571428571428572,0.4745189807592304,0.43478260869565216,78.5622040464916,0.09625025896001657,1.0625,0.17219113215669393,0.2608695652173913,0.3333333333333333,0.2608695652173913,1.8254420992584142,1.939532230462065,2.852253280091272,2.3958927552766687,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2918,8,Division II,westerniowatech,Javier Sideregts,,,,Wing,,,13,2.1525,1.55,2.6500000000000004,3,6.0,3.4615384615384617,2.076923076923077,2.3076923076923075,0.8461538461538461,0.5384615384615384,2.1538461538461537,7.076923076923077,1.0,0.7692307692307693,0.6923076923076923,2.769230769230769,0.40456431535269705,0.3858695652173913,61.70886075949367,0.1309301843795318,0.9,0.23734177215189872,0.23076923076923078,0.14130434782608695,0.10869565217391304,3.4227039361095266,2.053622361665716,5.13405590416429,3.194523673702225,Poor,1,Below Average,2,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Below Average,2,Below Average,2,Poor,1,Average,3,Poor,1,Very Good,4,Average,3,Unknown
3114,9,Division II,westerniowatech,Nathaniel Vereen-Burton,,,,Wing,,,12,2.0999999999999996,1.9000000000000001,2.0,3,1.5,1.8333333333333333,0.6666666666666666,0.75,0.5833333333333334,0.16666666666666666,1.4166666666666667,1.25,0.4166666666666667,0.25,0.0,1.8333333333333333,0.5514705882352942,0.5,71.09004739336493,0.031084266352386567,0.8888888888888888,0.35545023696682465,0.2,0.3333333333333333,0.2,1.2269938650306749,1.2269938650306749,2.99931833674165,2.3176550783912746,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3599,10,Division II,westerniowatech,Karlo Dragojevic,,,,Wing,,,8,1.95,1.6,2.0,3,0.125,0.75,0.125,0.375,0.0,0.125,0.125,0.5,0.25,0.25,0.125,0.625,0.10245901639344263,0.0,12.690355329949238,0.013808088596060841,0.3333333333333333,0.3807106598984772,0.0,0.5,0.5,0.5752636625119847,0.19175455417066156,1.1505273250239694,0.19175455417066156,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
