MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
319,1,Division II,wvupotomacstatecollege,RJ Greene,,,,Wing,,,14,3.4000000000000004,4.5,2.0,3,12.785714285714286,1.3571428571428572,2.2142857142857144,0.6428571428571429,0.8571428571428571,0.0,1.5,9.071428571428571,4.142857142857143,3.2857142857142856,0.42857142857142855,0.9285714285714286,0.6078511274110295,0.5511811023622047,114.56733230926778,0.12144389515903369,3.4444444444444446,0.057603686635944694,0.3103448275862069,0.4566929133858268,0.36220472440944884,0.8111762054979721,1.081568273997296,1.7124831004957188,1.8927444794952681,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
954,2,Division II,wvupotomacstatecollege,Christian Miller,,,,Wing,,,9,2.9825,3.3500000000000005,2.45,3,3.6666666666666665,1.1111111111111112,0.6666666666666666,0.3333333333333333,1.1111111111111112,0.2222222222222222,0.5555555555555556,2.888888888888889,1.3333333333333333,0.7777777777777778,0.6666666666666666,0.4444444444444444,0.5674002751031637,0.5384615384615384,102.86783042394015,0.03765965439519158,2.0,0.09351620947630923,0.3333333333333333,0.46153846153846156,0.2692307692307692,0.40816326530612246,1.6326530612244898,1.3605442176870748,0.6802721088435374,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
975,3,Division II,wvupotomacstatecollege,Donovan Ballantine,,,,Wing,,,8,2.9750000000000005,3.6500000000000004,2.0,3,4.625,1.625,0.375,0.5,0.25,0.125,0.875,2.5,0.125,1.5,0.25,1.375,0.7318037974683544,0.75,126.36612021857923,0.038570976920644956,0.75,0.13661202185792348,0.0,0.05,0.6,0.6092916984006093,0.456968773800457,1.9801980198019802,1.0662604722010662,Elite,5,Poor,1,Elite,5,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
992,4,Division II,wvupotomacstatecollege,Peter Quaye,,,,Wing,,,14,2.9625000000000004,3.1,2.75,3,10.285714285714286,5.857142857142857,1.0714285714285714,0.8571428571428571,0.7857142857142857,0.42857142857142855,1.9285714285714286,8.571428571428571,2.142857142857143,2.0,2.142857142857143,3.7142857142857144,0.5441354292623942,0.5041666666666667,99.77827050997783,0.1121785903056307,1.25,0.08314855875831487,0.36666666666666664,0.25,0.23333333333333334,1.081568273997296,1.5322217214961695,7.390716538981523,2.4335286164939163,Average,3,Poor,1,Below Average,2,Average,3,Elite,5,Very Good,4,Average,3,Very Good,4,Very Good,4,Average,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
1020,5,Division II,wvupotomacstatecollege,David Rushing,,,,Wing,,,11,2.95,3.6000000000000005,2.0,3,8.090909090909092,2.8181818181818183,1.1818181818181819,0.6363636363636364,0.5454545454545454,0.36363636363636365,0.9090909090909091,6.363636363636363,2.090909090909091,1.0,1.6363636363636365,1.1818181818181819,0.5946018172100481,0.5857142857142857,108.74877810361681,0.08183345332373411,1.8571428571428572,0.0855327468230694,0.43478260869565216,0.32857142857142857,0.15714285714285714,0.8220786846741045,1.1743981209630066,3.64063417498532,1.1743981209630066,Very Good,4,Poor,1,Very Good,4,Very Good,4,Elite,5,Insufficient Volume,3,Average,3,Very Good,4,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1326,6,Division II,wvupotomacstatecollege,Nasir Cheatham,,,,Wing,,,13,2.825,3.3499999999999996,2.0,3,4.076923076923077,1.9230769230769231,0.38461538461538464,0.46153846153846156,0.38461538461538464,0.15384615384615385,1.1538461538461537,2.5384615384615383,0.3076923076923077,1.7692307692307692,0.8461538461538461,1.0769230769230769,0.6145640074211504,0.6212121212121212,107.89902280130293,0.04060175235576127,0.8333333333333334,0.1221498371335505,0.25,0.12121212121212122,0.696969696969697,0.5747126436781609,0.6704980842911877,2.3946360153256707,1.4367816091954022,Elite,5,Poor,1,Average,3,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1604,7,Division II,wvupotomacstatecollege,Antonio Pollard,,,,Wing,,,12,2.7249999999999996,3.15,2.0,3,4.083333333333333,3.5833333333333335,1.9166666666666667,0.6666666666666666,0.5833333333333334,0.25,0.8333333333333334,3.0,1.0833333333333333,1.1666666666666667,0.6666666666666666,2.9166666666666665,0.5811195445920304,0.5555555555555556,97.68740031897927,0.04566808696602206,2.875,0.1594896331738437,0.3076923076923077,0.3611111111111111,0.3888888888888889,0.8438818565400844,1.0548523206751055,4.5358649789029535,1.0548523206751055,Very Good,4,Poor,1,Below Average,2,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1605,8,Division II,wvupotomacstatecollege,Avion Blackwood,,,,Wing,,,11,2.7249999999999996,3.15,2.0,3,2.4545454545454546,0.6363636363636364,0.9090909090909091,0.2727272727272727,0.8181818181818182,0.09090909090909091,0.36363636363636365,1.9090909090909092,0.5454545454545454,0.5454545454545454,0.2727272727272727,0.36363636363636365,0.5710659898477157,0.5952380952380952,101.35135135135135,0.02592246613731901,3.3333333333333335,0.11261261261261261,0.5,0.2857142857142857,0.2857142857142857,0.3393665158371041,1.1312217194570136,0.7918552036199095,0.45248868778280543,Very Good,4,Poor,1,Below Average,2,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Very Good,4,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1683,9,Division II,wvupotomacstatecollege,Colby Margenau,,,,Wing,,,14,2.6900000000000004,2.4499999999999997,2.9000000000000004,3,10.0,4.571428571428571,1.3571428571428572,1.3571428571428572,1.1428571428571428,0.6428571428571429,2.2142857142857144,8.785714285714286,4.0,2.0714285714285716,1.5,3.0714285714285716,0.5156157925751326,0.4878048780487805,90.46265184802274,0.1202935049591145,1.0,0.12277074179374516,0.2857142857142857,0.45528455284552843,0.23577235772357724,1.7124831004957188,2.253267237494367,5.7683641279855795,2.794051374493015,Below Average,2,Below Average,2,Poor,1,Below Average,2,Very Good,4,Below Average,2,Elite,5,Elite,5,Very Good,4,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1737,10,Division II,wvupotomacstatecollege,Jordan Taylor,,,,Wing,,,10,2.6674999999999995,2.3,3.05,3,10.5,7.0,0.8,1.7,0.8,0.5,2.4,8.7,2.0,1.9,2.6,4.4,0.5505453020134228,0.5632183908045977,93.44962620149519,0.12022255510378771,0.47058823529411764,0.1512993948024208,0.3,0.22988505747126436,0.21839080459770116,2.1000617665225447,1.605929586164299,8.647313156269302,2.964793082149475,Average,3,Below Average,2,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Average,3,Average,3,Average,3,Elite,5,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
1760,11,Division II,wvupotomacstatecollege,Rodney Vilsaint,,,,Wing,,,14,2.6574999999999998,2.7,2.45,3,12.214285714285714,4.5,1.9285714285714286,1.1428571428571428,1.0,0.14285714285714285,1.3571428571428572,11.142857142857142,5.357142857142857,2.0,1.1428571428571428,3.357142857142857,0.5079610266159696,0.46794871794871795,92.7734375,0.1432702173304729,1.6875,0.08680555555555555,0.29333333333333333,0.4807692307692308,0.1794871794871795,1.4420910319963949,1.4420910319963949,5.678233438485805,1.7124831004957188,Below Average,2,Below Average,2,Poor,1,Very Good,4,Elite,5,Below Average,2,Elite,5,Elite,5,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1766,12,Division II,wvupotomacstatecollege,Joell Young,,,,Wing,,,14,2.6574999999999998,2.6999999999999997,2.45,3,8.428571428571429,4.0,3.7142857142857144,1.3571428571428572,1.1428571428571428,0.2857142857142857,1.9285714285714286,6.571428571428571,2.7857142857142856,2.4285714285714284,1.5,2.5,0.5516080777860882,0.5217391304347826,93.68053350269926,0.09790753350122813,2.736842105263158,0.1508415369958717,0.3076923076923077,0.42391304347826086,0.3695652173913043,1.7124831004957188,1.8026137899954935,5.047318611987381,2.4335286164939163,Average,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Average,3,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2753,13,Division II,wvupotomacstatecollege,Rodney Carter,,,,Wing,,,11,2.3499999999999996,2.4,2.0,3,2.090909090909091,1.7272727272727273,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.2727272727272727,1.3636363636363635,2.3636363636363638,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.9090909090909091,0.3954607977991747,0.36538461538461536,71.69576059850374,0.0316920888326879,1.6666666666666667,0.09351620947630923,0.125,0.3076923076923077,0.2692307692307692,0.3442340791738382,0.4589787722317843,2.1801491681009755,1.721170395869191,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2847,14,Division II,wvupotomacstatecollege,Cam Young,,,,Wing,,,10,2.325,2.35,2.0,3,5.5,1.7,2.1,0.3,0.9,0.0,0.6,5.8,3.1,0.7,0.8,0.9,0.4502292075965946,0.4396551724137931,85.83021223470662,0.06931764095019687,7.0,0.04681647940074907,0.2903225806451613,0.5344827586206896,0.1206896551724138,0.3761755485893417,1.128526645768025,2.1316614420062696,0.7523510971786834,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4142,15,Division II,wvupotomacstatecollege,Quincey Miller,,,,Wing,,,8,1.95,1.6,2.0,3,1.125,0.875,0.25,0.75,0.625,0.0,0.875,1.375,0.75,0.5,0.375,0.5,0.35266457680250785,0.2727272727272727,47.97441364605544,0.024924270606366584,0.3333333333333333,0.31982942430703626,0.0,0.5454545454545454,0.36363636363636365,0.9174311926605505,0.764525993883792,1.070336391437309,1.070336391437309,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
