MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
178,1,Division III,anokaramseycommunitycollege,Preston Thielke,34,Fr,G/F,Wing,6'5,203,19,3.5875000000000004,3.65,3.75,3,15.894736842105264,8.526315789473685,2.0526315789473686,2.3157894736842106,1.368421052631579,1.105263157894737,3.473684210526316,10.473684210526315,0.9473684210526315,3.789473684210526,2.736842105263158,5.7894736842105265,0.6545864400901682,0.6055276381909548,109.94611912043105,0.15956779365632623,0.8863636363636364,0.16018639871850882,0.3888888888888889,0.09045226130653267,0.36180904522613067,2.8683181225554106,3.0638852672750976,10.560625814863103,4.302477183833116,Elite,5,Average,3,Very Good,4,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Very Good,4,Very Good,4,Average,3,Very Good,4,Average
456,2,Division III,anokaramseycommunitycollege,Austin Kunz,24,Fr,G,Guard,6'2,171,10,3.2875,3.85,2.2,4,3.7,2.0,0.8,0.1,0.4,0.6,0.9,2.5,1.4,1.6,0.8,1.2,0.5774032459425718,0.5,111.98547215496369,0.03639087144241784,8.0,0.03026634382566586,0.35714285714285715,0.56,0.64,0.12422360248447205,1.2422360248447204,2.484472049689441,1.1180124223602483,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
580,3,Division III,anokaramseycommunitycollege,Dwayne Bryant,12,So,G,Guard,5'10,150,14,3.1975000000000002,3.7,2.75,2,8.214285714285714,2.4285714285714284,1.0714285714285714,0.8571428571428571,1.3571428571428572,0.07142857142857142,1.6428571428571428,5.142857142857143,1.9285714285714286,2.2857142857142856,1.0714285714285714,1.3571428571428572,0.6679832713754646,0.6319444444444444,117.25122349102773,0.07678096132769688,1.25,0.12234910277324633,0.4074074074074074,0.375,0.4444444444444444,1.0676156583629892,1.7793594306049823,3.0249110320284696,2.0462633451957295,Elite,5,Poor,1,Elite,5,Below Average,2,Very Good,4,Elite,5,Below Average,2,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Below Average
608,4,Division III,anokaramseycommunitycollege,Stewart Jones,4,So,G,Guard,6'2,177,18,3.1774999999999998,2.6,3.85,4,11.055555555555555,2.611111111111111,1.2222222222222223,2.0555555555555554,1.4444444444444444,0.8333333333333334,1.8888888888888888,8.666666666666666,5.166666666666667,2.2222222222222223,0.3888888888888889,2.2222222222222223,0.5731566820276498,0.5641025641025641,94.49192782526116,0.1301285219970341,0.5945945945945946,0.17568850902184235,0.3655913978494624,0.5961538461538461,0.2564102564102564,2.5596679349705984,2.836388792805258,3.2514700795572464,2.352127291594604,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Very Good
862,5,Division III,anokaramseycommunitycollege,Brayden Dollard,20,Fr,G,Guard,6'2,144,7,3.0400000000000005,3.4000000000000004,2.2,4,2.142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,1.4285714285714286,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,0.6893382352941176,0.7,126.26262626262626,0.018451789264413522,0.0,0.08417508417508417,0.5,0.4,0.2,0.17301038062283736,0.5190311418685121,0.17301038062283736,0.0,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
977,6,Division III,anokaramseycommunitycollege,Jamal Woods,3,So,G,Guard,6'3,189,11,2.985,3.3,2.2,4,16.272727272727273,4.545454545454546,1.0,1.3636363636363635,1.1818181818181819,0.09090909090909091,1.5454545454545454,12.727272727272727,5.090909090909091,3.0,1.3636363636363635,3.1818181818181817,0.579213046854776,0.5607142857142857,105.59226050023595,0.1681946263444061,0.7333333333333333,0.08848513449740443,0.4107142857142857,0.4,0.2357142857142857,1.6968325791855203,1.583710407239819,5.656108597285068,1.9230769230769231,Very Good,4,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
1214,7,Division III,anokaramseycommunitycollege,Andrew Chisley,1,So,G/F,Wing,6'7,225,11,2.88,2.9499999999999997,2.3,4,11.545454545454545,6.636363636363637,0.45454545454545453,1.0,1.0909090909090908,0.0,1.8181818181818181,8.545454545454545,1.1818181818181819,4.181818181818182,2.090909090909091,4.545454545454546,0.5558473389355743,0.48404255319148937,101.40530182050463,0.12102821801314263,0.45454545454545453,0.08783136378153945,0.07692307692307693,0.13829787234042554,0.48936170212765956,1.2087912087912087,1.3186813186813187,8.021978021978022,2.197802197802198,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Very Good
1626,8,Division III,anokaramseycommunitycollege,Akeem Nelson,5,Fr,G,Guard,6'1,188,18,2.7250000000000005,2.8500000000000005,2.45,3,10.11111111111111,4.166666666666667,3.888888888888889,1.6111111111111112,1.3333333333333333,0.0,2.111111111111111,8.666666666666666,5.5,2.388888888888889,1.0,3.1666666666666665,0.5202378230048021,0.4967948717948718,89.25068654374263,0.12499080589403487,2.413793103448276,0.14221263240486465,0.3333333333333333,0.6346153846153846,0.27564102564102566,2.0013802622498273,1.6563146997929608,5.175983436853002,2.622498274672188,Average,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Average,3,Elite,5,Elite,5,Very Good,4,Average,3,Below Average,2,Poor,1,Very Good,4,Elite,5,Average
1802,9,Division III,anokaramseycommunitycollege,MJ Omot,14,Fr,F,Wing,6'5,180,13,2.6500000000000004,3.0000000000000004,2.0,3,7.230769230769231,1.9230769230769231,0.38461538461538464,1.0,0.6923076923076923,0.07692307692307693,0.9230769230769231,5.0,2.6923076923076925,2.4615384615384617,0.46153846153846156,1.4615384615384615,0.5943348507840162,0.5461538461538461,102.08514335360556,0.07754235860814497,0.38461538461538464,0.14118158123370983,0.3142857142857143,0.5384615384615384,0.49230769230769234,1.2512030798845044,0.9624639076034649,2.4061597690086622,1.1549566891241578,Very Good,4,Poor,1,Average,3,Poor,1,Average,3,Average,3,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Average
3025,10,Division III,anokaramseycommunitycollege,Finn Norman,13,Fr,F,Wing,6'6,190,18,2.3,2.0,2.0,4,3.2222222222222223,2.0555555555555554,0.7222222222222222,0.7777777777777778,0.3333333333333333,0.3888888888888889,2.1666666666666665,2.6666666666666665,0.6111111111111112,0.7777777777777778,1.0,1.0555555555555556,0.5354505169867061,0.5,85.09389671361502,0.041559961952147506,0.9285714285714286,0.20539906103286387,0.36363636363636365,0.22916666666666666,0.2916666666666667,0.9579199452617174,0.8894970920287376,2.5316455696202533,2.668491276086213,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
