MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
930,1,Division III,atlanticcapecommunitycollege,Olyn Knox,,,,Wing,,,11,2.8975,2.2,3.85,3,16.272727272727273,16.636363636363637,0.9090909090909091,4.454545454545454,1.2727272727272727,0.5454545454545454,3.0,11.818181818181818,0.0,5.636363636363637,5.909090909090909,10.727272727272727,0.5690488301119023,0.5307692307692308,86.775256932325,0.17820858386896124,0.20408163265306123,0.23754120612759355,,0.0,0.47692307692307695,4.954499494438827,2.0222446916076846,18.503538928210315,3.3367037411526796,Average,3,Average,3,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Average,3,Elite,5,Very Good,4,Below Average,2,Unknown
1082,2,Division III,atlanticcapecommunitycollege,Carlos Rodriguez,,,,Wing,,,6,2.8225,2.75,2.85,3,20.833333333333332,4.333333333333333,4.0,4.333333333333333,2.5,0.16666666666666666,3.5,18.166666666666668,6.0,4.5,0.3333333333333333,4.0,0.5170416942422237,0.48623853211009177,85.10348583877996,0.24309831181727903,0.9230769230769231,0.17701525054466233,0.3888888888888889,0.3302752293577982,0.24770642201834864,5.048543689320389,3.1067961165048543,5.048543689320389,4.077669902912621,Below Average,2,Elite,5,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Very Good,4,Very Good,4,Below Average,2,Very Good,4,Poor,1,Average,3,Below Average,2,Unknown
1645,3,Division III,atlanticcapecommunitycollege,Logan Sparks,,,,Wing,,,11,2.5774999999999997,1.7000000000000002,3.65,3,8.181818181818182,7.636363636363637,1.3636363636363635,3.1818181818181817,2.090909090909091,0.6363636363636364,2.4545454545454546,8.818181818181818,0.2727272727272727,3.4545454545454546,3.4545454545454546,4.181818181818182,0.39570875835385155,0.38144329896907214,60.51640667025283,0.12848158131176998,0.42857142857142855,0.23534158149542764,0.0,0.030927835051546393,0.3917525773195876,3.538928210313448,3.033367037411527,8.493427704752275,2.730030333670374,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Very Good,4,Below Average,2,Elite,5,Average,3,Unknown
2567,4,Division III,atlanticcapecommunitycollege,John Andaloro,,,,Wing,,,9,2.275,2.25,2.0,3,2.2222222222222223,2.7777777777777777,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.8888888888888888,3.111111111111111,0.0,1.2222222222222223,1.0,1.7777777777777777,0.3045066991473812,0.25,52.85412262156448,0.03926614643865184,1.2,0.1321353065539112,,0.0,0.39285714285714285,0.6097560975609756,1.2195121951219512,3.048780487804878,2.073170731707317,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2577,5,Division III,atlanticcapecommunitycollege,Amin Hines,,,,Wing,,,11,2.265,1.6,2.9000000000000004,3,9.727272727272727,4.636363636363637,1.7272727272727273,4.454545454545454,1.3636363636363635,0.45454545454545453,2.272727272727273,9.0,2.3636363636363638,3.4545454545454546,1.6363636363636365,3.0,0.46232284825440717,0.398989898989899,64.9587178241865,0.1423042366438593,0.3877551020408163,0.29747450218552696,0.11538461538461539,0.26262626262626265,0.3838383838383838,4.954499494438827,2.0222446916076846,5.156723963599595,2.5278058645096055,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Below Average,2,Unknown
3166,6,Division III,atlanticcapecommunitycollege,Jayden Lopez,,,,Wing,,,9,2.0999999999999996,1.9,2.0,3,6.111111111111111,1.5555555555555556,1.5555555555555556,2.3333333333333335,0.8888888888888888,0.0,2.4444444444444446,4.777777777777778,1.8888888888888888,3.0,0.3333333333333333,1.2222222222222223,0.5010932944606413,0.4069767441860465,72.48286768581971,0.08051440940537327,0.6666666666666666,0.2767527675276753,0.17647058823529413,0.3953488372093023,0.627906976744186,2.599009900990099,0.9900990099009901,1.7326732673267327,2.722772277227723,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3501,7,Division III,atlanticcapecommunitycollege,Rashadamed Jalloh,,,,Wing,,,8,1.9749999999999999,1.6500000000000001,2.0,3,3.75,3.0,1.5,2.0,0.125,0.5,1.375,3.875,1.75,1.375,0.625,2.375,0.4185267857142857,0.3709677419354839,57.87037037037037,0.06132008516678496,0.75,0.30864197530864196,0.21428571428571427,0.45161290322580644,0.3548387096774194,2.190280629705681,0.6844626967830253,3.2854209445585214,1.5058179329226558,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3577,8,Division III,atlanticcapecommunitycollege,Quinn Baumann,,,,Wing,,,10,1.95,1.6,2.0,3,2.4,1.7,0.2,1.5,0.7,0.0,2.1,2.4,0.4,0.8,0.6,1.1,0.436046511627907,0.4166666666666667,56.44402634054563,0.040806142034548944,0.13333333333333333,0.3527751646284102,0.0,0.16666666666666666,0.3333333333333333,1.6713091922005572,0.7799442896935933,1.894150417827298,2.33983286908078,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3624,9,Division III,atlanticcapecommunitycollege,Aidan Haluszka,,,,Wing,,,9,1.95,1.5999999999999999,2.0,3,4.222222222222222,1.6666666666666667,0.4444444444444444,1.3333333333333333,0.3333333333333333,0.0,1.1111111111111112,6.666666666666667,4.222222222222222,0.7777777777777778,0.5555555555555556,1.1111111111111112,0.30120481927710846,0.2833333333333333,50.61267980820458,0.07955412392981268,0.3333333333333333,0.15982951518380395,0.21052631578947367,0.6333333333333333,0.11666666666666667,1.4814814814814814,0.37037037037037035,1.8518518518518519,1.2345679012345678,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3732,10,Division III,atlanticcapecommunitycollege,Corey Thomas,,,,Wing,,,11,1.875,1.4500000000000002,2.0,3,3.6363636363636362,1.4545454545454546,0.2727272727272727,1.2727272727272727,0.8181818181818182,0.0,1.5454545454545454,4.090909090909091,0.9090909090909091,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.415973377703827,0.3888888888888889,64.43298969072166,0.05363190268850646,0.21428571428571427,0.22551546391752578,0.3,0.2222222222222222,0.15555555555555556,1.4155712841253791,0.910010111223458,1.6177957532861476,1.7189079878665319,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
