MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
53,1,Division III,bergencommunitycollege,Evan Meberg,,,,Wing,,,20,3.9075000000000006,4.15,3.95,3,15.2,7.75,1.35,1.15,1.35,1.0,2.35,11.2,3.0,3.1,2.8,4.95,0.6049028971665075,0.5669642857142857,110.83564240921687,0.1456673677054787,1.173913043478261,0.08385591366486803,0.43333333333333335,0.26785714285714285,0.2767857142857143,1.3973268529769138,2.8554070473876063,9.416767922235723,2.8554070473876063,Elite,5,Below Average,2,Very Good,4,Average,3,Elite,5,Elite,5,Very Good,4,Very Good,4,Very Good,4,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
1261,2,Division III,bergencommunitycollege,Jayden Rivera,,,,Wing,,,14,2.8575,3.1,2.45,3,15.642857142857142,3.357142857142857,2.5714285714285716,1.9285714285714286,1.2142857142857142,0.2857142857142857,1.4285714285714286,12.357142857142858,2.7857142857142856,7.642857142857143,1.2142857142857142,2.142857142857143,0.49754634678298804,0.430635838150289,88.6352598348713,0.18428354067842118,1.3333333333333333,0.10927634774162215,0.38461538461538464,0.2254335260115607,0.6184971098265896,2.2871664548919948,1.7789072426937738,3.981363828886065,1.6941973739940703,Below Average,2,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Average,3,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1676,3,Division III,bergencommunitycollege,Jeremy Polanco,,,,Wing,,,17,2.7,3.1000000000000005,2.0,3,12.882352941176471,2.3529411764705883,2.3529411764705883,1.2941176470588236,0.7058823529411765,0.23529411764705882,1.0588235294117647,12.176470588235293,5.9411764705882355,1.8823529411764706,0.7058823529411765,1.6470588235294117,0.49529582051745974,0.463768115942029,90.09379628105972,0.15333568833266048,1.8181818181818181,0.09050518347869013,0.43564356435643564,0.48792270531400966,0.15458937198067632,1.5759312320916905,1.146131805157593,2.865329512893983,1.2893982808022924,Below Average,2,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2505,4,Division III,bergencommunitycollege,Jarris Bertram,,,,Wing,,,18,2.4375,2.75,1.75,3,11.555555555555555,5.277777777777778,1.9444444444444444,2.0555555555555554,0.6666666666666666,0.1111111111111111,2.6666666666666665,9.722222222222221,3.6666666666666665,2.6666666666666665,1.0555555555555556,4.222222222222222,0.530287579033245,0.4857142857142857,89.22443376801647,0.13756638734804671,0.9459459459459459,0.158716540837337,0.3939393939393939,0.37714285714285717,0.2742857142857143,2.4790619765494135,0.9380234505862647,6.365159128978225,3.2160804020100504,Average,3,Below Average,2,Poor,1,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2869,5,Division III,bergencommunitycollege,Logan Garcia,,,,Wing,,,12,2.3324999999999996,2.05,2.45,3,3.5833333333333335,2.9166666666666665,0.3333333333333333,0.5833333333333334,1.0,0.25,1.6666666666666667,3.25,0.16666666666666666,1.8333333333333333,1.6666666666666667,1.25,0.4416598192276089,0.3974358974358974,77.22701149425288,0.049400241323017964,0.5714285714285714,0.1257183908045977,0.5,0.05128205128205128,0.5641025641025641,0.6986027944111777,1.4970059880239521,3.493013972055888,1.996007984031936,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2989,6,Division III,bergencommunitycollege,Thomas Munoz,,,,Wing,,,16,2.3,2.3,2.0,3,3.9375,0.9375,0.75,0.625,0.0625,0.0,0.4375,4.0,1.0,1.625,0.1875,0.75,0.4175503711558855,0.3515625,73.73595505617978,0.05768919137903094,1.2,0.11704119850187267,0.3125,0.25,0.40625,0.7704160246533128,0.07704160246533127,1.1556240369799693,0.539291217257319,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3281,7,Division III,bergencommunitycollege,Ezana Negusse,,,,Wing,,,19,2.2249999999999996,2.15,2.0,3,3.473684210526316,3.6315789473684212,0.5789473684210527,0.47368421052631576,0.05263157894736842,0.10526315789473684,1.263157894736842,3.4210526315789473,0.15789473684210525,0.7894736842105263,1.0526315789473684,2.5789473684210527,0.4608938547486034,0.43846153846153846,81.88585607940448,0.045283951727082716,1.2222222222222223,0.11166253101736974,0.3333333333333333,0.046153846153846156,0.23076923076923078,0.5758157389635317,0.19193857965451055,4.414587332053743,1.5355086372360844,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3324,8,Division III,bergencommunitycollege,Jaheim Best,,,,Wing,,,14,2.2075,1.8,2.45,3,3.642857142857143,4.428571428571429,3.142857142857143,2.642857142857143,1.3571428571428572,0.07142857142857142,1.9285714285714286,5.357142857142857,0.14285714285714285,2.2142857142857144,1.4285714285714286,3.0,0.28768050541516244,0.24,40.592168099331424,0.09544211485870553,1.1891891891891893,0.294492199936326,0.0,0.02666666666666667,0.41333333333333333,3.2076289553532726,1.7338534893801474,5.374945817078457,2.340702210663199,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
3746,9,Division III,bergencommunitycollege,Din Kastrat,,,,Wing,,,10,2.0999999999999996,1.9000000000000001,2.0,3,0.6,0.6,0.3,0.2,0.4,0.0,0.3,0.6,0.4,0.4,0.1,0.5,0.3865979381443299,0.25,61.47540983606557,0.010675533776688834,1.5,0.20491803278688525,0.25,0.6666666666666666,0.6666666666666666,0.24645717806531114,0.4929143561306223,0.7393715341959335,0.36968576709796674,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3828,10,Division III,bergencommunitycollege,Xavier Townes,,,,Wing,,,16,2.075,1.85,2.0,3,6.375,4.25,0.3125,1.4375,0.5625,0.4375,2.25,6.8125,1.3125,1.6875,1.3125,2.9375,0.42190602250165454,0.41743119266055045,70.89241034195163,0.09797352508579832,0.21739130434782608,0.15985543508479289,0.23809523809523808,0.1926605504587156,0.24770642201834864,1.767870868562644,1.2298232129131437,5.226748654880861,2.7671022290545735,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
