MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
58,1,Division III,bristolcommunitycollege,William Winfield,,,,Wing,,,14,3.8674999999999997,3.65,4.55,3,11.0,10.857142857142858,1.7142857142857142,1.1428571428571428,1.1428571428571428,1.0714285714285714,0.0,8.0,0.6428571428571429,2.357142857142857,4.285714285714286,6.571428571428571,0.6085994309200127,0.5982142857142857,108.05500982318273,0.11926759054696393,1.5,0.11226494527083919,0.4444444444444444,0.08035714285714286,0.29464285714285715,1.5586945932781295,3.019970774476376,14.807598636142231,0.0,Elite,5,Poor,1,Very Good,4,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Unknown
74,2,Division III,bristolcommunitycollege,Christ Lebrun,,,,Wing,,,13,3.8274999999999997,4.2,3.65,3,11.0,9.307692307692308,1.1538461538461537,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.0,7.230769230769231,0.0,2.769230769230769,2.6923076923076925,6.615384615384615,0.6509468317552803,0.6382978723404256,122.38959260527217,0.1060215600159704,2.142857142857143,0.05991098938719616,,0.0,0.3829787234042553,0.7356805044666316,1.4713610089332632,12.716763005780347,0.0,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Unknown
87,3,Division III,bristolcommunitycollege,Jordan Bruno,,,,Wing,,,14,3.795,3.4000000000000004,4.7,3,7.357142857142857,8.285714285714286,0.07142857142857142,0.42857142857142855,0.5,2.142857142857143,0.0,5.285714285714286,0.0,2.142857142857143,2.7857142857142856,5.5,0.5905963302752293,0.581081081081081,110.51502145922747,0.07799424248510411,0.16666666666666666,0.06437768240343347,,0.0,0.40540540540540543,0.5845104724792985,3.6044812469556744,11.30053580126644,0.0,Very Good,4,Poor,1,Very Good,4,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Unknown
394,4,Division III,bristolcommunitycollege,Jason Andrews,,,,Wing,,,13,3.3400000000000007,3.7500000000000004,2.9000000000000004,3,19.615384615384617,4.6923076923076925,1.5384615384615385,2.076923076923077,0.7692307692307693,0.7692307692307693,0.0,14.307692307692308,5.923076923076923,5.230769230769231,1.1538461538461537,3.5384615384615383,0.5904964801778436,0.5376344086021505,104.97283056150172,0.21692384626375205,0.7407407407407407,0.11114770294747241,0.4155844155844156,0.41397849462365593,0.3655913978494624,2.7979274611398965,2.0725388601036268,6.321243523316062,0.0,Very Good,4,Very Good,4,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
915,5,Division III,bristolcommunitycollege,Landon Cayton,,,,Wing,,,12,3.0149999999999997,3.0999999999999996,2.9000000000000004,3,15.75,4.083333333333333,4.333333333333333,2.5,1.3333333333333333,0.5833333333333334,0.0,12.583333333333334,2.4166666666666665,4.666666666666667,0.5833333333333334,3.5,0.5380323388749716,0.5033112582781457,91.90818906827467,0.19749529407245206,1.7333333333333334,0.14588601439408677,0.3448275862068966,0.19205298013245034,0.3708609271523179,3.3426183844011144,2.562674094707521,5.459610027855153,0.0,Average,3,Very Good,4,Poor,1,Very Good,4,Average,3,Very Good,4,Average,3,Average,3,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1057,6,Division III,bristolcommunitycollege,Dominic Bland,,,,Wing,,,8,2.95,3.6,2.0,3,1.25,0.625,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.375,0.25,0.8333333333333334,0.8333333333333334,166.66666666666666,0.008370535714285714,,0.0,,0.0,0.0,0.0,0.0,0.800640512409928,0.0,Elite,5,Poor,1,Elite,5,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3012,7,Division III,bristolcommunitycollege,Ivan Darko,,,,Wing,,,10,2.3,2.3,2.0,3,5.4,0.7,0.1,0.8,0.2,0.1,0.0,4.8,3.5,0.8,0.3,0.4,0.5240683229813664,0.4791666666666667,90.7258064516129,0.07028150387303987,0.125,0.13440860215053763,0.34285714285714286,0.7291666666666666,0.16666666666666666,1.103448275862069,0.41379310344827586,0.9655172413793104,0.0,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3558,8,Division III,bristolcommunitycollege,Daejon Gibson,,,,Wing,,,13,2.15,2.0,2.0,3,7.153846153846154,1.4615384615384615,2.6923076923076925,1.6923076923076923,0.23076923076923078,0.0,0.0,6.846153846153846,3.076923076923077,1.8461538461538463,0.38461538461538464,1.0769230769230769,0.4670550421856167,0.449438202247191,76.50542941757156,0.11004490150637314,1.5909090909090908,0.1809805857189865,0.3,0.449438202247191,0.2696629213483146,2.3317435082140965,0.3179650238473768,2.0137784843667195,0.0,Poor,1,Poor,1,Poor,1,Very Good,4,Below Average,2,Below Average,2,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3615,9,Division III,bristolcommunitycollege,Blake Agaiur,,,,Wing,,,6,2.15,2.0,2.0,3,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,80.0,0.009702708996351783,0.0,0.4,0.0,0.3333333333333333,0.0,0.44742729306487694,0.0,0.0,0.0,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3684,10,Division III,bristolcommunitycollege,William LaCroix,,,,Wing,,,9,2.125,1.95,2.0,3,1.3333333333333333,0.7777777777777778,0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,0.0,1.5555555555555556,1.3333333333333333,0.8888888888888888,0.3333333333333333,0.4444444444444444,0.3424657534246575,0.21428571428571427,58.47953216374269,0.02558475886489452,0.3333333333333333,0.14619883040935672,0.16666666666666666,0.8571428571428571,0.5714285714285714,0.43478260869565216,0.14492753623188406,1.0144927536231885,0.0,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
