MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
2498,1,Division III,bronxcommunitycollege,Alexander Hattel,,,,Wing,,,12,2.415,1.9,2.9000000000000004,3,9.333333333333334,4.0,1.6666666666666667,3.25,2.0833333333333335,0.25,1.8333333333333333,10.25,1.8333333333333333,3.5833333333333335,1.0833333333333333,2.9166666666666665,0.3945885005636978,0.3617886178861789,61.90581472474021,0.15502467781738416,0.5128205128205128,0.21556489055936323,0.22727272727272727,0.17886178861788618,0.34959349593495936,3.6211699164345403,2.5998142989786444,4.456824512534819,2.042711234911792,Poor,1,Average,3,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Average,3,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Average,3,Unknown
2666,2,Division III,bronxcommunitycollege,Dai'zon Kearse,,,,Wing,,,10,2.365,1.7999999999999998,2.9000000000000004,3,6.8,2.5,1.5,2.4,1.4,0.7,1.9,6.8,2.6,2.8,0.2,2.3,0.42330677290836655,0.3897058823529412,65.1840490797546,0.10517825455718663,0.625,0.23006134969325154,0.34615384615384615,0.38235294117647056,0.4117647058823529,2.638812534359538,2.308960967564596,2.748763056624519,2.0890599230346343,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
3220,3,Division III,bronxcommunitycollege,Aden Lugo,,,,Wing,,,11,2.2075,1.8,2.45,3,5.545454545454546,2.5454545454545454,0.9090909090909091,2.8181818181818183,0.8181818181818182,0.45454545454545453,2.090909090909091,4.363636363636363,0.7272727272727273,2.090909090909091,1.1818181818181819,1.3636363636363635,0.524776324845148,0.4583333333333333,68.44703770197486,0.0827821951400758,0.3225806451612903,0.3478456014362657,0.0,0.16666666666666666,0.4791666666666667,3.117144293614882,1.4077425842131726,2.815485168426345,2.3127199597787835,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
3371,4,Division III,bronxcommunitycollege,Simard Edwards,,,,Wing,,,11,2.175,2.05,2.0,3,1.2727272727272727,1.7272727272727273,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,1.0,1.7272727272727273,0.36363636363636365,0.45454545454545453,0.7272727272727273,1.0,0.33018867924528306,0.2894736842105263,57.85123966942149,0.02217498075724811,1.0,0.12396694214876033,0.25,0.21052631578947367,0.2631578947368421,0.29925187032418954,0.29925187032418954,1.8952618453865338,1.0972568578553616,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Average,3,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3405,5,Division III,bronxcommunitycollege,Ismael Martinez,,,,Wing,,,11,2.1574999999999998,1.7000000000000002,2.45,3,4.636363636363637,2.5454545454545454,1.2727272727272727,2.1818181818181817,1.3636363636363635,0.36363636363636365,1.5454545454545454,4.181818181818182,2.090909090909091,2.1818181818181817,0.09090909090909091,2.4545454545454546,0.45084865629420084,0.3804347826086957,63.30685203574975,0.0762128207068796,0.5833333333333334,0.29791459781529295,0.21739130434782608,0.5,0.5217391304347826,2.457757296466974,1.9457245263696876,2.867383512544803,1.7409114183307732,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3774,6,Division III,bronxcommunitycollege,Said Martin,,,,Wing,,,12,2.0549999999999997,1.6,2.3,3,6.416666666666667,6.583333333333333,0.5,2.0,0.4166666666666667,0.08333333333333333,1.75,5.333333333333333,0.3333333333333333,5.0,2.1666666666666665,4.416666666666667,0.42588495575221236,0.328125,67.3076923076923,0.0980257746092679,0.25,0.2097902097902098,0.0,0.0625,0.9375,2.2284122562674096,0.5571030640668524,7.3351903435468895,1.9498607242339834,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
3848,7,Division III,bronxcommunitycollege,Sebastian Brito,,,,Wing,,,8,2.05,1.8,2.0,3,2.0,0.25,0.25,1.25,0.0,0.0,0.75,1.5,0.5,1.0,0.0,0.25,0.5154639175257733,0.375,62.695924764890286,0.03131749460043197,0.2,0.39184952978056425,0.25,0.3333333333333333,0.6666666666666666,1.3089005235602094,0.0,0.2617801047120419,0.7853403141361257,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4000,8,Division III,bronxcommunitycollege,Timothaeus Graham,,,,Wing,,,12,1.995,1.5500000000000003,2.2,3,4.833333333333333,2.75,1.1666666666666667,3.25,1.5833333333333333,0.16666666666666666,2.8333333333333335,5.833333333333333,1.5833333333333333,1.5833333333333333,0.9166666666666666,1.8333333333333333,0.37008677896886166,0.3357142857142857,49.42058623040218,0.10056210584041678,0.358974358974359,0.3323108384458078,0.2631578947368421,0.2714285714285714,0.2714285714285714,3.6211699164345403,1.9498607242339834,3.064066852367688,3.1569173630454967,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Poor,1,Below Average,2,Poor,1,Very Good,4,Average,3,Unknown
4029,9,Division III,bronxcommunitycollege,Shamari Johnson,,,,Wing,,,11,1.9749999999999999,1.6500000000000001,2.0,3,3.6363636363636362,1.6363636363636365,0.2727272727272727,1.5454545454545454,0.5454545454545454,0.0,1.0909090909090908,3.4545454545454546,0.8181818181818182,2.1818181818181817,0.2727272727272727,1.3636363636363635,0.41186161449752884,0.32894736842105265,61.01281269066504,0.06269364648280612,0.17647058823529413,0.2593044539353264,0.3333333333333333,0.23684210526315788,0.631578947368421,1.7634854771784232,0.6224066390041494,1.8672199170124482,1.2448132780082988,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4043,10,Division III,bronxcommunitycollege,Anthony Torres,,,,Wing,,,8,1.9749999999999999,1.6500000000000001,2.0,3,1.75,1.125,0.5,1.5,0.625,0.125,0.75,2.625,1.25,1.0,0.0,1.125,0.28548123980424145,0.23809523809523808,38.33515881708653,0.04609481496440652,0.3333333333333333,0.3285870755750274,0.2,0.47619047619047616,0.38095238095238093,1.6348773841961852,0.8174386920980926,1.2261580381471389,0.8174386920980926,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
