MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
269,1,Division III,camdencountycollege,Istavan Norwood,,,,Wing,,,16,3.4675000000000002,3.9000000000000004,3.05,3,13.75,6.5,0.875,1.1875,0.75,0.6875,1.3125,8.1875,0.0,4.6875,2.1875,4.3125,0.6707317073170732,0.6335877862595419,120.21857923497268,0.1407519074575437,0.7368421052631579,0.10382513661202186,,0.0,0.5725190839694656,1.5986537652503154,1.9352124526714345,8.750525872949096,1.766933108960875,Elite,5,Below Average,2,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
960,2,Division III,camdencountycollege,Zha'Mere Crawford,,,,Wing,,,14,2.9974999999999996,2.75,3.35,3,9.142857142857142,3.642857142857143,2.7142857142857144,1.7142857142857142,1.7142857142857142,0.35714285714285715,0.6428571428571429,7.214285714285714,1.2142857142857142,2.857142857142857,0.9285714285714286,2.7142857142857144,0.5396290050590219,0.4900990099009901,89.76157082748948,0.12413817118183716,1.5833333333333333,0.16830294530154277,0.29411764705882354,0.16831683168316833,0.39603960396039606,2.3010546500479387,2.7804410354745923,4.88974113135187,0.862895493767977,Average,3,Below Average,2,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1844,3,Division III,camdencountycollege,Mikey Campbell,,,,Wing,,,14,2.6325000000000003,2.6500000000000004,2.45,3,14.928571428571429,4.5,1.1428571428571428,2.357142857142857,0.9285714285714286,0.5714285714285714,1.0714285714285714,11.357142857142858,0.8571428571428571,4.714285714285714,0.9285714285714286,3.5714285714285716,0.5557328228036588,0.5345911949685535,94.55302207745204,0.1912309236252898,0.48484848484848486,0.1492942453854506,0.3333333333333333,0.07547169811320754,0.41509433962264153,3.130929791271347,1.9924098671726755,5.977229601518027,1.4231499051233396,Average,3,Very Good,4,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Poor,1,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2044,4,Division III,camdencountycollege,Su Allyene,,,,Wing,,,13,2.5650000000000004,2.2,2.9000000000000004,3,8.076923076923077,4.230769230769231,2.6153846153846154,2.923076923076923,1.8461538461538463,0.0,0.8461538461538461,5.923076923076923,0.6153846153846154,3.4615384615384617,0.6153846153846154,3.6153846153846154,0.5423553719008265,0.461038961038961,77.89317507418397,0.12612275449101795,0.8947368421052632,0.28189910979228483,0.125,0.1038961038961039,0.5844155844155844,3.8539553752535496,2.4340770791075053,5.578093306288032,1.1156186612576064,Average,3,Below Average,2,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Average,3,Unknown
2181,5,Division III,camdencountycollege,Ayden Copestick,,,,Wing,,,14,2.5250000000000004,2.75,2.0,3,7.0,2.142857142857143,1.1428571428571428,1.0714285714285714,0.5714285714285714,0.2857142857142857,1.1428571428571428,5.928571428571429,4.0,1.7857142857142858,0.14285714285714285,2.0,0.5212765957446809,0.4879518072289157,89.90825688073394,0.09666891340593847,1.0666666666666667,0.13761467889908258,0.375,0.6746987951807228,0.30120481927710846,1.4457831325301205,1.1566265060240963,2.891566265060241,1.5421686746987953,Below Average,2,Poor,1,Poor,1,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2391,6,Division III,camdencountycollege,Cam Rembert,,,,Wing,,,11,2.4699999999999998,1.8,3.2,3,5.818181818181818,5.818181818181818,2.090909090909091,2.727272727272727,1.3636363636363635,0.5454545454545454,1.0,4.818181818181818,0.18181818181818182,2.4545454545454546,1.4545454545454546,4.363636363636363,0.49321824907521583,0.49056603773584906,67.45362563237774,0.10425915344380467,0.7666666666666667,0.31618887015177066,0.0,0.03773584905660377,0.5094339622641509,3.5714285714285716,2.5,7.619047619047619,1.3095238095238095,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Below Average,2,Elite,5,Average,3,Unknown
2788,7,Division III,camdencountycollege,Steven Robinson,,,,Wing,,,10,2.35,2.4000000000000004,2.0,3,0.4,0.4,0.0,0.3,0.0,0.2,0.4,0.1,0.0,0.2,0.0,0.4,1.0638297872340425,1.0,81.9672131147541,0.0058744221879815095,0.0,0.6147540983606558,,0.0,2.0,0.3903708523096942,0.26024723487312945,0.5204944697462589,0.5204944697462589,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3448,8,Division III,camdencountycollege,Sam'i Singletary,,,,Wing,,,13,2.175,2.0500000000000003,2.0,3,4.153846153846154,2.230769230769231,0.9230769230769231,1.0,0.6153846153846154,0.15384615384615385,0.5384615384615384,3.1538461538461537,0.6153846153846154,2.076923076923077,0.7692307692307693,1.4615384615384615,0.510590015128593,0.3780487804878049,81.9672131147541,0.06163922155688621,0.9230769230769231,0.19732847601700063,0.125,0.1951219512195122,0.6585365853658537,1.3184584178498986,1.0141987829614605,2.9411764705882355,0.7099391480730223,Below Average,2,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3559,9,Division III,camdencountycollege,Christian Durham,,,,Wing,,,13,2.15,2.0,2.0,3,3.769230769230769,1.5384615384615385,0.38461538461538464,1.2307692307692308,0.5384615384615384,0.07692307692307693,0.8461538461538461,2.769230769230769,0.38461538461538464,1.4615384615384615,0.38461538461538464,1.1538461538461537,0.5522993688007214,0.5138888888888888,81.17958913187542,0.057501047898487215,0.3125,0.26507620941020543,0.2,0.1388888888888889,0.5277777777777778,1.6554578375581996,0.8277289187790998,2.0693222969477496,1.1381272633212622,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3736,10,Division III,camdencountycollege,Ben McGonigle,,,,Wing,,,12,2.0999999999999996,1.9000000000000001,2.0,3,1.0833333333333333,0.5833333333333334,2.4166666666666665,1.5,0.08333333333333333,0.0,0.5833333333333334,1.0,0.08333333333333333,0.6666666666666666,0.0,0.5833333333333334,0.41881443298969073,0.25,38.782816229116946,0.033715550191108425,1.6111111111111112,0.5369928400954654,0.0,0.08333333333333333,0.6666666666666666,1.95971692977681,0.10887316276537834,0.7621121393576483,0.7621121393576483,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
