MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
156,1,Division III,ccofalleghenycounty,Dyami Fox,,,,Wing,,,14,3.625,3.2,4.5,3,13.428571428571429,11.785714285714286,0.9285714285714286,1.9285714285714286,1.9285714285714286,2.642857142857143,3.642857142857143,9.0,0.7857142857142857,3.857142857142857,4.5,7.285714285714286,0.6276709401709402,0.6111111111111112,106.35890472957684,0.1284219703574542,0.48148148148148145,0.15274949083503056,0.36363636363636365,0.0873015873015873,0.42857142857142855,2.231404958677686,5.289256198347108,13.636363636363637,4.214876033057851,Elite,5,Below Average,2,Average,3,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Unknown
1027,2,Division III,ccofalleghenycounty,Carter Clea-Burwell,,,,Wing,,,7,2.96,3.2,2.5999999999999996,3,8.142857142857142,7.142857142857143,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.2857142857142857,2.0,5.428571428571429,0.0,3.7142857142857144,3.0,4.142857142857143,0.5764563106796117,0.5526315789473685,104.70242468772962,0.08365089121081745,0.4,0.09184423218221896,,0.0,0.6842105263157895,0.8658008658008658,0.8658008658008658,8.658008658008658,2.4242424242424243,Very Good,4,Poor,1,Average,3,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Average,3,Elite,5,Elite,5,Unknown
1077,3,Division III,ccofalleghenycounty,Daven Reynolds,,,,Wing,,,13,2.9425,2.5,3.55,3,10.923076923076923,5.0,5.461538461538462,2.8461538461538463,4.538461538461538,0.15384615384615385,3.076923076923077,9.461538461538462,2.6923076923076925,2.8461538461538463,1.8461538461538463,3.1538461538461537,0.5097645031591039,0.491869918699187,80.55366462446108,0.13969632611658794,1.9189189189189189,0.20989335148627183,0.42857142857142855,0.2845528455284553,0.3008130081300813,3.3318325078793336,5.493021161638901,5.85321927059883,3.6019810895992794,Below Average,2,Below Average,2,Poor,1,Very Good,4,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Very Good,4,Very Good,4,Unknown
1183,4,Division III,ccofalleghenycounty,Kasson James,,,,Wing,,,13,2.8925,2.4000000000000004,3.55,3,16.76923076923077,4.769230769230769,1.5384615384615385,3.230769230769231,2.6923076923076925,0.5384615384615384,3.1538461538461537,14.153846153846153,7.3076923076923075,6.3076923076923075,0.6923076923076923,4.076923076923077,0.4952744456561251,0.45652173913043476,83.18070818070818,0.20447523640108603,0.47619047619047616,0.16025641025641027,0.25263157894736843,0.5163043478260869,0.44565217391304346,3.7433155080213902,3.7433155080213902,5.52584670231729,3.6541889483065955,Below Average,2,Very Good,4,Poor,1,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Very Good,4,Average,3,Unknown
1954,5,Division III,ccofalleghenycounty,Devonte Dyson,,,,Wing,,,11,2.5999999999999996,2.9,2.0,3,10.545454545454545,1.5454545454545454,4.090909090909091,2.0,1.0,0.0,2.272727272727273,8.727272727272727,5.0,2.909090909090909,0.2727272727272727,1.2727272727272727,0.5268895348837209,0.4791666666666667,87.82556026650516,0.12638266926933822,2.0454545454545454,0.16656571774682014,0.36363636363636365,0.5729166666666666,0.3333333333333333,2.3939064200217626,1.1969532100108813,1.8498367791077257,2.720348204570185,Below Average,2,Below Average,2,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2932,6,Division III,ccofalleghenycounty,Amari Bryce-Johnson,,,,Wing,,,13,2.3200000000000003,2.2,2.2,3,11.076923076923077,2.769230769230769,1.6923076923076923,2.0,1.0,0.3076923076923077,2.769230769230769,10.153846153846153,7.3076923076923075,3.3076923076923075,0.6923076923076923,2.076923076923077,0.47707394646170154,0.4356060606060606,81.3927198733891,0.140279099270536,0.8461538461538461,0.14695907754917475,0.30526315789473685,0.7196969696969697,0.32575757575757575,2.3423423423423424,1.5315315315315314,3.2432432432432434,3.2432432432432434,Poor,1,Below Average,2,Poor,1,Below Average,2,Average,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
3479,7,Division III,ccofalleghenycounty,Karson Collins,,,,Wing,,,13,2.175,2.05,2.0,3,6.153846153846154,2.3076923076923075,1.3846153846153846,1.0,0.9230769230769231,0.0,1.3846153846153846,6.538461538461538,4.461538461538462,1.2307692307692308,0.46153846153846156,1.8461538461538463,0.43459365493263796,0.4117647058823529,76.16146230007615,0.08324087868894031,1.3846153846153846,0.12376237623762376,0.2413793103448276,0.6823529411764706,0.18823529411764706,1.170643854119766,1.080594326879784,2.7014858171994596,1.6208914903196758,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3579,8,Division III,ccofalleghenycounty,Leron Smalls,,,,Wing,,,10,2.15,2.0,2.0,3,0.6,1.0,0.1,0.4,0.3,0.0,0.7,0.5,0.2,0.0,0.2,0.8,0.6,0.6,66.66666666666667,0.009671595598349382,0.25,0.4444444444444444,0.0,0.4,0.0,0.4881025015253203,0.36607687614399026,1.2202562538133008,0.8541793776693105,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3596,9,Division III,ccofalleghenycounty,Jaden Duttine,,,,Wing,,,8,2.15,2.0,2.0,3,0.25,0.25,0.0,0.25,0.25,0.0,0.375,0.125,0.0,0.0,0.0,0.25,1.0,1.0,66.66666666666667,0.0040010669511869835,0.0,0.6666666666666666,,0.0,0.0,0.30441400304414,0.30441400304414,0.30441400304414,0.45662100456621,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3972,10,Division III,ccofalleghenycounty,James Rideout,,,,Wing,,,7,2.05,1.8,2.0,3,0.0,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,,,0.0,0.003051571559353067,0.0,1.0,,,,0.3451251078515962,0.1725625539257981,0.3451251078515962,0.0,N/A,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,N/A,3,N/A,3,N/A,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
