MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
248,1,Division III,centrallakescollegebrainerd,Korde Roseman,,,,Wing,,,17,3.4825,4.35,2.45,3,13.117647058823529,3.176470588235294,2.0588235294117645,1.4705882352941178,1.3529411764705883,0.23529411764705882,1.2941176470588236,8.529411764705882,4.882352941176471,3.3529411764705883,0.5882352941176471,2.588235294117647,0.6555738476011288,0.6068965517241379,114.31207709657576,0.1262522974966994,1.4,0.12815255279885174,0.43373493975903615,0.5724137931034483,0.3931034482758621,1.7901897601145722,1.933404940923738,3.866809881847476,1.5753669889008235,Elite,5,Below Average,2,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
563,2,Division III,centrallakescollegebrainerd,Wylee Dauenbaugh,,,,Wing,,,17,3.2075000000000005,3.8000000000000003,2.45,3,12.647058823529411,3.588235294117647,2.6470588235294117,1.7058823529411764,0.7058823529411765,0.5294117647058824,1.6470588235294117,9.0,5.352941176470588,2.588235294117647,0.7647058823529411,2.823529411764706,0.6236945927129264,0.5849673202614379,106.77393722685736,0.13031660151699503,1.5517241379310345,0.14402065951529597,0.4065934065934066,0.5947712418300654,0.2875816993464052,2.076620121732904,1.5037593984962405,4.368063014679556,2.0050125313283207,Elite,5,Below Average,2,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
573,3,Division III,centrallakescollegebrainerd,Eli Tautges,,,,Wing,,,11,3.2,4.1000000000000005,2.0,3,9.727272727272727,2.1818181818181817,0.9090909090909091,0.6363636363636364,0.7272727272727273,0.36363636363636365,1.3636363636363635,7.090909090909091,5.090909090909091,0.9090909090909091,0.18181818181818182,2.0,0.6492718446601942,0.6410256410256411,119.68680089485458,0.08696159682502627,1.4285714285714286,0.07829977628635346,0.39285714285714285,0.717948717948718,0.1282051282051282,0.7551240560949298,1.2944983818770226,2.588996763754045,1.6181229773462784,Elite,5,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1137,4,Division III,centrallakescollegebrainerd,Delbert Hardin,,,,Wing,,,15,2.9125000000000005,2.6500000000000004,3.25,3,11.866666666666667,7.466666666666667,0.8666666666666667,2.1333333333333333,1.0,0.7333333333333333,2.533333333333333,8.933333333333334,0.2,3.1333333333333333,2.933333333333333,4.533333333333333,0.5753814326351177,0.5522388059701493,95.35033211913435,0.13616735718037,0.40625,0.17141632740518534,0.0,0.022388059701492536,0.35074626865671643,2.5921425678412313,2.1061158363710004,9.072498987444309,3.078169299311462,Very Good,4,Below Average,2,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Average,3,Average,3,Very Good,4,Elite,5,Unknown
2280,5,Division III,centrallakescollegebrainerd,Marnaries Ferguson,,,,Wing,,,11,2.5,2.7,2.0,3,8.272727272727273,2.727272727272727,1.8181818181818181,1.0909090909090908,0.8181818181818182,0.09090909090909091,1.6363636363636365,7.0,1.3636363636363635,1.6363636363636365,0.45454545454545453,2.272727272727273,0.535798398492699,0.512987012987013,93.89186958316137,0.09427648729621416,1.6666666666666667,0.12381345439537762,0.4666666666666667,0.19480519480519481,0.23376623376623376,1.2944983818770226,1.0787486515641855,3.236245954692557,1.941747572815534,Average,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2671,6,Division III,centrallakescollegebrainerd,Anthony Giadyu,,,,Wing,,,17,2.3825000000000003,2.1500000000000004,2.45,3,5.235294117647059,2.1176470588235294,2.8823529411764706,1.2941176470588236,1.0,0.17647058823529413,1.7058823529411764,4.0588235294117645,0.35294117647058826,3.5294117647058822,0.7647058823529411,1.3529411764705883,0.4664570230607966,0.37681159420289856,75.80919931856899,0.07597918662145021,2.227272727272727,0.18739352640545143,0.3333333333333333,0.08695652173913043,0.8695652173913043,1.5753669889008235,1.4321518080916578,2.577873254564984,2.076620121732904,Poor,1,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2798,7,Division III,centrallakescollegebrainerd,Marshawn Watson,,,,Wing,,,8,2.35,2.4000000000000004,2.0,3,2.25,0.875,0.5,1.5,0.25,0.0,1.0,1.375,0.75,1.125,0.25,0.625,0.6016042780748663,0.5,66.76557863501483,0.03549797229683468,0.3333333333333333,0.44510385756676557,0.5,0.5454545454545454,0.8181818181818182,1.7543859649122806,0.29239766081871343,1.023391812865497,1.1695906432748537,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3122,8,Division III,centrallakescollegebrainerd,Lake DeJongh,,,,Wing,,,10,2.2625,1.7000000000000002,2.75,3,8.0,6.2,1.8,2.3,0.7,0.8,2.2,7.5,0.7,3.0,2.2,4.0,0.4535147392290249,0.4,71.94244604316546,0.12285120862609926,0.782608695652174,0.2068345323741007,0.0,0.09333333333333334,0.4,2.8342575477510783,1.8484288354898337,7.640172520024645,2.7110289587184226,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Below Average,2,Below Average,2,Elite,5,Very Good,4,Unknown
3219,9,Division III,centrallakescollegebrainerd,Max Wilson,,,,Wing,,,12,2.24,1.55,2.9000000000000004,3,5.833333333333333,2.6666666666666665,2.5833333333333335,1.9166666666666667,2.0833333333333335,0.08333333333333333,2.0,6.833333333333333,3.5,1.5,0.5,2.1666666666666665,0.38923487544483987,0.34146341463414637,61.99078993978038,0.10038761068240816,1.3478260869565217,0.2036840240878498,0.23809523809523808,0.5121951219512195,0.21951219512195122,2.2593320235756384,2.5540275049115913,3.143418467583497,2.357563850687623,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Poor,1,Very Good,4,Elite,5,Average,3,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
3261,10,Division III,centrallakescollegebrainerd,Eugene Brown,,,,Wing,,,13,2.225,2.1500000000000004,2.0,3,8.153846153846153,5.0,0.8461538461538461,1.4615384615384615,0.7692307692307693,0.3076923076923077,1.6923076923076923,7.0,1.0,2.6923076923076925,1.6923076923076923,3.3076923076923075,0.4981203007518797,0.47802197802197804,84.52950558213716,0.10430529677934525,0.5789473684210527,0.15151515151515152,0.23076923076923078,0.14285714285714285,0.38461538461538464,1.7447199265381084,1.285583103764922,5.968778696051423,2.0202020202020203,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
