MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
294,1,Division III,dallascollegebrookhaven,Jordan Jones,,,,Wing,,,17,3.3549999999999995,3.1499999999999995,3.8,3,9.941176470588236,4.647058823529412,2.235294117647059,1.8823529411764706,2.4705882352941178,0.4117647058823529,0.8823529411764706,6.705882352941177,0.47058823529411764,2.3529411764705883,2.0588235294117645,2.588235294117647,0.64209726443769,0.5921052631578947,103.30073349633253,0.11220850480109738,1.1875,0.19559902200489,0.375,0.07017543859649122,0.3508771929824561,2.4691358024691357,3.7808641975308643,6.095679012345679,1.1574074074074074,Elite,5,Poor,1,Average,3,Average,3,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
762,2,Division III,dallascollegebrookhaven,Jovan Danner,,,,Wing,,,17,2.9825,3.35,2.45,3,9.823529411764707,3.5294117647058822,1.0,1.2941176470588236,0.7647058823529411,0.47058823529411764,0.7647058823529411,6.529411764705882,1.2352941176470589,2.823529411764706,1.3529411764705883,2.176470588235294,0.6320012110202846,0.5720720720720721,108.35712431871269,0.10570644718792867,0.7727272727272727,0.14274591227614844,0.23809523809523808,0.1891891891891892,0.43243243243243246,1.6975308641975309,1.6203703703703705,4.62962962962963,1.0030864197530864,Elite,5,Poor,1,Very Good,4,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1749,3,Division III,dallascollegebrookhaven,Jeremy Roman,,,,Wing,,,14,2.54,2.1500000000000004,2.9000000000000004,3,11.428571428571429,3.857142857142857,1.1428571428571428,2.2857142857142856,1.3571428571428572,0.5714285714285714,0.6428571428571429,9.857142857142858,1.0,4.571428571428571,1.4285714285714286,2.4285714285714284,0.4814636494944632,0.4057971014492754,80.74283407347598,0.16755732936481088,0.5,0.16148566814695195,0.14285714285714285,0.10144927536231885,0.463768115942029,3.038936372269706,2.5641025641025643,5.128205128205129,0.8547008547008547,Poor,1,Average,3,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
2454,4,Division III,dallascollegebrookhaven,Marlon Linton,,,,Wing,,,17,2.3,2.3000000000000003,2.0,3,6.647058823529412,2.2941176470588234,2.1176470588235294,0.8235294117647058,0.8823529411764706,0.11764705882352941,0.11764705882352941,7.705882352941177,5.176470588235294,0.7647058823529411,0.4117647058823529,1.8823529411764706,0.4132533645406671,0.3816793893129771,74.97346072186836,0.10337448559670782,2.5714285714285716,0.09288747346072188,0.25,0.6717557251908397,0.09923664122137404,1.0802469135802468,1.3117283950617284,3.009259259259259,0.15432098765432098,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2666,5,Division III,dallascollegebrookhaven,Tim Walker,,,,Wing,,,15,2.2325,1.8499999999999999,2.45,3,7.933333333333334,3.4,0.7333333333333333,1.6666666666666667,0.6666666666666666,0.6,0.4,7.733333333333333,2.933333333333333,0.8,1.3333333333333333,2.066666666666667,0.49060026385224276,0.4827586206896552,81.35083401695378,0.11427410786825824,0.44,0.17090511348099535,0.36363636363636365,0.3793103448275862,0.10344827586206896,2.194907813871817,1.6681299385425812,4.477611940298507,0.5267778753292361,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Average,3,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2754,6,Division III,dallascollegebrookhaven,Anshuman Deora,,,,Wing,,,14,2.2,2.1,2.0,3,4.857142857142857,4.571428571428571,1.2142857142857142,1.1428571428571428,0.2857142857142857,0.42857142857142855,1.0714285714285714,3.857142857142857,0.14285714285714285,1.2857142857142858,1.4285714285714286,3.142857142857143,0.5490956072351421,0.5,87.26899383983573,0.06588649123993776,1.0625,0.2053388090349076,0.0,0.037037037037037035,0.3333333333333333,1.519468186134853,0.949667616334283,6.077872744539412,1.4245014245014245,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2810,7,Division III,dallascollegebrookhaven,Brandon Webber,,,,Wing,,,14,2.1825,1.7500000000000002,2.45,3,7.714285714285714,1.9285714285714286,1.5,2.4285714285714284,0.9285714285714286,0.21428571428571427,1.0,7.5,1.5714285714285714,3.357142857142857,0.5,1.4285714285714286,0.42966263526416293,0.38571428571428573,67.63527054108216,0.13299130492720793,0.6176470588235294,0.2129258517034068,0.22727272727272727,0.20952380952380953,0.44761904761904764,3.1865042174320526,1.499531396438613,2.5304592314901595,1.3120899718837864,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
3021,8,Division III,dallascollegebrookhaven,Luke Archibald,,,,Wing,,,17,2.125,1.9500000000000002,2.0,3,6.235294117647059,2.6470588235294117,3.1176470588235294,2.411764705882353,1.0588235294117647,0.0,0.4117647058823529,5.647058823529412,1.411764705882353,1.411764705882353,0.23529411764705882,2.411764705882353,0.49737237237237236,0.4583333333333333,71.8351856871781,0.10120713305898492,1.2926829268292683,0.2778530767145568,0.3333333333333333,0.25,0.25,3.1635802469135803,1.3888888888888888,3.4722222222222223,0.5401234567901234,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3103,9,Division III,dallascollegebrookhaven,Tyler Targonski,,,,Wing,,,16,2.0999999999999996,1.9000000000000001,2.0,3,2.1875,2.125,1.625,1.6875,0.5,0.25,0.4375,1.75,0.5625,0.9375,0.75,1.375,0.5057803468208092,0.39285714285714285,56.81818181818182,0.04486656566833702,0.9629629629629629,0.4383116883116883,0.0,0.32142857142857145,0.5357142857142857,2.198697068403909,0.9771986970684039,2.768729641693811,0.5700325732899023,Below Average,2,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3348,10,Division III,dallascollegebrookhaven,Xavier Black,,,,Wing,,,17,2.0250000000000004,1.7500000000000002,2.0,3,3.2941176470588234,3.1176470588235294,1.4705882352941178,0.8235294117647058,0.8235294117647058,0.058823529411764705,0.6470588235294118,3.176470588235294,1.0,0.23529411764705882,1.1764705882352942,1.9411764705882353,0.5021520803443329,0.5,80.27522935779818,0.047846364883401916,1.7857142857142858,0.20068807339449543,0.35294117647058826,0.3148148148148148,0.07407407407407407,1.0802469135802468,1.1574074074074074,4.089506172839506,0.8487654320987654,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
