MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
679,1,Division III,dallascollegecedarvalley,Larry Lyons,,,,Wing,,,15,3.1400000000000006,3.3500000000000005,2.9000000000000004,3,20.133333333333333,4.533333333333333,1.4666666666666666,2.2,1.2,0.8666666666666667,1.6,14.133333333333333,1.8,7.4,0.8666666666666667,3.6666666666666665,0.5788989418800796,0.49056603773584906,102.77702150830383,0.2219938956211659,0.6666666666666666,0.11230601687993465,0.2962962962962963,0.12735849056603774,0.5235849056603774,2.6774847870182557,2.5152129817444218,5.517241379310345,1.947261663286004,Very Good,4,Very Good,4,Average,3,Poor,1,Very Good,4,Below Average,2,Average,3,Below Average,2,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
969,2,Division III,dallascollegecedarvalley,Marcel Hurst,,,,Wing,,,15,2.99,3.0500000000000003,2.9000000000000004,3,17.666666666666668,4.066666666666666,1.8666666666666667,2.6,1.4,0.4,1.2666666666666666,13.333333333333334,2.466666666666667,6.2,0.8,3.2666666666666666,0.549975095467375,0.485,94.66990568733924,0.2125049345601409,0.717948717948718,0.1393255215775936,0.43243243243243246,0.185,0.465,3.1655844155844157,2.1915584415584415,4.951298701298701,1.5422077922077921,Average,3,Very Good,4,Poor,1,Poor,1,Very Good,4,Elite,5,Average,3,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1157,3,Division III,dallascollegecedarvalley,Jordyn Johnson,,,,Wing,,,12,2.9000000000000004,3.5000000000000004,2.0,3,7.416666666666667,1.9166666666666667,1.25,0.9166666666666666,0.75,0.3333333333333333,0.6666666666666666,5.25,1.1666666666666667,2.0,0.5833333333333334,1.3333333333333333,0.6049483414899401,0.5634920634920635,105.25070955534531,0.07918789331735092,1.3636363636363635,0.13008514664143803,0.5,0.2222222222222222,0.38095238095238093,1.1027568922305764,1.3032581453634084,2.305764411027569,0.8020050125313283,Elite,5,Poor,1,Average,3,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1355,4,Division III,dallascollegecedarvalley,Emmitt Blevins,,,,Wing,,,13,2.825,3.3499999999999996,2.0,3,4.538461538461538,3.0,0.15384615384615385,0.6923076923076923,0.07692307692307693,0.3076923076923077,1.2307692307692308,2.6923076923076925,0.0,1.1538461538461537,1.3846153846153846,1.6153846153846154,0.7091346153846153,0.6571428571428571,116.60079051383399,0.04329226557152636,0.2222222222222222,0.17786561264822134,,0.0,0.42857142857142855,0.8268259072117593,0.4593477262287552,3.5829122645842904,1.4699127239320164,Elite,5,Poor,1,Elite,5,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1420,5,Division III,dallascollegecedarvalley,Diego Hernandez,,,,Wing,,,10,2.8,3.3,2.0,3,5.5,0.3,0.5,0.3,1.1,0.0,0.3,4.6,2.8,0.7,0.1,0.2,0.5603096984515078,0.5434782608695652,105.60675883256529,0.059689176179342586,1.6666666666666667,0.0576036866359447,0.35714285714285715,0.6086956521739131,0.15217391304347827,0.373134328358209,1.3681592039800996,0.373134328358209,0.373134328358209,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Very Good,4,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1891,6,Division III,dallascollegecedarvalley,J'Ylon Nobles,,,,Wing,,,17,2.6224999999999996,2.0,3.35,3,12.0,5.294117647058823,3.2941176470588234,3.176470588235294,1.8823529411764706,0.5882352941176471,2.1176470588235294,11.352941176470589,2.176470588235294,2.3529411764705883,0.9411764705882353,4.352941176470588,0.48433048433048437,0.46113989637305697,77.09750566893423,0.17802836612213044,1.037037037037037,0.2040816326530612,0.4864864864864865,0.19170984455958548,0.20725388601036268,3.9003250270855903,3.0335861321776814,6.500541711809317,2.600216684723727,Poor,1,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Average,3,Average,3,Below Average,2,Very Good,4,Poor,1,Elite,5,Average,3,Unknown
2322,7,Division III,dallascollegecedarvalley,Abdul Deby,,,,Wing,,,13,2.49,2.05,2.9000000000000004,3,1.6923076923076923,3.6153846153846154,0.23076923076923078,0.3076923076923077,0.38461538461538464,1.3846153846153846,1.0,1.6923076923076923,0.23076923076923078,0.9230769230769231,1.1538461538461537,2.4615384615384617,0.4032258064516129,0.38636363636363635,70.33248081841433,0.027039175685488057,0.75,0.1278772378516624,0.3333333333333333,0.13636363636363635,0.5454545454545454,0.3700277520814061,2.127659574468085,4.3478260869565215,1.2025901942645698,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2541,8,Division III,dallascollegecedarvalley,John Champine,,,,Wing,,,10,2.425,2.5500000000000003,2.0,3,2.1,1.0,0.3,0.3,0.1,0.0,0.2,1.7,1.3,0.2,0.2,0.8,0.587248322147651,0.5588235294117647,100.57471264367817,0.023535777086433108,1.0,0.14367816091954025,0.38461538461538464,0.7647058823529411,0.11764705882352941,0.3614457831325301,0.12048192771084337,1.2048192771084338,0.24096385542168675,Very Good,4,Poor,1,Below Average,2,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3075,9,Division III,dallascollegecedarvalley,Elijah Rouse,,,,Wing,,,16,2.275,2.25,2.0,3,5.375,4.0625,0.875,0.8125,0.75,0.125,1.0,4.5625,0.9375,0.75,1.0625,3.0,0.5493101686254471,0.5342465753424658,94.21560035056967,0.06498092146477591,1.0769230769230769,0.14241893076248904,0.4,0.2054794520547945,0.1643835616438356,0.9912314144109798,1.0674799847502858,4.956157072054899,1.2199771254288982,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3585,10,Division III,dallascollegecedarvalley,Dillon Barnes,,,,Wing,,,9,2.15,2.0,2.0,3,1.6666666666666667,1.2222222222222223,0.4444444444444444,1.1111111111111112,0.3333333333333333,0.1111111111111111,0.5555555555555556,1.1111111111111112,0.2222222222222222,0.0,0.0,1.2222222222222223,0.75,0.75,75.0,0.024402147388970227,0.4,0.5,0.5,0.2,0.0,1.2853470437017995,0.5141388174807198,1.4138817480719794,0.6426735218508998,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
