MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
39,1,Division III,dallascollegeeastfield,Martez James,,,,Wing,,,18,4.01,4.25,4.1,3,15.166666666666666,9.88888888888889,2.5555555555555554,1.0555555555555556,1.1111111111111112,0.8888888888888888,1.1111111111111112,10.777777777777779,1.0555555555555556,3.0,5.0,4.888888888888889,0.6268368846436444,0.595360824742268,115.3066396350735,0.14110999856958947,2.4210526315789473,0.08025004223686434,0.2631578947368421,0.0979381443298969,0.27835051546391754,1.3475177304964538,2.5531914893617023,12.624113475177305,1.4184397163120568,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Unknown
556,2,Division III,dallascollegeeastfield,Braydon Campbell,,,,Wing,,,18,3.2150000000000007,3.5000000000000004,2.9000000000000004,3,14.333333333333334,2.9444444444444446,4.666666666666667,1.6111111111111112,1.5,0.2777777777777778,0.6666666666666666,9.277777777777779,1.2222222222222223,7.222222222222222,0.8333333333333334,2.111111111111111,0.5753791257805531,0.4550898203592814,101.8957345971564,0.15090831068516664,2.896551724137931,0.11453396524486573,0.09090909090909091,0.1317365269461078,0.7784431137724551,2.0567375886524824,2.269503546099291,3.7588652482269502,0.851063829787234,Very Good,4,Average,3,Below Average,2,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
881,3,Division III,dallascollegeeastfield,David Uwalaka,,,,Wing,,,14,3.0324999999999998,3.45,2.45,3,7.428571428571429,3.5714285714285716,0.6428571428571429,0.8571428571428571,0.35714285714285715,0.8571428571428571,0.7857142857142857,5.571428571428571,2.2857142857142856,1.3571428571428572,1.3571428571428572,2.2142857142857144,0.602130616025938,0.5961538461538461,105.73403822692151,0.07587866818897152,0.75,0.12200081333875559,0.46875,0.41025641025641024,0.24358974358974358,1.0923987255348202,1.5475648611743287,4.551661356395084,1.0013654984069185,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Average,3,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
909,4,Division III,dallascollegeeastfield,Martin Nicholas,,,,Wing,,,17,3.0175,3.0,3.05,3,8.294117647058824,6.823529411764706,1.5294117647058822,1.411764705882353,0.9411764705882353,0.4117647058823529,0.9411764705882353,5.764705882352941,1.3529411764705883,1.588235294117647,2.0,4.823529411764706,0.6416090280305788,0.6173469387755102,105.31819539886466,0.08315114776905495,1.0833333333333333,0.17926501344487603,0.30434782608695654,0.23469387755102042,0.2755102040816326,1.7823988117341256,1.708132194578537,8.614927590048273,1.188265874489417,Elite,5,Poor,1,Average,3,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Elite,5,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
1489,5,Division III,dallascollegeeastfield,Corey Jackson,,,,Wing,,,7,2.7725,2.3000000000000003,3.35,3,10.714285714285714,2.2857142857142856,5.142857142857143,2.7142857142857144,2.2857142857142856,0.0,0.5714285714285714,8.857142857142858,1.8571428571428572,3.4285714285714284,0.5714285714285714,1.7142857142857142,0.5168136714443219,0.43548387096774194,81.913499344692,0.145425667090216,1.894736842105263,0.2075141983398864,0.15384615384615385,0.20967741935483872,0.3870967741935484,3.6224976167778835,3.0505243088655862,3.0505243088655862,0.7626310772163966,Below Average,2,Below Average,2,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Average,3,Average,3,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Average,3,Unknown
1523,6,Division III,dallascollegeeastfield,Aiden White,,,,Wing,,,13,2.7575000000000003,2.9,2.45,3,10.23076923076923,1.4615384615384615,2.3846153846153846,1.5384615384615385,1.0769230769230769,0.15384615384615385,0.38461538461538464,8.384615384615385,5.153846153846154,2.076923076923077,0.3076923076923077,1.1538461538461537,0.550132362673726,0.5229357798165137,94.40658716638274,0.11422455730686905,1.55,0.1419647927314026,0.3880597014925373,0.6146788990825688,0.24770642201834864,1.948368241597662,1.5586945932781295,1.8509498295177789,0.4870920603994155,Average,3,Poor,1,Poor,1,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1527,7,Division III,dallascollegeeastfield,Ricky Wilson,,,,Wing,,,11,2.755,1.9500000000000002,3.8,3,7.181818181818182,3.6363636363636362,0.6363636363636364,1.4545454545454546,2.272727272727273,0.8181818181818182,0.36363636363636365,5.545454545454546,0.36363636363636365,3.0,2.1818181818181817,1.4545454545454546,0.5230402542372882,0.4918032786885246,86.31993006993008,0.08899260987942435,0.4375,0.17482517482517484,0.0,0.06557377049180328,0.5409836065573771,1.8583042973286876,3.948896631823461,4.645760743321719,0.4645760743321719,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
1828,8,Division III,dallascollegeeastfield,Reggie McDonald,,,,Wing,,,17,2.6400000000000006,2.35,2.9000000000000004,3,8.117647058823529,2.4705882352941178,1.2941176470588236,1.0588235294117647,1.411764705882353,0.47058823529411764,1.0,7.647058823529412,4.411764705882353,1.8823529411764706,0.8235294117647058,1.6470588235294117,0.4789006107717934,0.43846153846153846,85.14313919052319,0.10238269702099706,1.2222222222222223,0.11105626850937808,0.32,0.5769230769230769,0.24615384615384617,1.3528748590755355,2.4051108605787297,3.156708004509583,1.2777151446824502,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1960,9,Division III,dallascollegeeastfield,Nash Beard,,,,Wing,,,13,2.5999999999999996,2.8999999999999995,2.0,3,4.538461538461538,3.6153846153846154,0.38461538461538464,0.46153846153846156,0.3076923076923077,0.46153846153846156,0.6923076923076923,3.4615384615384617,0.15384615384615385,1.3846153846153846,1.6153846153846154,2.0,0.5574452003023431,0.5555555555555556,100.1357773251867,0.04991697448236132,0.8333333333333334,0.10183299389002036,0.0,0.044444444444444446,0.4,0.6033182503770739,1.0055304172951232,4.725992961287079,0.9049773755656109,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2816,10,Division III,dallascollegeeastfield,Vuk Vukadinovic,,,,Wing,,,13,2.3499999999999996,2.4,2.0,3,1.7692307692307692,1.4615384615384615,0.8461538461538461,0.5384615384615384,0.7692307692307693,0.15384615384615385,0.15384615384615385,1.3076923076923077,0.38461538461538464,0.38461538461538464,0.6923076923076923,0.7692307692307693,0.5989583333333334,0.5882352941176471,87.78625954198473,0.022196617980954965,1.5714285714285714,0.26717557251908397,0.0,0.29411764705882354,0.29411764705882354,0.7038712921065863,1.2066365007541477,1.9105077928607341,0.20110608345902464,Very Good,4,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3019,11,Division III,dallascollegeeastfield,Darion Johnson,,,,Wing,,,8,2.3,2.3,2.0,3,1.625,3.0,0.25,0.25,0.125,0.0,0.125,1.875,0.0,1.25,1.5,1.5,0.3350515463917526,0.3333333333333333,60.74766355140187,0.028983151850046043,1.0,0.09345794392523366,,0.0,0.6666666666666666,0.32310177705977383,0.16155088852988692,3.877221324717286,0.16155088852988692,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3459,12,Division III,dallascollegeeastfield,Jayden Small,,,,Wing,,,9,2.175,2.0500000000000003,2.0,3,3.0,0.4444444444444444,1.2222222222222223,0.8888888888888888,0.8888888888888888,0.0,0.0,4.555555555555555,1.7777777777777777,1.1111111111111112,0.1111111111111111,0.3333333333333333,0.29735682819383263,0.2804878048780488,50.56179775280899,0.06282944277108433,1.375,0.149812734082397,0.0625,0.3902439024390244,0.24390243902439024,1.1235955056179776,1.1235955056179776,0.5617977528089888,0.0,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3787,13,Division III,dallascollegeeastfield,Jordan Smith,,,,Wing,,,10,2.0999999999999996,1.9,2.0,3,1.2,2.0,0.3,0.3,0.4,0.1,0.2,2.2,0.9,0.2,0.9,1.1,0.26223776223776224,0.2727272727272727,46.36785162287481,0.02860427074583315,1.0,0.11591962905718702,0.0,0.4090909090909091,0.09090909090909091,0.3970880211780278,0.6618133686300464,2.6472534745201854,0.26472534745201853,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4280,14,Division III,dallascollegeeastfield,Oreoluwa Alabi,,,,Wing,,,6,1.95,1.6,2.0,3,0.6666666666666666,0.5,0.0,0.5,0.3333333333333333,0.0,0.0,0.5,0.3333333333333333,0.6666666666666666,0.0,0.5,0.42016806722689076,0.5,51.54639175257732,0.014554730287343387,0.0,0.3865979381443299,0.5,0.6666666666666666,1.3333333333333333,0.6637168141592921,0.4424778761061947,0.6637168141592921,0.0,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4298,15,Division III,dallascollegeeastfield,Montreal Chalmers,,,,Wing,,,10,1.925,1.5500000000000003,2.0,3,3.4,1.3,0.4,0.6,0.5,0.1,0.1,4.2,2.6,0.3,0.3,1.0,0.39242843951985223,0.38095238095238093,68.93755068937551,0.05449482895783612,0.6666666666666666,0.12165450121654502,0.15384615384615385,0.6190476190476191,0.07142857142857142,0.7920792079207921,0.7920792079207921,1.716171617161716,0.132013201320132,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
