MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
186,1,Division III,dallascollegemountainview,Anthony Cook,,,,Wing,,,19,3.575,3.8000000000000007,3.5,3,18.31578947368421,7.421052631578948,1.5789473684210527,1.894736842105263,0.9473684210526315,0.7368421052631579,1.894736842105263,14.631578947368421,7.052631578947368,2.736842105263158,2.3684210526315788,5.052631578947368,0.5783036426482319,0.5593525179856115,103.30087865115175,0.2010023866348449,0.8333333333333334,0.10686297791498457,0.41044776119402987,0.48201438848920863,0.18705035971223022,2.395209580838323,2.1290751829673984,9.3812375249501,2.395209580838323,Very Good,4,Very Good,4,Average,3,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Very Good,4,Average,3,Average,3,Elite,5,Elite,5,Unknown
188,2,Division III,dallascollegemountainview,Kaden Richardson,,,,Wing,,,18,3.5725,3.9,3.35,3,16.72222222222222,2.7222222222222223,1.9444444444444444,1.5555555555555556,1.8333333333333333,0.2222222222222222,2.0,12.666666666666666,6.888888888888889,3.388888888888889,0.3888888888888889,2.3333333333333335,0.5905666300423795,0.5460526315789473,106.4205911469382,0.1793668509969053,1.25,0.09899589874133785,0.3790322580645161,0.543859649122807,0.2675438596491228,1.973916108565386,2.608389143461403,3.4543531899894253,2.5378921395840677,Very Good,4,Average,3,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
227,3,Division III,dallascollegemountainview,Chase Thomas,,,,Wing,,,13,3.5199999999999996,3.9,3.2,3,14.76923076923077,5.769230769230769,1.3076923076923077,0.9230769230769231,1.4615384615384615,0.6153846153846154,2.076923076923077,10.307692307692308,2.1538461538461537,4.3076923076923075,2.076923076923077,3.6923076923076925,0.6051437216338881,0.5522388059701493,112.51758087201127,0.14503297749371044,1.4166666666666667,0.07032348804500704,0.2857142857142857,0.208955223880597,0.417910447761194,1.1428571428571428,2.5714285714285716,7.142857142857143,2.5714285714285716,Elite,5,Below Average,2,Very Good,4,Average,3,Elite,5,Below Average,2,Average,3,Average,3,Elite,5,Very Good,4,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
1744,4,Division III,dallascollegemountainview,Jordan Gray,,,,Wing,,,17,2.675,3.05,2.0,3,2.5294117647058822,1.5294117647058822,0.0,0.29411764705882354,0.11764705882352941,0.35294117647058826,1.2352941176470589,1.7058823529411764,0.0,0.9411764705882353,0.7647058823529411,0.7647058823529411,0.5965593784683685,0.5517241379310345,104.775828460039,0.02740165050877334,0.0,0.12183235867446394,,0.0,0.5517241379310345,0.37271710771524413,0.5963473723443906,1.9381289601192695,1.5654118524040253,Very Good,4,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1849,5,Division III,dallascollegemountainview,Parker Overstreet,,,,Wing,,,16,2.6325000000000003,2.65,2.45,3,7.0,3.4375,2.8125,2.125,1.0,0.1875,0.8125,4.25,1.0,3.25,1.0,2.4375,0.6161971830985916,0.5073529411764706,89.68609865470853,0.08831933010834819,1.3235294117647058,0.27226137091607944,0.3125,0.23529411764705882,0.7647058823529411,2.6920031670625493,1.5043547110055424,4.3547110055423595,1.0292953285827395,Elite,5,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2096,6,Division III,dallascollegemountainview,Demondray Spencer,,,,Wing,,,16,2.55,2.8,2.0,3,5.625,1.125,1.4375,0.875,0.25,0.0,0.9375,4.25,0.75,1.75,0.1875,0.9375,0.5602589641434264,0.5073529411764706,95.41984732824429,0.06746009040453166,1.6428571428571428,0.14843087362171334,0.4166666666666667,0.17647058823529413,0.4117647058823529,1.1075949367088607,0.31645569620253167,1.4240506329113924,1.1867088607594938,Average,3,Poor,1,Below Average,2,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2571,7,Division III,dallascollegemountainview,Blayke Cook-Edgar,,,,Wing,,,19,2.415,1.9000000000000001,2.9000000000000004,3,8.842105263157896,4.157894736842105,2.0526315789473686,2.0526315789473686,1.3157894736842106,0.3684210526315789,1.736842105263158,7.894736842105263,3.473684210526316,3.0,1.4210526315789473,2.736842105263158,0.4797806716929403,0.44333333333333336,78.47533632286995,0.12773269689737474,1.0,0.18217488789237668,0.22727272727272727,0.44,0.38,2.594810379241517,2.1290751829673984,5.2561543579507655,2.1956087824351296,Poor,1,Below Average,2,Poor,1,Below Average,2,Below Average,2,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2618,8,Division III,dallascollegemountainview,Jordan Ross,,,,Wing,,,16,2.4,2.5,2.0,3,1.625,0.5,0.125,0.125,0.1875,0.125,0.4375,1.4375,0.6875,0.5,0.25,0.25,0.4901960784313726,0.4782608695652174,91.164095371669,0.02009356329613347,1.0,0.07012622720897616,0.18181818181818182,0.4782608695652174,0.34782608695652173,0.15785319652722968,0.39463299131807417,0.6314127861089187,0.5524861878453039,Below Average,2,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3121,9,Division III,dallascollegemountainview,David Joseph,,,,Wing,,,19,2.2625,2.05,2.25,3,4.2631578947368425,5.7368421052631575,0.21052631578947367,0.631578947368421,0.3157894736842105,1.263157894736842,3.210526315789474,3.789473684210526,0.0,0.5789473684210527,1.736842105263158,4.0,0.5270692347735554,0.5277777777777778,91.17514633048177,0.05300715990453461,0.3333333333333333,0.13507429085997297,,0.0,0.1527777777777778,0.7984031936127745,1.996007984031936,7.252162341982701,4.058549567531603,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Average,3,Below Average,2,Below Average,2,Average,3,Elite,5,Unknown
3378,10,Division III,dallascollegemountainview,Jordan Wright,,,,Wing,,,12,2.2,2.1,2.0,3,7.666666666666667,1.8333333333333333,1.3333333333333333,1.8333333333333333,0.4166666666666667,0.08333333333333333,1.0,7.0,3.25,1.8333333333333333,0.25,1.5833333333333333,0.49103330486763447,0.42857142857142855,79.52973720608576,0.11023862163604485,0.7272727272727273,0.19017980636237897,0.358974358974359,0.4642857142857143,0.2619047619047619,2.319451765946231,0.632577754348972,2.319451765946231,1.265155508697944,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
