MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
72,1,Division III,dallascollegenorthlake,Romiel Carter,,,,Wing,,,17,3.8325000000000005,4.0,3.95,3,16.352941176470587,8.647058823529411,1.588235294117647,1.4705882352941178,1.7058823529411764,0.5882352941176471,2.176470588235294,10.588235294117647,0.5882352941176471,4.823529411764706,2.9411764705882355,5.705882352941177,0.6432802665679378,0.6444444444444445,115.31441845030696,0.14658170586375463,1.08,0.10370001659200266,0.2,0.05555555555555555,0.45555555555555555,1.7699115044247788,2.7610619469026547,10.4070796460177,2.6194690265486726,Elite,5,Below Average,2,Elite,5,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
356,2,Division III,dallascollegenorthlake,Ngozi Ofili,,,,Wing,,,16,3.3724999999999996,3.5,3.35,3,5.25,4.0625,0.5625,0.375,0.5,1.875,1.875,4.0,0.0,1.25,2.0,2.0625,0.576923076923077,0.5625,106.59898477157361,0.05102569415665147,1.5,0.07614213197969544,,0.0,0.3125,0.45231813041839425,2.8646814926498303,4.900113079532605,2.2615906520919715,Very Good,4,Poor,1,Average,3,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1581,3,Division III,dallascollegenorthlake,Zach Thompson,,,,Wing,,,18,2.74,2.55,2.9000000000000004,3,11.38888888888889,4.444444444444445,2.111111111111111,2.0,1.6666666666666667,0.2222222222222222,2.4444444444444446,9.055555555555555,1.0,2.7777777777777777,1.7777777777777777,2.6666666666666665,0.5540540540540541,0.5306748466257669,92.76018099547511,0.12734816180707614,1.0555555555555556,0.16289592760180996,0.16666666666666666,0.11042944785276074,0.3067484662576687,2.4177300201477503,2.2834116856950972,5.372733378106111,2.955003357958361,Average,3,Below Average,2,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2481,4,Division III,dallascollegenorthlake,Elijah Black,,,,Wing,,,16,2.4450000000000003,2.45,2.2,3,7.1875,3.5,4.0625,2.0,1.3125,0.0,2.625,5.5625,0.8125,2.4375,0.5625,2.9375,0.5416352675207234,0.4606741573033708,83.23682686740011,0.08910099316393653,2.03125,0.23161551823972207,0.46153846153846156,0.14606741573033707,0.43820224719101125,2.4178315073668304,1.5867019267094824,4.231205137891953,3.173403853418965,Average,3,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Below Average,2,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
3026,5,Division III,dallascollegenorthlake,Jordan Edwards,,,,Wing,,,18,2.3,1.9500000000000002,2.5,3,9.722222222222221,6.444444444444445,1.2777777777777777,2.3333333333333335,0.6666666666666666,0.8333333333333334,2.8333333333333335,8.722222222222221,0.4444444444444444,2.5555555555555554,2.2222222222222223,4.222222222222222,0.4936808846761453,0.45222929936305734,79.82120051085568,0.12633398640082977,0.5476190476190477,0.19157088122605362,0.25,0.050955414012738856,0.2929936305732484,2.8206850235057086,1.8132975151108126,7.790463398253862,3.4251175285426463,Below Average,2,Below Average,2,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Unknown
3170,6,Division III,dallascollegenorthlake,Trey Dancer,,,,Wing,,,12,2.25,2.2,2.0,3,2.5833333333333335,1.5,0.5833333333333334,1.25,0.16666666666666666,0.0,0.5833333333333334,1.6666666666666667,0.3333333333333333,1.25,0.25,1.25,0.5827067669172932,0.5,74.51923076923077,0.03586825314709433,0.4666666666666667,0.3605769230769231,0.5,0.2,0.75,1.5151515151515151,0.20202020202020202,1.8181818181818181,0.7070707070707071,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3358,7,Division III,dallascollegenorthlake,Zaedyn Owens,,,,Wing,,,15,2.2,2.1,2.0,3,7.066666666666666,3.4,0.5333333333333333,1.0666666666666667,0.4666666666666667,0.2,2.2,7.333333333333333,1.2666666666666666,2.2666666666666666,1.2666666666666666,2.1333333333333333,0.4241357234314981,0.40454545454545454,75.19863791146425,0.09697303247110621,0.5,0.11350737797956867,0.15789473684210525,0.17272727272727273,0.3090909090909091,1.28,0.8,4.08,2.64,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3714,8,Division III,dallascollegenorthlake,Damiran Smith,,,,Wing,,,15,2.1,1.9000000000000004,2.0,3,5.0,2.3333333333333335,0.9333333333333333,1.0,0.26666666666666666,0.13333333333333333,1.2666666666666666,4.466666666666667,1.2666666666666666,0.8,0.8,1.5333333333333334,0.5188157166574433,0.5373134328358209,85.93033913840513,0.06072919565822432,0.9333333333333333,0.17186067827681026,0.42105263157894735,0.2835820895522388,0.1791044776119403,1.2126111560226354,0.4850444624090542,2.8294260307194827,1.5359741309620047,Below Average,2,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3764,9,Division III,dallascollegenorthlake,Richard Konugah,,,,Wing,,,6,2.0999999999999996,1.9000000000000001,2.0,3,1.8333333333333333,1.6666666666666667,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.6666666666666666,1.6666666666666667,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.5055147058823529,0.5,85.40372670807453,0.021599141400590292,0.5,0.15527950310559005,0.0,0.1,0.2,0.4065040650406504,0.2032520325203252,2.032520325203252,0.8130081300813008,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4185,10,Division III,dallascollegenorthlake,Jayden Cruz,,,,Wing,,,16,1.95,1.6,2.0,3,4.8125,1.75,1.125,1.4375,0.6875,0.1875,1.875,4.8125,2.3125,1.625,0.5,1.25,0.43532338308457713,0.3961038961038961,69.09547738693468,0.07230353991487595,0.782608695652174,0.20638908829863603,0.2972972972972973,0.4805194805194805,0.33766233766233766,1.7293233082706767,1.0526315789473684,2.1052631578947367,2.255639097744361,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
