MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1399,1,Division III,dallascollegerichland,Trevon Harrison,,,,Wing,,,7,2.8,3.3,2.0,3,1.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.0,0.14285714285714285,0.8136094674556213,0.9,125.57077625570777,0.013990034495975467,1.0,0.22831050228310504,1.0,0.2,0.8,0.36133694670280037,0.36133694670280037,0.18066847335140018,0.5420054200542005,Elite,5,Poor,1,Elite,5,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1404,2,Division III,dallascollegerichland,Cedric Dent,,,,Wing,,,12,2.7975000000000003,2.35,3.35,3,8.833333333333334,2.6666666666666665,3.5,2.1666666666666665,2.4166666666666665,0.08333333333333333,2.3333333333333335,6.5,1.4166666666666667,3.4166666666666665,0.5,2.1666666666666665,0.5518533944189922,0.5,86.85676827269748,0.11605614515576856,1.6153846153846154,0.21304490331039005,0.35294117647058826,0.21794871794871795,0.5256410256410257,2.73972602739726,3.161222339304531,3.3719704952581666,2.9504741833508956,Average,3,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
1608,3,Division III,dallascollegerichland,Joubron Bebe,,,,Wing,,,15,2.7249999999999996,3.1499999999999995,2.0,3,5.8,2.533333333333333,1.1333333333333333,1.0,0.6,0.26666666666666666,1.4666666666666666,3.8666666666666667,0.26666666666666666,1.4666666666666666,1.0666666666666667,1.4666666666666666,0.6427304964539007,0.6120689655172413,105.22496371552974,0.06302213549606683,1.1333333333333333,0.18142235123367198,0.25,0.06896551724137931,0.3793103448275862,1.2717253073336159,1.1021619330224672,3.2217041119118273,1.8651971174226367,Elite,5,Poor,1,Average,3,Average,3,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1648,4,Division III,dallascollegerichland,Tyler Johnson,,,,Wing,,,15,2.7,3.1,2.0,3,7.733333333333333,1.8,2.066666666666667,1.6666666666666667,0.9333333333333333,0.13333333333333333,1.9333333333333333,4.8,2.066666666666667,2.933333333333333,0.3333333333333333,1.4666666666666666,0.6348511383537653,0.5625,99.69061533172912,0.08869443258735288,1.24,0.2148504640770024,0.41935483870967744,0.4305555555555556,0.6111111111111112,2.11954217888936,1.3565069944891903,2.2891055532005087,2.4586689275116576,Elite,5,Poor,1,Below Average,2,Average,3,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1658,5,Division III,dallascollegerichland,Brian Phelps,,,,Wing,,,12,2.7,3.0999999999999996,2.0,3,3.9166666666666665,1.8333333333333333,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.4166666666666667,3.0833333333333335,0.5833333333333334,1.3333333333333333,0.8333333333333334,1.0,0.5336058128973661,0.47297297297297297,95.84013050570962,0.046838586437440294,1.6,0.10195758564437195,0.14285714285714285,0.1891891891891892,0.43243243243243246,0.5333333333333333,0.64,2.3466666666666667,0.5333333333333333,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1721,6,Division III,dallascollegerichland,Jase Tarver,,,,Wing,,,15,2.675,2.3500000000000005,3.0,3,14.333333333333334,7.8,2.2666666666666666,3.0,1.2,0.8,3.0,11.466666666666667,0.4666666666666667,4.666666666666667,2.8,5.0,0.5300788954635108,0.4796511627906977,86.76351896690879,0.1888834685041771,0.7555555555555555,0.18159806295399514,0.42857142857142855,0.040697674418604654,0.4069767441860465,3.8151759220008477,2.5434506146672318,9.919457397202205,3.8151759220008477,Average,3,Average,3,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Average,3,Average,3,Average,3,Average,3,Unknown
2090,7,Division III,dallascollegerichland,Andrew Huntley,,,,Wing,,,14,2.54,2.5,2.4000000000000004,3,7.857142857142857,4.785714285714286,1.0,1.2142857142857142,1.2857142857142858,0.35714285714285715,3.0,7.214285714285714,3.5714285714285716,1.7857142857142858,1.3571428571428572,3.4285714285714284,0.49107142857142855,0.47029702970297027,85.27131782945736,0.10560613006745694,0.8235294117647058,0.13178294573643412,0.34,0.49504950495049505,0.24752475247524752,1.5447523852794185,2.089959109495684,6.088141753748296,3.8164470695138575,Below Average,2,Poor,1,Poor,1,Below Average,2,Very Good,4,Very Good,4,Very Good,4,Elite,5,Very Good,4,Below Average,2,Average,3,Poor,1,Average,3,Elite,5,Unknown
2098,8,Division III,dallascollegerichland,DJ Willis,,,,Wing,,,15,2.54,2.15,2.9000000000000004,3,11.466666666666667,4.866666666666666,1.2,2.0,1.8,0.2,2.3333333333333335,11.466666666666667,6.2,2.6,0.8,4.066666666666666,0.4546415732713047,0.4331395348837209,78.48147472166454,0.16705286907738276,0.6,0.13688629311918232,0.24731182795698925,0.5406976744186046,0.22674418604651161,2.5434506146672318,2.5434506146672318,6.1890631623569305,2.9673590504451037,Poor,1,Average,3,Poor,1,Poor,1,Very Good,4,Poor,1,Elite,5,Elite,5,Very Good,4,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2885,9,Division III,dallascollegerichland,Dre Rutledge,,,,Wing,,,13,2.3075,2.0,2.45,3,4.230769230769231,3.5384615384615383,0.6923076923076923,1.2307692307692308,0.6153846153846154,0.5384615384615384,1.8461538461538463,3.3076923076923075,0.0,1.3076923076923077,0.7692307692307693,2.769230769230769,0.544770206022187,0.5348837209302325,82.73164861612514,0.05859333685880487,0.5625,0.24067388688327315,,0.0,0.3953488372093023,1.5670910871694417,1.4691478942213516,4.505386875612145,2.3506366307541624,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3069,10,Division III,dallascollegerichland,Josh Davison,,,,Wing,,,13,2.25,2.2,2.0,3,1.6923076923076923,0.46153846153846156,0.5384615384615384,0.3076923076923077,0.15384615384615385,0.0,0.38461538461538464,2.0,1.2307692307692308,0.38461538461538464,0.15384615384615385,0.3076923076923077,0.3900709219858156,0.34615384615384615,68.32298136645962,0.028192197240316595,1.75,0.12422360248447203,0.125,0.6153846153846154,0.19230769230769232,0.39196472317491426,0.19598236158745713,0.5879470847623713,0.4899559039686428,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
