MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
506,1,Division III,geneseecommunitycollege,Said Adam,,,,Wing,,,13,3.2524999999999995,3.3999999999999995,3.15,3,14.153846153846153,10.846153846153847,1.3076923076923077,1.8461538461538463,0.7692307692307693,0.6153846153846154,3.3846153846153846,8.76923076923077,0.46153846153846156,5.230769230769231,4.3076923076923075,6.538461538461538,0.6392440244580322,0.6491228070175439,109.57598856598379,0.1406695037362196,0.7083333333333334,0.14292520247737017,0.3333333333333333,0.05263157894736842,0.5964912280701754,2.2482435597189694,1.6861826697892273,13.208430913348947,4.121779859484778,Elite,5,Below Average,2,Very Good,4,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Elite,5,Average,3,Elite,5,Unknown
734,2,Division III,geneseecommunitycollege,Keysaun Murray,,,,Wing,,,13,3.1075,3.5999999999999996,2.45,3,10.307692307692308,4.153846153846154,2.6153846153846154,0.8461538461538461,0.8461538461538461,0.38461538461538464,1.0769230769230769,7.153846153846154,0.46153846153846156,3.923076923076923,0.8461538461538461,3.3076923076923075,0.5803880803880804,0.510752688172043,105.97912053147738,0.10592098649599573,3.090909090909091,0.08699778551091426,0.5,0.06451612903225806,0.5483870967741935,1.0304449648711944,1.4988290398126465,5.058548009367682,1.3114754098360655,Very Good,4,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1741,3,Division III,geneseecommunitycollege,Adonys Villafane,,,,Wing,,,10,2.675,3.0500000000000003,2.0,3,6.1,1.6,0.4,0.8,0.7,0.1,0.3,4.4,0.8,0.5,0.5,1.1,0.6601731601731601,0.6477272727272727,112.5461254612546,0.05990009283409222,0.5,0.14760147601476015,0.375,0.18181818181818182,0.11363636363636363,0.9852216748768473,0.9852216748768473,1.9704433497536946,0.3694581280788177,Elite,5,Poor,1,Very Good,4,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1902,4,Division III,geneseecommunitycollege,Scotty Lee,,,,Wing,,,13,2.62,2.1,3.2,3,11.692307692307692,6.6923076923076925,2.230769230769231,2.1538461538461537,1.3846153846153846,0.5384615384615384,1.1538461538461537,11.461538461538462,4.846153846153846,3.230769230769231,1.1538461538461537,5.538461538461538,0.4537855266300454,0.4228187919463087,77.7573153263761,0.163756994940187,1.0357142857142858,0.14323715981174545,0.25396825396825395,0.4228187919463087,0.28187919463087246,2.622950819672131,2.34192037470726,8.149882903981265,1.405152224824356,Poor,1,Average,3,Poor,1,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Very Good,4,Poor,1,Average,3,Below Average,2,Elite,5,Very Good,4,Unknown
2112,5,Division III,geneseecommunitycollege,Elijah Johnson,,,,Wing,,,6,2.55,2.8,2.0,3,1.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666,1.8333333333333333,0.0,0.3333333333333333,0.508130081300813,0.4,101.6260162601626,0.017829963035442483,,0.0,0.0,0.2,2.2,0.0,0.0,0.4056795131845842,0.4056795131845842,Below Average,2,Poor,1,Below Average,2,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2466,6,Division III,geneseecommunitycollege,Nick Rodriguez,,,,Wing,,,8,2.4499999999999997,2.5999999999999996,2.0,3,1.0,1.125,0.25,0.125,0.25,0.0,1.0,2.0,0.375,0.625,0.875,0.25,0.21978021978021978,0.1875,41.66666666666667,0.026301369863013697,2.0,0.052083333333333336,0.0,0.1875,0.3125,0.15174506828528073,0.30349013657056145,1.3657056145675266,1.2139605462822458,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2635,7,Division III,geneseecommunitycollege,Talha Aamir,,,,Wing,,,10,2.4,2.5,2.0,3,4.0,1.7,0.6,0.9,0.1,0.3,0.8,2.7,0.6,0.4,0.6,1.1,0.6954102920723226,0.7037037037037037,105.93220338983049,0.04173113478626057,0.6666666666666666,0.23834745762711862,0.6666666666666666,0.2222222222222222,0.14814814814814814,1.1083743842364533,0.49261083743842365,2.0935960591133007,0.9852216748768473,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2722,8,Division III,geneseecommunitycollege,Izayah Reaves,,,,Wing,,,10,2.375,2.45,2.0,3,6.2,1.9,2.0,1.5,0.7,0.0,1.7,4.9,3.8,1.4,0.3,1.6,0.5620014503263234,0.5612244897959183,88.36944127708097,0.0775385703549799,1.3333333333333333,0.21379703534777653,0.39473684210526316,0.7755102040816326,0.2857142857142857,1.8472906403940887,0.8620689655172413,2.3399014778325125,2.0935960591133007,Average,3,Poor,1,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2799,9,Division III,geneseecommunitycollege,Jaylyn Simon,,,,Wing,,,8,2.35,2.4000000000000004,2.0,3,2.25,1.375,0.375,0.375,0.25,0.0,0.5,1.5,0.375,1.25,0.25,1.125,0.5487804878048781,0.4166666666666667,92.78350515463919,0.026282989215845664,1.0,0.15463917525773196,0.0,0.25,0.8333333333333334,0.4573170731707317,0.3048780487804878,1.6768292682926829,0.6097560975609756,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3013,10,Division III,geneseecommunitycollege,Damani Hinks,,,,Wing,,,10,2.3,2.3,2.0,3,6.8,2.7,1.7,0.9,0.5,0.0,1.1,6.9,4.6,0.9,0.8,1.9,0.4660087719298246,0.463768115942029,82.96730112249878,0.0905795499756863,1.8888888888888888,0.10980966325036604,0.30434782608695654,0.6666666666666666,0.13043478260869565,1.1083743842364533,0.6157635467980296,3.3251231527093594,1.354679802955665,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Below Average,2,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3398,11,Division III,geneseecommunitycollege,Nilson Njengbot,,,,Wing,,,7,2.2,2.1,2.0,3,0.8571428571428571,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,0.0,0.5714285714285714,0.0,0.0,0.5208333333333334,0.5,88.75739644970415,0.010470231088532306,0.0,0.14792899408284024,,0.0,1.0,0.17226528854435832,0.17226528854435832,0.0,0.34453057708871665,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4065,12,Division III,geneseecommunitycollege,Izick Reaves,,,,Wing,,,13,2.0,1.7000000000000002,2.0,3,9.153846153846153,3.230769230769231,1.9230769230769231,2.923076923076923,0.6923076923076923,0.23076923076923078,2.3846153846153846,9.307692307692308,4.6923076923076925,3.076923076923077,0.9230769230769231,2.3076923076923075,0.42929292929292934,0.35537190082644626,67.38391845979615,0.1479408906611266,0.6578947368421053,0.21517553793884486,0.19672131147540983,0.5041322314049587,0.3305785123966942,3.559718969555035,1.1241217798594847,3.9344262295081966,2.9039812646370025,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Unknown
