MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
91,1,Division III,herkimercollege,Kenny Freeman,,,,Wing,,,11,3.7824999999999998,3.9,3.95,3,17.09090909090909,7.2727272727272725,0.6363636363636364,1.5454545454545454,1.0909090909090908,1.2727272727272727,2.0,11.818181818181818,2.1818181818181817,4.909090909090909,2.8181818181818183,4.454545454545454,0.6113423517169615,0.6,110.09604122745374,0.1730582130695638,0.4117647058823529,0.09955493089716562,0.3333333333333333,0.18461538461538463,0.4153846153846154,1.9619157530294287,3.000577034045009,9.232544720138488,2.538949798038084,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Average,3,Elite,5,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
1147,2,Division III,herkimercollege,Matthew Jolivert,,,,Wing,,,8,2.9074999999999998,3.2,2.45,3,10.125,2.0,1.0,0.75,1.25,0.125,0.625,8.5,5.75,2.0,0.875,1.125,0.5397121535181236,0.5147058823529411,99.95064165844028,0.11234958132312983,1.3333333333333333,0.07403751233958539,0.34782608695652173,0.6764705882352942,0.23529411764705882,0.9478672985781991,1.7377567140600316,2.527646129541864,0.7898894154818326,Average,3,Poor,1,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1373,3,Division III,herkimercollege,Xavier Cardona,,,,Wing,,,11,2.8200000000000003,2.5,3.2,3,10.636363636363637,5.909090909090909,1.2727272727272727,1.4545454545454546,1.2727272727272727,0.6363636363636364,2.1818181818181817,8.545454545454545,3.0,3.8181818181818183,1.5454545454545454,4.363636363636363,0.5200924608819345,0.44680851063829785,91.06475716064756,0.13020917788227665,0.875,0.12453300124533,0.30303030303030304,0.35106382978723405,0.44680851063829785,1.8465089440276976,2.423542989036353,7.501442585112522,2.7697634160415463,Below Average,2,Below Average,2,Poor,1,Below Average,2,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
1672,4,Division III,herkimercollege,Elijah Pagan,,,,Wing,,,8,2.7074999999999996,2.8,2.45,3,6.5,4.75,0.875,1.0,1.125,0.375,0.625,3.625,0.125,4.625,1.375,3.375,0.5742049469964664,0.4482758620689655,97.5975975975976,0.07386458160039927,0.875,0.15015015015015015,0.0,0.034482758620689655,1.2758620689655173,1.263823064770932,1.8957345971563981,6.003159557661927,0.7898894154818326,Very Good,4,Poor,1,Below Average,2,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1705,5,Division III,herkimercollege,Andrew Stallmer,,,,Wing,,,11,2.6950000000000003,2.25,3.2,3,6.2727272727272725,5.909090909090909,1.4545454545454546,1.3636363636363635,1.4545454545454546,0.18181818181818182,1.4545454545454546,4.818181818181818,0.7272727272727273,1.7272727272727273,1.8181818181818181,4.090909090909091,0.5622555410691004,0.5566037735849056,90.36144578313252,0.07738770877249879,1.0666666666666667,0.1964379256155055,0.375,0.1509433962264151,0.3584905660377358,1.7311021350259665,2.07732256203116,7.501442585112522,1.8465089440276976,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Very Good,4,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
2344,6,Division III,herkimercollege,Devan Cooper,,,,Wing,,,8,2.4825,2.35,2.45,3,4.625,2.625,4.375,1.625,1.375,0.0,1.25,3.75,1.25,0.875,0.25,2.375,0.5592503022974608,0.5333333333333333,80.29513888888889,0.0638828813841291,2.6923076923076925,0.2821180555555556,0.2,0.3333333333333333,0.23333333333333334,2.0537124802527646,1.7377567140600316,3.3175355450236967,1.5797788309636651,Average,3,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2449,7,Division III,herkimercollege,Damari Holder,,,,Wing,,,8,2.45,2.6,2.0,3,3.375,2.0,0.625,0.375,0.375,0.0,0.875,5.125,2.0,1.75,1.125,0.875,0.28625954198473286,0.21951219512195122,53.82775119617225,0.06953917817334886,1.6666666666666667,0.059808612440191394,0.0,0.3902439024390244,0.34146341463414637,0.47393364928909953,0.47393364928909953,2.527646129541864,1.1058451816745656,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3345,8,Division III,herkimercollege,Josiah Smith,,,,Wing,,,9,2.2,2.1000000000000005,2.0,3,9.666666666666666,2.3333333333333335,3.111111111111111,2.3333333333333335,0.8888888888888888,0.1111111111111111,0.8888888888888888,8.333333333333334,1.6666666666666667,4.555555555555555,0.8888888888888888,1.4444444444444444,0.46754084264832335,0.3466666666666667,76.2890213960014,0.14142566595565254,1.3333333333333333,0.18414591371448616,0.26666666666666666,0.2,0.5466666666666666,2.985074626865672,1.279317697228145,2.985074626865672,1.1371712864250179,Poor,1,Below Average,2,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3500,9,Division III,herkimercollege,Ibrahma Ba,,,,Wing,,,8,2.175,2.05,2.0,3,2.25,3.375,0.25,0.375,0.75,0.25,2.25,1.625,0.0,1.625,0.75,2.625,0.4807692307692308,0.5384615384615384,82.87292817679558,0.030111462319081683,0.6666666666666666,0.13812154696132597,,0.0,1.0,0.47393364928909953,1.263823064770932,4.265402843601896,2.843601895734597,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4341,10,Division III,herkimercollege,Jacob Fielding,,,,Wing,,,11,1.9000000000000001,1.5000000000000002,2.0,3,3.8181818181818183,1.7272727272727273,0.8181818181818182,1.1818181818181819,0.5454545454545454,0.0,0.8181818181818182,4.2727272727272725,2.909090909090909,0.9090909090909091,0.5454545454545454,1.1818181818181819,0.4085603112840467,0.3829787234042553,65.21739130434781,0.06526674233825198,0.6923076923076923,0.20186335403726707,0.3125,0.6808510638297872,0.2127659574468085,1.5002885170225044,0.6924408540103866,2.192729371032891,1.03866128101558,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
