MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
2101,1,Division III,holyokecommunitycollege,Dylan Rohan,,,,Wing,,,14,2.55,2.8,2.0,3,17.214285714285715,4.428571428571429,1.7142857142857142,1.7142857142857142,0.35714285714285715,0.14285714285714285,1.5714285714285714,15.285714285714286,7.071428571428571,5.0,0.9285714285714286,3.5,0.49223856209150324,0.45794392523364486,89.65773809523809,0.22142409964084483,1.0,0.08928571428571429,0.2222222222222222,0.46261682242990654,0.32710280373831774,2.10896309314587,0.6151142355008787,5.448154657293498,1.9332161687170475,Below Average,2,Very Good,4,Poor,1,Below Average,2,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2225,2,Division III,holyokecommunitycollege,James Fitzgibbons,,,,Wing,,,13,2.51,2.3,2.5999999999999996,3,9.461538461538462,7.384615384615385,1.4615384615384615,1.3846153846153846,0.23076923076923078,0.15384615384615385,1.4615384615384615,8.153846153846153,0.8461538461538461,4.230769230769231,2.0,5.384615384615385,0.4723502304147466,0.4528301886792453,82.99595141700405,0.1312108226794631,1.0555555555555556,0.12145748987854252,0.18181818181818182,0.10377358490566038,0.5188679245283019,1.7053529133112268,0.4737091425864519,9.095215537659877,1.8000947418285174,Poor,1,Below Average,2,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Unknown
3109,3,Division III,holyokecommunitycollege,Daniel Melendez,,,,Wing,,,12,2.2725,1.3,3.35,3,4.916666666666667,2.5833333333333335,1.5,2.3333333333333335,1.9166666666666667,0.25,1.0833333333333333,6.75,2.6666666666666665,1.4166666666666667,0.16666666666666666,2.4166666666666665,0.33340867992766726,0.29012345679012347,50.652472527472526,0.11071822364168661,0.6428571428571429,0.24038461538461536,0.09375,0.3950617283950617,0.20987654320987653,2.8325746079919067,2.630247850278199,3.1360647445624683,1.3151239251390996,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
3159,4,Division III,holyokecommunitycollege,Karteek Cheema,,,,Wing,,,14,2.25,2.2,2.0,3,3.9285714285714284,2.357142857142857,2.357142857142857,0.8571428571428571,0.35714285714285715,0.07142857142857142,1.3571428571428572,4.071428571428571,2.4285714285714284,0.6428571428571429,0.21428571428571427,2.142857142857143,0.4511154855643045,0.4649122807017544,75.38377192982455,0.060100827045372174,2.75,0.1644736842105263,0.3235294117647059,0.5964912280701754,0.15789473684210525,1.054481546572935,0.5272407732864675,2.8998242530755713,1.6695957820738137,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Average,3,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3171,5,Division III,holyokecommunitycollege,Shamar Walton,,,,Wing,,,12,2.25,2.2,2.0,3,8.916666666666666,2.9166666666666665,2.4166666666666665,1.5833333333333333,0.16666666666666666,0.25,1.0,8.25,2.75,1.5,0.08333333333333333,2.8333333333333335,0.5003741114852226,0.47474747474747475,84.97458703939009,0.11969126649176835,1.5263157894736843,0.1508894536213469,0.30303030303030304,0.3333333333333333,0.18181818181818182,1.9221041982802225,0.5058168942842691,3.540718259989884,1.2139605462822458,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Below Average,2,Average,3,Very Good,4,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3314,6,Division III,holyokecommunitycollege,Teyrik Smith Jr,,,,Wing,,,14,2.2125,1.6,2.75,3,6.857142857142857,6.071428571428571,1.2142857142857142,3.142857142857143,0.7142857142857143,0.5714285714285714,1.7142857142857142,7.142857142857143,2.0714285714285716,2.642857142857143,0.8571428571428571,5.214285714285714,0.41279669762641896,0.365,59.89518342899925,0.13203070941381922,0.38636363636363635,0.27451959071624654,0.2413793103448276,0.29,0.37,3.866432337434095,1.5817223198594024,7.469244288224956,2.10896309314587,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Poor,1,Below Average,2,Below Average,2,Elite,5,Average,3,Unknown
3322,7,Division III,holyokecommunitycollege,Jean Paul Martinez,,,,Wing,,,11,2.2075000000000005,1.8000000000000003,2.45,3,6.818181818181818,1.9090909090909092,4.363636363636363,2.8181818181818183,1.4545454545454546,0.0,1.5454545454545454,6.7272727272727275,2.4545454545454546,2.090909090909091,0.0,1.9090909090909092,0.44579172610556345,0.39864864864864863,65.14940931202223,0.1183874948580831,1.5483870967741935,0.2692842251563586,0.25925925925925924,0.36486486486486486,0.3108108108108108,3.4009873834339,1.7553483269336259,2.303894679100384,1.8650575973669774,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
3429,8,Division III,holyokecommunitycollege,Jaheime Thomas,,,,Wing,,,9,2.1825,1.75,2.45,3,4.777777777777778,5.555555555555555,1.6666666666666667,1.5555555555555556,0.3333333333333333,1.0,1.8888888888888888,4.777777777777778,0.8888888888888888,2.111111111111111,1.1111111111111112,4.444444444444445,0.41861370716510904,0.37209302325581395,65.78947368421052,0.08370901639344262,1.0714285714285714,0.2141982864137087,0.0,0.18604651162790697,0.4418604651162791,1.9021739130434783,1.6304347826086956,6.793478260869565,2.3097826086956523,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
4029,9,Division III,holyokecommunitycollege,Malakei Waters,,,,Wing,,,10,2.025,1.75,2.0,3,2.8,5.0,0.5,0.8,0.1,0.8,1.5,2.5,0.0,1.6,1.3,3.7,0.4369538077403246,0.44,69.93006993006993,0.0469424123053836,0.625,0.1998001998001998,,0.0,0.64,0.9944064636420137,1.1187072715972655,6.215040397762586,1.8645121193287757,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4435,10,Division III,holyokecommunitycollege,Gabriel Ibekilo,,,,Wing,,,11,1.8499999999999999,1.4000000000000001,2.0,3,1.9090909090909092,3.6363636363636362,0.2727272727272727,0.5454545454545454,0.2727272727272727,0.7272727272727273,1.5454545454545454,2.0,0.36363636363636365,0.36363636363636365,0.7272727272727273,2.909090909090909,0.4419191919191919,0.45454545454545453,70.56451612903226,0.03105693771915178,0.5,0.20161290322580644,0.0,0.18181818181818182,0.18181818181818182,0.6662965019433648,1.2215435868961688,4.441976679622432,1.8878400888395337,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
