MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
202,1,Division III,hostoscommunitycollege,Harry Bonilla,,,,Wing,,,9,3.4800000000000004,3.4000000000000004,3.8,3,25.77777777777778,5.222222222222222,5.111111111111111,4.333333333333333,6.0,0.3333333333333333,2.4444444444444446,19.555555555555557,8.666666666666666,6.333333333333333,1.8888888888888888,3.3333333333333335,0.5768848219614083,0.5511363636363636,96.63445518160613,0.2624398775688675,1.1794871794871795,0.16244585138287237,0.3076923076923077,0.4431818181818182,0.32386363636363635,5.284552845528455,7.723577235772358,6.368563685636857,2.9810298102981028,Very Good,4,Elite,5,Below Average,2,Average,3,Average,3,Below Average,2,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Poor,1,Elite,5,Below Average,2,Unknown
215,2,Division III,hostoscommunitycollege,Omar Drammeh,,,,Wing,,,11,3.4574999999999996,3.2499999999999996,3.95,3,11.272727272727273,8.181818181818182,2.6363636363636362,1.8181818181818181,2.090909090909091,0.36363636363636365,1.7272727272727273,7.454545454545454,2.1818181818181817,3.1818181818181817,3.272727272727273,4.909090909090909,0.6365503080082136,0.5975609756097561,105.62180579216354,0.1050803766424403,1.45,0.17035775127768313,0.25,0.2926829268292683,0.4268292682926829,2.2611644997173546,3.0525720746184284,10.175240248728095,2.1481062747314867,Elite,5,Poor,1,Average,3,Average,3,Below Average,2,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
795,3,Division III,hostoscommunitycollege,Nygel Ready,,,,Wing,,,11,2.9624999999999995,2.05,4.25,3,6.181818181818182,13.545454545454545,0.8181818181818182,1.4545454545454546,1.6363636363636365,5.454545454545454,3.727272727272727,7.909090909090909,0.18181818181818182,3.090909090909091,5.090909090909091,8.454545454545455,0.3334641035700274,0.3103448275862069,57.64665988470668,0.1055816118291504,0.5625,0.1356391997287216,0.0,0.022988505747126436,0.39080459770114945,1.8089315997738835,8.818541548897683,16.84567552289429,4.635387224420577,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Elite,5,Elite,5,Below Average,2,Elite,5,Unknown
971,4,Division III,hostoscommunitycollege,Matthew Toledo,,,,Wing,,,11,2.875,3.45,2.0,3,1.2727272727272727,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,1.0909090909090908,0.9090909090909091,0.0,0.0,0.5454545454545454,0.5833333333333334,0.5833333333333334,116.66666666666667,0.010740754000930865,,0.0,0.4,0.8333333333333334,0.0,0.0,0.0,0.6783493499152063,0.0,Very Good,4,Poor,1,Elite,5,N/A,3,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1268,5,Division III,hostoscommunitycollege,Shateek Harris,,,,Wing,,,11,2.75,2.1500000000000004,3.5,3,9.181818181818182,8.363636363636363,5.181818181818182,3.8181818181818183,1.8181818181818181,0.09090909090909091,2.1818181818181817,7.636363636363637,1.3636363636363635,3.090909090909091,2.909090909090909,5.454545454545454,0.5103071948261924,0.48214285714285715,71.65153234960272,0.12616805699760122,1.3571428571428572,0.29795686719636777,0.06666666666666667,0.17857142857142858,0.40476190476190477,4.748445449406445,2.3742227247032224,10.40135669869983,2.7133973996608254,Below Average,2,Below Average,2,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Average,3,Average,3,Elite,5,Below Average,2,Unknown
1460,6,Division III,hostoscommunitycollege,Terrell Hood,,,,Wing,,,8,2.6574999999999998,2.7,2.45,3,11.25,3.75,1.375,2.125,1.25,0.125,1.875,8.625,3.5,1.75,1.125,2.625,0.5987227248536456,0.6014492753623188,97.65625,0.11582545747033984,0.6470588235294118,0.18446180555555555,0.5357142857142857,0.4057971014492754,0.2028985507246377,2.585551330798479,1.673003802281369,4.562737642585551,2.2813688212927756,Very Good,4,Poor,1,Below Average,2,Poor,1,Below Average,2,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2051,7,Division III,hostoscommunitycollege,Trayvon McGraw,,,,Wing,,,11,2.425,2.9,1.5,3,8.636363636363637,4.818181818181818,2.090909090909091,1.2727272727272727,1.0,0.0,3.272727272727273,6.181818181818182,2.0,3.3636363636363638,2.0,2.8181818181818183,0.5635975320360702,0.5,96.66259666259666,0.08796677526762378,1.6428571428571428,0.14245014245014245,0.2727272727272727,0.3235294117647059,0.5441176470588235,1.582815149802148,1.2436404748445449,5.992085924250989,4.070096099491238,Average,3,Poor,1,Below Average,2,Very Good,4,Average,3,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Average,3,Elite,5,Unknown
3089,8,Division III,hostoscommunitycollege,Angel Zabala,,,,Wing,,,11,2.1075,1.6,2.45,3,2.3636363636363638,2.272727272727273,0.0,0.8181818181818182,0.2727272727272727,0.9090909090909091,0.5454545454545454,2.5454545454545454,0.0,1.0,0.5454545454545454,1.7272727272727273,0.3958587088915956,0.39285714285714285,62.141491395793494,0.03744942894991229,0.0,0.21510516252390055,,0.0,0.39285714285714285,1.0175240248728095,1.4697569248162803,2.826455624646693,0.6783493499152063,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3489,9,Division III,hostoscommunitycollege,Kimorri Samuela,,,,Wing,,,11,1.9749999999999999,1.6500000000000001,2.0,3,4.636363636363637,1.6363636363636365,0.7272727272727273,2.090909090909091,0.7272727272727273,0.09090909090909091,1.7272727272727273,4.090909090909091,0.9090909090909091,2.8181818181818183,0.2727272727272727,1.3636363636363635,0.43485675306957705,0.4222222222222222,62.46937775600196,0.07307292971966632,0.34782608695652173,0.2817246447819696,0.2,0.2222222222222222,0.6888888888888889,2.6003391746749576,1.0175240248728095,2.035048049745619,2.1481062747314867,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3566,10,Division III,hostoscommunitycollege,Kalani Meekins,,,,Wing,,,11,1.95,1.6,2.0,3,3.6363636363636362,2.6363636363636362,1.1818181818181819,2.272727272727273,0.7272727272727273,0.09090909090909091,1.7272727272727273,3.6363636363636362,1.8181818181818181,0.8181818181818182,1.0,1.6363636363636365,0.4549590536851683,0.4375,58.00464037122969,0.06172353299201604,0.52,0.3625290023201856,0.15,0.5,0.225,2.826455624646693,1.0175240248728095,3.278688524590164,2.1481062747314867,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
