MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
96,1,Division III,jolietjuniorcollege,Jeff Fleming,,,,Wing,,,13,3.7175000000000002,3.35,4.55,3,16.923076923076923,10.923076923076923,1.7692307692307692,2.230769230769231,2.1538461538461537,0.15384615384615385,1.6923076923076923,11.153846153846153,1.7692307692307692,5.615384615384615,3.1538461538461537,7.769230769230769,0.6210478771454381,0.5586206896551724,106.73394139336308,0.17534964440058529,0.7931034482758621,0.14069474092761497,0.2608695652173913,0.15862068965517243,0.503448275862069,2.838962310327949,2.9368575624082234,13.901125795398924,2.1536955457660305,Elite,5,Average,3,Average,3,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Very Good,4,Unknown
331,2,Division III,jolietjuniorcollege,Ricky Hill,,,,Wing,,,7,3.3549999999999995,3.1499999999999995,3.8,3,16.857142857142858,2.4285714285714284,5.142857142857143,3.2857142857142856,2.5714285714285716,0.42857142857142855,1.7142857142857142,11.428571428571429,4.285714285714286,7.0,0.2857142857142857,2.142857142857143,0.5809373769200472,0.4875,94.7334617854849,0.1990539503963181,1.565217391304348,0.1846499678869621,0.3333333333333333,0.375,0.6125,4.208600182982616,3.8426349496797805,3.110704483074108,2.1957913998170175,Very Good,4,Very Good,4,Poor,1,Very Good,4,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Elite,5,Average,3,Unknown
543,3,Division III,jolietjuniorcollege,Victor Yatou,,,,Wing,,,12,3.1550000000000002,3.45,2.8,3,11.666666666666666,6.75,0.5833333333333334,1.25,0.5833333333333334,0.8333333333333334,2.5,8.0,0.08333333333333333,2.9166666666666665,2.5,4.25,0.6283662477558348,0.6145833333333334,110.75949367088607,0.11617219955148708,0.4666666666666667,0.11867088607594936,0.0,0.010416666666666666,0.3645833333333333,1.5847860538827259,1.7960908610670894,8.55784469096672,3.1695721077654517,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Average,3,Very Good,4,Elite,5,Unknown
864,4,Division III,jolietjuniorcollege,Jyaveion Green,,,,Wing,,,12,2.9750000000000005,3.6500000000000004,2.0,3,8.5,1.6666666666666667,1.0833333333333333,1.0,0.3333333333333333,0.16666666666666666,2.0833333333333335,5.75,3.8333333333333335,0.6666666666666666,0.5833333333333334,1.0833333333333333,0.7032542746828462,0.6956521739130435,120.68149550402272,0.07874045090367057,1.0833333333333333,0.14197823000473261,0.5217391304347826,0.6666666666666666,0.11594202898550725,1.2813667912439937,0.6406833956219968,2.1356113187399894,2.6695141484249865,Elite,5,Poor,1,Elite,5,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
939,5,Division III,jolietjuniorcollege,Levi Goad,,,,Wing,,,13,2.9400000000000004,2.95,2.9000000000000004,3,11.923076923076923,4.538461538461538,4.076923076923077,1.9230769230769231,1.5384615384615385,0.15384615384615385,1.6153846153846154,9.615384615384615,3.6923076923076925,2.5384615384615383,1.3846153846153846,3.1538461538461537,0.5554759174311926,0.532,94.21346948699245,0.1399598461904924,2.12,0.15195720884998784,0.3541666666666667,0.384,0.264,2.447381302006853,2.1536955457660305,5.7758198727361725,2.0558002936857562,Average,3,Below Average,2,Poor,1,Elite,5,Average,3,Very Good,4,Very Good,4,Elite,5,Very Good,4,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1285,6,Division III,jolietjuniorcollege,Kareem Parker,,,,Wing,,,13,2.79,2.3,3.4,3,10.153846153846153,5.846153846153846,1.1538461538461537,2.3846153846153846,1.4615384615384615,0.6923076923076923,2.5384615384615383,7.076923076923077,0.38461538461538464,3.923076923076923,2.5384615384615383,3.3076923076923075,0.576721426074799,0.5434782608695652,90.75907590759076,0.12372817912682478,0.4838709677419355,0.21314631463146316,0.0,0.05434782608695652,0.5543478260869565,3.034752814488497,2.741067058247675,7.4400391581008325,3.2305433186490453,Very Good,4,Below Average,2,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Very Good,4,Below Average,2,Very Good,4,Very Good,4,Unknown
2842,7,Division III,jolietjuniorcollege,Kaden Faber,,,,Wing,,,10,2.25,2.2,2.0,3,1.8,0.8,0.1,0.2,0.0,0.1,0.5,2.0,0.3,0.6,0.3,0.5,0.39752650176678445,0.4,73.05194805194805,0.026872573397897302,0.5,0.08116883116883117,0.0,0.15,0.3,0.2536461636017755,0.12682308180088775,1.014584654407102,0.6341154090044389,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2927,8,Division III,jolietjuniorcollege,Pierre Pointer,,,,Wing,,,9,2.225,2.1500000000000004,2.0,3,5.777777777777778,1.8888888888888888,1.2222222222222223,1.8888888888888888,1.0,0.0,1.6666666666666667,4.333333333333333,1.6666666666666667,1.1111111111111112,0.4444444444444444,1.4444444444444444,0.599078341013825,0.5769230769230769,86.09271523178808,0.07354731868881202,0.6470588235294118,0.2814569536423841,0.3333333333333333,0.38461538461538464,0.2564102564102564,2.3826208829712683,1.2613875262789067,2.3826208829712683,2.102312543798178,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3229,9,Division III,jolietjuniorcollege,Hamzah Shouman,,,,Wing,,,8,2.15,2.0,2.0,3,1.5,0.5,0.25,0.5,0.375,0.125,0.25,1.0,0.375,0.75,0.25,0.25,0.5639097744360902,0.4375,81.96721311475409,0.019626769626769625,0.5,0.27322404371584696,0.3333333333333333,0.375,0.75,0.6304176516942475,0.6304176516942475,0.6304176516942475,0.31520882584712373,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3320,10,Division III,jolietjuniorcollege,Layshawn Scott,,,,Wing,,,8,2.125,1.95,2.0,3,1.375,0.75,0.25,0.25,0.25,0.25,0.25,1.5,0.5,0.25,0.625,0.125,0.42701863354037267,0.375,73.9247311827957,0.02040144784468575,1.0,0.13440860215053763,0.25,0.3333333333333333,0.16666666666666666,0.3125,0.625,0.9375,0.3125,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Very Good,4,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
