MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
569,1,Division III,nassaucommunitycollege,Camren Welker,,,,Wing,,,13,3.205,2.85,3.8,3,13.846153846153847,3.6923076923076925,4.3076923076923075,1.9230769230769231,2.4615384615384617,0.3076923076923077,2.0,12.23076923076923,4.153846153846154,4.3076923076923075,1.0769230769230769,2.6153846153846154,0.49008930516227406,0.44025157232704404,86.27300613496934,0.17480478568316632,2.24,0.11982361963190184,0.25925925925925924,0.33962264150943394,0.3522012578616352,2.454590083456063,3.5346097201767304,4.712812960235641,2.552773686794305,Below Average,2,Average,3,Poor,1,Elite,5,Very Good,4,Poor,1,Elite,5,Very Good,4,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
966,2,Division III,nassaucommunitycollege,Charlie Destefano,,,,Wing,,,12,2.995,1.8,4.7,3,4.916666666666667,9.75,2.0,1.4166666666666667,1.3333333333333333,1.75,1.8333333333333333,4.75,0.3333333333333333,1.5833333333333333,4.666666666666667,5.083333333333333,0.45134638922888615,0.4298245614035088,71.63671685284119,0.07376226982875976,1.411764705882353,0.2064108790675085,0.25,0.07017543859649122,0.3333333333333333,1.8027571580063626,3.9236479321314954,12.407211028632025,2.3329798515376456,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Unknown
1383,3,Division III,nassaucommunitycollege,Glen Mcbeth Jr,,,,Wing,,,12,2.8150000000000004,2.7,2.9000000000000004,3,13.666666666666666,2.3333333333333335,1.0833333333333333,2.4166666666666665,1.4166666666666667,0.25,1.5833333333333333,11.666666666666666,7.666666666666667,2.75,0.75,1.5833333333333333,0.5306756406937613,0.5,89.36355710549259,0.169198996902198,0.4482758620689655,0.1580209241499564,0.34782608695652173,0.6571428571428571,0.2357142857142857,3.113258185721954,2.147074610842727,3.0059044551798175,2.0397208803005906,Average,3,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1611,4,Division III,nassaucommunitycollege,Anthony Harrison,,,,Wing,,,10,2.7299999999999995,1.9000000000000001,3.8,3,10.1,4.7,2.3,2.5,1.9,1.5,2.2,11.8,2.6,2.5,1.0,3.7,0.39147286821705424,0.3559322033898305,65.58441558441558,0.16616314199395774,0.92,0.16233766233766234,0.23076923076923078,0.22033898305084745,0.211864406779661,3.158559696778269,4.295641187618446,5.938092229943146,2.779532533164877,Poor,1,Average,3,Poor,1,Below Average,2,Average,3,Poor,1,Average,3,Average,3,Average,3,Poor,1,Elite,5,Poor,1,Elite,5,Very Good,4,Unknown
2347,5,Division III,nassaucommunitycollege,Amir Reushell-Sanders,,,,Wing,,,8,2.4825,2.3499999999999996,2.45,3,9.0,2.75,1.5,2.125,1.0,0.25,1.25,6.75,3.125,3.0,0.375,2.375,0.5576208178438662,0.5370370370370371,88.27856792545366,0.10770693571390841,0.7058823529411765,0.20843550760176557,0.4,0.46296296296296297,0.4444444444444444,2.6687598116169546,1.5698587127158556,3.4536891679748822,1.5698587127158556,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2716,6,Division III,nassaucommunitycollege,Giuliano Camporini,,,,Wing,,,12,2.375,2.45,2.0,3,4.25,1.3333333333333333,0.8333333333333334,0.4166666666666667,0.75,0.0,1.1666666666666667,4.5,3.5,0.16666666666666666,0.5,0.8333333333333334,0.4646501457725947,0.4537037037037037,85.17034068136272,0.053629003367485856,2.0,0.083500334001336,0.35714285714285715,0.7777777777777778,0.037037037037037035,0.5302226935312832,0.9544008483563097,1.696712619300106,1.4846235418875928,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2757,7,Division III,nassaucommunitycollege,Isaiah Blunt,,,,Wing,,,13,2.3575,2.1,2.45,3,8.384615384615385,4.846153846153846,0.7692307692307693,1.3076923076923077,0.7692307692307693,0.5384615384615384,0.7692307692307693,8.23076923076923,0.9230769230769231,2.769230769230769,1.0,3.8461538461538463,0.44366655812438943,0.40186915887850466,77.94622425629291,0.11716210328764369,0.5882352941176471,0.1215675057208238,0.16666666666666666,0.11214953271028037,0.3364485981308411,1.6691212567501228,1.6691212567501228,6.185567010309279,0.9818360333824251,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3712,8,Division III,nassaucommunitycollege,Evan Pasik,,,,Wing,,,13,2.1049999999999995,1.7,2.3,3,4.0,6.230769230769231,1.1538461538461537,1.1538461538461537,0.23076923076923078,0.5384615384615384,2.076923076923077,4.0,0.0,1.3076923076923077,2.3846153846153846,3.8461538461538463,0.43712172158708806,0.40384615384615385,69.81740064446831,0.06240155501189719,1.0,0.20139634801288936,,0.0,0.3269230769230769,1.4727540500736378,0.9818360333824251,7.952871870397644,2.6509572901325478,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
3993,9,Division III,nassaucommunitycollege,Matthias Martin,,,,Wing,,,12,2.0324999999999998,1.45,2.45,3,2.4166666666666665,3.0,0.5,0.75,0.6666666666666666,0.5,1.5,3.0,0.75,0.3333333333333333,1.25,1.75,0.3840042372881356,0.375,62.01881950384945,0.04187862721215161,0.6666666666666666,0.19247219846022243,0.1111111111111111,0.25,0.1111111111111111,0.9544008483563097,1.4846235418875928,3.8176033934252387,1.9088016967126193,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Very Good,4,Below Average,2,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
4102,10,Division III,nassaucommunitycollege,Colby Barnave,,,,Wing,,,7,1.9999999999999998,1.7,2.0,3,1.7142857142857142,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.2857142857142857,1.8571428571428572,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.39473684210526316,0.34615384615384615,56.60377358490566,0.031150816974256496,0.8333333333333334,0.2830188679245283,0.3333333333333333,0.23076923076923078,0.38461538461538464,1.0526315789473684,0.7017543859649122,1.0526315789473684,0.3508771929824561,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
