MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
49,1,Division III,oceancountycollege,Aiden Sosinov,,,,Wing,,,17,3.9299999999999997,3.9499999999999997,4.3,3,20.470588235294116,11.294117647058824,3.1176470588235294,2.588235294117647,1.0,1.5294117647058822,2.411764705882353,14.0,2.4705882352941178,6.647058823529412,3.4705882352941178,7.823529411764706,0.604754622549701,0.5525210084033614,104.90775352707101,0.21294679539852096,1.2045454545454546,0.13264198721813578,0.35714285714285715,0.17647058823529413,0.47478991596638653,3.225806451612903,3.1524926686217007,14.07624633431085,3.005865102639296,Elite,5,Very Good,4,Average,3,Average,3,Very Good,4,Very Good,4,Average,3,Average,3,Elite,5,Very Good,4,Very Good,4,Elite,5,Very Good,4,Very Good,4,Unknown
109,2,Division III,oceancountycollege,Jamari Smith,,,,Wing,,,17,3.7375,3.2500000000000004,4.75,3,21.294117647058822,10.058823529411764,3.9411764705882355,3.2941176470588234,1.7647058823529411,1.588235294117647,2.9411764705882355,14.352941176470589,1.2941176470588236,7.764705882352941,2.588235294117647,7.470588235294118,0.5991790254237288,0.5348360655737705,101.09472743521002,0.22986852917009037,1.1964285714285714,0.15638963360142985,0.4090909090909091,0.09016393442622951,0.5409836065573771,4.105571847507331,4.178885630498534,12.536656891495602,3.665689149560117,Very Good,4,Very Good,4,Below Average,2,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Average,3,Unknown
370,3,Division III,oceancountycollege,James Gibbons,,,,Wing,,,17,3.3625,3.9000000000000004,2.75,3,5.705882352941177,5.823529411764706,1.1764705882352942,0.6470588235294118,0.35294117647058826,0.9411764705882353,2.0,3.588235294117647,1.0588235294117647,0.8823529411764706,1.588235294117647,4.235294117647059,0.7174556213017752,0.6967213114754098,123.40966921119593,0.05045706655710764,1.8181818181818181,0.13994910941475827,0.3888888888888889,0.29508196721311475,0.2459016393442623,0.8064516129032258,1.6129032258064515,7.258064516129032,2.4926686217008798,Elite,5,Poor,1,Elite,5,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Elite,5,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
757,4,Division III,oceancountycollege,Myles Marabuto,,,,Wing,,,17,3.0975,2.9499999999999997,3.35,3,11.0,4.352941176470588,5.411764705882353,2.3529411764705883,1.9411764705882353,0.17647058823529413,2.3529411764705883,8.705882352941176,4.764705882352941,2.2941176470588234,1.1764705882352942,3.176470588235294,0.5661177040445629,0.5405405405405406,91.14837200233964,0.1317019309778143,2.3,0.19496977968414897,0.37037037037037035,0.5472972972972973,0.2635135135135135,2.932551319648094,2.6392961876832843,5.425219941348973,2.932551319648094,Average,3,Below Average,2,Poor,1,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
2130,5,Division III,oceancountycollege,Adrian (AJ) Lemons,,,,Wing,,,11,2.54,2.1500000000000004,2.9000000000000004,3,10.636363636363637,4.454545454545454,1.3636363636363635,1.8181818181818181,1.4545454545454546,0.5454545454545454,2.1818181818181817,8.818181818181818,3.6363636363636362,3.3636363636363638,1.0909090909090908,3.3636363636363638,0.5164194915254238,0.4793814432989691,87.78511404561824,0.13392282958199356,0.75,0.15006002400960383,0.275,0.41237113402061853,0.38144329896907214,2.2948938611589216,2.5243832472748133,5.622489959839357,2.7538726333907055,Below Average,2,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2234,6,Division III,oceancountycollege,Kai Barckley,,,,Wing,,,17,2.5075000000000003,2.4000000000000004,2.45,3,8.941176470588236,2.0,2.235294117647059,1.1176470588235294,1.2352941176470589,0.0,2.2941176470588234,8.764705882352942,4.882352941176471,1.2941176470588236,0.9411764705882353,1.0588235294117647,0.47895134862616584,0.4664429530201342,85.54705087798288,0.11406121610517667,2.0,0.10693381359747861,0.30120481927710846,0.5570469798657718,0.1476510067114094,1.3929618768328447,1.5395894428152492,2.4926686217008798,2.8592375366568916,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2535,7,Division III,oceancountycollege,Mason Krey,,,,Wing,,,12,2.425,2.5500000000000003,2.0,3,7.166666666666667,3.5,1.75,0.75,0.75,0.0,0.8333333333333334,6.583333333333333,3.1666666666666665,0.5833333333333334,1.4166666666666667,2.0833333333333335,0.5238791423001949,0.5316455696202531,94.42248572683356,0.08375942615412912,2.3333333333333335,0.09881422924901186,0.3157894736842105,0.4810126582278481,0.08860759493670886,0.9429020429544264,0.9429020429544264,4.400209533787323,1.0476689366160294,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Very Good,4,Elite,5,Poor,1,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2910,8,Division III,oceancountycollege,Jeremy Grospe,,,,Wing,,,11,2.325,2.35,2.0,3,1.0,1.3636363636363635,1.3636363636363635,0.45454545454545453,0.18181818181818182,0.0,0.9090909090909091,2.3636363636363638,1.6363636363636365,0.8181818181818182,0.18181818181818182,1.1818181818181819,0.1835781041388518,0.17307692307692307,31.46453089244851,0.03492228393335198,3.0,0.14302059496567504,0.05555555555555555,0.6923076923076923,0.34615384615384615,0.5659309564233164,0.22637238256932654,1.697792869269949,1.1318619128466327,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2980,9,Division III,oceancountycollege,Joseph Witter,,,,Wing,,,10,2.3,2.3000000000000003,2.0,3,1.9,1.1,0.1,0.3,0.1,0.3,0.5,1.6,0.0,0.1,0.2,0.9,0.5778588807785887,0.5625,97.73662551440329,0.021207889684063536,0.3333333333333333,0.15432098765432098,,0.0,0.0625,0.3747657713928795,0.49968769519050593,1.3741411617738912,0.6246096189881324,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3796,10,Division III,oceancountycollege,Omar Hadid,,,,Wing,,,6,2.0999999999999996,1.9,2.0,3,1.5,1.8333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.8333333333333334,1.3333333333333333,0.3333333333333333,1.0,0.8333333333333334,1.0,0.42293233082706766,0.5625,71.20253164556962,0.023228462216995,0.0,0.1582278481012658,0.5,0.25,0.75,0.4214963119072708,0.2107481559536354,2.3182297154899896,1.053740779768177,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
