MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
547,1,Division III,owenscommunitycollege,Gardayee Walker,,,,Wing,,,19,3.2250000000000005,2.4000000000000004,4.5,3,12.789473684210526,9.894736842105264,1.368421052631579,2.6315789473684212,1.4210526315789473,1.6842105263157894,3.0,10.210526315789474,1.105263157894737,1.7894736842105263,3.210526315789474,6.684210526315789,0.5814509954058192,0.5747422680412371,93.83688600556069,0.15979661351631538,0.52,0.19308001235712077,0.42857142857142855,0.10824742268041238,0.17525773195876287,3.465003465003465,4.088704088704088,13.028413028413029,3.95010395010395,Very Good,4,Average,3,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Unknown
629,2,Division III,owenscommunitycollege,Maceo Harper,,,,Wing,,,18,3.165,3.4000000000000004,2.9000000000000004,3,17.27777777777778,4.611111111111111,1.8333333333333333,2.611111111111111,1.3333333333333333,0.2222222222222222,1.7777777777777777,12.5,4.0,5.833333333333333,1.0,3.611111111111111,0.573377581120944,0.5111111111111111,97.73727215587681,0.2091439688715953,0.7021276595744681,0.147705845380264,0.3888888888888889,0.32,0.4666666666666667,3.47247875877355,2.068710749907647,6.132249722940524,2.3642408570373106,Very Good,4,Very Good,4,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Average,3,Unknown
1685,3,Division III,owenscommunitycollege,Gareet Merphree,,,,Wing,,,16,2.7,3.1,2.0,3,6.25,1.625,0.5625,0.375,0.3125,0.125,1.3125,5.5,5.125,0.8125,0.375,1.25,0.5335040546308152,0.5227272727272727,100.28078620136382,0.07347480106100795,1.5,0.060168471720818295,0.34146341463414637,0.9318181818181818,0.14772727272727273,0.4983388704318937,0.5813953488372093,2.159468438538206,1.744186046511628,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1847,4,Division III,owenscommunitycollege,Daylen Green,,,,Wing,,,19,2.6325000000000003,2.65,2.45,3,14.894736842105264,3.8947368421052633,2.3157894736842106,2.0526315789473686,0.8947368421052632,0.2631578947368421,1.631578947368421,13.052631578947368,4.894736842105263,3.789473684210526,1.0,2.8947368421052633,0.5059353546910755,0.4737903225806452,88.8038157399272,0.19664807227131362,1.1282051282051282,0.12237981674406928,0.26881720430107525,0.375,0.2903225806451613,2.7027027027027026,1.5246015246015245,5.128205128205129,2.1483021483021485,Below Average,2,Very Good,4,Poor,1,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1934,5,Division III,owenscommunitycollege,Jace Williams,,,,Wing,,,16,2.6000000000000005,2.900000000000001,2.0,3,8.4375,4.9375,0.6875,1.125,0.5,0.0,1.3125,6.3125,0.875,2.375,1.8125,3.125,0.573394495412844,0.5445544554455446,99.46949602122017,0.09952189599037926,0.6111111111111112,0.13262599469496023,0.14285714285714285,0.13861386138613863,0.37623762376237624,1.4931563666528411,0.6636250518457072,6.553297386976358,1.7420157610949814,Very Good,4,Poor,1,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2708,6,Division III,owenscommunitycollege,Brandon Clair,,,,Wing,,,14,2.375,2.45,2.0,3,3.2142857142857144,1.8571428571428572,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.14285714285714285,1.0,2.4285714285714284,0.6428571428571429,1.3571428571428572,0.5714285714285714,1.2857142857142858,0.5311614730878187,0.5,93.05210918114145,0.03815083622593878,0.6666666666666666,0.12406947890818859,0.0,0.2647058823529412,0.5588235294117647,0.5330964015992892,0.5330964015992892,2.3100844069302533,1.2438916037316747,Average,3,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2789,7,Division III,owenscommunitycollege,Jace Howland,,,,Wing,,,10,2.35,2.4000000000000004,2.0,3,0.3,0.1,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.2,0.0,0.1,0.3865979381443299,0.5,77.31958762886597,0.004232111692844677,,0.0,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.12406947890818859,0.24813895781637718,Poor,1,Poor,1,Poor,1,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2976,8,Division III,owenscommunitycollege,Isaiah Brenneman,,,,Wing,,,14,2.3,2.3000000000000003,2.0,3,12.0,3.0714285714285716,2.5,2.2857142857142856,0.5714285714285714,0.21428571428571427,2.142857142857143,10.071428571428571,2.857142857142857,3.357142857142857,1.0,2.0714285714285716,0.5195447798119742,0.4858156028368794,86.74101610904584,0.16968040370058873,1.09375,0.16522098306484923,0.275,0.28368794326241137,0.3333333333333333,3.1620553359683794,1.0869565217391304,4.24901185770751,2.964426877470356,Below Average,2,Average,3,Poor,1,Below Average,2,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3892,9,Division III,owenscommunitycollege,Bellarmine Fongod,,,,Wing,,,16,2.05,1.8000000000000003,2.0,3,1.75,1.5,1.625,0.9375,0.3125,0.1875,1.75,2.375,0.6875,0.5625,0.5625,0.9375,0.3336510962821735,0.2894736842105263,49.157303370786515,0.042238898941061316,1.7333333333333334,0.2633426966292135,0.18181818181818182,0.2894736842105263,0.23684210526315788,1.2552301255230125,0.6694560669456067,2.00836820083682,2.3430962343096233,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3978,10,Division III,owenscommunitycollege,Zach Steinhauser,,,,Wing,,,15,2.05,1.7999999999999998,2.0,3,1.3333333333333333,1.4,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.06666666666666667,1.0,1.4666666666666666,0.5333333333333333,0.4,0.6,0.8,0.40584415584415584,0.36363636363636365,67.47638326585695,0.021839080459770115,0.2,0.16869095816464239,0.25,0.36363636363636365,0.2727272727272727,0.4152823920265781,0.4983388704318937,1.744186046511628,1.2458471760797343,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
