MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
317,1,Division III,quincycollege,Karmari james,,,,Wing,,,12,3.4050000000000002,3.25,3.8,3,21.416666666666668,3.9166666666666665,3.8333333333333335,2.3333333333333335,3.0,0.08333333333333333,0.25,17.583333333333332,7.75,2.75,1.25,2.6666666666666665,0.5697942532813054,0.5545023696682464,101.37267276743452,0.2362985608828574,1.6428571428571428,0.1104449353108236,0.3010752688172043,0.44075829383886256,0.15639810426540285,2.9427220178665263,3.8885969521807673,4.939569101418813,0.3152916447714136,Average,3,Elite,5,Below Average,2,Very Good,4,Very Good,4,Below Average,2,Elite,5,Elite,5,Average,3,Very Good,4,Elite,5,Poor,1,Elite,5,Very Good,4,Unknown
418,2,Division III,quincycollege,Anthony Coke,,,,Wing,,,12,3.3200000000000003,2.45,4.7,3,14.666666666666666,9.416666666666666,3.75,3.75,2.5833333333333335,0.9166666666666666,0.3333333333333333,11.333333333333334,1.0833333333333333,4.333333333333333,2.5833333333333335,6.833333333333333,0.553877139979859,0.5477941176470589,86.32528938591328,0.1900305719185743,1.0,0.22071806945261918,0.23076923076923078,0.09558823529411764,0.38235294117647056,4.729374671571203,4.41408302679979,11.875985286389911,0.42038885969521805,Average,3,Very Good,4,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Below Average,2,Unknown
702,3,Division III,quincycollege,Jacob Cofield,,,,Wing,,,11,3.12,2.05,4.7,3,6.454545454545454,8.909090909090908,1.2727272727272727,1.3636363636363635,0.8181818181818182,2.4545454545454546,0.5454545454545454,5.090909090909091,0.8181818181818182,4.0,2.5454545454545454,6.363636363636363,0.471072186836518,0.41964285714285715,78.57459052678176,0.09104098657961551,0.9333333333333333,0.16600265604249667,0.3333333333333333,0.16071428571428573,0.7857142857142857,1.6987542468856172,4.077010192525481,11.098527746319366,0.6795016987542469,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Unknown
1966,4,Division III,quincycollege,Isaiah Michel,,,,Wing,,,12,2.5825000000000005,2.5500000000000003,2.45,3,9.5,3.25,3.1666666666666665,2.0,1.5,0.08333333333333333,0.16666666666666666,7.25,2.0833333333333335,2.5,1.5833333333333333,1.6666666666666667,0.5688622754491017,0.5287356321839081,91.78743961352657,0.11576317947953174,1.5833333333333333,0.1932367149758454,0.32,0.28735632183908044,0.3448275862068966,2.5223331581713087,1.9968470835522858,4.098791382028376,0.21019442984760903,Average,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Average,3,Average,3,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2338,5,Division III,quincycollege,Julio Goodrich,,,,Wing,,,12,2.4575000000000005,2.3000000000000003,2.45,3,6.75,2.4166666666666665,1.5833333333333333,1.0,1.3333333333333333,0.0,0.25,6.166666666666667,3.0833333333333335,0.9166666666666666,0.6666666666666666,1.75,0.5136986301369862,0.5067567567567568,89.1677675033025,0.08466930131981211,1.5833333333333333,0.1321003963011889,0.2972972972972973,0.5,0.14864864864864866,1.2611665790856543,1.6815554387808722,3.047819232790331,0.3152916447714136,Below Average,2,Poor,1,Poor,1,Very Good,4,Very Good,4,Below Average,2,Very Good,4,Elite,5,Below Average,2,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2738,6,Division III,quincycollege,Keon Griffin,,,,Wing,,,6,2.35,2.4000000000000004,2.0,3,0.8333333333333334,0.8333333333333334,0.0,0.5,0.0,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.5,0.8680555555555556,1.0,85.03401360544218,0.010843906757155502,0.0,0.5102040816326531,,0.0,1.0,0.6179196704428425,0.2059732234809475,1.0298661174047374,0.82389289392379,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2982,7,Division III,quincycollege,Wilton Fernandez,,,,Wing,,,11,2.2824999999999998,1.9500000000000002,2.45,3,6.636363636363637,4.454545454545454,1.2727272727272727,1.4545454545454546,1.0,0.2727272727272727,0.5454545454545454,5.545454545454546,0.7272727272727273,1.6363636363636365,1.3636363636363635,3.090909090909091,0.5295995356935578,0.4918032786885246,85.96325953838907,0.0863921217547001,0.875,0.18841262364578426,0.25,0.13114754098360656,0.29508196721311475,1.8275271273557967,1.599086236436322,5.596801827527127,0.6853226727584237,Below Average,2,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3133,8,Division III,quincycollege,Owen Haglund,,,,Wing,,,7,2.2325,1.85,2.45,3,2.857142857142857,1.7142857142857142,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.14285714285714285,2.4285714285714284,1.1428571428571428,0.8571428571428571,0.2857142857142857,1.4285714285714286,0.5091649694501018,0.47058823529411764,78.003120124805,0.04063133874239351,0.6666666666666666,0.23400936037441497,0.25,0.47058823529411764,0.35294117647058826,1.0657193605683837,1.4209591474245116,2.1314387211367674,0.17761989342806395,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3304,9,Division III,quincycollege,Josh Dejesus,,,,Wing,,,8,2.1825,1.7500000000000002,2.45,3,5.5,2.875,3.375,2.0,1.5,0.0,0.125,5.75,1.125,1.0,0.25,2.625,0.444264943457189,0.43478260869565216,67.15506715506714,0.09056228230220602,1.6875,0.24420024420024417,0.2222222222222222,0.1956521739130435,0.17391304347826086,2.457757296466974,1.8433179723502304,3.533026113671275,0.15360983102918588,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3481,10,Division III,quincycollege,Dante Clarke,,,,Wing,,,9,2.15,2.0,2.0,3,2.7777777777777777,2.4444444444444446,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.2222222222222222,0.0,2.4444444444444446,0.5555555555555556,1.2222222222222223,0.7777777777777778,1.6666666666666667,0.46572280178837555,0.4318181818181818,78.51758793969849,0.03902917381711203,0.8,0.157035175879397,0.2,0.22727272727272727,0.5,0.6963788300835655,0.9749303621169917,3.064066852367688,0.0,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3632,11,Division III,quincycollege,Jaeden Tammero,,,,Wing,,,12,2.0999999999999996,1.9000000000000001,2.0,3,4.666666666666667,1.5833333333333333,1.3333333333333333,1.25,0.8333333333333334,0.25,0.16666666666666666,3.9166666666666665,2.0,0.5,0.4166666666666667,1.1666666666666667,0.5640612409347301,0.5531914893617021,86.63366336633663,0.060249049287898,1.0666666666666667,0.23205445544554457,0.3333333333333333,0.5106382978723404,0.1276595744680851,1.5764582238570677,1.3662637940094589,1.9968470835522858,0.21019442984760903,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
