MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
16,1,Division III,ridgewatercollege,DeAndre Holloway,,,,Wing,,,16,4.1625,4.1,4.75,3,21.5,11.25,0.8125,2.375,1.25,3.1875,2.6875,12.75,1.6875,7.375,5.0625,6.1875,0.6720850265708034,0.6225490196078431,117.0386499727817,0.18395754055677951,0.34210526315789475,0.12928688078388675,0.4444444444444444,0.1323529411764706,0.5784313725490197,2.745664739884393,5.130057803468208,13.00578034682081,3.106936416184971,Elite,5,Average,3,Elite,5,Poor,1,Very Good,4,Elite,5,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Unknown
139,2,Division III,ridgewatercollege,Tyrese Mayo,,,,Wing,,,16,3.6574999999999998,4.7,2.45,3,21.125,4.6875,4.375,1.875,1.25,0.0,1.1875,14.0625,5.5,3.5,1.125,3.5625,0.6769748437750361,0.6466666666666666,120.86968960091546,0.17502002803925495,2.3333333333333335,0.10728078958661136,0.4431818181818182,0.39111111111111113,0.24888888888888888,2.167630057803468,1.4450867052023122,5.41907514450867,1.3728323699421965,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
647,3,Division III,ridgewatercollege,John Hooker,,,,Wing,,,12,3.1550000000000002,3.8,2.3,3,8.25,6.333333333333333,0.5,0.75,0.9166666666666666,0.25,2.3333333333333335,5.083333333333333,0.08333333333333333,3.0,2.75,3.5833333333333335,0.644195731389901,0.680327868852459,115.33084808946877,0.07055265147779202,0.6666666666666666,0.1048462255358807,1.0,0.01639344262295082,0.5901639344262295,0.8567348881485007,1.3326987148976677,7.23465016658734,2.6653974297953353,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
897,4,Division III,ridgewatercollege,Ryan Bakke,,,,Wing,,,7,3.0250000000000004,3.75,2.0,3,1.4285714285714286,1.2857142857142858,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.7142857142857143,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.7267441860465116,0.6666666666666666,126.90355329949239,0.011312087281079528,1.0,0.12690355329949238,0.0,0.16666666666666666,0.3333333333333333,0.16792611251049538,0.16792611251049538,1.5113350125944585,0.8396305625524769,Elite,5,Poor,1,Elite,5,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1809,5,Division III,ridgewatercollege,Steven Nzimi,,,,Wing,,,11,2.6500000000000004,3.0,2.0,3,1.5454545454545454,1.6363636363636365,0.2727272727272727,0.09090909090909091,0.0,0.18181818181818182,0.36363636363636365,1.2727272727272727,0.0,0.45454545454545453,0.6363636363636364,1.0,0.5246913580246914,0.5,98.83720930232559,0.015340706386014983,3.0,0.05813953488372093,,0.0,0.35714285714285715,0.10384215991692627,0.20768431983385255,1.8691588785046729,0.4153686396677051,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1955,6,Division III,ridgewatercollege,De'Quarious Marks,,,,Wing,,,11,2.5999999999999996,2.9,2.0,3,9.272727272727273,2.727272727272727,0.9090909090909091,1.0,0.36363636363636365,0.18181818181818182,1.3636363636363635,8.0,4.545454545454546,1.1818181818181819,0.8181818181818182,1.9090909090909092,0.5441741357234315,0.5113636363636364,97.40259740259741,0.09339992864787727,0.9090909090909091,0.10504201680672269,0.36,0.5681818181818182,0.14772727272727273,1.142263759086189,0.6230529595015576,3.115264797507788,1.557632398753894,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2113,7,Division III,ridgewatercollege,Austin Dickinson,,,,Wing,,,6,2.55,2.8,2.0,3,1.3333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6944444444444444,0.75,103.09278350515464,0.012624455000976116,0.5,0.2577319587628866,0.6666666666666666,0.75,1.0,0.38204393505253104,0.0,0.7640878701050621,0.19102196752626552,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2426,8,Division III,ridgewatercollege,Brenton McKinney,,,,Wing,,,16,2.4574999999999996,2.3,2.45,3,11.0625,4.4375,3.0625,2.3125,1.1875,0.375,2.1875,9.25,3.6875,2.875,1.0,3.4375,0.5260342368045648,0.5,86.2404989280842,0.1284548367714801,1.3243243243243243,0.18027674917170142,0.3050847457627119,0.39864864864864863,0.3108108108108108,2.6734104046242773,1.80635838150289,5.130057803468208,2.5289017341040463,Below Average,2,Below Average,2,Poor,1,Average,3,Below Average,2,Below Average,2,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2467,9,Division III,ridgewatercollege,Gavin Brown,,,,Wing,,,8,2.4499999999999997,2.5999999999999996,2.0,3,1.0,0.875,0.5,0.125,0.0,0.125,0.375,0.75,0.5,0.875,0.25,0.625,0.44052863436123346,0.25,79.36507936507937,0.01256857855361596,4.0,0.0992063492063492,0.25,0.6666666666666666,1.1666666666666667,0.145985401459854,0.145985401459854,1.0218978102189782,0.43795620437956206,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2473,10,Division III,ridgewatercollege,Andre Jones,,,,Wing,,,6,2.4499999999999997,2.5999999999999996,2.0,3,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3073770491803279,0.375,55.762081784386616,0.017505043274549357,2.0,0.0929368029739777,0.0,0.25,0.5,0.19102196752626552,0.0,0.38204393505253104,0.5730659025787965,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
