MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
103,1,Division III,salemcommunitycollege,Jarrell Little,,,,Wing,,,16,3.6925,4.0,3.55,3,20.375,4.5,3.5,2.0,2.1875,0.5,2.6875,16.3125,7.25,2.8125,1.1875,3.3125,0.5804843304843305,0.553639846743295,104.21994884910485,0.20953912111468384,1.75,0.10230179028132992,0.3879310344827586,0.4444444444444444,0.1724137931034483,2.4334600760456273,3.2699619771863118,5.475285171102661,3.2699619771863118,Very Good,4,Very Good,4,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Very Good,4,Elite,5,Poor,1,Very Good,4,Elite,5,Unknown
120,2,Division III,salemcommunitycollege,Nasseem Wright,,,,Wing,,,16,3.665,3.35,4.4,3,18.25,8.4375,4.0625,2.625,1.4375,1.3125,1.5625,12.8125,1.0,5.75,2.5,5.9375,0.5947531367117485,0.5804878048780487,101.57228328927229,0.19257770632368704,1.5476190476190477,0.14609711979963821,0.125,0.07804878048780488,0.44878048780487806,3.193916349809886,3.346007604562738,10.26615969581749,1.9011406844106464,Very Good,4,Very Good,4,Below Average,2,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Poor,1,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Very Good,4,Unknown
131,3,Division III,salemcommunitycollege,Saaid Lee,,,,Wing,,,16,3.6475,4.050000000000001,3.35,3,15.1875,3.875,5.4375,2.1875,2.0625,0.1875,2.4375,9.4375,1.625,3.9375,0.75,3.125,0.6798343777976723,0.6456953642384106,113.70016844469399,0.14316720257234727,2.4857142857142858,0.1637656747145798,0.5,0.17218543046357615,0.41721854304635764,2.661596958174905,2.7376425855513307,4.714828897338403,2.9657794676806084,Elite,5,Below Average,2,Very Good,4,Elite,5,Average,3,Elite,5,Below Average,2,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
650,4,Division III,salemcommunitycollege,Stefan Phillips,,,,Wing,,,16,3.0999999999999996,3.9,2.0,3,7.625,4.1875,1.0,0.9375,0.25,0.25,1.6875,4.5,1.8125,1.625,1.625,2.5625,0.7310642377756472,0.7083333333333334,123.93336042259244,0.06594319399785638,1.0666666666666667,0.152377082486794,0.41379310344827586,0.4027777777777778,0.3611111111111111,1.1406844106463878,0.6083650190114068,5.095057034220532,2.053231939163498,Elite,5,Poor,1,Elite,5,Below Average,2,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1419,5,Division III,salemcommunitycollege,Jaiayre Wright,,,,Wing,,,11,2.7300000000000004,2.95,2.3,3,4.818181818181818,5.636363636363637,0.6363636363636364,0.8181818181818182,0.2727272727272727,0.45454545454545453,1.3636363636363635,3.0,0.2727272727272727,1.8181818181818181,2.6363636363636362,3.0,0.6339712918660287,0.5909090909090909,104.33070866141733,0.05021350624703463,0.7777777777777778,0.17716535433070868,0.3333333333333333,0.09090909090909091,0.6060606060606061,1.023308698123934,0.9096077316657192,7.049459920409324,1.7055144968732234,Elite,5,Poor,1,Average,3,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
1589,6,Division III,salemcommunitycollege,Zyaire Gibson,,,,Wing,,,16,2.6574999999999998,2.7,2.45,3,10.5625,4.3125,1.4375,1.0,0.9375,0.25,1.625,9.6875,7.9375,1.5,0.625,3.6875,0.5103889828460981,0.4967741935483871,93.08217669090108,0.12162379421221865,1.4375,0.08812513769552764,0.33070866141732286,0.8193548387096774,0.15483870967741936,1.2167300380228137,1.4448669201520912,5.247148288973384,1.9771863117870723,Below Average,2,Below Average,2,Poor,1,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1967,7,Division III,salemcommunitycollege,Idris Rines,,,,Wing,,,16,2.5075000000000003,2.4000000000000004,2.45,3,8.1875,5.125,1.4375,1.1875,0.8125,0.625,1.75,6.6875,3.0,2.6875,1.4375,3.6875,0.5201715374841169,0.4439252336448598,90.39470052442726,0.09707931404072885,1.2105263157894737,0.1311068175545128,0.2708333333333333,0.4485981308411215,0.40186915887850466,1.4448669201520912,1.7490494296577948,6.23574144486692,2.129277566539924,Below Average,2,Poor,1,Poor,1,Average,3,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2084,8,Division III,salemcommunitycollege,Lenar Anderson,,,,Wing,,,8,2.4749999999999996,2.65,2.0,3,4.875,3.0,2.125,1.0,0.25,0.125,1.75,3.875,2.125,1.375,0.75,2.25,0.5440848214285714,0.5645161290322581,88.95985401459853,0.06030261348005503,2.125,0.18248175182481752,0.29411764705882354,0.5483870967741935,0.3548387096774194,1.2872083668543846,0.4827031375703942,3.8616251005631534,2.252614641995173,Average,3,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2175,9,Division III,salemcommunitycollege,Michael Goodwin,,,,Wing,,,9,2.4499999999999997,2.5999999999999996,2.0,3,0.8888888888888888,1.8888888888888888,0.0,0.2222222222222222,0.1111111111111111,0.5555555555555556,1.2222222222222223,0.5555555555555556,0.0,0.1111111111111111,0.2222222222222222,1.6666666666666667,0.7352941176470588,0.8,107.5268817204301,0.008696058721772875,0.0,0.26881720430107525,,0.0,0.2,0.27192386131883073,0.8157715839564922,2.311352821210061,1.495581237253569,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2442,10,Division III,salemcommunitycollege,Quade'air Smith,,,,Wing,,,15,2.3575,2.1,2.45,3,5.2,4.466666666666667,0.6666666666666666,0.9333333333333333,0.8,0.5333333333333333,1.8,3.8,0.4,2.6,1.8666666666666667,2.6,0.5258899676375405,0.49122807017543857,88.47549909255899,0.06211600248013077,0.7142857142857143,0.1588021778584392,0.0,0.10526315789473684,0.6842105263157895,1.1155378486055776,1.593625498007968,5.338645418326693,2.151394422310757,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
