MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
178,1,Division III,stcloudtechnicalcommunitycollege,Jack Boos,,,,Wing,,,9,3.5475000000000003,3.5,3.85,3,21.555555555555557,5.777777777777778,1.5555555555555556,2.111111111111111,3.2222222222222223,0.1111111111111111,2.6666666666666665,16.77777777777778,8.333333333333334,3.6666666666666665,0.7777777777777778,5.0,0.5860318994683421,0.5496688741721855,105.13765445480165,0.22659396797327835,0.7368421052631579,0.10296986776501192,0.32,0.4966887417218543,0.2185430463576159,2.552048354600403,4.029550033579584,6.984553391537945,3.223640026863667,Very Good,4,Very Good,4,Average,3,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Very Good,4,Elite,5,Below Average,2,Very Good,4,Elite,5,Unknown
507,2,Division III,stcloudtechnicalcommunitycollege,R'Moni Warner,,,,Wing,,,10,3.1799999999999997,2.8,3.8,3,10.1,4.1,1.6,1.9,3.1,0.1,2.1,8.4,5.7,2.1,0.6,3.5,0.5416130416130417,0.5,89.98574483250178,0.12245788600855373,0.8421052631578947,0.16928011404134,0.38596491228070173,0.6785714285714286,0.25,2.264600715137068,3.8140643623361146,4.886769964243147,2.502979737783075,Average,3,Below Average,2,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
873,3,Division III,stcloudtechnicalcommunitycollege,Malachi Gant,,,,Wing,,,10,2.9725,2.7,3.35,3,16.9,4.1,4.0,2.8,2.3,0.0,1.4,12.9,2.5,6.9,1.3,2.8,0.530245983935743,0.49224806201550386,90.20068317677199,0.20441651392162,1.4285714285714286,0.14944491887275832,0.12,0.1937984496124031,0.5348837209302325,3.3373063170441,2.7413587604290823,4.886769964243147,1.66865315852205,Average,3,Very Good,4,Poor,1,Average,3,Average,3,Poor,1,Average,3,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
884,4,Division III,stcloudtechnicalcommunitycollege,Ismael Traore,,,,Wing,,,10,2.9624999999999995,3.8,1.75,3,10.2,3.5,0.4,0.8,0.7,0.0,2.7,6.6,0.6,3.3,1.4,2.1,0.6333830104321908,0.6515151515151515,115.22819701762315,0.09657851095400193,0.5,0.09037505648441031,0.3333333333333333,0.09090909090909091,0.5,0.9535160905840286,0.834326579261025,4.171632896305125,3.2181168057210967,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
1650,5,Division III,stcloudtechnicalcommunitycollege,Ka'Jon Jordan,,,,Wing,,,7,2.6400000000000006,2.35,2.9000000000000004,3,4.0,2.7142857142857144,2.142857142857143,0.8571428571428571,1.5714285714285714,0.14285714285714285,1.1428571428571428,3.5714285714285716,1.1428571428571428,2.0,0.7142857142857143,2.0,0.4492939666238768,0.4,75.34983853606029,0.05765530937752125,2.5,0.16146393972012918,0.25,0.32,0.56,1.0118043844856661,2.0236087689713322,3.204047217537943,1.349072512647555,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
3118,6,Division III,stcloudtechnicalcommunitycollege,Carter Jackson,,,,Wing,,,10,2.175,2.05,2.0,3,8.1,3.0,1.2,1.4,1.0,0.0,1.8,7.3,3.9,1.3,0.8,2.2,0.5144817073170732,0.4794520547945205,87.35979292493529,0.10116086235489222,0.8571428571428571,0.15099223468507333,0.3076923076923077,0.5342465753424658,0.1780821917808219,1.66865315852205,1.1918951132300357,3.575685339690107,2.1454112038140645,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Below Average,2,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3302,7,Division III,stcloudtechnicalcommunitycollege,Gavin DeVries,,,,Wing,,,8,2.125,1.9500000000000002,2.0,3,3.0,0.75,0.25,0.375,0.375,0.0,0.375,3.125,3.0,0.0,0.0,0.75,0.48,0.48,85.71428571428571,0.03822838730817541,0.6666666666666666,0.10714285714285714,0.3333333333333333,0.96,0.0,0.4484304932735426,0.4484304932735426,0.8968609865470852,0.4484304932735426,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Very Good,4,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3341,8,Division III,stcloudtechnicalcommunitycollege,Uzo Egwim,,,,Wing,,,10,2.1075,1.6,2.45,3,3.2,3.6,0.7,1.5,0.9,0.5,1.6,3.0,0.3,1.6,1.4,2.2,0.4319654427645788,0.4,61.49116064565719,0.0567775159291263,0.4666666666666667,0.28823981552651806,0.0,0.1,0.5333333333333333,1.7878426698450536,1.66865315852205,4.290822407628129,1.9070321811680573,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3377,9,Division III,stcloudtechnicalcommunitycollege,Sulaiman Bangura,,,,Wing,,,10,2.0999999999999996,1.9000000000000001,2.0,3,2.1,1.7,1.9,1.1,1.0,0.1,1.4,2.4,0.7,0.9,0.4,1.3,0.37553648068669526,0.3125,53.90143737166324,0.04250676442349655,1.7272727272727273,0.28234086242299794,0.14285714285714285,0.2916666666666667,0.375,1.3110846245530394,1.3110846245530394,2.026221692491061,1.66865315852205,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3723,10,Division III,stcloudtechnicalcommunitycollege,Tommy Cronin,,,,Wing,,,10,1.9999999999999998,1.6999999999999997,2.0,3,4.7,2.5,1.9,1.8,0.9,0.2,1.9,4.6,2.1,1.3,0.8,1.7,0.454369682907966,0.40217391304347827,67.41250717154331,0.07606703325477875,1.0555555555555556,0.25817555938037867,0.23809523809523808,0.45652173913043476,0.2826086956521739,2.1454112038140645,1.3110846245530394,2.9797377830750893,2.264600715137068,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
